,GP550R
RamanShit,Intensity
255.636,223.529
258.696,58.8235
261.755,58.8235
264.815,3.92157
267.874,58.8235
270.934,3.92157
273.994,58.8235
277.053,113.725
280.113,168.627
283.172,223.529
286.232,223.529
289.291,278.431
292.351,278.431
295.411,333.333
298.47,333.333
301.53,333.333
304.589,278.431
307.649,223.529
310.709,223.529
313.768,223.529
316.828,223.529
319.887,223.529
322.947,223.529
326.006,278.431
329.066,333.333
332.126,443.137
335.185,552.941
338.245,717.647
341.304,772.549
344.364,772.549
347.424,827.451
350.483,882.353
353.543,937.255
356.602,1101.96
359.662,1431.37
362.721,1650.98
365.781,1925.49
368.841,1650.98
371.9,1541.18
374.96,1431.37
378.019,1321.57
381.079,1431.37
384.138,1486.27
387.198,1705.88
390.258,1486.27
393.317,1431.37
396.377,1211.76
399.436,1047.06
402.496,992.157
405.556,992.157
408.615,992.157
411.675,992.157
414.734,937.255
417.794,772.549
420.853,498.039
423.913,388.235
426.973,333.333
430.032,333.333
433.092,333.333
436.151,278.431
439.211,223.529
442.271,113.725
445.33,58.8235
448.39,3.92157
451.449,58.8235
454.509,58.8235
457.568,58.8235
460.628,113.725
463.688,113.725
466.747,113.725
469.807,113.725
472.866,113.725
475.926,113.725
478.986,113.725
482.045,113.725
485.105,58.8235
488.164,58.8235
491.224,58.8235
494.283,58.8235
497.343,113.725
500.403,223.529
503.462,388.235
506.522,607.843
509.581,717.647
512.641,772.549
515.7,827.451
518.76,937.255
521.82,992.157
524.879,992.157
527.939,992.157
530.998,937.255
534.058,937.255
537.118,882.353
540.177,662.745
543.237,443.137
546.296,498.039
549.356,498.039
552.415,498.039
555.475,498.039
558.535,498.039
561.594,498.039
564.654,443.137
567.713,443.137
570.773,443.137
573.833,333.333
576.892,333.333
579.952,223.529
583.011,168.627
586.071,58.8235
589.13,58.8235
592.19,58.8235
595.25,58.8235
598.309,58.8235
601.369,58.8235
604.428,58.8235
607.488,113.725
610.548,168.627
613.607,168.627
616.667,168.627
619.726,168.627
622.786,168.627
