,GP550R
RamanShit,Intensity,
397.15,1353.16,
400.16,1457.65,
403.18,1545.43,
406.19,1542.91,
409.20,1505.23,
412.21,1521.79,
415.21,1615.92,
418.21,1704.34,
421.22,1698.76,
424.22,1622.08,
427.22,1600.35,
430.21,1635.19,
433.21,1600.96,
436.20,1517.22,
439.19,1526.04,
442.18,1622.65,
445.17,1646.96,
448.16,1591.11,
451.14,1563.68,
454.13,1579.71,
457.11,1580.19,
460.09,1538.35,
463.07,1477.15,
466.04,1465.83,
469.02,1541.07,
471.99,1650.53,
474.96,1689.10,
477.93,1657.07,
480.90,1624.42,
483.87,1599.12,
486.83,1556.87,
489.80,1522.24,
492.76,1520.25,
495.72,1547.50,
498.67,1563.79,
501.63,1553.42,
504.58,1526.52,
507.54,1474.10,
510.49,1412.06,
513.44,1373.03,
516.39,1366.40,
519.33,1364.27,
522.28,1319.48,
525.22,1247.95,
528.16,1186.38,
531.10,1141.48,
534.04,1115.59,
536.97,1114.96,
539.91,1113.59,
542.84,1101.68,
545.77,1089.59,
548.70,1086.81,
551.63,1058.58,
554.56,1009.60,
557.48,993.97,
560.40,1014.96,
563.32,1000.60,
566.24,957.51,
569.16,952.72,
572.08,1012.20,
574.99,1054.64,
577.91,1047.24,
580.82,1025.63,
583.72,1044.38,
586.63,1105.41,
589.54,1176.15,
592.44,1220.06,
595.35,1206.63,
598.25,1160.31,
601.15,1162.99,
604.04,1210.87,
606.94,1250.04,
609.83,1251.77,
612.73,1258.47,
615.62,1285.76,
618.51,1286.17,
621.40,1252.33,
624.28,1233.42,
627.17,1250.30,
630.05,1263.80,
632.93,1236.51,
635.81,1197.31,
638.69,1178.43,
641.57,1172.27,
644.44,1159.67,
647.31,1147.34,
650.19,1140.92,
653.06,1137.27,
655.92,1125.40,
658.79,1081.25,
661.66,1017.97,
664.52,968.70,
667.38,944.33,
670.24,935.59,
673.10,939.19,
675.96,939.99,
678.81,916.50,
681.66,937.67,
684.52,1106.45,
687.37,1387.13,
690.21,1692.90,
693.06,2015.52,
695.91,2398.10,
698.75,2786.76,
701.59,3088.07,
704.43,3287.35,
707.27,3373.15,
710.11,3310.94,
712.95,3106.28,
715.78,2811.94,
718.61,2494.59,
721.44,2190.10,
724.27,1935.73,
727.10,1732.47,
729.93,1536.08,
732.75,1332.58,
735.57,1157.44,
738.39,1068.10,
741.21,1049.57,
744.03,1025.33,
746.85,966.93,
749.66,931.61,
752.48,952.66,
755.29,955.99,
758.10,897.36,
760.91,838.53,
763.71,815.92,
766.52,805.16,
769.32,772.11,
772.12,729.47,
774.92,674.17,
777.72,591.92,
780.52,538.68,
783.32,573.18,
786.11,655.08,
788.90,668.12,
791.69,571.58,
794.48,494.09,
797.27,509.43,
800.06,516.55,
802.84,452.61,
805.62,396.31,
808.41,420.20,
811.18,468.38,
813.96,481.86,
816.74,483.87,
819.51,481.70,
822.29,469.28,
825.06,460.25,
827.83,448.34,
830.60,447.30,
833.37,462.48,
836.13,477.40,
838.89,470.04,
841.66,461.81,
844.42,485.30,
847.18,494.64,
849.94,475.93,
852.69,472.84,
855.45,466.78,
858.20,422.17,
860.95,366.72,
863.70,369.29,
866.45,400.73,
869.20,379.40,
871.94,339.33,
874.68,335.40,
877.43,338.31,
880.17,305.18,
882.91,266.50,
885.64,284.89,
888.38,323.17,
891.11,297.68,
893.85,214.66,
896.58,137.67,
899.31,109.67,
902.04,115.58,
904.76,117.84,
907.49,109.61,
910.21,95.02,
912.93,75.37,
915.65,66.60,
918.37,81.66,
921.09,119.87,
923.80,141.75,
926.52,109.66,
929.23,43.15,
931.94,1.15,
934.65,24.67,
937.36,103.47,
940.07,176.45,
942.77,200.39,
945.47,187.42,
948.18,163.23,
950.88,163.69,
953.58,194.39,
956.27,228.02,
958.97,237.43,
961.66,231.53,
964.36,245.42,
967.05,279.51,
969.74,275.77,
972.42,245.86,
975.11,242.30,
977.80,301.90,
980.48,365.55,
983.16,349.35,
985.84,273.50,
988.52,242.55,
991.20,281.82,
993.87,338.46,
996.55,328.25,
999.22,274.78,
1001.89,258.32,
1004.56,299.75,
1007.23,339.13,
1009.90,332.49,
1012.56,310.17,
1015.23,327.50,
1017.89,359.88,
1020.55,394.02,
1023.21,429.69,
1025.87,440.47,
1028.52,407.85,
1031.18,388.28,
1033.83,424.26,
1036.48,483.54,
1039.13,515.18,
1041.78,530.34,
1044.43,547.58,
1047.07,576.17,
1049.72,679.38,
1052.36,957.77,
1055.00,1486.75,
1057.64,2372.44,
1060.28,3666.45,
1062.92,5276.67,
1065.55,6967.17,
1068.19,8548.42,
1070.82,9984.71,
1073.45,11250.62,
1076.08,12225.81,
1078.71,12742.90,
1081.33,12742.57,
1083.96,12342.99,
1086.58,11646.56,
1089.20,10727.70,
1091.82,9648.20,
1094.44,8466.85,
1097.06,7236.82,
1099.67,5997.03,
1102.29,4835.07,
1104.90,3822.48,
1107.51,2970.64,
1110.12,2292.19,
1112.73,1759.44,
1115.34,1349.58,
1117.95,1050.25,
1120.55,837.61,
1123.15,696.80,
1125.75,591.28,
1128.35,520.12,
1130.95,505.97,
1133.55,523.39,
1136.14,531.50,
1138.74,534.39,
1141.33,558.30,
1143.92,581.38,
1146.51,549.35,
1149.10,505.36,
1151.68,495.39,
1154.27,486.27,
1156.85,448.56,
1159.43,418.46,
1162.02,407.03,
1164.59,397.80,
1167.17,407.26,
1169.75,447.01,
1172.32,451.63,
1174.89,415.14,
1177.47,411.33,
1180.04,461.32,
1182.61,468.87,
1185.17,399.92,
1187.74,336.07,
1190.31,347.81,
1192.87,391.65,
1195.43,414.32,
1197.99,413.29,
1200.55,419.05,
1203.11,426.55,
1205.66,431.84,
1208.22,454.33,
1210.77,504.74,
1213.32,524.03,
1215.87,501.01,
1218.42,479.77,
1220.97,480.31,
1223.51,473.45,
1226.06,460.10,
1228.60,478.06,
1231.14,532.06,
1233.68,570.72,
1236.22,581.66,
1238.76,567.60,
1241.29,551.70,
1243.83,573.93,
1246.36,614.90,
1248.89,600.30,
1251.42,545.30,
1253.95,546.09,
1256.48,632.46,
1259.00,702.90,
1261.53,705.15,
1264.05,705.24,
1266.57,726.50,
1269.09,737.28,
1271.61,741.52,
1274.13,756.84,
1276.65,785.14,
1279.16,803.52,
1281.67,804.86,
1284.18,794.21,
1286.69,775.21,
1289.20,771.58,
1291.71,785.59,
