,GP550R
RamanShit,Intensity
255.707,223.529
258.762,113.725
261.817,113.725
264.871,58.8235
267.926,58.8235
270.981,3.92157
274.035,113.725
277.09,168.627
280.145,333.333
283.199,443.137
286.254,498.039
289.309,443.137
292.363,388.235
295.418,333.333
298.473,278.431
301.527,278.431
304.582,223.529
307.637,168.627
310.691,168.627
313.746,168.627
316.801,168.627
319.855,168.627
322.91,223.529
325.965,278.431
329.019,388.235
332.074,443.137
335.129,607.843
338.183,717.647
341.238,882.353
344.293,1047.06
347.347,1266.67
350.402,1486.27
353.457,1596.08
356.511,1650.98
359.566,1650.98
362.621,1650.98
365.675,1650.98
368.73,1541.18
371.785,1266.67
374.839,992.157
377.894,937.255
380.949,882.353
384.003,882.353
387.058,772.549
390.113,717.647
393.167,717.647
396.222,498.039
399.277,388.235
402.331,388.235
405.386,443.137
408.441,498.039
411.495,607.843
414.55,717.647
417.605,607.843
420.659,552.941
423.714,498.039
426.768,498.039
429.823,498.039
432.878,443.137
435.932,278.431
438.987,168.627
442.042,113.725
445.096,113.725
448.151,113.725
451.206,113.725
454.26,168.627
457.315,223.529
460.37,278.431
463.424,278.431
466.479,223.529
469.534,223.529
472.588,168.627
475.643,168.627
478.698,113.725
481.752,113.725
484.807,58.8235
487.862,58.8235
490.916,3.92157
493.971,58.8235
497.026,113.725
500.08,223.529
503.135,333.333
506.19,443.137
509.244,498.039
512.299,498.039
515.354,552.941
518.408,607.843
521.463,662.745
524.518,717.647
527.572,717.647
530.627,772.549
533.682,717.647
536.736,717.647
539.791,552.941
542.846,388.235
545.9,388.235
548.955,388.235
552.01,443.137
555.064,443.137
558.119,443.137
561.174,388.235
564.228,388.235
567.283,388.235
570.338,388.235
573.392,333.333
576.447,278.431
579.502,168.627
582.556,168.627
585.611,168.627
588.666,113.725
591.72,168.627
594.775,168.627
597.83,168.627
600.884,223.529
603.939,168.627
606.994,168.627
610.048,168.627
613.103,223.529
616.158,223.529
619.212,223.529
622.267,278.431
625.322,278.431
628.376,278.431
631.431,333.333
634.486,388.235
637.54,552.941
640.595,717.647
643.65,827.451
646.704,1047.06
649.759,1321.57
652.814,1596.08
655.868,2035.29
658.923,2803.92
661.977,4286.27
665.032,6701.96
668.087,10051
671.141,10929.4
674.196,10051
677.251,7141.18
680.305,4890.2
683.36,3078.43
686.415,2090.2
689.469,1541.18
692.524,1156.86
695.579,772.549
698.633,443.137
701.688,333.333
704.743,223.529
707.797,168.627
710.852,113.725
713.907,113.725
716.961,113.725
720.016,113.725
723.071,58.8235
726.125,58.8235
729.18,58.8235
732.235,223.529
735.289,223.529
738.344,223.529
741.399,223.529
744.453,223.529
747.508,223.529
750.563,223.529
753.617,168.627
756.672,113.725
759.727,113.725
762.781,113.725
765.836,113.725
768.891,168.627
771.945,168.627
775,223.529
778.055,223.529
781.109,278.431
784.164,278.431
787.219,278.431
790.273,223.529
793.328,168.627
796.383,113.725
799.437,58.8235
802.492,58.8235
805.547,113.725
808.601,113.725
811.656,113.725
814.711,113.725
817.765,113.725
820.82,113.725
823.875,113.725
826.929,113.725
829.984,113.725
833.039,113.725
836.093,113.725
839.148,113.725
842.203,58.8235
