,GP550R
RamanShit,Intensity
260.039,654.206
263.583,654.206
267.126,654.206
270.669,654.206
274.213,841.121
277.756,1028.04
281.299,1214.95
284.843,1214.95
288.386,1214.95
291.929,1214.95
295.472,1401.87
299.016,1214.95
302.559,841.121
306.102,841.121
309.646,841.121
313.189,841.121
316.732,1214.95
320.276,1588.79
323.819,1775.7
327.362,1962.62
330.906,2523.36
334.449,3084.11
337.992,3457.94
341.535,3644.86
345.079,3644.86
348.622,3831.78
352.165,4205.61
355.709,4579.44
359.252,4766.36
362.795,6635.51
366.339,5514.02
369.882,5887.85
373.425,5887.85
376.969,5887.85
380.512,5887.85
384.055,6822.43
387.598,8504.67
391.142,4579.44
394.685,3457.94
398.228,3457.94
401.772,3457.94
405.315,3271.03
408.858,3084.11
412.402,2523.36
415.945,1962.62
419.488,1775.7
423.031,1775.7
426.575,1775.7
430.118,1588.79
433.661,1588.79
437.205,841.121
440.748,654.206
444.291,654.206
447.835,654.206
451.378,654.206
454.921,654.206
458.465,654.206
462.008,654.206
465.551,841.121
469.094,841.121
472.638,1028.04
476.181,1028.04
479.724,1028.04
483.268,1028.04
486.811,1028.04
490.354,1028.04
493.898,1028.04
497.441,654.206
500.984,1588.79
504.528,2149.53
508.071,2523.36
511.614,2710.28
515.157,2897.2
518.701,2897.2
522.244,2897.2
525.787,2710.28
529.331,2149.53
532.874,1775.7
536.417,1401.87
539.961,1214.95
543.504,1028.04
547.047,1028.04
550.591,1028.04
554.134,1028.04
557.677,1028.04
561.22,1028.04
564.764,1028.04
568.307,1028.04
571.85,1028.04
575.394,841.121
578.937,654.206
582.48,654.206
586.024,654.206
589.567,654.206
593.11,654.206
596.654,654.206
600.197,654.206
603.74,654.206
607.283,654.206
610.827,654.206
614.37,654.206
617.913,841.121
621.457,1028.04
625,1214.95
628.543,1401.87
632.087,1775.7
635.63,2710.28
639.173,3644.86
642.717,4953.27
646.26,6448.6
649.803,7570.09
653.346,9813.08
656.89,16355.1
660.433,24018.7
663.976,27570.1
667.52,41775.7
671.063,27383.2
674.606,27196.3
678.15,19532.7
681.693,9813.08
685.236,6448.6
688.78,4392.52
692.323,3084.11
695.866,2523.36
699.409,1962.62
702.953,1214.95
706.496,1028.04
710.039,841.121
713.583,654.206
717.126,841.121
720.669,841.121
724.213,1028.04
727.756,1214.95
731.299,1588.79
734.843,1775.7
738.386,1775.7
741.929,1775.7
745.472,1775.7
749.016,1588.79
752.559,1214.95
756.102,841.121
759.646,654.206
763.189,654.206
766.732,654.206
770.276,654.206
773.819,654.206
777.362,654.206
780.906,654.206
784.449,654.206
787.992,654.206
791.535,654.206
795.079,654.206
798.622,280.374
802.165,654.206
805.709,654.206
809.252,654.206
812.795,654.206
816.339,654.206
819.882,654.206
823.425,654.206
826.969,654.206
830.512,654.206
834.055,654.206
837.598,654.206
841.142,654.206
844.685,654.206
848.228,654.206
851.772,654.206
855.315,654.206
858.858,654.206
862.402,654.206
865.945,654.206
869.488,654.206
873.031,654.206
876.575,654.206
880.118,654.206
883.661,841.121
887.205,841.121
890.748,1028.04
894.291,1028.04
897.835,654.206
901.378,1214.95
904.921,1214.95
908.465,1401.87
912.008,1775.7
915.551,2523.36
919.094,3271.03
922.638,5140.19
926.181,4766.36
929.724,3271.03
933.268,2897.2
936.811,2523.36
940.354,2523.36
943.898,2149.53
947.441,1588.79
950.984,1214.95
954.528,1214.95
958.071,841.121
961.614,654.206
965.157,654.206
968.701,654.206
972.244,654.206
975.787,654.206
979.331,654.206
982.874,654.206
986.417,654.206
989.961,654.206
993.504,841.121
997.047,1028.04
1000.59,1214.95
1004.13,1588.79
1007.68,1962.62
1011.22,2897.2
1014.76,3644.86
1018.31,4018.69
1021.85,5514.02
1025.39,4018.69
1028.94,4018.69
1032.48,4018.69
1036.02,3457.94
1039.57,4205.61
1043.11,4205.61
1046.65,5887.85
1050.2,7383.18
1053.74,12056.1
1057.28,11308.4
1060.83,6261.68
1064.37,4579.44
1067.91,3644.86
1071.46,2897.2
1075,1775.7
1078.54,1214.95
1082.09,1028.04
1085.63,1028.04
1089.17,1028.04
1092.72,841.121
1096.26,654.206
1099.8,280.374
1103.35,654.206
1106.89,654.206
1110.43,654.206
1113.98,654.206
1117.52,654.206
1121.06,654.206
1124.61,654.206
1128.15,654.206
1131.69,654.206
1135.24,654.206
1138.78,654.206
1142.32,654.206
1145.87,654.206
1149.41,654.206
1152.95,654.206
1156.5,654.206
1160.04,654.206
1163.58,654.206
1167.13,654.206
1170.67,654.206
1174.21,654.206
1177.76,654.206
1181.3,654.206
1184.84,654.206
1188.39,654.206
1191.93,654.206
1195.47,654.206
1199.02,654.206
1202.56,654.206
1206.1,654.206
1209.65,654.206
1213.19,654.206
1216.73,654.206
1220.28,654.206
1223.82,654.206
1227.36,654.206
1230.91,654.206
1234.45,654.206
1237.99,654.206
1241.54,654.206
1245.08,654.206
1248.62,654.206
1252.17,654.206
1255.71,654.206
1259.25,654.206
1262.8,654.206
1266.34,654.206
1269.88,654.206
1273.43,654.206
1276.97,654.206
1280.51,654.206
1284.06,654.206
1287.6,654.206
1291.14,654.206
1294.69,841.121
1298.23,1028.04
1301.77,1028.04
1305.31,1028.04
1308.86,1028.04
1312.4,1028.04
1315.94,1028.04
1319.49,1028.04
1323.03,1028.04
1326.57,1028.04
1330.12,1028.04
1333.66,1028.04
1337.2,1028.04
1340.75,841.121
1344.29,654.206
1347.83,654.206
1351.38,654.206
1354.92,654.206
1358.46,654.206
1362.01,654.206
1365.55,654.206
1369.09,654.206
1372.64,654.206
1376.18,654.206
1379.72,654.206
1383.27,654.206
1386.81,654.206
1390.35,654.206
1393.9,654.206
1397.44,280.374
1400.98,654.206
1404.53,654.206
1408.07,654.206
1411.61,654.206
1415.16,654.206
1418.7,654.206
1422.24,654.206
1425.79,654.206
1429.33,654.206
1432.87,654.206
1436.42,654.206
1439.96,654.206
1443.5,654.206
1447.05,654.206
1450.59,654.206
1454.13,654.206
1457.68,654.206
1461.22,654.206
1464.76,654.206
1468.31,654.206
1471.85,654.206
1475.39,654.206
1478.94,654.206
1482.48,654.206
1486.02,654.206
1489.57,654.206
1493.11,654.206
1496.65,280.374
1500.2,654.206
1503.74,654.206
1507.28,654.206
1510.83,654.206
1514.37,654.206
1517.91,654.206
1521.46,654.206
1525,654.206
1528.54,654.206
1532.09,654.206
1535.63,654.206
1539.17,654.206
1542.72,654.206
1546.26,654.206
1549.8,654.206
1553.35,654.206
1556.89,654.206
1560.43,654.206
1563.98,654.206
1567.52,654.206
1571.06,654.206
1574.61,654.206
1578.15,654.206
1581.69,654.206
1585.24,654.206
1588.78,654.206
1592.32,654.206
1595.87,654.206
1599.41,280.374
1602.95,654.206
1606.5,654.206
1610.04,654.206
1613.58,654.206
1617.13,654.206
1620.67,654.206
1624.21,654.206
1627.76,654.206
1631.3,654.206
1634.84,654.206
1638.39,654.206
1641.93,654.206
1645.47,654.206
1649.02,654.206
1652.56,654.206
1656.1,654.206
1659.65,654.206
1663.19,654.206
1666.73,654.206
1670.28,654.206
1673.82,654.206
1677.36,654.206
1680.91,654.206
1684.45,654.206
1687.99,654.206
1691.54,654.206
1695.08,654.206
1698.62,280.374
1702.17,654.206
1705.71,654.206
1709.25,654.206
1712.8,654.206
1716.34,654.206
1719.88,654.206
1723.43,654.206
1726.97,654.206
1730.51,654.206
1734.06,654.206
1737.6,654.206
1741.14,654.206
1744.69,654.206
1748.23,654.206
1751.77,654.206
1755.31,654.206
1758.86,654.206
1762.4,654.206
1765.94,654.206
1769.49,654.206
1773.03,654.206
1776.57,654.206
1780.12,654.206
1783.66,654.206
1787.2,654.206
1790.75,654.206
1794.29,654.206
1797.83,280.374
1801.38,654.206
1804.92,654.206
1808.46,654.206
1812.01,654.206
1815.55,654.206
1819.09,654.206
1822.64,654.206
1826.18,654.206
1829.72,654.206
1833.27,654.206
1836.81,654.206
1840.35,654.206
1843.9,654.206
1847.44,654.206
1850.98,654.206
1854.53,654.206
1858.07,654.206
1861.61,654.206
1865.16,654.206
1868.7,654.206
1872.24,654.206
1875.79,654.206
1879.33,654.206
1882.87,654.206
1886.42,654.206
1889.96,654.206
1893.5,654.206
1897.05,654.206
1900.59,280.374
1904.13,654.206
1907.68,654.206
1911.22,654.206
1914.76,654.206
1918.31,654.206
1921.85,654.206
1925.39,654.206
1928.94,654.206
1932.48,654.206
1936.02,654.206
1939.57,654.206
1943.11,654.206
1946.65,654.206
1950.2,654.206
1953.74,654.206
1957.28,654.206
1960.83,654.206
1964.37,654.206
1967.91,654.206
1971.46,654.206
1975,654.206
1978.54,654.206
1982.09,654.206
1985.63,654.206
1989.17,654.206
1992.72,654.206
1996.26,654.206
1999.8,280.374
2003.35,654.206
2006.89,654.206
2010.43,654.206
2013.98,654.206
2017.52,654.206
2021.06,654.206
2024.61,654.206
2028.15,654.206
2031.69,654.206
2035.24,654.206
2038.78,654.206
2042.32,654.206
2045.87,654.206
2049.41,654.206
2052.95,654.206
2056.5,654.206
2060.04,654.206
2063.58,654.206
2067.13,654.206
2070.67,654.206
2074.21,654.206
2077.76,654.206
2081.3,654.206
2084.84,654.206
2088.39,654.206
2091.93,654.206
2095.47,654.206
2099.02,280.374
2102.56,654.206
2106.1,654.206
2109.65,654.206
2113.19,654.206
2116.73,654.206
2120.28,654.206
2123.82,654.206
2127.36,654.206
2130.91,654.206
2134.45,654.206
2137.99,654.206
2141.54,654.206
2145.08,654.206
2148.62,654.206
2152.17,654.206
2155.71,654.206
2159.25,654.206
2162.8,654.206
2166.34,654.206
2169.88,654.206
2173.43,654.206
2176.97,654.206
2180.51,654.206
2184.06,654.206
2187.6,654.206
2191.14,654.206
2194.69,654.206
2198.23,654.206
2201.77,280.374
2205.31,654.206
2208.86,654.206
2212.4,654.206
2215.94,654.206
2219.49,654.206
2223.03,654.206
2226.57,654.206
2230.12,654.206
2233.66,654.206
2237.2,654.206
2240.75,654.206
2244.29,654.206
2247.83,654.206
2251.38,654.206
2254.92,654.206
2258.46,654.206
2262.01,654.206
2265.55,654.206
2269.09,654.206
2272.64,654.206
2276.18,654.206
2279.72,654.206
2283.27,654.206
