,GP550R
RamanShit,Intensity
258.762,236.22
261.817,236.22
264.871,236.22
267.926,236.22
270.981,236.22
274.035,236.22
277.09,236.22
280.145,236.22
283.199,236.22
286.254,236.22
289.309,236.22
292.363,236.22
295.418,236.22
298.473,236.22
301.527,236.22
304.582,551.181
307.637,551.181
310.691,551.181
313.746,551.181
316.801,551.181
319.855,551.181
322.91,551.181
325.965,551.181
329.019,236.22
332.074,236.22
335.129,236.22
338.183,236.22
341.238,236.22
344.293,236.22
347.347,236.22
350.402,236.22
353.457,236.22
356.511,236.22
359.566,236.22
362.621,236.22
365.675,236.22
368.73,236.22
371.785,236.22
374.839,236.22
377.894,236.22
380.949,236.22
384.003,236.22
387.058,236.22
390.113,551.181
393.167,551.181
396.222,866.142
399.277,1181.1
402.331,2125.98
405.386,3700.79
408.441,4330.71
411.495,5275.59
414.55,4015.75
417.605,3385.83
420.659,1811.02
423.714,1181.1
426.768,866.142
429.823,551.181
432.878,551.181
435.932,551.181
438.987,236.22
442.042,236.22
445.096,236.22
448.151,236.22
451.206,236.22
454.26,236.22
457.315,236.22
460.37,236.22
463.424,236.22
466.479,551.181
469.534,551.181
472.588,866.142
475.643,1181.1
478.698,1496.06
481.752,2440.94
484.807,3700.79
487.862,4645.67
490.916,5590.55
493.971,4330.71
497.026,3700.79
500.08,2440.94
503.135,1496.06
506.19,1181.1
509.244,866.142
512.299,551.181
515.354,236.22
518.408,236.22
521.463,236.22
524.518,236.22
527.572,236.22
530.627,236.22
533.682,236.22
536.736,236.22
539.791,236.22
542.846,236.22
545.9,236.22
548.955,236.22
552.01,551.181
555.064,551.181
558.119,551.181
561.174,551.181
564.228,551.181
567.283,551.181
570.338,551.181
573.392,551.181
576.447,551.181
579.502,551.181
582.556,551.181
585.611,551.181
588.666,551.181
591.72,551.181
594.775,866.142
597.83,866.142
600.884,1181.1
603.939,1496.06
606.994,1811.02
610.048,2440.94
613.103,2755.91
616.158,2755.91
619.212,2755.91
622.267,2440.94
625.322,2125.98
628.376,1181.1
631.431,866.142
634.486,551.181
637.54,236.22
640.595,236.22
643.65,236.22
646.704,236.22
649.759,236.22
652.814,236.22
655.868,236.22
658.923,551.181
661.977,1181.1
665.032,1811.02
668.087,2755.91
671.141,1811.02
674.196,1496.06
677.251,866.142
680.305,551.181
683.36,551.181
686.415,236.22
689.469,236.22
692.524,236.22
695.579,236.22
698.633,236.22
701.688,236.22
704.743,236.22
707.797,236.22
710.852,236.22
713.907,236.22
716.961,236.22
720.016,236.22
723.071,236.22
726.125,236.22
729.18,236.22
732.235,236.22
735.289,236.22
738.344,236.22
741.399,236.22
744.453,236.22
747.508,236.22
750.563,236.22
753.617,236.22
756.672,236.22
759.727,236.22
762.781,236.22
765.836,236.22
768.891,236.22
771.945,236.22
775,236.22
778.055,236.22
781.109,236.22
784.164,236.22
