,GP550R
RamanShit,Intensity
261.817,830.04
264.871,1304.35
267.926,1462.45
270.981,1620.55
274.035,1620.55
277.09,2411.07
280.145,5256.92
283.199,7628.46
286.254,9841.9
289.309,7628.46
292.363,6679.84
295.418,4308.3
298.473,1936.76
301.527,830.04
304.582,355.731
307.637,197.628
310.691,197.628
313.746,197.628
316.801,513.834
319.855,1304.35
322.91,1778.66
325.965,2094.86
329.019,1620.55
332.074,1304.35
335.129,513.834
338.183,197.628
341.238,39.5257
344.293,39.5257
347.347,39.5257
350.402,39.5257
353.457,39.5257
356.511,39.5257
359.566,39.5257
362.621,39.5257
365.675,39.5257
368.73,39.5257
371.785,39.5257
374.839,39.5257
377.894,39.5257
380.949,39.5257
384.003,197.628
387.058,197.628
390.113,355.731
393.167,671.937
396.222,988.142
399.277,1462.45
402.331,1936.76
405.386,2094.86
408.441,2094.86
411.495,1936.76
414.55,1936.76
417.605,1304.35
420.659,671.937
423.714,355.731
426.768,39.5257
429.823,39.5257
432.878,39.5257
435.932,39.5257
438.987,39.5257
442.042,197.628
445.096,355.731
448.151,513.834
451.206,1146.25
454.26,1462.45
457.315,1462.45
460.37,1620.55
463.424,1936.76
466.479,3359.68
469.534,6521.74
472.588,8577.08
475.643,12213.4
478.698,8577.08
481.752,8102.77
484.807,6363.64
487.862,4782.61
490.916,5098.81
493.971,5256.92
497.026,7786.56
500.08,13478.3
503.135,24861.7
506.19,25968.4
509.244,16324.1
512.299,12529.6
515.354,6521.74
518.408,3517.79
521.463,1936.76
524.518,1146.25
527.572,988.142
530.627,671.937
533.682,513.834
536.736,513.834
539.791,355.731
542.846,197.628
545.9,39.5257
548.955,39.5257
552.01,39.5257
555.064,39.5257
558.119,39.5257
561.174,39.5257
564.228,39.5257
567.283,197.628
570.338,355.731
573.392,355.731
576.447,513.834
579.502,513.834
582.556,355.731
585.611,197.628
588.666,39.5257
591.72,39.5257
594.775,39.5257
597.83,39.5257
600.884,39.5257
603.939,39.5257
606.994,39.5257
610.048,39.5257
613.103,39.5257
616.158,39.5257
619.212,197.628
622.267,197.628
625.322,355.731
628.376,513.834
631.431,513.834
634.486,513.834
637.54,513.834
640.595,671.937
643.65,671.937
646.704,671.937
649.759,513.834
652.814,513.834
655.868,197.628
658.923,197.628
661.977,39.5257
665.032,39.5257
668.087,39.5257
671.141,39.5257
674.196,39.5257
677.251,39.5257
680.305,39.5257
683.36,39.5257
686.415,39.5257
689.469,39.5257
692.524,39.5257
695.579,39.5257
698.633,39.5257
701.688,39.5257
704.743,39.5257
707.797,39.5257
710.852,39.5257
713.907,39.5257
716.961,39.5257
720.016,197.628
723.071,39.5257
726.125,39.5257
729.18,39.5257
732.235,39.5257
735.289,39.5257
738.344,197.628
741.399,197.628
744.453,197.628
747.508,355.731
750.563,513.834
753.617,830.04
756.672,1620.55
759.727,2094.86
762.781,2885.38
765.836,2094.86
768.891,1620.55
771.945,988.142
775,830.04
778.055,513.834
781.109,355.731
784.164,197.628
787.219,39.5257
790.273,39.5257
793.328,39.5257
796.383,39.5257
799.437,197.628
802.492,355.731
805.547,671.937
808.601,1462.45
811.656,1936.76
814.711,2569.17
817.765,1936.76
820.82,1462.45
823.875,830.04
826.929,355.731
829.984,355.731
833.039,197.628
836.093,197.628
839.148,197.628
842.203,39.5257
845.257,39.5257
848.312,39.5257
851.367,39.5257
854.421,39.5257
857.476,39.5257
860.531,39.5257
863.585,39.5257
866.64,39.5257
869.695,39.5257
872.749,39.5257
875.804,39.5257
878.859,39.5257
881.913,39.5257
884.968,39.5257
888.023,39.5257
891.077,39.5257
894.132,39.5257
897.186,39.5257
900.241,39.5257
903.296,39.5257
906.35,39.5257
909.405,39.5257
912.46,39.5257
915.514,39.5257
918.569,39.5257
921.624,39.5257
924.678,39.5257
927.733,39.5257
930.788,39.5257
933.842,39.5257
936.897,39.5257
939.952,39.5257
943.006,39.5257
946.061,39.5257
949.116,39.5257
952.17,39.5257
955.225,197.628
958.28,197.628
961.334,197.628
964.389,197.628
967.444,355.731
970.498,671.937
973.553,830.04
976.608,830.04
979.662,830.04
982.717,671.937
985.772,513.834
988.826,355.731
991.881,197.628
994.936,197.628
997.99,197.628
1001.05,355.731
1004.1,513.834
1007.15,513.834
1010.21,671.937
1013.26,671.937
1016.32,513.834
1019.37,513.834
1022.43,513.834
1025.48,513.834
1028.54,513.834
1031.59,671.937
1034.65,671.937
1037.7,513.834
1040.76,513.834
1043.81,355.731
1046.86,355.731
1049.92,197.628
1052.97,197.628
1056.03,39.5257
1059.08,39.5257
1062.14,39.5257
1065.19,39.5257
1068.25,39.5257
1071.3,197.628
1074.36,197.628
1077.41,197.628
1080.47,355.731
1083.52,513.834
1086.58,671.937
1089.63,988.142
1092.68,1620.55
1095.74,2252.96
1098.79,2727.27
1101.85,2252.96
1104.9,2094.86
1107.96,1778.66
1111.01,1462.45
1114.07,1462.45
1117.12,1304.35
1120.18,988.142
1123.23,671.937
1126.29,355.731
1129.34,197.628
1132.4,197.628
1135.45,39.5257
1138.5,39.5257
1141.56,39.5257
1144.61,39.5257
1147.67,39.5257
1150.72,39.5257
1153.78,39.5257
1156.83,39.5257
1159.89,39.5257
1162.94,39.5257
1166,39.5257
1169.05,39.5257
1172.11,39.5257
1175.16,39.5257
1178.22,39.5257
1181.27,39.5257
1184.32,39.5257
1187.38,39.5257
1190.43,39.5257
1193.49,39.5257
1196.54,39.5257
1199.6,39.5257
1202.65,39.5257
1205.71,39.5257
1208.76,39.5257
1211.82,39.5257
1214.87,39.5257
1217.93,39.5257
1220.98,39.5257
1224.04,39.5257
1227.09,39.5257
1230.14,39.5257
1233.2,39.5257
1236.25,39.5257
1239.31,39.5257
1242.36,39.5257
1245.42,39.5257
1248.47,39.5257
1251.53,39.5257
1254.58,39.5257
1257.64,39.5257
1260.69,39.5257
1263.75,39.5257
1266.8,39.5257
1269.86,39.5257
1272.91,39.5257
1275.96,39.5257
1279.02,39.5257
1282.07,39.5257
1285.13,39.5257
1288.18,39.5257
1291.24,39.5257
1294.29,39.5257
1297.35,39.5257
1300.4,39.5257
1303.46,39.5257
1306.51,39.5257
1309.57,39.5257
1312.62,197.628
1315.68,197.628
1318.73,197.628
1321.78,197.628
1324.84,197.628
1327.89,197.628
1330.95,197.628
1334,197.628
1337.06,197.628
1340.11,197.628
1343.17,197.628
1346.22,197.628
1349.28,197.628
1352.33,197.628
1355.39,197.628
1358.44,39.5257
1361.5,39.5257
1364.55,39.5257
1367.6,39.5257
1370.66,39.5257
1373.71,39.5257
1376.77,39.5257
1379.82,39.5257
1382.88,39.5257
1385.93,39.5257
1388.99,39.5257
1392.04,39.5257
1395.1,39.5257
1398.15,39.5257
1401.21,39.5257
1404.26,39.5257
1407.32,39.5257
1410.37,39.5257
1413.42,39.5257
1416.48,39.5257
1419.53,39.5257
1422.59,39.5257
1425.64,39.5257
1428.7,39.5257
1431.75,39.5257
1434.81,39.5257
1437.86,39.5257
1440.92,39.5257
1443.97,39.5257
1447.03,39.5257
1450.08,39.5257
1453.14,39.5257
1456.19,39.5257
1459.24,39.5257
1462.3,39.5257
1465.35,39.5257
1468.41,39.5257
1471.46,39.5257
1474.52,39.5257
1477.57,39.5257
1480.63,39.5257
1483.68,39.5257
1486.74,39.5257
1489.79,39.5257
1492.85,39.5257
1495.9,39.5257
1498.95,39.5257
1502.01,39.5257
1505.06,39.5257
1508.12,39.5257
1511.17,39.5257
1514.23,39.5257
1517.28,197.628
1520.34,197.628
1523.39,197.628
1526.45,197.628
1529.5,197.628
1532.56,197.628
