,GP550R
RamanShit,Intensity
261.817,157.48
264.871,157.48
267.926,157.48
270.981,157.48
274.035,314.961
277.09,314.961
280.145,314.961
283.199,472.441
286.254,472.441
289.309,472.441
292.363,629.921
295.418,629.921
298.473,629.921
301.527,787.402
304.582,944.882
307.637,1102.36
310.691,1417.32
313.746,1732.28
316.801,2047.24
319.855,2204.72
322.91,2519.69
325.965,2992.13
329.019,3307.09
332.074,3622.05
335.129,4409.45
338.183,5826.77
341.238,6771.65
344.293,8031.5
347.347,6614.17
350.402,5511.81
353.457,3464.57
356.511,2677.17
359.566,2677.17
362.621,2834.65
365.675,2992.13
368.73,3149.61
371.785,3464.57
374.839,2992.13
377.894,2519.69
380.949,1574.8
384.003,944.882
387.058,787.402
390.113,472.441
393.167,314.961
396.222,157.48
399.277,157.48
402.331,157.48
405.386,157.48
408.441,157.48
411.495,157.48
414.55,157.48
417.605,157.48
420.659,157.48
423.714,157.48
426.768,157.48
429.823,157.48
432.878,157.48
435.932,157.48
438.987,157.48
442.042,157.48
445.096,157.48
448.151,157.48
451.206,157.48
454.26,157.48
457.315,157.48
460.37,157.48
463.424,157.48
466.479,314.961
469.534,472.441
472.588,629.921
475.643,944.882
478.698,1102.36
481.752,1259.84
484.807,1417.32
487.862,1417.32
490.916,1574.8
493.971,1732.28
497.026,1732.28
500.08,2047.24
503.135,1574.8
506.19,1417.32
509.244,944.882
512.299,629.921
515.354,472.441
518.408,472.441
521.463,472.441
524.518,472.441
527.572,472.441
530.627,472.441
533.682,472.441
536.736,629.921
539.791,787.402
542.846,944.882
545.9,1102.36
548.955,1574.8
552.01,2047.24
555.064,2519.69
558.119,2047.24
561.174,1889.76
564.228,1574.8
567.283,1102.36
570.338,944.882
573.392,944.882
576.447,944.882
579.502,944.882
582.556,944.882
585.611,787.402
588.666,787.402
591.72,787.402
594.775,787.402
597.83,787.402
600.884,629.921
603.939,629.921
606.994,629.921
610.048,629.921
613.103,629.921
616.158,629.921
619.212,629.921
622.267,787.402
625.322,944.882
628.376,944.882
631.431,1102.36
634.486,1102.36
637.54,944.882
640.595,944.882
643.65,787.402
646.704,629.921
649.759,472.441
652.814,472.441
655.868,472.441
658.923,314.961
661.977,314.961
665.032,314.961
668.087,314.961
671.141,314.961
674.196,314.961
677.251,314.961
680.305,314.961
683.36,157.48
686.415,157.48
689.469,157.48
692.524,157.48
695.579,157.48
698.633,157.48
701.688,157.48
704.743,157.48
707.797,157.48
710.852,157.48
713.907,157.48
716.961,157.48
720.016,157.48
723.071,157.48
726.125,157.48
729.18,157.48
732.235,157.48
735.289,157.48
738.344,157.48
741.399,157.48
744.453,157.48
747.508,157.48
750.563,157.48
753.617,157.48
756.672,157.48
759.727,157.48
762.781,157.48
765.836,157.48
768.891,157.48
771.945,157.48
775,157.48
778.055,157.48
781.109,157.48
784.164,157.48
787.219,157.48
790.273,157.48
793.328,157.48
796.383,157.48
799.437,157.48
802.492,157.48
805.547,157.48
808.601,157.48
811.656,157.48
814.711,157.48
817.765,157.48
820.82,157.48
823.875,157.48
826.929,157.48
829.984,157.48
833.039,157.48
836.093,314.961
839.148,314.961
842.203,314.961
845.257,314.961
848.312,314.961
851.367,472.441
854.421,629.921
857.476,787.402
860.531,1102.36
863.585,1259.84
866.64,1259.84
869.695,1102.36
872.749,1102.36
875.804,944.882
878.859,944.882
881.913,944.882
884.968,1102.36
888.023,1259.84
891.077,1732.28
894.132,2204.72
897.186,2992.13
900.241,3937.01
903.296,4881.89
906.35,6614.17
909.405,9921.26
912.46,15118.1
915.514,18425.2
918.569,22362.2
921.624,18425.2
924.678,15905.5
927.733,10866.1
930.788,6771.65
933.842,4409.45
936.897,2992.13
939.952,2047.24
943.006,1417.32
946.061,944.882
949.116,787.402
952.17,472.441
955.225,314.961
958.28,314.961
961.334,157.48
964.389,157.48
