,GP550R
RamanShit,Intensity
255.396,112.971
258.273,188.285
261.151,213.389
264.029,238.494
266.906,213.389
269.784,188.285
272.662,163.18
275.54,138.075
278.417,138.075
281.295,163.18
284.173,213.389
287.05,238.494
289.928,263.598
292.806,288.703
295.683,364.017
298.561,464.435
301.439,514.644
304.317,539.749
307.194,514.644
310.072,489.54
312.95,439.331
315.827,414.226
318.705,414.226
321.583,414.226
324.46,389.121
327.338,414.226
330.216,439.331
333.094,439.331
335.971,439.331
338.849,439.331
341.727,414.226
344.604,414.226
347.482,414.226
350.36,414.226
353.237,389.121
356.115,389.121
358.993,389.121
361.871,389.121
364.748,389.121
367.626,389.121
370.504,364.017
373.381,338.912
376.259,313.808
379.137,288.703
382.014,288.703
384.892,313.808
387.77,338.912
390.647,338.912
393.525,338.912
396.403,338.912
399.281,238.494
402.158,163.18
405.036,163.18
407.914,138.075
410.791,112.971
413.669,138.075
416.547,138.075
419.424,163.18
422.302,188.285
425.18,213.389
428.058,238.494
430.935,288.703
433.813,364.017
436.691,439.331
439.568,464.435
442.446,489.54
445.324,489.54
448.201,489.54
451.079,514.644
453.957,464.435
456.835,389.121
459.712,263.598
462.59,163.18
465.468,138.075
468.345,138.075
471.223,138.075
474.101,112.971
476.978,138.075
479.856,163.18
482.734,213.389
485.612,313.808
488.489,414.226
491.367,514.644
494.245,615.063
497.122,640.167
500,640.167
502.878,640.167
505.755,640.167
508.633,690.377
511.511,715.481
514.388,715.481
517.266,740.586
520.144,715.481
523.022,690.377
525.899,690.377
528.777,665.272
531.655,690.377
534.532,690.377
537.41,715.481
540.288,715.481
543.165,690.377
546.043,690.377
548.921,690.377
551.799,665.272
554.676,615.063
557.554,589.958
560.432,539.749
563.309,464.435
566.187,439.331
569.065,414.226
571.942,389.121
574.82,364.017
577.698,338.912
580.576,338.912
583.453,364.017
586.331,364.017
589.209,364.017
592.086,414.226
594.964,313.808
597.842,238.494
600.719,213.389
603.597,188.285
606.475,188.285
609.353,188.285
612.23,188.285
615.108,138.075
617.986,87.8661
620.863,87.8661
623.741,87.8661
626.619,87.8661
629.496,87.8661
632.374,112.971
635.252,163.18
638.129,313.808
641.007,439.331
643.885,464.435
646.763,464.435
649.64,439.331
652.518,364.017
655.396,263.598
658.273,238.494
661.151,238.494
664.029,188.285
666.906,138.075
669.784,138.075
672.662,138.075
675.54,188.285
678.417,213.389
681.295,213.389
684.173,263.598
687.05,338.912
689.928,338.912
692.806,414.226
695.683,489.54
698.561,539.749
701.439,665.272
704.317,815.9
707.194,916.318
710.072,966.527
712.95,966.527
715.827,966.527
718.705,916.318
721.583,790.795
724.46,665.272
727.338,589.958
730.216,564.854
733.094,564.854
735.971,564.854
738.849,564.854
741.727,539.749
744.604,489.54
747.482,414.226
750.36,364.017
753.237,364.017
756.115,338.912
758.993,313.808
761.871,263.598
764.748,188.285
767.626,163.18
770.504,138.075
773.381,138.075
776.259,112.971
779.137,138.075
782.014,163.18
784.892,163.18
787.77,188.285
790.647,188.285
793.525,163.18
796.403,112.971
799.281,138.075
802.158,138.075
805.036,163.18
807.914,188.285
810.791,238.494
813.669,313.808
816.547,364.017
819.424,389.121
822.302,439.331
825.18,464.435
828.058,464.435
830.935,514.644
833.813,464.435
836.691,464.435
839.568,414.226
842.446,364.017
845.324,338.912
848.201,313.808
851.079,288.703
853.957,263.598
856.835,263.598
859.712,263.598
862.59,313.808
865.468,364.017
868.345,464.435
871.223,539.749
874.101,589.958
876.978,539.749
879.856,539.749
882.734,514.644
885.612,389.121
888.489,238.494
891.367,163.18
894.245,112.971
897.122,138.075
900,138.075
902.878,163.18
905.755,163.18
908.633,238.494
911.511,389.121
914.388,489.54
917.266,589.958
920.144,640.167
923.022,715.481
925.899,715.481
928.777,715.481
931.655,715.481
934.532,690.377
937.41,665.272
940.288,665.272
943.165,665.272
946.043,640.167
948.921,640.167
951.799,665.272
954.676,715.481
957.554,765.69
960.432,891.213
963.309,841.004
966.187,841.004
969.065,866.109
971.942,891.213
974.82,740.586
977.698,715.481
980.576,640.167
983.453,464.435
986.331,364.017
989.209,313.808
992.086,263.598
994.964,213.389
997.842,188.285
1000.72,188.285
1003.6,188.285
1006.47,188.285
1009.35,213.389
1012.23,213.389
1015.11,213.389
1017.99,213.389
1020.86,188.285
1023.74,188.285
1026.62,188.285
1029.5,188.285
1032.37,188.285
1035.25,188.285
1038.13,188.285
1041.01,188.285
1043.88,188.285
1046.76,213.389
1049.64,238.494
1052.52,288.703
1055.4,338.912
1058.27,338.912
1061.15,338.912
1064.03,313.808
1066.91,263.598
1069.78,263.598
1072.66,213.389
1075.54,188.285
1078.42,163.18
1081.29,163.18
1084.17,163.18
1087.05,163.18
1089.93,213.389
1092.81,263.598
1095.68,338.912
1098.56,338.912
1101.44,338.912
1104.32,338.912
1107.19,338.912
1110.07,338.912
1112.95,313.808
1115.83,213.389
1118.71,163.18
1121.58,112.971
1124.46,163.18
1127.34,213.389
1130.22,238.494
1133.09,288.703
1135.97,313.808
1138.85,313.808
1141.73,338.912
1144.6,288.703
1147.48,213.389
1150.36,188.285
1153.24,188.285
1156.12,188.285
