,GP550R
RamanShit,Intensity
255.636,256.917
258.696,114.625
261.755,67.1937
264.815,67.1937
267.874,67.1937
270.934,67.1937
273.994,67.1937
277.053,67.1937
280.113,67.1937
283.172,114.625
286.232,209.486
289.291,351.779
292.351,494.071
295.411,683.794
298.47,826.087
301.53,920.949
304.589,968.379
307.649,968.379
310.709,920.949
313.768,920.949
316.828,826.087
319.887,778.656
322.947,683.794
326.006,636.364
329.066,636.364
332.126,588.933
335.185,588.933
338.245,541.502
341.304,494.071
344.364,399.209
347.424,494.071
350.483,541.502
353.543,588.933
356.602,636.364
359.662,683.794
362.721,731.225
365.781,683.794
368.841,636.364
371.9,494.071
374.96,351.779
378.019,209.486
381.079,162.055
384.138,114.625
387.198,114.625
390.258,162.055
393.317,162.055
396.377,256.917
399.436,162.055
402.496,162.055
405.556,162.055
408.615,162.055
411.675,162.055
414.734,256.917
417.794,399.209
420.853,256.917
423.913,304.348
426.973,304.348
430.032,351.779
433.092,446.64
436.151,541.502
439.211,683.794
442.271,778.656
445.33,920.949
448.39,968.379
451.449,1063.24
454.509,920.949
457.568,778.656
460.628,399.209
463.688,162.055
466.747,67.1937
469.807,67.1937
472.866,67.1937
475.926,67.1937
478.986,162.055
482.045,256.917
485.105,304.348
488.164,399.209
491.224,494.071
494.283,731.225
497.343,968.379
500.403,1158.1
503.462,1252.96
506.522,1347.83
509.581,1252.96
512.641,1205.53
515.7,1158.1
518.76,1110.67
521.82,1110.67
524.879,1063.24
527.939,1063.24
530.998,1063.24
534.058,1015.81
537.118,968.379
540.177,968.379
543.237,826.087
546.296,920.949
549.356,920.949
552.415,1015.81
555.475,920.949
558.535,873.518
561.594,826.087
564.654,778.656
567.713,731.225
570.773,731.225
573.833,636.364
576.892,636.364
579.952,494.071
583.011,351.779
586.071,256.917
589.13,256.917
592.19,256.917
595.25,304.348
598.309,304.348
601.369,304.348
604.428,351.779
607.488,304.348
610.548,256.917
613.607,209.486
616.667,162.055
619.726,162.055
622.786,114.625
625.845,67.1937
628.905,67.1937
631.965,67.1937
635.024,67.1937
638.084,162.055
641.143,256.917
644.203,304.348
647.262,304.348
650.322,256.917
653.382,209.486
656.441,114.625
659.501,114.625
662.56,67.1937
665.62,67.1937
668.68,67.1937
671.739,67.1937
674.799,114.625
677.858,114.625
680.918,209.486
683.977,351.779
687.037,588.933
690.097,920.949
693.156,1252.96
696.216,1158.1
699.275,1158.1
702.335,1205.53
705.395,1252.96
708.454,1395.26
711.514,1679.84
714.573,1774.7
717.633,1869.57
720.692,1727.27
723.752,1584.98
726.812,1347.83
729.871,1300.4
732.931,1300.4
735.99,1300.4
739.05,1300.4
742.11,1300.4
745.169,1252.96
748.229,1158.1
751.288,920.949
754.348,683.794
757.407,494.071
760.467,446.64
763.527,399.209
766.586,304.348
769.646,209.486
772.705,162.055
775.765,114.625
778.824,67.1937
781.884,19.7628
784.944,19.7628
788.003,19.7628
791.063,19.7628
794.122,19.7628
797.182,19.7628
800.242,19.7628
803.301,19.7628
806.361,19.7628
809.42,67.1937
812.48,114.625
815.539,256.917
818.599,304.348
821.659,494.071
824.718,636.364
827.778,731.225
830.837,778.656
833.897,778.656
836.957,778.656
840.016,731.225
843.076,588.933
846.135,494.071
849.195,446.64
852.254,399.209
855.314,399.209
858.374,304.348
861.433,256.917
864.493,256.917
867.552,256.917
870.612,351.779
873.671,636.364
876.731,873.518
879.791,1063.24
882.85,968.379
885.91,826.087
888.969,778.656
892.029,541.502
895.089,351.779
898.148,209.486
901.208,114.625
904.267,67.1937
907.327,114.625
910.386,209.486
913.446,304.348
916.506,446.64
919.565,683.794
922.625,873.518
925.684,1158.1
928.744,1395.26
931.804,1537.55
934.863,1537.55
937.923,1490.12
940.982,1490.12
944.042,1395.26
947.101,1300.4
950.161,1158.1
953.221,1110.67
956.28,1158.1
959.34,1252.96
962.399,1347.83
965.459,1490.12
968.519,1537.55
971.578,1537.55
974.638,1537.55
977.697,1490.12
980.757,1395.26
983.816,1252.96
986.876,1063.24
989.936,778.656
992.995,541.502
996.055,399.209
999.114,399.209
1002.17,399.209
1005.23,399.209
1008.29,494.071
1011.35,541.502
1014.41,541.502
1017.47,541.502
1020.53,494.071
1023.59,494.071
1026.65,494.071
1029.71,446.64
1032.77,446.64
1035.83,399.209
1038.89,399.209
1041.95,304.348
1045.01,162.055
1048.07,162.055
1051.13,162.055
1054.19,256.917
1057.25,446.64
1060.31,778.656
1063.37,873.518
1066.43,873.518
1069.48,826.087
1072.54,826.087
1075.6,826.087
1078.66,731.225
1081.72,588.933
1084.78,494.071
1087.84,399.209
1090.9,399.209
1093.96,399.209
1097.02,399.209
1100.08,446.64
1103.14,541.502
1106.2,636.364
1109.26,636.364
1112.32,588.933
1115.38,494.071
1118.44,256.917
1121.5,114.625
1124.56,114.625
1127.62,114.625
1130.68,209.486
1133.74,399.209
1136.8,541.502
1139.86,588.933
1142.91,541.502
1145.97,494.071
1149.03,399.209
1152.09,256.917
1155.15,114.625
1158.21,19.7628
1161.27,19.7628
1164.33,19.7628
1167.39,19.7628
1170.45,67.1937
1173.51,209.486
1176.57,304.348
1179.63,494.071
1182.69,731.225
1185.75,1015.81
1188.81,1347.83
1191.87,1774.7
1194.93,2201.58
1197.99,2533.6
1201.05,2675.89
1204.11,2770.75
1207.17,2865.61
1210.23,2723.32
1213.29,2533.6
1216.34,2106.72
1219.4,1632.41
1222.46,1252.96
1225.52,968.379
1228.58,731.225
1231.64,588.933
1234.7,541.502
1237.76,541.502
1240.82,588.933
1243.88,588.933
1246.94,683.794
1250,588.933
1253.06,494.071
1256.12,304.348
1259.18,209.486
1262.24,162.055
1265.3,162.055
1268.36,209.486
1271.42,256.917
1274.48,399.209
1277.54,636.364
1280.6,826.087
1283.66,968.379
1286.71,1063.24
1289.77,1205.53
1292.83,1252.96
1295.89,1442.69
1298.95,1537.55
1302.01,1584.98
1305.07,1537.55
1308.13,1442.69
1311.19,1395.26
1314.25,1347.83
1317.31,1300.4
1320.37,1110.67
1323.43,873.518
1326.49,731.225
1329.55,683.794
1332.61,683.794
1335.67,683.794
1338.73,731.225
1341.79,778.656
1344.85,873.518
1347.91,1063.24
1350.97,1395.26
1354.03,1727.27
1357.09,1822.13
1360.14,1822.13
1363.2,1774.7
1366.26,1679.84
1369.32,1347.83
1372.38,1015.81
1375.44,873.518
1378.5,778.656
1381.56,588.933
1384.62,399.209
1387.68,256.917
1390.74,162.055
1393.8,67.1937
1396.86,67.1937
1399.92,67.1937
1402.98,114.625
1406.04,209.486
1409.1,494.071
1412.16,731.225
1415.22,873.518
1418.28,920.949
1421.34,968.379
1424.4,1158.1
1427.46,1869.57
1430.52,3245.06
1433.57,4857.71
1436.63,6565.22
1439.69,8130.43
1442.75,9268.77
1445.81,9790.51
1448.87,9837.94
1451.93,9980.24
1454.99,9790.51
1458.05,9411.07
1461.11,8557.31
1464.17,7750.99
1467.23,7134.39
1470.29,6612.65
1473.35,6138.34
1476.41,5426.88
1479.47,4525.69
1482.53,3529.64
1485.59,2533.6
1488.65,1584.98
1491.71,873.518
1494.77,446.64
1497.83,209.486
1500.89,67.1937
1503.95,19.7628
1507,-27.668
1510.06,-27.668
1513.12,-27.668
1516.18,-27.668
1519.24,19.7628
1522.3,19.7628
1525.36,19.7628
1528.42,19.7628
1531.48,19.7628
1534.54,19.7628
1537.6,19.7628
1540.66,19.7628
1543.72,19.7628
1546.78,67.1937
1549.84,19.7628
1552.9,19.7628
1555.96,19.7628
1559.02,19.7628
1562.08,19.7628
1565.14,19.7628
1568.2,19.7628
1571.26,19.7628
1574.32,19.7628
1577.38,19.7628
1580.43,19.7628
1583.49,19.7628
1586.55,67.1937
1589.61,67.1937
1592.67,114.625
1595.73,162.055
1598.79,256.917
1601.85,351.779
1604.91,494.071
1607.97,683.794
1611.03,826.087
1614.09,1063.24
1617.15,1158.1
1620.21,1205.53
1623.27,1252.96
1626.33,1442.69
1629.39,1727.27
1632.45,2106.72
1635.51,2581.03
1638.57,3245.06
1641.63,4241.11
1644.69,5332.02
1647.75,5996.05
1650.81,6422.92
1653.86,6090.91
1656.92,6043.48
1659.98,5853.75
1663.04,5379.45
1666.1,4905.14
1669.16,4335.97
1672.22,3671.94
1675.28,2913.04
1678.34,2154.15
1681.4,1537.55
1684.46,1063.24
1687.52,636.364
1690.58,399.209
1693.64,304.348
1696.7,256.917
1699.76,209.486
1702.82,209.486
1705.88,209.486
1708.94,209.486
1712,256.917
1715.06,304.348
1718.12,351.779
1721.18,351.779
1724.24,351.779
1727.29,351.779
1730.35,399.209
1733.41,446.64
1736.47,446.64
1739.53,494.071
1742.59,494.071
1745.65,446.64
1748.71,399.209
1751.77,304.348
1754.83,162.055
1757.89,67.1937
1760.95,19.7628
1764.01,19.7628
1767.07,19.7628
1770.13,19.7628
1773.19,19.7628
1776.25,19.7628
1779.31,67.1937
1782.37,67.1937
1785.43,114.625
1788.49,114.625
1791.55,67.1937
1794.61,67.1937
1797.67,67.1937
1800.72,67.1937
1803.78,67.1937
1806.84,67.1937
1809.9,67.1937
1812.96,67.1937
1816.02,67.1937
1819.08,67.1937
1822.14,67.1937
1825.2,67.1937
1828.26,67.1937
1831.32,67.1937
1834.38,67.1937
1837.44,67.1937
1840.5,19.7628
1843.56,19.7628
1846.62,19.7628
1849.68,19.7628
1852.74,19.7628
1855.8,67.1937
1858.86,67.1937
1861.92,67.1937
1864.98,67.1937
1868.04,67.1937
1871.1,114.625
1874.15,114.625
1877.21,114.625
1880.27,114.625
1883.33,114.625
1886.39,114.625
1889.45,67.1937
1892.51,67.1937
1895.57,67.1937
1898.63,67.1937
1901.69,67.1937
1904.75,114.625
1907.81,114.625
1910.87,114.625
1913.93,114.625
1916.99,114.625
1920.05,67.1937
1923.11,67.1937
1926.17,67.1937
1929.23,67.1937
1932.29,67.1937
1935.35,67.1937
1938.41,114.625
1941.47,114.625
1944.52,114.625
1947.58,114.625
1950.64,114.625
1953.7,114.625
1956.76,114.625
1959.82,114.625
1962.88,114.625
1965.94,114.625
1969,67.1937
1972.06,67.1937
1975.12,67.1937
1978.18,67.1937
1981.24,67.1937
1984.3,67.1937
1987.36,67.1937
1990.42,67.1937
1993.48,67.1937
1996.54,67.1937
1999.6,67.1937
2002.66,67.1937
2005.72,67.1937
2008.78,67.1937
2011.84,19.7628
2014.9,19.7628
2017.95,19.7628
2021.01,19.7628
2024.07,19.7628
2027.13,19.7628
2030.19,19.7628
2033.25,19.7628
2036.31,19.7628
2039.37,19.7628
2042.43,19.7628
2045.49,67.1937
2048.55,67.1937
2051.61,67.1937
2054.67,67.1937
2057.73,67.1937
2060.79,67.1937
2063.85,67.1937
2066.91,67.1937
2069.97,67.1937
2073.03,19.7628
2076.09,19.7628
2079.15,19.7628
2082.21,19.7628
2085.27,19.7628
2088.33,19.7628
2091.38,19.7628
2094.44,67.1937
2097.5,67.1937
2100.56,114.625
2103.62,114.625
2106.68,114.625
2109.74,67.1937
2112.8,67.1937
2115.86,67.1937
2118.92,67.1937
