,GP550R
RamanShit,Intensity
255.636,27.668
258.696,241.107
261.755,454.545
264.815,739.13
267.874,1237.15
270.934,1806.32
273.994,2375.49
277.053,2731.23
280.113,2802.37
283.172,3158.1
286.232,4367.59
289.291,7071.15
292.351,9276.68
295.411,14683.8
298.47,15679.8
301.53,9561.26
304.589,8067.19
307.649,5861.66
310.709,4936.76
313.768,4438.74
316.828,4154.15
319.887,3869.57
322.947,3371.54
326.006,2588.93
329.066,1948.62
332.126,1592.89
335.185,1308.3
338.245,1094.86
341.304,952.569
344.364,810.277
347.424,667.984
350.483,667.984
353.543,596.838
356.602,525.692
359.662,454.545
362.721,454.545
365.781,454.545
368.841,454.545
371.9,454.545
374.96,454.545
378.019,454.545
381.079,525.692
384.138,525.692
387.198,596.838
390.258,596.838
393.317,596.838
396.377,596.838
399.436,667.984
402.496,739.13
405.556,810.277
408.615,952.569
411.675,1166.01
414.734,1877.47
417.794,3869.57
420.853,5363.64
423.913,11980.2
426.973,13260.9
430.032,5363.64
433.092,3727.27
436.151,1379.45
439.211,596.838
442.271,241.107
445.33,98.8142
448.39,-43.4783
451.449,-43.4783
454.509,-43.4783
457.568,-43.4783
460.628,-43.4783
463.688,27.668
466.747,98.8142
469.807,241.107
472.866,454.545
475.926,881.423
478.986,1379.45
482.045,1664.03
485.105,1806.32
488.164,1664.03
491.224,1450.59
494.283,1094.86
497.343,810.277
500.403,525.692
503.462,383.399
506.522,312.253
509.581,169.96
512.641,98.8142
515.7,27.668
518.76,27.668
521.82,27.668
524.879,98.8142
527.939,98.8142
530.998,169.96
534.058,241.107
537.118,383.399
540.177,454.545
543.237,525.692
546.296,596.838
549.356,596.838
552.415,667.984
555.475,667.984
558.535,667.984
561.594,667.984
564.654,667.984
567.713,739.13
570.773,810.277
573.833,810.277
576.892,810.277
579.952,810.277
583.011,881.423
586.071,952.569
589.13,1166.01
592.19,1521.74
595.25,2019.76
598.309,2873.52
601.369,2588.93
604.428,2090.91
607.488,2090.91
610.548,1948.62
613.607,2090.91
616.667,2375.49
619.726,3015.81
622.786,3940.71
625.845,6003.95
628.905,6075.1
631.965,5292.49
635.024,5932.81
638.084,5932.81
641.143,6003.95
644.203,8209.49
647.262,6003.95
650.322,4865.61
653.382,2944.66
656.441,1735.18
659.501,1094.86
662.56,739.13
665.62,596.838
668.68,525.692
671.739,454.545
674.799,312.253
677.858,241.107
680.918,241.107
683.977,98.8142
687.037,98.8142
690.097,27.668
693.156,27.668
696.216,27.668
699.275,27.668
702.335,27.668
705.395,27.668
708.454,27.668
711.514,27.668
714.573,27.668
717.633,27.668
720.692,27.668
723.752,27.668
726.812,27.668
729.871,27.668
732.931,27.668
735.99,27.668
739.05,27.668
742.11,27.668
745.169,27.668
748.229,27.668
751.288,27.668
754.348,27.668
757.407,27.668
760.467,27.668
763.527,27.668
766.586,27.668
769.646,27.668
772.705,27.668
775.765,169.96
778.824,241.107
781.884,383.399
784.944,596.838
788.003,952.569
791.063,1379.45
794.122,1806.32
797.182,2090.91
800.242,2090.91
803.301,2090.91
806.361,1877.47
809.42,1592.89
812.48,1308.3
815.539,1023.72
818.599,810.277
821.659,596.838
824.718,454.545
827.778,454.545
830.837,454.545
833.897,454.545
836.957,454.545
840.016,454.545
843.076,454.545
846.135,525.692
849.195,525.692
852.254,525.692
855.314,596.838
858.374,596.838
861.433,667.984
864.493,739.13
867.552,881.423
870.612,952.569
873.671,1094.86
876.731,1094.86
879.791,1094.86
882.85,1023.72
