,GP550R
RamanShit,Intensity
258.696,98.0392
261.755,294.118
264.815,686.275
267.874,882.353
270.934,1666.67
273.994,2254.9
277.053,2450.98
280.113,2647.06
283.172,3039.22
286.232,4607.84
289.291,8137.25
292.351,11666.7
295.411,18529.4
298.47,19509.8
301.53,12451
304.589,10882.4
307.649,8529.41
310.709,7549.02
313.768,6568.63
316.828,5784.31
319.887,5392.16
322.947,4607.84
326.006,3431.37
329.066,2254.9
332.126,1470.59
335.185,1274.51
338.245,882.353
341.304,686.275
344.364,490.196
347.424,294.118
350.483,294.118
353.543,294.118
356.602,294.118
359.662,294.118
362.721,294.118
365.781,490.196
368.841,490.196
371.9,490.196
374.96,686.275
378.019,686.275
381.079,882.353
384.138,1078.43
387.198,1078.43
390.258,1078.43
393.317,1078.43
396.377,1078.43
399.436,1078.43
402.496,1078.43
405.556,1078.43
408.615,1078.43
411.675,1274.51
414.734,1470.59
417.794,2058.82
420.853,2647.06
423.913,3823.53
426.973,2647.06
430.032,2254.9
433.092,1470.59
436.151,686.275
439.211,294.118
442.271,294.118
445.33,98.0392
448.39,98.0392
451.449,98.0392
454.509,98.0392
457.568,294.118
460.628,294.118
463.688,490.196
466.747,686.275
469.807,1078.43
472.866,1666.67
475.926,2647.06
478.986,3627.45
482.045,4215.69
485.105,4215.69
488.164,4215.69
491.224,4019.61
494.283,3627.45
497.343,3039.22
500.403,2450.98
503.462,1666.67
506.522,1274.51
509.581,882.353
512.641,686.275
515.7,490.196
518.76,294.118
521.82,98.0392
524.879,98.0392
527.939,98.0392
530.998,98.0392
534.058,98.0392
537.118,294.118
540.177,294.118
543.237,294.118
546.296,294.118
549.356,294.118
552.415,490.196
555.475,294.118
558.535,294.118
561.594,294.118
564.654,294.118
567.713,294.118
570.773,294.118
573.833,294.118
576.892,294.118
579.952,294.118
583.011,294.118
586.071,294.118
589.13,294.118
592.19,490.196
595.25,686.275
598.309,882.353
601.369,1078.43
604.428,1078.43
607.488,1274.51
610.548,1470.59
613.607,1666.67
616.667,2647.06
619.726,4215.69
622.786,6568.63
625.845,8333.33
628.905,9117.65
631.965,10098
635.024,10686.3
638.084,12843.1
641.143,15000
644.203,21862.7
647.262,15000
650.322,12254.9
653.382,7156.86
656.441,3823.53
659.501,2254.9
662.56,1470.59
665.62,1078.43
668.68,882.353
671.739,686.275
674.799,490.196
677.858,294.118
680.918,294.118
683.977,294.118
687.037,98.0392
690.097,98.0392
693.156,98.0392
696.216,98.0392
699.275,98.0392
702.335,98.0392
705.395,98.0392
708.454,98.0392
711.514,98.0392
714.573,98.0392
717.633,98.0392
720.692,98.0392
723.752,98.0392
726.812,98.0392
729.871,98.0392
732.931,98.0392
735.99,98.0392
739.05,98.0392
742.11,98.0392
745.169,98.0392
748.229,98.0392
751.288,98.0392
754.348,98.0392
757.407,98.0392
760.467,98.0392
763.527,98.0392
766.586,98.0392
769.646,98.0392
772.705,98.0392
775.765,98.0392
778.824,294.118
781.884,294.118
784.944,294.118
788.003,490.196
791.063,686.275
794.122,882.353
797.182,882.353
800.242,1078.43
803.301,882.353
806.361,882.353
809.42,686.275
812.48,686.275
815.539,490.196
818.599,294.118
821.659,294.118
824.718,98.0392
827.778,98.0392
830.837,98.0392
833.897,98.0392
836.957,98.0392
840.016,98.0392
843.076,98.0392
846.135,98.0392
849.195,98.0392
852.254,98.0392
855.314,294.118
858.374,294.118
861.433,294.118
864.493,490.196
867.552,686.275
870.612,882.353
873.671,882.353
876.731,1078.43
879.791,882.353
882.85,882.353
885.91,882.353
888.969,882.353
892.029,882.353
895.089,882.353
898.148,882.353
901.208,686.275
904.267,686.275
907.327,490.196
910.386,490.196
913.446,294.118
916.506,294.118
919.565,294.118
922.625,294.118
925.684,98.0392
928.744,98.0392
931.804,98.0392
934.863,98.0392
937.923,98.0392
940.982,98.0392
944.042,98.0392
947.101,98.0392
950.161,98.0392
953.221,98.0392
956.28,98.0392
959.34,98.0392
962.399,98.0392
965.459,98.0392
968.519,98.0392
971.578,294.118
974.638,294.118
977.697,490.196
980.757,686.275
983.816,1078.43
986.876,1470.59
989.936,2254.9
992.995,3431.37
996.055,5000
999.114,7941.18
1002.17,12254.9
1005.23,19117.6
1008.29,23431.4
1011.35,26960.8
1014.41,23235.3
1017.47,19509.8
1020.53,12647.1
1023.59,8137.25
1026.65,6372.55
1029.71,5588.24
1032.77,6372.55
1035.83,6764.71
1038.89,8529.41
1041.95,11862.7
1045.01,15000
1048.07,15392.2
1051.13,13823.5
1054.19,13627.5
1057.25,13431.4
1060.31,13039.2
1063.37,10490.2
1066.43,6176.47
1069.48,2843.14
1072.54,1666.67
1075.6,882.353
1078.66,490.196
1081.72,294.118
1084.78,98.0392
1087.84,98.0392
1090.9,98.0392
1093.96,294.118
1097.02,294.118
1100.08,686.275
1103.14,1274.51
1106.2,1862.75
1109.26,2254.9
1112.32,1862.75
1115.38,1666.67
1118.44,1274.51
1121.5,882.353
1124.56,686.275
1127.62,294.118
1130.68,294.118
1133.74,294.118
1136.8,294.118
1139.86,294.118
1142.91,490.196
1145.97,490.196
1149.03,686.275
1152.09,686.275
1155.15,686.275
1158.21,882.353
1161.27,1078.43
1164.33,1274.51
1167.39,1274.51
1170.45,1470.59
1173.51,1274.51
1176.57,1274.51
1179.63,1078.43
1182.69,882.353
1185.75,882.353
1188.81,882.353
1191.87,686.275
1194.93,490.196
1197.99,294.118
1201.05,294.118
1204.11,294.118
1207.17,294.118
1210.23,490.196
1213.29,490.196
1216.34,686.275
1219.4,686.275
1222.46,686.275
1225.52,686.275
1228.58,686.275
1231.64,686.275
1234.7,686.275
1237.76,490.196
1240.82,294.118
1243.88,294.118
1246.94,294.118
1250,294.118
