,GP550R
RamanShit,Intensity
261.878,275.591
264.928,275.591
267.978,275.591
271.027,275.591
274.077,275.591
277.127,275.591
280.177,275.591
283.226,275.591
286.276,275.591
289.326,275.591
292.376,511.811
295.425,511.811
298.475,511.811
301.525,511.811
304.575,511.811
307.624,511.811
310.674,748.031
313.724,748.031
316.774,748.031
319.823,511.811
322.873,511.811
325.923,511.811
328.973,511.811
332.022,275.591
335.072,275.591
338.122,275.591
341.172,275.591
344.222,275.591
347.271,511.811
350.321,748.031
353.371,984.252
356.421,1220.47
359.47,1456.69
362.52,1929.13
365.57,2637.8
368.62,3582.68
371.669,4763.78
374.719,6181.1
377.769,8307.09
380.819,10905.5
383.868,14448.8
386.918,18700.8
389.968,22952.8
393.018,25078.7
396.067,26732.3
399.117,25078.7
402.167,22007.9
405.217,16338.6
408.266,11850.4
411.316,8543.31
414.366,5944.88
417.416,4291.34
420.465,3346.46
423.515,2401.57
426.565,1692.91
429.615,1220.47
432.665,984.252
435.714,748.031
438.764,511.811
441.814,275.591
444.864,275.591
447.913,275.591
450.963,275.591
454.013,275.591
457.063,275.591
460.112,275.591
463.162,275.591
466.212,275.591
469.262,275.591
472.311,275.591
475.361,511.811
478.411,748.031
481.461,984.252
484.51,1220.47
487.56,1692.91
490.61,2165.35
493.66,3110.24
496.709,4291.34
499.759,6181.1
502.809,8779.53
505.859,12322.8
508.909,16574.8
511.958,18700.8
515.008,20354.3
518.058,18700.8
521.108,17519.7
524.157,14448.8
527.207,11141.7
530.257,8779.53
533.307,6889.76
536.356,5236.22
539.406,4291.34
542.456,3110.24
545.506,2165.35
548.555,1692.91
551.605,1456.69
554.655,984.252
557.705,748.031
560.754,511.811
563.804,275.591
566.854,275.591
569.904,275.591
572.953,275.591
576.003,275.591
579.053,275.591
582.103,275.591
585.152,275.591
588.202,275.591
591.252,511.811
594.302,748.031
597.352,984.252
600.401,1456.69
603.451,2165.35
606.501,3110.24
609.551,4527.56
612.6,6181.1
615.65,8543.31
618.7,11850.4
621.75,16574.8
624.799,22952.8
627.849,31220.5
630.899,39252
633.949,43031.5
636.998,43976.4
640.048,45393.7
643.098,42795.3
646.148,39724.4
649.197,32637.8
652.247,25315
655.297,19409.4
658.347,14921.3
661.396,11614.2
664.446,9015.75
667.496,7125.98
670.546,5472.44
673.596,4291.34
676.645,3346.46
679.695,2401.57
682.745,1929.13
685.795,1456.69
688.844,984.252
691.894,748.031
694.944,511.811
697.994,511.811
701.043,275.591
704.093,275.591
