,GP550R
RamanShit,Intensity
260.478,169.811
263.405,169.811
266.333,169.811
269.26,169.811
272.188,169.811
275.116,169.811
278.043,169.811
280.971,433.962
283.898,433.962
286.826,433.962
289.753,433.962
292.681,433.962
295.609,433.962
298.536,433.962
301.464,433.962
304.391,433.962
307.319,433.962
310.247,433.962
313.174,433.962
316.102,433.962
319.029,433.962
321.957,433.962
324.884,433.962
327.812,433.962
330.74,433.962
333.667,433.962
336.595,433.962
339.522,433.962
342.45,433.962
345.378,433.962
348.305,698.113
351.233,698.113
354.16,962.264
357.088,1226.42
360.015,1490.57
362.943,1754.72
365.871,2283.02
368.798,3075.47
371.726,3603.77
374.653,4924.53
377.581,6509.43
380.508,8622.64
383.436,11528.3
386.364,14434
389.291,15754.7
392.219,16811.3
395.146,15490.6
398.074,13641.5
401.002,9943.4
403.929,7037.74
406.857,4924.53
409.784,3603.77
412.712,2547.17
415.639,2018.87
418.567,1490.57
421.495,1226.42
424.422,962.264
427.35,698.113
430.277,433.962
433.205,433.962
436.133,433.962
439.06,433.962
441.988,169.811
444.915,169.811
447.843,169.811
450.77,169.811
453.698,169.811
456.626,169.811
459.553,169.811
462.481,169.811
465.408,169.811
468.336,433.962
471.263,433.962
474.191,433.962
477.119,433.962
480.046,698.113
482.974,962.264
485.901,1490.57
488.829,1754.72
491.757,2283.02
494.684,3339.62
497.612,4660.38
500.539,6773.58
503.467,8358.49
506.394,9679.25
509.322,11000
512.25,12056.6
515.177,11000
518.105,10471.7
521.032,8886.79
523.96,6773.58
526.888,5188.68
529.815,4132.08
532.743,3075.47
535.67,2547.17
538.598,2018.87
541.525,1490.57
544.453,1226.42
547.381,962.264
550.308,698.113
553.236,433.962
556.163,433.962
559.091,433.962
562.018,433.962
564.946,169.811
567.874,169.811
570.801,169.811
573.729,169.811
576.656,169.811
579.584,169.811
582.512,169.811
585.439,433.962
588.367,433.962
591.294,433.962
594.222,962.264
597.149,1226.42
600.077,1754.72
603.005,2283.02
605.932,3339.62
608.86,4660.38
611.787,6509.43
614.715,9150.94
617.643,12849.1
620.57,18132.1
623.498,25264.2
626.425,34245.3
629.353,39792.5
632.28,40849.1
635.208,46660.4
638.136,40584.9
641.063,40320.8
643.991,36094.3
646.918,27905.7
649.846,21037.7
652.773,16018.9
655.701,12056.6
658.629,9415.09
661.556,7301.89
664.484,5716.98
667.411,4396.23
670.339,3339.62
673.267,2547.17
676.194,2018.87
679.122,1754.72
682.049,1226.42
684.977,962.264
687.904,698.113
690.832,433.962
693.76,433.962
696.687,433.962
699.615,433.962
702.542,433.962
705.47,169.811
708.398,169.811
711.325,169.811
714.253,169.811
717.18,169.811
720.108,169.811
723.035,169.811
725.963,169.811
728.891,169.811
731.818,169.811
734.746,169.811
737.673,169.811
740.601,169.811
743.529,169.811
746.456,169.811
749.384,169.811
752.311,169.811
755.239,169.811
