,GP550R
RamanShit,Intensity
261.878,294.118
264.928,294.118
267.978,490.196
271.027,686.275
274.077,1274.51
277.127,2254.9
280.177,3823.53
283.226,7745.1
286.276,10686.3
289.326,14215.7
292.376,10686.3
295.425,10294.1
298.475,7352.94
301.525,4411.76
304.575,3431.37
307.624,3823.53
310.674,4019.61
313.724,5980.39
316.774,8137.25
319.823,11666.7
322.873,8137.25
325.923,7549.02
328.973,5000
332.022,2450.98
335.072,1470.59
338.122,1274.51
341.172,1470.59
344.222,1862.75
347.271,3431.37
350.321,6568.63
353.371,10490.2
356.421,16960.8
359.47,17549
362.52,12058.8
365.57,9901.96
368.62,5980.39
371.669,3431.37
374.719,2058.82
377.769,1470.59
380.819,1078.43
383.868,882.353
386.918,882.353
389.968,882.353
393.018,882.353
396.067,686.275
399.117,490.196
402.167,294.118
405.217,294.118
408.266,294.118
411.316,294.118
414.366,294.118
417.416,294.118
420.465,294.118
423.515,294.118
426.565,294.118
429.615,98.0392
432.665,98.0392
435.714,98.0392
438.764,98.0392
441.814,294.118
444.864,490.196
447.913,1078.43
450.963,2058.82
454.013,1666.67
457.063,882.353
460.112,686.275
463.162,294.118
466.212,294.118
469.262,294.118
472.311,490.196
475.361,686.275
478.411,882.353
481.461,1078.43
484.51,1078.43
487.56,1078.43
490.61,882.353
493.66,686.275
496.709,294.118
499.759,294.118
502.809,294.118
505.859,294.118
508.909,294.118
511.958,294.118
515.008,294.118
518.058,98.0392
521.108,98.0392
524.157,98.0392
527.207,98.0392
530.257,98.0392
533.307,98.0392
536.356,294.118
539.406,490.196
542.456,686.275
545.506,1078.43
548.555,1666.67
551.605,2058.82
554.655,1666.67
557.705,1470.59
560.754,1078.43
563.804,882.353
566.854,882.353
569.904,882.353
572.953,882.353
576.003,686.275
579.053,686.275
582.103,490.196
585.152,294.118
588.202,294.118
591.252,294.118
594.302,294.118
597.352,294.118
600.401,294.118
603.451,294.118
606.501,294.118
609.551,294.118
612.6,294.118
615.65,294.118
618.7,294.118
621.75,294.118
624.799,294.118
627.849,294.118
630.899,294.118
633.949,294.118
636.998,294.118
640.048,294.118
643.098,490.196
646.148,490.196
649.197,490.196
652.247,294.118
655.297,294.118
658.347,98.0392
661.396,98.0392
664.446,98.0392
667.496,294.118
670.546,294.118
673.596,294.118
676.645,490.196
679.695,490.196
682.745,490.196
685.795,686.275
688.844,686.275
691.894,686.275
694.944,686.275
697.994,882.353
701.043,882.353
704.093,1078.43
707.143,1470.59
710.193,1666.67
713.242,1862.75
716.292,1862.75
719.342,1862.75
722.392,1666.67
725.441,1078.43
728.491,686.275
731.541,490.196
734.591,294.118
737.64,294.118
740.69,294.118
743.74,294.118
746.79,294.118
749.839,294.118
752.889,294.118
755.939,294.118
758.989,294.118
762.039,98.0392
765.088,98.0392
768.138,98.0392
771.188,98.0392
774.238,98.0392
777.287,98.0392
780.337,294.118
783.387,294.118
786.437,294.118
789.486,294.118
792.536,490.196
795.586,490.196
798.636,294.118
801.685,294.118
804.735,294.118
807.785,294.118
810.835,294.118
813.884,294.118
816.934,294.118
819.984,294.118
823.034,294.118
826.083,294.118
829.133,294.118
832.183,490.196
835.233,490.196
838.283,294.118
841.332,294.118
844.382,294.118
847.432,98.0392
850.482,98.0392
853.531,98.0392
856.581,98.0392
859.631,98.0392
862.681,98.0392
865.73,98.0392
868.78,98.0392
871.83,98.0392
874.88,98.0392
877.929,98.0392
880.979,294.118
884.029,294.118
887.079,294.118
890.128,490.196
893.178,686.275
896.228,882.353
899.278,1274.51
902.327,1666.67
905.377,2647.06
908.427,4215.69
911.477,7745.1
914.526,14803.9
917.576,19509.8
920.626,25980.4
923.676,19509.8
926.726,15196.1
929.775,8725.49
932.825,5588.24
935.875,4411.76
938.925,4215.69
941.974,4019.61
945.024,4803.92
948.074,5000
951.124,5980.39
954.173,5000
957.223,4019.61
960.273,2450.98
963.323,1470.59
966.372,882.353
969.422,686.275
972.472,490.196
975.522,294.118
978.571,294.118
981.621,98.0392
984.671,98.0392
987.721,98.0392
990.77,98.0392
993.82,98.0392
996.87,98.0392
999.92,98.0392
1002.97,98.0392
1006.02,98.0392
1009.07,294.118
1012.12,490.196
1015.17,490.196
1018.22,490.196
1021.27,686.275
1024.32,490.196
1027.37,490.196
1030.42,490.196
1033.47,294.118
1036.52,294.118
1039.57,294.118
1042.62,294.118
1045.67,294.118
1048.72,294.118
1051.77,294.118
1054.82,490.196
1057.87,882.353
1060.91,1274.51
1063.96,1666.67
1067.01,2058.82
1070.06,1078.43
1073.11,882.353
1076.16,686.275
1079.21,490.196
1082.26,294.118
1085.31,294.118
1088.36,98.0392
1091.41,98.0392
1094.46,98.0392
1097.51,98.0392
1100.56,294.118
1103.61,294.118
1106.66,294.118
1109.71,294.118
1112.76,294.118
1115.81,294.118
1118.86,294.118
1121.91,98.0392
1124.96,98.0392
1128.01,98.0392
1131.06,294.118
1134.11,294.118
1137.16,294.118
1140.21,490.196
1143.26,490.196
1146.31,490.196
1149.36,490.196
1152.41,490.196
1155.46,490.196
1158.51,686.275
1161.56,686.275
1164.61,882.353
1167.66,882.353
1170.71,882.353
1173.76,882.353
1176.81,882.353
1179.86,686.275
1182.91,490.196
1185.96,490.196
1189,294.118
1192.05,294.118
1195.1,294.118
1198.15,294.118
1201.2,98.0392
1204.25,98.0392
1207.3,98.0392
1210.35,294.118
1213.4,294.118
1216.45,294.118
1219.5,294.118
1222.55,490.196
1225.6,490.196
1228.65,490.196
1231.7,294.118
1234.75,294.118
1237.8,294.118
1240.85,294.118
1243.9,294.118
1246.95,294.118
1250,294.118
1253.05,294.118
1256.1,294.118
1259.15,98.0392
1262.2,98.0392
1265.25,98.0392
1268.3,98.0392
1271.35,294.118
1274.4,294.118
1277.45,294.118
1280.5,294.118
1283.55,294.118
1286.6,294.118
1289.65,294.118
1292.7,294.118
1295.75,294.118
1298.8,98.0392
1301.85,98.0392
1304.9,98.0392
1307.95,98.0392
1311,294.118
1314.04,294.118
1317.09,294.118
1320.14,294.118
1323.19,294.118
1326.24,294.118
1329.29,294.118
1332.34,294.118
1335.39,490.196
1338.44,686.275
1341.49,686.275
1344.54,686.275
1347.59,686.275
1350.64,882.353
1353.69,686.275
1356.74,686.275
1359.79,490.196
1362.84,490.196
1365.89,490.196
1368.94,490.196
1371.99,294.118
1375.04,294.118
1378.09,294.118
1381.14,294.118
1384.19,294.118
1387.24,294.118
1390.29,98.0392
1393.34,98.0392
1396.39,294.118
1399.44,294.118
1402.49,294.118
1405.54,294.118
1408.59,294.118
1411.64,294.118
1414.69,294.118
1417.74,294.118
1420.79,294.118
1423.84,294.118
1426.89,294.118
1429.94,98.0392
1432.99,98.0392
1436.04,98.0392
1439.09,98.0392
1442.13,98.0392
1445.18,98.0392
1448.23,98.0392
1451.28,98.0392
1454.33,98.0392
1457.38,98.0392
1460.43,98.0392
1463.48,98.0392
1466.53,98.0392
1469.58,98.0392
1472.63,98.0392
1475.68,98.0392
1478.73,98.0392
1481.78,294.118
1484.83,294.118
1487.88,294.118
1490.93,294.118
1493.98,294.118
1497.03,294.118
1500.08,294.118
1503.13,294.118
1506.18,294.118
1509.23,294.118
1512.28,294.118
1515.33,294.118
1518.38,294.118
1521.43,294.118
1524.48,294.118
1527.53,294.118
1530.58,294.118
1533.63,294.118
1536.68,294.118
1539.73,294.118
1542.78,294.118
1545.83,294.118
1548.88,294.118
1551.93,294.118
1554.98,490.196
1558.03,490.196
1561.08,490.196
1564.13,490.196
1567.17,490.196
1570.22,490.196
1573.27,490.196
1576.32,490.196
1579.37,490.196
1582.42,490.196
1585.47,490.196
1588.52,490.196
1591.57,490.196
1594.62,490.196
1597.67,490.196
1600.72,490.196
1603.77,490.196
1606.82,490.196
1609.87,490.196
1612.92,490.196
1615.97,294.118
1619.02,294.118
1622.07,294.118
1625.12,294.118
1628.17,294.118
1631.22,294.118
1634.27,98.0392
1637.32,98.0392
1640.37,98.0392
1643.42,98.0392
1646.47,98.0392
1649.52,98.0392
1652.57,98.0392
1655.62,98.0392
1658.67,98.0392
1661.72,98.0392
1664.77,98.0392
1667.82,98.0392
1670.87,98.0392
1673.92,294.118
1676.97,294.118
1680.02,294.118
1683.07,294.118
1686.12,294.118
1689.17,294.118
1692.22,294.118
1695.26,294.118
1698.31,294.118
1701.36,294.118
1704.41,294.118
1707.46,294.118
1710.51,294.118
1713.56,98.0392
1716.61,98.0392
1719.66,98.0392
1722.71,98.0392
1725.76,98.0392
1728.81,98.0392
1731.86,294.118
1734.91,294.118
1737.96,98.0392
1741.01,98.0392
1744.06,98.0392
1747.11,98.0392
1750.16,98.0392
1753.21,98.0392
1756.26,98.0392
1759.31,98.0392
1762.36,98.0392
1765.41,98.0392
1768.46,294.118
1771.51,294.118
1774.56,294.118
1777.61,294.118
1780.66,294.118
1783.71,294.118
1786.76,294.118
1789.81,294.118
1792.86,98.0392
1795.91,98.0392
1798.96,98.0392
1802.01,98.0392
1805.06,98.0392
1808.11,294.118
1811.16,294.118
1814.21,294.118
1817.26,294.118
1820.3,294.118
1823.35,98.0392
1826.4,98.0392
1829.45,98.0392
1832.5,98.0392
1835.55,98.0392
1838.6,98.0392
1841.65,98.0392
1844.7,98.0392
1847.75,294.118
1850.8,294.118
1853.85,294.118
1856.9,294.118
1859.95,294.118
1863,294.118
1866.05,294.118
1869.1,294.118
1872.15,294.118
1875.2,294.118
1878.25,98.0392
1881.3,98.0392
1884.35,98.0392
1887.4,98.0392
1890.45,98.0392
1893.5,98.0392
1896.55,98.0392
1899.6,98.0392
1902.65,294.118
1905.7,294.118
1908.75,294.118
1911.8,294.118
1914.85,294.118
1917.9,98.0392
1920.95,98.0392
1924,98.0392
1927.05,98.0392
1930.1,294.118
1933.15,294.118
1936.2,294.118
1939.25,294.118
1942.3,294.118
1945.35,294.118
1948.39,294.118
1951.44,294.118
1954.49,294.118
1957.54,294.118
1960.59,294.118
1963.64,294.118
1966.69,294.118
1969.74,294.118
