,GP550R
RamanShit,Intensity
258.696,866.142
261.755,866.142
264.815,551.181
267.874,551.181
270.934,236.22
273.994,236.22
277.053,236.22
280.113,236.22
283.172,236.22
286.232,551.181
289.291,866.142
292.351,1181.1
295.411,1496.06
298.47,2125.98
301.53,3700.79
304.589,4960.63
307.649,6535.43
310.709,4960.63
313.768,4645.67
316.828,3700.79
319.887,3385.83
322.947,3385.83
326.006,2755.91
329.066,2440.94
332.126,2755.91
335.185,3385.83
338.245,5590.55
341.304,14094.5
344.364,21968.5
347.424,23543.3
350.483,27007.9
353.543,33307.1
356.602,36141.7
359.662,36456.7
362.721,36771.7
365.781,59133.9
368.841,63228.3
371.9,36456.7
374.96,28897.6
378.019,17244.1
381.079,10944.9
384.138,6850.39
387.198,4015.75
390.258,2125.98
393.317,1181.1
396.377,866.142
399.436,551.181
402.496,236.22
405.556,236.22
408.615,236.22
411.675,236.22
414.734,236.22
417.794,236.22
420.853,236.22
423.913,236.22
426.973,236.22
430.032,236.22
433.092,236.22
436.151,236.22
439.211,551.181
442.271,1181.1
445.33,1496.06
448.39,1496.06
451.449,1496.06
454.509,1181.1
457.568,866.142
460.628,551.181
463.688,236.22
466.747,236.22
469.807,236.22
472.866,236.22
475.926,551.181
478.986,1181.1
482.045,2125.98
485.105,3700.79
488.164,4645.67
491.224,5905.51
494.283,4645.67
497.343,4645.67
500.403,4015.75
503.462,4960.63
506.522,7165.35
509.581,10944.9
512.641,20393.7
515.7,21653.5
518.76,11889.8
521.82,8425.2
524.879,4015.75
527.939,2440.94
530.998,1811.02
534.058,1496.06
537.118,1496.06
540.177,1496.06
543.237,1496.06
546.296,1811.02
549.356,1811.02
552.415,1811.02
555.475,1496.06
558.535,1181.1
561.594,866.142
564.654,866.142
567.713,866.142
570.773,866.142
573.833,866.142
576.892,866.142
579.952,551.181
583.011,551.181
586.071,236.22
589.13,236.22
592.19,236.22
595.25,236.22
598.309,236.22
601.369,236.22
604.428,236.22
607.488,236.22
610.548,236.22
613.607,236.22
616.667,236.22
619.726,236.22
622.786,236.22
625.845,236.22
628.905,236.22
631.965,236.22
635.024,236.22
638.084,236.22
641.143,236.22
644.203,236.22
647.262,236.22
650.322,236.22
653.382,236.22
656.441,236.22
659.501,236.22
662.56,236.22
665.62,236.22
668.68,236.22
671.739,236.22
674.799,236.22
677.858,236.22
680.918,236.22
683.977,236.22
687.037,236.22
690.097,236.22
693.156,236.22
696.216,236.22
699.275,236.22
702.335,236.22
705.395,236.22
708.454,236.22
711.514,236.22
714.573,236.22
717.633,236.22
720.692,236.22
723.752,236.22
726.812,236.22
729.871,236.22
732.931,236.22
735.99,236.22
739.05,236.22
742.11,236.22
745.169,236.22
748.229,236.22
751.288,236.22
754.348,236.22
757.407,236.22
760.467,236.22
763.527,236.22
766.586,236.22
769.646,236.22
772.705,236.22
775.765,236.22
778.824,236.22
781.884,236.22
784.944,236.22
788.003,236.22
791.063,551.181
794.122,866.142
797.182,1181.1
800.242,1496.06
803.301,2440.94
806.361,4015.75
809.42,7165.35
812.48,9370.08
815.539,13149.6
818.599,9370.08
821.659,9055.12
824.718,8110.24
827.778,5905.51
830.837,7480.31
833.897,7795.28
836.957,9055.12
840.016,14094.5
843.076,14409.4
846.135,10000
849.195,8740.16
852.254,6850.39
855.314,6535.43
858.374,6850.39
861.433,7480.31
864.493,10629.9
867.552,18189
870.612,23543.3
873.671,45905.5
876.731,51259.8
879.791,22598.4
882.85,15984.3
885.91,6850.39
888.969,3070.87
892.029,1811.02
895.089,1181.1
898.148,866.142
901.208,551.181
904.267,236.22
907.327,236.22
910.386,236.22
913.446,236.22
916.506,236.22
919.565,236.22
922.625,236.22
925.684,236.22
928.744,236.22
931.804,236.22
934.863,236.22
937.923,236.22
940.982,236.22
944.042,236.22
947.101,236.22
950.161,236.22
953.221,236.22
956.28,236.22
959.34,236.22
962.399,236.22
965.459,236.22
968.519,236.22
971.578,236.22
974.638,236.22
977.697,551.181
980.757,551.181
983.816,551.181
986.876,866.142
989.936,1181.1
992.995,1496.06
996.055,1496.06
999.114,1496.06
1002.17,1181.1
1005.23,866.142
1008.29,551.181
1011.35,551.181
1014.41,236.22
1017.47,236.22
1020.53,236.22
1023.59,236.22
1026.65,236.22
1029.71,236.22
1032.77,236.22
1035.83,236.22
1038.89,236.22
1041.95,236.22
1045.01,236.22
1048.07,236.22
1051.13,236.22
1054.19,236.22
1057.25,236.22
1060.31,236.22
1063.37,236.22
1066.43,236.22
1069.48,236.22
1072.54,236.22
1075.6,236.22
1078.66,236.22
1081.72,236.22
1084.78,551.181
1087.84,551.181
1090.9,551.181
1093.96,551.181
1097.02,551.181
1100.08,551.181
1103.14,551.181
1106.2,551.181
1109.26,551.181
1112.32,551.181
1115.38,551.181
1118.44,551.181
1121.5,236.22
1124.56,236.22
1127.62,236.22
1130.68,236.22
1133.74,236.22
1136.8,236.22
1139.86,236.22
1142.91,236.22
1145.97,236.22
1149.03,236.22
1152.09,236.22
1155.15,236.22
1158.21,236.22
1161.27,236.22
1164.33,236.22
1167.39,236.22
1170.45,236.22
1173.51,236.22
1176.57,236.22
1179.63,236.22
1182.69,236.22
1185.75,236.22
1188.81,236.22
1191.87,236.22
1194.93,236.22
1197.99,236.22
1201.05,236.22
1204.11,236.22
1207.17,236.22
1210.23,236.22
1213.29,236.22
1216.34,236.22
1219.4,236.22
1222.46,236.22
1225.52,236.22
1228.58,236.22
1231.64,236.22
1234.7,236.22
1237.76,236.22
1240.82,236.22
1243.88,236.22
1246.94,236.22
1250,236.22
1253.06,236.22
1256.12,236.22
1259.18,236.22
1262.24,236.22
1265.3,236.22
1268.36,236.22
1271.42,236.22
1274.48,236.22
1277.54,236.22
1280.6,236.22
1283.66,236.22
