,GP550R
RamanShit,Intensity
261.878,-177.866
264.928,-177.866
267.978,-177.866
271.027,-177.866
274.077,-177.866
277.127,-177.866
280.177,-177.866
283.226,-177.866
286.276,-177.866
289.326,-177.866
292.376,-177.866
295.425,-177.866
298.475,-177.866
301.525,-177.866
304.575,-177.866
307.624,-177.866
310.674,-177.866
313.724,-177.866
316.774,-177.866
319.823,-177.866
322.873,-177.866
325.923,-177.866
328.973,-177.866
332.022,-177.866
335.072,-177.866
338.122,-177.866
341.172,-177.866
344.222,-177.866
347.271,-177.866
350.321,-177.866
353.371,-177.866
356.421,-177.866
359.47,-177.866
362.52,-177.866
365.57,-177.866
368.62,-177.866
371.669,-177.866
374.719,-177.866
377.769,-177.866
380.819,-177.866
383.868,-177.866
386.918,-177.866
389.968,-177.866
393.018,-177.866
396.067,98.8142
399.117,98.8142
402.167,98.8142
405.217,98.8142
408.266,98.8142
411.316,98.8142
414.366,98.8142
417.416,375.494
420.465,375.494
423.515,652.174
426.565,1205.53
429.615,2312.25
432.665,5079.05
435.714,9505.93
438.764,15316.2
441.814,16146.2
444.864,11719.4
447.913,11719.4
450.963,11166
454.013,9782.61
457.063,6185.77
460.112,3142.29
463.162,1758.89
466.212,1205.53
469.262,928.854
472.311,652.174
475.361,375.494
478.411,375.494
481.461,98.8142
484.51,98.8142
487.56,98.8142
490.61,98.8142
493.66,98.8142
496.709,98.8142
499.759,98.8142
502.809,-177.866
505.859,-177.866
508.909,-177.866
511.958,-177.866
515.008,-177.866
518.058,-177.866
521.108,-177.866
524.157,-177.866
527.207,-177.866
530.257,-177.866
533.307,-177.866
536.356,-177.866
539.406,-177.866
542.456,-177.866
545.506,-177.866
548.555,-177.866
551.605,-177.866
554.655,-177.866
557.705,-177.866
560.754,-177.866
563.804,-177.866
566.854,98.8142
569.904,98.8142
572.953,98.8142
576.003,98.8142
579.053,98.8142
582.103,98.8142
585.152,98.8142
588.202,98.8142
591.252,98.8142
594.302,98.8142
597.352,375.494
600.401,652.174
603.451,1205.53
606.501,1205.53
609.551,1205.53
612.6,928.854
615.65,928.854
618.7,652.174
621.75,375.494
624.799,375.494
627.849,375.494
630.899,375.494
633.949,375.494
636.998,375.494
640.048,652.174
643.098,652.174
646.148,652.174
649.197,375.494
652.247,98.8142
655.297,98.8142
658.347,98.8142
661.396,98.8142
664.446,98.8142
667.496,98.8142
670.546,98.8142
673.596,98.8142
676.645,-177.866
679.695,-177.866
682.745,-177.866
685.795,-177.866
688.844,-177.866
691.894,-177.866
694.944,-177.866
697.994,-177.866
701.043,-177.866
704.093,-177.866
707.143,-177.866
710.193,-177.866
713.242,-177.866
716.292,-177.866
719.342,-177.866
722.392,-177.866
725.441,-177.866
728.491,-177.866
731.541,-177.866
734.591,-177.866
737.64,-177.866
740.69,-177.866
743.74,-177.866
746.79,-177.866
749.839,-177.866
752.889,-177.866
755.939,-177.866
758.989,-177.866
762.039,-177.866
765.088,-177.866
768.138,-177.866
771.188,-177.866
774.238,-177.866
777.287,-177.866
780.337,-177.866
783.387,-177.866
786.437,-177.866
789.486,-177.866
792.536,-177.866
795.586,-177.866
798.636,-177.866
801.685,-177.866
804.735,-177.866
807.785,-177.866
810.835,-177.866
813.884,-177.866
816.934,-177.866
819.984,-177.866
823.034,-177.866
826.083,-177.866
829.133,-177.866
832.183,-177.866
835.233,-177.866
838.283,-177.866
841.332,-177.866
844.382,-177.866
847.432,-177.866
850.482,-177.866
853.531,-177.866
856.581,-177.866
859.631,98.8142
862.681,98.8142
865.73,98.8142
868.78,98.8142
871.83,98.8142
874.88,98.8142
877.929,98.8142
880.979,98.8142
884.029,-177.866
887.079,-177.866
890.128,-177.866
893.178,-177.866
