,GP550R
RamanShit,Intensity
255.636,17.7165
258.696,104.331
261.755,147.638
264.815,190.945
267.874,234.252
270.934,277.559
273.994,277.559
277.053,277.559
280.113,277.559
283.172,277.559
286.232,277.559
289.291,234.252
292.351,190.945
295.411,147.638
298.47,104.331
301.53,104.331
304.589,61.0236
307.649,61.0236
310.709,61.0236
313.768,61.0236
316.828,61.0236
319.887,61.0236
322.947,61.0236
326.006,104.331
329.066,104.331
332.126,147.638
335.185,147.638
338.245,190.945
341.304,190.945
344.364,190.945
347.424,190.945
350.483,190.945
353.543,190.945
356.602,190.945
359.662,147.638
362.721,147.638
365.781,147.638
368.841,147.638
371.9,104.331
374.96,104.331
378.019,104.331
381.079,104.331
384.138,104.331
387.198,104.331
390.258,61.0236
393.317,61.0236
396.377,61.0236
399.436,61.0236
402.496,61.0236
405.556,61.0236
408.615,61.0236
411.675,61.0236
414.734,61.0236
417.794,61.0236
420.853,104.331
423.913,104.331
426.973,104.331
430.032,104.331
433.092,104.331
436.151,104.331
439.211,104.331
442.271,104.331
445.33,104.331
448.39,104.331
451.449,104.331
454.509,104.331
457.568,104.331
460.628,104.331
463.688,104.331
466.747,104.331
469.807,104.331
472.866,61.0236
475.926,61.0236
478.986,61.0236
482.045,61.0236
485.105,61.0236
488.164,61.0236
491.224,104.331
494.283,104.331
497.343,104.331
500.403,104.331
503.462,104.331
506.522,104.331
509.581,104.331
512.641,104.331
515.7,61.0236
518.76,61.0236
521.82,61.0236
524.879,61.0236
527.939,61.0236
530.998,61.0236
534.058,61.0236
537.118,61.0236
540.177,61.0236
543.237,61.0236
546.296,61.0236
549.356,61.0236
552.415,61.0236
555.475,61.0236
558.535,61.0236
561.594,61.0236
564.654,61.0236
567.713,61.0236
570.773,61.0236
573.833,61.0236
576.892,61.0236
579.952,61.0236
583.011,61.0236
586.071,61.0236
589.13,61.0236
592.19,61.0236
595.25,61.0236
598.309,61.0236
601.369,61.0236
604.428,61.0236
607.488,17.7165
610.548,17.7165
613.607,17.7165
616.667,17.7165
619.726,17.7165
622.786,17.7165
625.845,17.7165
628.905,17.7165
631.965,17.7165
635.024,61.0236
638.084,61.0236
641.143,61.0236
644.203,61.0236
647.262,61.0236
650.322,17.7165
653.382,17.7165
656.441,17.7165
659.501,17.7165
662.56,17.7165
665.62,17.7165
668.68,17.7165
671.739,17.7165
674.799,17.7165
677.858,17.7165
680.918,61.0236
683.977,61.0236
