,GP550R
RamanShit,Intensity
258.696,58.8235
261.755,105.882
264.815,105.882
267.874,152.941
270.934,152.941
273.994,200
277.053,200
280.113,247.059
283.172,247.059
286.232,247.059
289.291,247.059
292.351,247.059
295.411,200
298.47,152.941
301.53,152.941
304.589,105.882
307.649,58.8235
310.709,58.8235
313.768,58.8235
316.828,58.8235
319.887,58.8235
322.947,58.8235
326.006,105.882
329.066,105.882
332.126,152.941
335.185,200
338.245,200
341.304,247.059
344.364,247.059
347.424,247.059
350.483,247.059
353.543,247.059
356.602,247.059
359.662,247.059
362.721,247.059
365.781,200
368.841,200
371.9,152.941
374.96,152.941
378.019,105.882
381.079,105.882
384.138,105.882
387.198,105.882
390.258,58.8235
393.317,58.8235
396.377,58.8235
399.436,58.8235
402.496,58.8235
405.556,58.8235
408.615,58.8235
411.675,58.8235
414.734,58.8235
417.794,105.882
420.853,152.941
423.913,152.941
426.973,200
430.032,200
433.092,200
436.151,200
439.211,200
442.271,200
445.33,152.941
448.39,152.941
451.449,152.941
454.509,152.941
457.568,152.941
460.628,152.941
463.688,105.882
466.747,105.882
469.807,105.882
472.866,58.8235
475.926,58.8235
478.986,58.8235
482.045,58.8235
485.105,58.8235
488.164,58.8235
491.224,58.8235
494.283,105.882
497.343,105.882
500.403,105.882
503.462,105.882
506.522,105.882
509.581,105.882
512.641,105.882
515.7,105.882
518.76,58.8235
521.82,58.8235
524.879,58.8235
527.939,58.8235
530.998,58.8235
534.058,58.8235
537.118,58.8235
540.177,58.8235
543.237,58.8235
546.296,58.8235
549.356,58.8235
552.415,58.8235
555.475,58.8235
558.535,58.8235
561.594,58.8235
564.654,58.8235
567.713,58.8235
570.773,58.8235
573.833,58.8235
576.892,105.882
579.952,105.882
583.011,105.882
586.071,105.882
589.13,105.882
592.19,105.882
595.25,58.8235
598.309,58.8235
601.369,58.8235
604.428,58.8235
607.488,58.8235
610.548,58.8235
613.607,58.8235
616.667,58.8235
619.726,58.8235
622.786,58.8235
625.845,11.7647
628.905,11.7647
631.965,11.7647
635.024,11.7647
638.084,11.7647
641.143,58.8235
644.203,58.8235
647.262,58.8235
650.322,58.8235
653.382,58.8235
656.441,11.7647
659.501,11.7647
662.56,11.7647
665.62,11.7647
668.68,11.7647
671.739,11.7647
674.799,11.7647
677.858,11.7647
680.918,58.8235
683.977,58.8235
687.037,58.8235
690.097,58.8235
693.156,58.8235
696.216,58.8235
699.275,58.8235
702.335,105.882
705.395,105.882
708.454,105.882
711.514,105.882
714.573,105.882
717.633,152.941
720.692,152.941
723.752,152.941
726.812,152.941
729.871,152.941
732.931,152.941
735.99,152.941
739.05,152.941
742.11,152.941
745.169,152.941
748.229,152.941
751.288,152.941
754.348,152.941
757.407,200
760.467,200
763.527,247.059
766.586,247.059
769.646,247.059
772.705,247.059
775.765,247.059
778.824,200
781.884,200
784.944,152.941
788.003,152.941
791.063,105.882
794.122,105.882
797.182,58.8235
800.242,58.8235
803.301,58.8235
806.361,58.8235
809.42,58.8235
812.48,58.8235
815.539,58.8235
818.599,11.7647
821.659,11.7647
824.718,11.7647
827.778,11.7647
830.837,11.7647
833.897,11.7647
836.957,11.7647
840.016,11.7647
843.076,11.7647
846.135,11.7647
849.195,11.7647
852.254,11.7647
855.314,11.7647
858.374,11.7647
861.433,11.7647
864.493,11.7647
867.552,11.7647
870.612,11.7647
873.671,11.7647
876.731,11.7647
879.791,11.7647
882.85,11.7647
885.91,11.7647
888.969,11.7647
892.029,11.7647
895.089,11.7647
898.148,11.7647
901.208,11.7647
904.267,11.7647
907.327,11.7647
910.386,11.7647
913.446,11.7647
916.506,11.7647
919.565,11.7647
922.625,11.7647
925.684,11.7647
928.744,11.7647
931.804,11.7647
934.863,11.7647
937.923,11.7647
940.982,58.8235
944.042,58.8235
947.101,58.8235
950.161,105.882
953.221,152.941
956.28,388.235
959.34,576.471
962.399,1094.12
965.459,576.471
968.519,482.353
971.578,247.059
974.638,105.882
977.697,58.8235
980.757,58.8235
983.816,58.8235
986.876,11.7647
989.936,11.7647
992.995,11.7647
996.055,11.7647
999.114,11.7647
1002.17,11.7647
1005.23,11.7647
1008.29,11.7647
1011.35,11.7647
1014.41,11.7647
1017.47,11.7647
1020.53,11.7647
1023.59,11.7647
1026.65,11.7647
1029.71,58.8235
1032.77,58.8235
1035.83,58.8235
1038.89,58.8235
1041.95,58.8235
1045.01,58.8235
1048.07,58.8235
1051.13,58.8235
1054.19,58.8235
1057.25,58.8235
1060.31,58.8235
1063.37,58.8235
1066.43,58.8235
1069.48,58.8235
1072.54,58.8235
1075.6,58.8235
1078.66,58.8235
1081.72,58.8235
1084.78,11.7647
1087.84,11.7647
1090.9,11.7647
1093.96,11.7647
1097.02,11.7647
1100.08,11.7647
1103.14,11.7647
1106.2,11.7647
1109.26,11.7647
1112.32,11.7647
1115.38,11.7647
1118.44,11.7647
1121.5,11.7647
1124.56,11.7647
1127.62,58.8235
1130.68,58.8235
1133.74,58.8235
1136.8,58.8235
1139.86,105.882
1142.91,105.882
1145.97,58.8235
1149.03,58.8235
1152.09,58.8235
1155.15,11.7647
1158.21,11.7647
1161.27,11.7647
1164.33,11.7647
1167.39,11.7647
1170.45,58.8235
1173.51,247.059
1176.57,670.588
1179.63,1188.24
1182.69,1988.24
1185.75,2929.41
1188.81,3870.59
1191.87,4811.76
1194.93,5611.76
1197.99,6223.53
1201.05,6647.06
1204.11,6882.35
1207.17,6929.41
1210.23,6929.41
1213.29,6882.35
1216.34,6882.35
1219.4,6882.35
1222.46,6882.35
1225.52,6882.35
1228.58,6882.35
1231.64,6929.41
1234.7,7023.53
1237.76,7117.65
1240.82,7305.88
1243.88,7635.29
1246.94,8011.76
1250,8200
1253.06,8388.24
1256.12,8341.18
1259.18,8152.94
1262.24,7823.53
1265.3,7258.82
1268.36,6741.18
1271.42,6505.88
1274.48,6317.65
1277.54,6505.88
1280.6,6788.24
1283.66,7494.12
1286.71,8388.24
1289.77,8811.76
1292.83,9188.24
1295.89,8811.76
1298.95,8388.24
1302.01,7305.88
1305.07,5752.94
1308.13,4247.06
1311.19,3117.65
1314.25,2176.47
1317.31,1470.59
1320.37,952.941
1323.43,576.471
1326.49,294.118
1329.55,152.941
1332.61,105.882
1335.67,152.941
1338.73,200
1341.79,341.176
1344.85,623.529
1347.91,1000
1350.97,1329.41
1354.03,1658.82
1357.09,1988.24
1360.14,2411.76
1363.2,2600
1366.26,2788.24
1369.32,2600
1372.38,2458.82
1375.44,2082.35
1378.5,1611.76
1381.56,1329.41
1384.62,1235.29
1387.68,1329.41
1390.74,1658.82
1393.8,2364.71
1396.86,3400
1399.92,4576.47
1402.98,5847.06
1406.04,7211.76
1409.1,8388.24
1412.16,9329.41
1415.22,10082.4
1418.28,10411.8
1421.34,10788.2
1424.4,10694.1
1427.46,10364.7
1430.52,9988.24
1433.57,9282.35
1436.63,8529.41
1439.69,7776.47
1442.75,7164.71
1445.81,6647.06
1448.87,6129.41
1451.93,5658.82
1454.99,5141.18
1458.05,4623.53
1461.11,4058.82
1464.17,3541.18
1467.23,3070.59
1470.29,2600
1473.35,2176.47
1476.41,1752.94
1479.47,1282.35
1482.53,905.882
1485.59,576.471
1488.65,341.176
1491.71,341.176
1494.77,388.235
1497.83,529.412
1500.89,764.706
1503.95,1141.18
1507,1658.82
1510.06,2270.59
1513.12,2976.47
1516.18,3776.47
1519.24,4576.47
1522.3,5423.53
1525.36,6176.47
1528.42,6882.35
1531.48,7494.12
1534.54,7776.47
1537.6,7964.71
1540.66,7776.47
1543.72,7682.35
1546.78,7164.71
1549.84,6411.76
1552.9,5658.82
1555.96,4764.71
1559.02,3917.65
1562.08,3117.65
1565.14,2364.71
1568.2,1800
1571.26,1329.41
1574.32,905.882
1577.38,576.471
1580.43,341.176
1583.49,152.941
1586.55,58.8235
1589.61,11.7647
1592.67,11.7647
1595.73,11.7647
1598.79,11.7647
1601.85,11.7647
1604.91,11.7647
1607.97,11.7647
1611.03,58.8235
1614.09,105.882
1617.15,152.941
1620.21,341.176
1623.27,529.412
1626.33,764.706
1629.39,1047.06
1632.45,1329.41
1635.51,1611.76
1638.57,1941.18
1641.63,2270.59
1644.69,2647.06
1647.75,3070.59
1650.81,3447.06
1653.86,3870.59
1656.92,4341.18
1659.98,4811.76
1663.04,5376.47
1666.1,6082.35
1669.16,6788.24
1672.22,7400
1675.28,7917.65
1678.34,8388.24
1681.4,8623.53
1684.46,8764.71
1687.52,8623.53
1690.58,8529.41
1693.64,8152.94
1696.7,7541.18
1699.76,6835.29
1702.82,6129.41
1705.88,5329.41
1708.94,4623.53
1712,3964.71
1715.06,3305.88
1718.12,2694.12
1721.18,2223.53
1724.24,1752.94
1727.29,1329.41
1730.35,952.941
1733.41,717.647
1736.47,482.353
1739.53,294.118
1742.59,152.941
1745.65,152.941
1748.71,152.941
1751.77,200
1754.83,341.176
1757.89,529.412
1760.95,811.765
1764.01,1141.18
1767.07,1423.53
1770.13,1752.94
1773.19,1988.24
1776.25,2270.59
1779.31,2552.94
1782.37,2741.18
1785.43,2929.41
1788.49,3211.76
1791.55,3494.12
1794.61,3776.47
1797.67,4152.94
1800.72,4529.41
1803.78,4811.76
1806.84,4905.88
1809.9,5047.06
1812.96,4858.82
1816.02,4717.65
1819.08,4247.06
1822.14,3635.29
1825.2,3023.53
1828.26,2364.71
1831.32,1800
1834.38,1282.35
1837.44,858.824
1840.5,482.353
1843.56,294.118
1846.62,152.941
1849.68,105.882
1852.74,58.8235
1855.8,58.8235
1858.86,58.8235
1861.92,58.8235
1864.98,58.8235
1868.04,58.8235
1871.1,58.8235
1874.15,58.8235
1877.21,58.8235
1880.27,58.8235
1883.33,58.8235
1886.39,11.7647
1889.45,11.7647
1892.51,11.7647
1895.57,11.7647
1898.63,11.7647
1901.69,11.7647
1904.75,58.8235
1907.81,58.8235
1910.87,58.8235
1913.93,58.8235
1916.99,58.8235
1920.05,58.8235
1923.11,58.8235
1926.17,58.8235
1929.23,58.8235
1932.29,58.8235
1935.35,105.882
1938.41,152.941
1941.47,152.941
1944.52,200
1947.58,247.059
1950.64,247.059
1953.7,247.059
1956.76,247.059
1959.82,247.059
1962.88,200
1965.94,200
1969,152.941
1972.06,105.882
1975.12,58.8235
1978.18,58.8235
1981.24,58.8235
1984.3,58.8235
1987.36,58.8235
1990.42,58.8235
1993.48,58.8235
1996.54,58.8235
1999.6,58.8235
2002.66,58.8235
2005.72,58.8235
2008.78,58.8235
2011.84,58.8235
2014.9,58.8235
2017.95,58.8235
2021.01,58.8235
2024.07,58.8235
2027.13,58.8235
2030.19,58.8235
2033.25,58.8235
2036.31,58.8235
2039.37,58.8235
2042.43,58.8235
2045.49,58.8235
2048.55,58.8235
2051.61,58.8235
2054.67,58.8235
2057.73,58.8235
2060.79,58.8235
2063.85,58.8235
2066.91,58.8235
2069.97,58.8235
2073.03,58.8235
2076.09,58.8235
2079.15,58.8235
2082.21,105.882
2085.27,105.882
2088.33,105.882
2091.38,58.8235
2094.44,58.8235
2097.5,58.8235
2100.56,58.8235
2103.62,58.8235
2106.68,58.8235
2109.74,58.8235
2112.8,58.8235
2115.86,58.8235
2118.92,105.882
2121.98,105.882
2125.04,152.941
2128.1,152.941
2131.16,200
2134.22,200
2137.28,247.059
2140.34,247.059
2143.4,247.059
2146.46,247.059
2149.52,247.059
2152.58,200
2155.64,200
2158.7,105.882
2161.76,58.8235
2164.81,58.8235
2167.87,58.8235
2170.93,58.8235
2173.99,58.8235
2177.05,105.882
2180.11,105.882
2183.17,105.882
2186.23,105.882
2189.29,105.882
2192.35,105.882
2195.41,105.882
2198.47,105.882
2201.53,105.882
2204.59,152.941
2207.65,200
2210.71,247.059
2213.77,294.118
2216.83,388.235
2219.89,482.353
2222.95,576.471
2226.01,576.471
2229.07,576.471
2232.13,576.471
2235.19,576.471
2238.24,623.529
2241.3,717.647
2244.36,764.706
2247.42,811.765
2250.48,858.824
2253.54,858.824
2256.6,858.824
2259.66,905.882
2262.72,952.941
2265.78,1000
2268.84,1047.06
2271.9,1141.18
2274.96,1235.29
2278.02,1235.29
2281.08,1282.35
2284.14,1329.41
2287.2,1423.53
2290.26,1282.35
2293.32,1188.24
2296.38,1141.18
