,GP550R
RamanShit,Intensity
258.828,294.118
261.878,568.627
264.928,843.137
267.978,1117.65
271.027,1117.65
274.077,843.137
277.127,843.137
280.177,843.137
283.226,843.137
286.276,1392.16
289.326,2215.69
292.376,3862.75
295.425,4960.78
298.475,5235.29
301.525,5235.29
304.575,5235.29
307.624,5509.8
310.674,5509.8
313.724,5784.31
316.774,6333.33
319.823,6607.84
322.873,6607.84
325.923,6333.33
328.973,6333.33
332.022,6058.82
335.072,6058.82
338.122,6058.82
341.172,5509.8
344.222,4137.25
347.271,2764.71
350.321,1666.67
353.371,1117.65
356.421,843.137
359.47,294.118
362.52,294.118
365.57,294.118
368.62,294.118
371.669,568.627
374.719,568.627
377.769,568.627
380.819,568.627
383.868,568.627
386.918,843.137
389.968,1117.65
393.018,2215.69
396.067,3039.22
399.117,3313.73
402.167,3313.73
405.217,3039.22
408.266,3039.22
411.316,3039.22
414.366,3039.22
417.416,3313.73
420.465,4686.27
423.515,7705.88
426.565,12372.5
429.615,22254.9
432.665,23352.9
435.714,14294.1
438.764,11000
441.814,5509.8
444.864,2490.2
447.913,1117.65
450.963,568.627
454.013,294.118
457.063,294.118
460.112,294.118
463.162,294.118
466.212,294.118
469.262,294.118
472.311,1117.65
475.361,2764.71
478.411,6333.33
481.461,9352.94
484.51,17313.7
487.56,18960.8
490.61,9352.94
493.66,7156.86
496.709,3862.75
499.759,2215.69
502.809,1941.18
505.859,1392.16
508.909,1117.65
511.958,843.137
515.008,843.137
518.058,843.137
521.108,1117.65
524.157,1941.18
527.207,3588.24
530.257,5509.8
533.307,8254.9
536.356,9627.45
539.406,11000
542.456,9627.45
545.506,9352.94
548.555,8529.41
551.605,7431.37
554.655,6882.35
557.705,6882.35
560.754,7156.86
563.804,7431.37
566.854,8803.92
569.904,11549
572.953,15666.7
576.003,22254.9
579.053,31039.2
582.103,35980.4
585.152,41470.6
588.202,35705.9
591.252,30215.7
594.302,20058.8
597.352,12647.1
600.401,7980.39
603.451,4960.78
606.501,3039.22
609.551,1941.18
612.6,1117.65
615.65,568.627
618.7,294.118
621.75,294.118
624.799,294.118
627.849,294.118
630.899,294.118
633.949,294.118
636.998,568.627
640.048,843.137
643.098,1117.65
646.148,1392.16
649.197,1941.18
652.247,2490.2
655.297,3039.22
658.347,3862.75
661.396,4411.76
664.446,4411.76
667.496,4411.76
670.546,3862.75
673.596,3039.22
676.645,2215.69
679.695,1392.16
682.745,1117.65
685.795,843.137
688.844,568.627
691.894,294.118
694.944,294.118
697.994,294.118
701.043,294.118
704.093,294.118
707.143,294.118
710.193,294.118
713.242,294.118
716.292,294.118
719.342,294.118
722.392,294.118
725.441,294.118
728.491,294.118
731.541,294.118
734.591,294.118
737.64,294.118
740.69,19.6078
743.74,19.6078
746.79,19.6078
749.839,19.6078
752.889,294.118
755.939,294.118
758.989,294.118
762.039,294.118
765.088,294.118
768.138,294.118
771.188,294.118
774.238,294.118
777.287,294.118
780.337,568.627
783.387,568.627
786.437,843.137
789.486,1117.65
792.536,1392.16
795.586,1392.16
798.636,1117.65
801.685,568.627
804.735,568.627
807.785,294.118
810.835,294.118
813.884,294.118
816.934,294.118
819.984,294.118
823.034,294.118
826.083,294.118
829.133,294.118
832.183,294.118
835.233,294.118
838.283,294.118
841.332,568.627
844.382,568.627
847.432,568.627
850.482,568.627
853.531,568.627
856.581,568.627
