,GP550R
RamanShit,Intensity
264.928,592.885
267.978,1225.3
271.027,1541.5
274.077,1857.71
277.127,1857.71
280.177,1541.5
283.226,1541.5
286.276,1225.3
289.326,909.091
292.376,592.885
295.425,276.68
298.475,276.68
301.525,-39.5257
304.575,-39.5257
307.624,-39.5257
310.674,-39.5257
313.724,-39.5257
316.774,-39.5257
319.823,-39.5257
322.873,-39.5257
325.923,-39.5257
328.973,-39.5257
332.022,-39.5257
335.072,-39.5257
338.122,-39.5257
341.172,-39.5257
344.222,-39.5257
347.271,-39.5257
350.321,-39.5257
353.371,-39.5257
356.421,-39.5257
359.47,-39.5257
362.52,-39.5257
365.57,-39.5257
368.62,-39.5257
371.669,-39.5257
374.719,-39.5257
377.769,-39.5257
380.819,-39.5257
383.868,-39.5257
386.918,-39.5257
389.968,-39.5257
393.018,-39.5257
396.067,-39.5257
399.117,-39.5257
402.167,-39.5257
405.217,-39.5257
408.266,-39.5257
411.316,-39.5257
414.366,-39.5257
417.416,-39.5257
420.465,-39.5257
423.515,-39.5257
426.565,-39.5257
429.615,-39.5257
432.665,-39.5257
435.714,-39.5257
438.764,-39.5257
441.814,-39.5257
444.864,-39.5257
447.913,-39.5257
450.963,-39.5257
454.013,-39.5257
457.063,-39.5257
460.112,-39.5257
463.162,-39.5257
466.212,-39.5257
469.262,-39.5257
472.311,-39.5257
475.361,-39.5257
478.411,-39.5257
481.461,-39.5257
484.51,-39.5257
487.56,-39.5257
490.61,-39.5257
493.66,-39.5257
496.709,-39.5257
499.759,-39.5257
502.809,-39.5257
505.859,-39.5257
508.909,-39.5257
511.958,-39.5257
515.008,-39.5257
518.058,-39.5257
521.108,-39.5257
524.157,-39.5257
527.207,-39.5257
530.257,-39.5257
533.307,-39.5257
536.356,-39.5257
539.406,-39.5257
542.456,-39.5257
545.506,-39.5257
548.555,-39.5257
551.605,-39.5257
554.655,-39.5257
557.705,-39.5257
560.754,-39.5257
563.804,-39.5257
566.854,-39.5257
569.904,-39.5257
572.953,-39.5257
576.003,-39.5257
579.053,-39.5257
582.103,-39.5257
585.152,-39.5257
588.202,-39.5257
591.252,-39.5257
594.302,-39.5257
597.352,-39.5257
600.401,-39.5257
603.451,-39.5257
606.501,-39.5257
609.551,-39.5257
612.6,-39.5257
615.65,-39.5257
618.7,-39.5257
621.75,-39.5257
624.799,-39.5257
627.849,-39.5257
630.899,-39.5257
633.949,-39.5257
636.998,-39.5257
640.048,-39.5257
643.098,-39.5257
646.148,-39.5257
649.197,-39.5257
652.247,-39.5257
655.297,-39.5257
658.347,-39.5257
661.396,-39.5257
664.446,-39.5257
667.496,-39.5257
670.546,-39.5257
673.596,-39.5257
676.645,-39.5257
679.695,-39.5257
682.745,-39.5257
685.795,-39.5257
688.844,276.68
691.894,592.885
694.944,909.091
697.994,2806.32
701.043,4387.35
704.093,8814.23
707.143,4387.35
710.193,3754.94
713.242,1857.71
716.292,592.885
719.342,276.68
722.392,276.68
725.441,-39.5257
728.491,-39.5257
731.541,-39.5257
734.591,-39.5257
737.64,-39.5257
740.69,-39.5257
743.74,-39.5257
746.79,-39.5257
749.839,-39.5257
752.889,-39.5257
755.939,-39.5257
758.989,-39.5257
762.039,-39.5257
765.088,-39.5257
768.138,-39.5257
771.188,-39.5257
774.238,-39.5257
777.287,-39.5257
780.337,-39.5257
783.387,-39.5257
786.437,-39.5257
789.486,-39.5257
792.536,-39.5257
795.586,-39.5257
798.636,-39.5257
801.685,-39.5257
804.735,-39.5257
807.785,-39.5257
810.835,-39.5257
813.884,-39.5257
816.934,-39.5257
819.984,-39.5257
823.034,-39.5257
826.083,-39.5257
829.133,-39.5257
832.183,-39.5257
835.233,-39.5257
838.283,-39.5257
841.332,-39.5257
844.382,-39.5257
847.432,-39.5257
850.482,-39.5257
853.531,-39.5257
856.581,-39.5257
859.631,-39.5257
862.681,-39.5257
865.73,-39.5257
868.78,-39.5257
871.83,-39.5257
874.88,-39.5257
877.929,-39.5257
880.979,-39.5257
884.029,-39.5257
887.079,-39.5257
