,GP550R
RamanShit,Intensity
258.696,181.818
261.755,371.542
264.815,750.988
267.874,1509.88
270.934,1952.57
273.994,2395.26
277.053,1952.57
280.113,1826.09
283.172,1636.36
286.232,1383.4
289.291,1636.36
292.351,1699.6
295.411,2015.81
298.47,2521.74
301.53,2837.94
304.589,3154.15
307.649,2837.94
310.709,2711.46
313.768,2584.98
316.828,2521.74
319.887,2395.26
322.947,2079.05
326.006,1636.36
329.066,1446.64
332.126,1573.12
335.185,1636.36
338.245,2142.29
341.304,3849.8
344.364,3976.28
347.424,2711.46
350.483,2584.98
353.543,2079.05
356.602,1130.43
359.662,371.542
362.721,118.577
365.781,118.577
368.841,181.818
371.9,245.059
374.96,308.3
378.019,434.783
381.079,814.229
384.138,1762.85
387.198,2395.26
390.258,3090.91
393.317,2395.26
396.377,2332.02
399.436,1762.85
402.496,1193.68
405.556,1003.95
408.615,1193.68
411.675,1573.12
414.734,2079.05
417.794,2268.77
420.853,2268.77
423.913,2268.77
426.973,2268.77
430.032,2205.53
433.092,1952.57
436.151,1446.64
439.211,940.711
442.271,750.988
445.33,624.506
448.39,308.3
451.449,118.577
454.509,55.336
457.568,55.336
460.628,118.577
463.688,308.3
466.747,624.506
469.807,940.711
472.866,1383.4
475.926,2205.53
478.986,3786.56
482.045,7011.86
485.105,7328.06
488.164,4671.94
491.224,3596.84
494.283,2205.53
497.343,1826.09
500.403,1762.85
503.462,1573.12
506.522,1446.64
509.581,1383.4
512.641,1193.68
515.7,750.988
518.76,371.542
521.82,181.818
524.879,181.818
527.939,181.818
530.998,245.059
534.058,371.542
537.118,687.747
540.177,624.506
543.237,687.747
546.296,687.747
549.356,750.988
552.415,814.229
555.475,1003.95
558.535,1193.68
561.594,1256.92
564.654,1256.92
567.713,1320.16
570.773,1320.16
573.833,1509.88
576.892,1320.16
579.952,1320.16
583.011,1320.16
586.071,1320.16
589.13,1256.92
592.19,1003.95
595.25,687.747
598.309,624.506
601.369,561.265
604.428,687.747
607.488,877.47
610.548,1320.16
613.607,1636.36
616.667,1826.09
619.726,2268.77
622.786,1699.6
625.845,1383.4
628.905,687.747
631.965,434.783
635.024,371.542
638.084,371.542
641.143,371.542
644.203,371.542
647.262,308.3
650.322,245.059
653.382,118.577
656.441,118.577
659.501,118.577
662.56,181.818
665.62,434.783
668.68,877.47
671.739,1446.64
674.799,1699.6
677.858,2142.29
680.918,1636.36
683.977,1383.4
687.037,1067.19
690.097,940.711
693.156,1067.19
696.216,1130.43
699.275,1383.4
702.335,2521.74
705.395,4482.21
708.454,7201.58
711.514,11818.2
714.573,12197.6
717.633,8592.89
720.692,6948.62
723.752,4166.01
726.812,2521.74
729.871,1573.12
732.931,1130.43
735.99,814.229
739.05,624.506
742.11,561.265
745.169,434.783
748.229,434.783
751.288,434.783
754.348,498.024
757.407,561.265
760.467,814.229
763.527,940.711
766.586,1130.43
769.646,940.711
772.705,877.47
775.765,750.988
778.824,498.024
781.884,308.3
784.944,181.818
788.003,118.577
791.063,118.577
794.122,55.336
797.182,55.336
800.242,55.336
803.301,181.818
806.361,308.3
809.42,434.783
812.48,498.024
815.539,561.265
818.599,434.783
821.659,434.783
824.718,308.3
827.778,245.059
830.837,245.059
833.897,245.059
836.957,245.059
840.016,245.059
843.076,245.059
846.135,245.059
849.195,245.059
852.254,245.059
855.314,245.059
858.374,245.059
861.433,181.818
864.493,181.818
867.552,118.577
870.612,55.336
873.671,55.336
876.731,55.336
879.791,55.336
882.85,55.336
885.91,118.577
888.969,181.818
892.029,434.783
895.089,687.747
898.148,814.229
901.208,877.47
904.267,750.988
907.327,687.747
910.386,498.024
913.446,308.3
916.506,181.818
919.565,181.818
922.625,181.818
925.684,245.059
928.744,371.542
931.804,498.024
934.863,498.024
937.923,561.265
940.982,624.506
944.042,940.711
947.101,1573.12
950.161,2205.53
953.221,2901.19
956.28,3596.84
959.34,4229.25
962.399,5620.55
965.459,5810.28
968.519,4292.49
971.578,3976.28
974.638,3596.84
977.697,3533.6
980.757,3407.11
983.816,2964.43
986.876,2268.77
989.936,1889.33
992.995,1699.6
996.055,1826.09
999.114,1826.09
1002.17,1826.09
1005.23,2142.29
1008.29,1762.85
1011.35,1446.64
1014.41,814.229
1017.47,434.783
1020.53,245.059
1023.59,181.818
1026.65,118.577
1029.71,118.577
1032.77,55.336
1035.83,55.336
1038.89,118.577
1041.95,181.818
1045.01,181.818
1048.07,245.059
1051.13,308.3
1054.19,371.542
1057.25,434.783
1060.31,434.783
1063.37,371.542
1066.43,371.542
1069.48,371.542
1072.54,371.542
1075.6,434.783
1078.66,561.265
1081.72,561.265
1084.78,687.747
1087.84,498.024
1090.9,498.024
1093.96,434.783
1097.02,371.542
1100.08,371.542
1103.14,371.542
1106.2,371.542
1109.26,308.3
1112.32,308.3
1115.38,181.818
1118.44,55.336
1121.5,55.336
1124.56,55.336
1127.62,118.577
1130.68,181.818
1133.74,308.3
1136.8,434.783
1139.86,624.506
1142.91,814.229
1145.97,940.711
1149.03,1130.43
1152.09,1256.92
1155.15,1320.16
1158.21,1509.88
1161.27,1762.85
1164.33,2015.81
1167.39,2015.81
1170.45,2142.29
1173.51,1952.57
1176.57,1699.6
1179.63,1256.92
1182.69,877.47
1185.75,561.265
1188.81,308.3
1191.87,245.059
1194.93,181.818
1197.99,55.336
1201.05,55.336
1204.11,118.577
1207.17,181.818
1210.23,308.3
1213.29,434.783
1216.34,561.265
1219.4,750.988
1222.46,814.229
1225.52,877.47
1228.58,877.47
1231.64,814.229
1234.7,687.747
1237.76,624.506
1240.82,561.265
1243.88,434.783
1246.94,308.3
1250,181.818
1253.06,181.818
1256.12,181.818
1259.18,118.577
1262.24,118.577
1265.3,118.577
1268.36,181.818
1271.42,245.059
1274.48,371.542
1277.54,498.024
1280.6,624.506
1283.66,687.747
1286.71,687.747
1289.77,624.506
1292.83,498.024
1295.89,308.3
1298.95,181.818
1302.01,118.577
1305.07,118.577
1308.13,118.577
1311.19,118.577
1314.25,181.818
1317.31,181.818
1320.37,245.059
1323.43,308.3
1326.49,371.542
1329.55,498.024
1332.61,561.265
1335.67,877.47
1338.73,1193.68
1341.79,1383.4
1344.85,1509.88
1347.91,1509.88
1350.97,1509.88
1354.03,1446.64
1357.09,1256.92
1360.14,1067.19
1363.2,877.47
1366.26,687.747
1369.32,561.265
1372.38,371.542
1375.44,371.542
1378.5,308.3
1381.56,181.818
1384.62,181.818
1387.68,118.577
1390.74,118.577
1393.8,118.577
1396.86,181.818
1399.92,245.059
1402.98,308.3
1406.04,308.3
1409.1,371.542
1412.16,371.542
1415.22,371.542
1418.28,308.3
1421.34,245.059
1424.4,181.818
1427.46,118.577
1430.52,55.336
1433.57,55.336
1436.63,55.336
1439.69,-7.90514
1442.75,-7.90514
1445.81,-7.90514
1448.87,-7.90514
1451.93,-7.90514
1454.99,55.336
1458.05,55.336
1461.11,-7.90514
1464.17,-7.90514
1467.23,-7.90514
1470.29,-7.90514
1473.35,55.336
1476.41,55.336
1479.47,55.336
1482.53,118.577
1485.59,118.577
1488.65,181.818
1491.71,181.818
1494.77,118.577
1497.83,118.577
1500.89,118.577
1503.95,118.577
1507,118.577
1510.06,118.577
1513.12,118.577
1516.18,118.577
1519.24,118.577
1522.3,118.577
1525.36,55.336
1528.42,55.336
1531.48,55.336
1534.54,55.336
1537.6,55.336
1540.66,55.336
1543.72,118.577
1546.78,118.577
1549.84,181.818
1552.9,245.059
1555.96,371.542
1559.02,371.542
1562.08,434.783
1565.14,498.024
1568.2,498.024
1571.26,561.265
1574.32,561.265
1577.38,498.024
1580.43,498.024
1583.49,434.783
1586.55,434.783
1589.61,434.783
1592.67,434.783
1595.73,498.024
1598.79,498.024
1601.85,498.024
1604.91,498.024
1607.97,498.024
1611.03,561.265
1614.09,498.024
1617.15,434.783
1620.21,308.3
1623.27,181.818
1626.33,118.577
1629.39,118.577
1632.45,118.577
1635.51,55.336
1638.57,-7.90514
1641.63,-7.90514
1644.69,-7.90514
1647.75,-7.90514
1650.81,55.336
1653.86,55.336
1656.92,55.336
1659.98,55.336
1663.04,55.336
1666.1,55.336
1669.16,55.336
1672.22,55.336
1675.28,55.336
1678.34,55.336
1681.4,55.336
1684.46,55.336
1687.52,55.336
1690.58,55.336
1693.64,55.336
1696.7,55.336
1699.76,55.336
1702.82,55.336
1705.88,55.336
1708.94,55.336
1712,55.336
1715.06,55.336
1718.12,55.336
1721.18,55.336
1724.24,55.336
1727.29,55.336
1730.35,55.336
1733.41,55.336
1736.47,118.577
1739.53,55.336
1742.59,55.336
1745.65,55.336
1748.71,55.336
1751.77,-7.90514
1754.83,-7.90514
1757.89,-7.90514
1760.95,-7.90514
1764.01,55.336
1767.07,55.336
1770.13,118.577
1773.19,118.577
1776.25,118.577
1779.31,118.577
1782.37,118.577
1785.43,55.336
1788.49,55.336
1791.55,55.336
1794.61,-7.90514
1797.67,-7.90514
1800.72,-7.90514
1803.78,55.336
1806.84,118.577
1809.9,118.577
1812.96,118.577
1816.02,118.577
1819.08,118.577
1822.14,118.577
1825.2,118.577
1828.26,118.577
1831.32,118.577
1834.38,118.577
1837.44,118.577
1840.5,118.577
1843.56,118.577
1846.62,118.577
1849.68,118.577
1852.74,118.577
1855.8,118.577
1858.86,118.577
1861.92,118.577
1864.98,118.577
1868.04,118.577
1871.1,118.577
1874.15,118.577
1877.21,118.577
1880.27,118.577
1883.33,118.577
1886.39,118.577
1889.45,118.577
1892.51,118.577
1895.57,118.577
1898.63,118.577
1901.69,118.577
1904.75,118.577
1907.81,118.577
1910.87,118.577
1913.93,118.577
1916.99,118.577
1920.05,55.336
1923.11,55.336
1926.17,55.336
1929.23,55.336
1932.29,55.336
1935.35,55.336
1938.41,118.577
1941.47,55.336
1944.52,55.336
1947.58,55.336
1950.64,55.336
1953.7,55.336
1956.76,55.336
1959.82,55.336
1962.88,55.336
1965.94,55.336
1969,55.336
1972.06,55.336
1975.12,55.336
1978.18,55.336
1981.24,55.336
1984.3,55.336
1987.36,55.336
1990.42,55.336
1993.48,55.336
1996.54,55.336
1999.6,55.336
2002.66,-7.90514
2005.72,-7.90514
2008.78,-7.90514
2011.84,-7.90514
2014.9,-7.90514
2017.95,-7.90514
2021.01,55.336
2024.07,55.336
2027.13,55.336
2030.19,55.336
2033.25,55.336
2036.31,55.336
2039.37,55.336
2042.43,55.336
2045.49,55.336
2048.55,55.336
2051.61,55.336
2054.67,55.336
2057.73,55.336
2060.79,55.336
2063.85,55.336
2066.91,-7.90514
2069.97,-7.90514
2073.03,-7.90514
2076.09,55.336
2079.15,55.336
2082.21,55.336
2085.27,55.336
2088.33,55.336
2091.38,55.336
2094.44,55.336
2097.5,55.336
2100.56,55.336
2103.62,55.336
2106.68,55.336
2109.74,55.336
2112.8,55.336
2115.86,55.336
2118.92,55.336
2121.98,55.336
2125.04,55.336
2128.1,55.336
2131.16,55.336
2134.22,55.336
2137.28,55.336
2140.34,55.336
2143.4,55.336
2146.46,55.336
2149.52,55.336
2152.58,55.336
2155.64,55.336
2158.7,55.336
2161.76,55.336
2164.81,55.336
2167.87,55.336
2170.93,55.336
2173.99,55.336
2177.05,55.336
2180.11,55.336
2183.17,55.336
2186.23,55.336
2189.29,55.336
2192.35,55.336
2195.41,55.336
2198.47,55.336
2201.53,55.336
2204.59,55.336
2207.65,55.336
2210.71,55.336
2213.77,55.336
2216.83,55.336
2219.89,55.336
2222.95,55.336
2226.01,55.336
2229.07,55.336
2232.13,55.336
2235.19,55.336
2238.24,55.336
2241.3,-7.90514
2244.36,-7.90514
2247.42,-7.90514
2250.48,-7.90514
2253.54,-7.90514
2256.6,55.336
2259.66,-7.90514
2262.72,-7.90514
2265.78,-7.90514
2268.84,-7.90514
2271.9,-7.90514
2274.96,55.336
2278.02,-7.90514
2281.08,-7.90514
2284.14,-7.90514
2287.2,-7.90514
2290.26,-7.90514
2293.32,-7.90514
2296.38,-7.90514
