,GP550R
RamanShit,Intensity
258.762,104.331
261.817,364.173
264.871,624.016
267.926,1100.39
270.981,1836.61
274.035,2183.07
277.09,2572.83
280.145,2183.07
283.199,2009.84
286.254,1836.61
289.309,1706.69
292.363,1750
295.418,1750
298.473,1836.61
301.527,1923.23
304.582,1793.31
307.637,1836.61
310.691,1879.92
313.746,2269.69
316.801,3005.91
319.855,4305.12
322.91,4391.73
325.965,3265.75
329.019,3092.52
332.074,2702.76
335.129,2919.29
338.183,2962.6
341.238,3005.91
344.293,4391.73
347.347,3958.66
350.402,2962.6
353.457,2486.22
356.511,1576.77
359.566,797.244
362.621,277.559
365.675,61.0236
368.73,61.0236
371.785,61.0236
374.839,104.331
377.894,190.945
380.949,234.252
384.003,494.094
387.058,1100.39
390.113,1490.16
393.167,1750
396.222,1490.16
399.277,1403.54
402.331,1013.78
405.386,753.937
408.441,624.016
411.495,797.244
414.55,1143.7
417.605,1836.61
420.659,2529.53
423.714,3049.21
426.768,3612.2
429.823,3438.98
432.878,3135.83
435.932,2702.76
438.987,1836.61
442.042,1403.54
445.096,1316.93
448.151,1143.7
451.206,753.937
454.26,320.866
457.315,147.638
460.37,147.638
463.424,104.331
466.479,190.945
469.534,234.252
472.588,364.173
475.643,580.709
478.698,1013.78
481.752,1836.61
484.807,3395.67
487.862,3568.9
490.916,2269.69
493.971,1750
497.026,927.165
500.08,667.323
503.135,624.016
506.19,624.016
509.244,667.323
512.299,580.709
515.354,537.402
518.408,450.787
521.463,320.866
524.518,234.252
527.572,234.252
530.627,234.252
533.682,234.252
536.736,407.48
539.791,624.016
542.846,753.937
545.9,840.551
548.955,927.165
552.01,1013.78
555.064,1230.31
558.119,1446.85
561.174,1750
564.228,1793.31
567.283,1533.46
570.338,1533.46
573.392,1490.16
576.447,1446.85
579.502,1360.24
582.556,1273.62
585.611,1143.7
588.666,1013.78
591.72,927.165
594.775,797.244
597.83,710.63
600.884,710.63
603.939,753.937
606.994,840.551
610.048,1143.7
613.103,1403.54
616.158,1576.77
619.212,1663.39
622.267,1966.54
625.322,1533.46
628.376,1316.93
631.431,1057.09
634.486,840.551
637.54,883.858
640.595,883.858
643.65,1013.78
646.704,840.551
649.759,797.244
652.814,624.016
655.868,364.173
658.923,234.252
661.977,234.252
665.032,277.559
668.087,407.48
671.141,797.244
674.196,1273.62
677.251,1490.16
680.305,1750
683.36,1446.85
686.415,1143.7
689.469,797.244
692.524,624.016
695.579,753.937
698.633,797.244
701.688,927.165
704.743,1879.92
707.797,3482.28
710.852,5301.18
713.907,8895.67
716.961,9242.13
720.016,6210.63
723.071,4998.03
726.125,2919.29
729.18,1706.69
732.235,1057.09
735.289,710.63
738.344,450.787
741.399,234.252
744.453,147.638
747.508,104.331
750.563,104.331
753.617,104.331
756.672,104.331
759.727,147.638
762.781,147.638
765.836,190.945
768.891,277.559
771.945,190.945
775,147.638
778.055,147.638
781.109,147.638
784.164,104.331
787.219,61.0236
790.273,61.0236
793.328,61.0236
796.383,61.0236
799.437,61.0236
