,GP550R
RamanShit,Intensity
249.517,1590.55
252.576,2519.69
255.636,2519.69
258.696,188.976
261.755,236.22
264.815,314.961
267.874,393.701
270.934,472.441
273.994,566.929
277.053,661.417
280.113,803.15
283.172,929.134
286.232,992.126
289.291,1023.62
292.351,1055.12
295.411,1118.11
298.47,1165.35
301.53,1181.1
304.589,1181.1
307.649,1181.1
310.709,1196.85
313.768,1181.1
316.828,1165.35
319.887,1149.61
322.947,1102.36
326.006,1055.12
329.066,1055.12
332.126,1055.12
335.185,1039.37
338.245,992.126
341.304,960.63
344.364,897.638
347.424,850.394
350.483,818.898
353.543,803.15
356.602,755.906
359.662,692.913
362.721,677.165
365.781,645.669
368.841,582.677
371.9,519.685
374.96,488.189
378.019,456.693
381.079,425.197
384.138,393.701
387.198,362.205
390.258,299.213
393.317,251.969
396.377,236.22
399.436,204.724
402.496,188.976
405.556,173.228
408.615,173.228
411.675,173.228
414.734,157.48
417.794,141.732
420.853,110.236
423.913,78.7402
426.973,47.2441
430.032,31.4961
433.092,31.4961
436.151,31.4961
439.211,31.4961
442.271,15.748
445.33,15.748
448.39,15.748
451.449,15.748
454.509,15.748
457.568,15.748
460.628,31.4961
463.688,47.2441
466.747,62.9921
469.807,94.4882
472.866,157.48
475.926,314.961
478.986,582.677
482.045,771.654
485.105,976.378
488.164,771.654
491.224,692.913
494.283,503.937
497.343,377.953
500.403,314.961
503.462,377.953
506.522,377.953
509.581,393.701
512.641,409.449
515.7,425.197
518.76,425.197
521.82,440.945
524.879,472.441
527.939,519.685
530.998,519.685
534.058,535.433
537.118,740.157
540.177,692.913
543.237,677.165
546.296,708.661
549.356,724.409
552.415,771.654
555.475,818.898
558.535,834.646
561.594,850.394
564.654,881.89
567.713,913.386
570.773,929.134
573.833,944.882
576.892,929.134
579.952,929.134
583.011,929.134
586.071,944.882
589.13,944.882
592.19,960.63
595.25,960.63
598.309,960.63
601.369,976.378
604.428,976.378
607.488,1007.87
610.548,992.126
613.607,992.126
616.667,992.126
619.726,992.126
622.786,944.882
625.845,913.386
628.905,866.142
631.965,818.898
635.024,787.402
638.084,771.654
641.143,740.157
644.203,692.913
647.262,645.669
650.322,598.425
653.382,519.685
656.441,425.197
659.501,346.457
662.56,299.213
665.62,299.213
668.68,267.717
671.739,251.969
674.799,220.472
677.858,204.724
680.918,173.228
683.977,141.732
687.037,94.4882
690.097,62.9921
693.156,47.2441
696.216,47.2441
699.275,31.4961
702.335,31.4961
