,GP550R
RamanShit,Intensity
246.543,55.4348
249.598,55.4348
252.653,42.9842
255.707,55.4348
258.762,55.4348
261.817,11.996
264.871,12.8261
267.926,12.8261
270.981,14.2095
274.035,16.4229
277.09,18.913
280.145,16.6996
283.199,12.8261
286.254,8.39921
289.309,5.07905
292.363,2.86561
295.418,2.03557
298.473,2.86561
301.527,1.48221
304.582,1.48221
307.637,1.20553
310.691,2.58893
313.746,4.80237
316.801,2.03557
319.855,3.69565
322.91,2.86561
325.965,1.75889
329.019,1.75889
332.074,2.58893
335.129,0.928854
338.183,0.652174
341.238,0.928854
344.293,1.20553
347.347,1.75889
350.402,3.14229
353.457,3.14229
356.511,8.67589
359.566,7.84585
362.621,7.56917
365.675,8.12253
368.73,8.39921
371.785,11.7194
374.839,15.8696
377.894,17.5296
380.949,22.2332
384.003,26.6601
387.058,33.3004
390.113,39.9407
393.167,44.0909
396.222,49.0711
399.277,53.498
402.331,49.6245
405.386,29.1502
408.441,18.3597
411.495,14.2095
414.55,11.4427
417.605,8.67589
420.659,5.90909
423.714,5.90909
426.768,4.80237
429.823,2.58893
432.878,3.41897
435.932,4.52569
438.987,5.63241
442.042,2.58893
445.096,1.48221
448.151,1.48221
451.206,3.41897
454.26,2.03557
457.315,1.48221
460.37,1.48221
463.424,1.48221
466.479,3.97233
469.534,3.41897
472.588,3.97233
475.643,1.75889
478.698,2.86561
481.752,3.14229
484.807,3.97233
487.862,4.80237
490.916,1.75889
493.971,5.35573
497.026,6.18577
500.08,4.52569
503.135,5.63241
506.19,1.75889
509.244,0.928854
512.299,3.41897
515.354,6.18577
518.408,3.14229
521.463,2.31225
524.518,3.41897
527.572,2.86561
530.627,3.41897
533.682,3.69565
536.736,3.97233
539.791,5.90909
542.846,8.95257
545.9,2.86561
548.955,1.48221
552.01,1.75889
555.064,4.52569
558.119,3.97233
561.174,4.52569
564.228,3.69565
567.283,3.97233
570.338,4.52569
573.392,2.58893
576.447,2.31225
579.502,4.24901
582.556,2.86561
585.611,3.14229
588.666,3.14229
591.72,5.63241
594.775,3.97233
597.83,3.14229
600.884,4.24901
603.939,5.07905
606.994,3.97233
610.048,2.03557
613.103,2.03557
616.158,3.69565
619.212,1.75889
622.267,2.31225
625.322,3.14229
628.376,5.35573
631.431,4.24901
634.486,3.69565
637.54,3.14229
640.595,3.41897
643.65,4.24901
646.704,5.63241
649.759,3.41897
652.814,1.75889
655.868,7.01581
658.923,3.97233
661.977,3.14229
665.032,3.14229
668.087,4.52569
671.141,4.24901
674.196,4.80237
677.251,3.14229
680.305,2.86561
683.36,2.31225
686.415,2.86561
689.469,3.69565
692.524,0.375494
695.579,1.20553
698.633,3.97233
701.688,2.31225
704.743,2.03557
707.797,3.97233
710.852,1.75889
713.907,2.31225
716.961,4.52569
720.016,3.69565
723.071,4.52569
726.125,3.41897
729.18,3.97233
732.235,2.58893
735.289,2.58893
738.344,3.41897
741.399,3.97233
744.453,7.01581
747.508,5.35573
750.563,6.46245
753.617,9.22925
756.672,11.166
759.727,8.95257
762.781,11.996
765.836,9.22925
768.891,8.12253
771.945,6.18577
775,4.24901
778.055,3.69565
781.109,2.58893
784.164,1.20553
787.219,2.03557
790.273,1.48221
793.328,0.928854
796.383,2.86561
799.437,0.928854
802.492,1.75889
805.547,2.03557
808.601,2.58893
811.656,3.41897
814.711,3.69565
817.765,3.97233
820.82,4.24901
823.875,4.80237
826.929,7.84585
829.984,8.95257
833.039,7.56917
836.093,8.39921
839.148,6.73913
842.203,6.18577
845.257,7.84585
848.312,4.24901
851.367,5.63241
854.421,5.07905
857.476,4.80237
860.531,3.69565
863.585,2.58893
866.64,2.58893
869.695,2.31225
872.749,3.69565
875.804,4.24901
878.859,5.07905
881.913,2.03557
884.968,1.48221
888.023,2.58893
891.077,2.86561
894.132,2.03557
897.186,0.928854
900.241,0.652174
903.296,0.652174
906.35,0.928854
909.405,2.31225
912.46,5.63241
915.514,4.80237
918.569,7.01581
921.624,6.46245
924.678,7.29249
927.733,9.22925
930.788,11.7194
933.842,12.8261
936.897,9.50593
939.952,8.95257
943.006,8.95257
946.061,8.39921
949.116,6.46245
952.17,4.52569
955.225,3.14229
958.28,2.31225
961.334,3.97233
964.389,0.652174
967.444,3.97233
970.498,3.14229
973.553,4.52569
976.608,2.31225
979.662,2.58893
982.717,3.97233
985.772,2.03557
988.826,1.20553
991.881,3.41897
994.936,3.69565
997.99,2.58893
1001.05,2.86561
1004.1,2.58893
1007.15,2.31225
1010.21,4.24901
1013.26,3.69565
1016.32,4.24901
1019.37,0.928854
1022.43,2.03557
1025.48,3.14229
1028.54,2.03557
1031.59,2.03557
1034.65,1.48221
1037.7,2.58893
1040.76,5.35573
1043.81,2.86561
1046.86,2.31225
1049.92,3.14229
1052.97,1.75889
1056.03,2.31225
