,GP550R
RamanShit,Intensity
258.828,61.0236
261.878,-25.5906
264.928,-25.5906
267.978,-25.5906
271.027,17.7165
274.077,17.7165
277.127,17.7165
280.177,61.0236
283.226,147.638
286.276,234.252
289.326,320.866
292.376,364.173
295.425,407.48
298.475,450.787
301.525,450.787
304.575,494.094
307.624,494.094
310.674,537.402
313.724,537.402
316.774,494.094
319.823,450.787
322.873,407.48
325.923,364.173
328.973,277.559
332.022,234.252
335.072,147.638
338.122,61.0236
341.172,61.0236
344.222,61.0236
347.271,61.0236
350.321,61.0236
353.371,61.0236
356.421,104.331
359.47,104.331
362.52,147.638
365.57,234.252
368.62,364.173
371.669,407.48
374.719,494.094
377.769,667.323
380.819,797.244
383.868,970.472
386.918,1187.01
389.968,1360.24
393.018,1533.46
396.067,1836.61
399.117,2183.07
402.167,2572.83
405.217,3005.91
408.266,3352.36
411.316,3698.82
414.366,4088.58
417.416,4348.43
420.465,4694.88
423.515,4608.27
426.565,4305.12
429.615,4088.58
432.665,3742.13
435.714,3352.36
438.764,2702.76
441.814,1923.23
444.864,1187.01
447.913,580.709
450.963,277.559
454.013,190.945
457.063,277.559
460.112,320.866
463.162,494.094
466.212,840.551
469.262,1187.01
472.311,1706.69
475.361,2486.22
478.411,3438.98
481.461,4305.12
484.51,4738.19
487.56,5561.02
490.61,5344.49
493.66,4045.28
496.709,3005.91
499.759,2269.69
502.809,1923.23
505.859,1836.61
508.909,1793.31
511.958,1750
515.008,1620.08
518.058,1490.16
521.108,1316.93
524.157,1100.39
527.207,840.551
530.257,624.016
533.307,407.48
536.356,320.866
539.406,277.559
542.456,234.252
545.506,190.945
548.555,190.945
551.605,190.945
554.655,190.945
557.705,147.638
560.754,104.331
563.804,104.331
566.854,104.331
569.904,61.0236
572.953,61.0236
576.003,61.0236
579.053,104.331
582.103,104.331
585.152,190.945
588.202,320.866
591.252,494.094
594.302,667.323
597.352,667.323
600.401,710.63
603.451,753.937
606.501,927.165
609.551,1360.24
612.6,2009.84
615.65,2962.6
618.7,4175.2
621.75,5561.02
624.799,6860.24
627.849,7899.61
630.899,8549.21
633.949,8982.28
636.998,9198.82
640.048,9328.74
643.098,9155.51
646.148,8938.98
649.197,8375.98
