,GP550R
RamanShit,Intensity
255.636,49.0196
258.696,-9.80392
261.755,-9.80392
264.815,-9.80392
267.874,9.80392
270.934,29.4118
273.994,49.0196
277.053,68.6275
280.113,107.843
283.172,127.451
286.232,127.451
289.291,127.451
292.351,147.059
295.411,147.059
298.47,166.667
301.53,166.667
304.589,166.667
307.649,166.667
310.709,166.667
313.768,147.059
316.828,127.451
319.887,127.451
322.947,68.6275
326.006,49.0196
329.066,29.4118
332.126,29.4118
335.185,29.4118
338.245,29.4118
341.304,29.4118
344.364,29.4118
347.424,29.4118
350.483,29.4118
353.543,49.0196
356.602,68.6275
359.662,88.2353
362.721,127.451
365.781,186.275
368.841,205.882
371.9,225.49
374.96,284.314
378.019,323.529
381.079,421.569
384.138,558.824
387.198,617.647
390.258,656.863
393.317,774.51
396.377,892.157
399.436,1009.8
402.496,1186.27
405.556,1362.75
408.615,1519.61
411.675,1676.47
414.734,1754.9
417.794,1794.12
420.853,1754.9
423.913,1715.69
426.973,1637.25
430.032,1500
433.092,1343.14
436.151,1088.24
439.211,774.51
442.271,480.392
445.33,245.098
448.39,127.451
451.449,107.843
454.509,147.059
457.568,166.667
460.628,245.098
463.688,401.961
466.747,539.216
469.807,735.294
472.866,1088.24
475.926,1539.22
478.986,2068.63
482.045,2735.29
485.105,2794.12
488.164,2303.92
491.224,2029.41
494.283,1500
497.343,1127.45
500.403,950.98
503.462,911.765
506.522,892.157
509.581,872.549
512.641,813.725
515.7,735.294
518.76,637.255
521.82,519.608
524.879,421.569
527.939,343.137
530.998,284.314
534.058,225.49
537.118,166.667
540.177,107.843
543.237,88.2353
546.296,88.2353
549.356,88.2353
552.415,88.2353
555.475,88.2353
558.535,68.6275
561.594,68.6275
564.654,49.0196
567.713,29.4118
570.773,29.4118
573.833,49.0196
576.892,68.6275
579.952,88.2353
583.011,88.2353
586.071,127.451
589.13,186.275
592.19,264.706
595.25,284.314
598.309,284.314
601.369,303.922
604.428,382.353
607.488,578.431
610.548,852.941
613.607,1205.88
616.667,1656.86
619.726,2205.88
622.786,2754.9
625.845,3166.67
628.905,3460.78
631.965,3578.43
635.024,3617.65
638.084,3754.9
641.143,3558.82
644.203,3480.39
647.262,3303.92
650.322,3049.02
653.382,2637.25
656.441,2147.06
659.501,1637.25
662.56,1245.1
665.62,1049.02
668.68,950.98
671.739,892.157
674.799,813.725
677.858,774.51
680.918,774.51
683.977,754.902
687.037,754.902
690.097,754.902
693.156,774.51
696.216,794.118
699.275,794.118
702.335,794.118
705.395,735.294
708.454,676.471
711.514,676.471
714.573,676.471
717.633,715.686
720.692,754.902
723.752,754.902
726.812,754.902
729.871,754.902
732.931,754.902
735.99,715.686
739.05,637.255
742.11,519.608
745.169,382.353
748.229,303.922
751.288,205.882
754.348,147.059
757.407,107.843
760.467,88.2353
763.527,49.0196
766.586,29.4118
769.646,29.4118
772.705,49.0196
775.765,68.6275
778.824,88.2353
781.884,127.451
784.944,166.667
788.003,245.098
791.063,245.098
794.122,264.706
797.182,284.314
800.242,205.882
803.301,166.667
806.361,166.667
809.42,166.667
812.48,147.059
815.539,186.275
818.599,127.451
821.659,127.451
824.718,127.451
827.778,127.451
830.837,127.451
833.897,107.843
836.957,88.2353
840.016,68.6275
843.076,68.6275
846.135,49.0196
849.195,49.0196
852.254,49.0196
855.314,49.0196
858.374,68.6275
861.433,68.6275
864.493,68.6275
867.552,68.6275
870.612,68.6275
873.671,49.0196
876.731,29.4118
879.791,29.4118
882.85,29.4118
885.91,29.4118
888.969,29.4118
892.029,49.0196
895.089,49.0196
898.148,49.0196
901.208,49.0196
904.267,49.0196
907.327,49.0196
910.386,68.6275
913.446,68.6275
916.506,68.6275
919.565,68.6275
