,GP550R
RamanShit,Intensity
264.871,59.0551
267.926,59.0551
270.981,59.0551
274.035,59.0551
277.09,59.0551
280.145,59.0551
283.199,59.0551
286.254,59.0551
289.309,59.0551
292.363,59.0551
295.418,59.0551
298.473,59.0551
301.527,59.0551
304.582,334.646
307.637,334.646
310.691,334.646
313.746,334.646
316.801,334.646
319.855,334.646
322.91,334.646
325.965,334.646
329.019,334.646
332.074,334.646
335.129,334.646
338.183,59.0551
341.238,59.0551
344.293,59.0551
347.347,59.0551
350.402,59.0551
353.457,59.0551
356.511,59.0551
359.566,59.0551
362.621,59.0551
365.675,59.0551
368.73,59.0551
371.785,59.0551
374.839,59.0551
377.894,59.0551
380.949,59.0551
384.003,59.0551
387.058,59.0551
390.113,59.0551
393.167,59.0551
396.222,59.0551
399.277,59.0551
402.331,59.0551
405.386,59.0551
408.441,59.0551
411.495,59.0551
414.55,334.646
417.605,334.646
420.659,334.646
423.714,334.646
426.768,334.646
429.823,334.646
432.878,610.236
435.932,885.827
438.987,1161.42
442.042,2263.78
445.096,3917.32
448.151,6397.64
451.206,9980.31
454.26,10531.5
457.315,7775.59
460.37,6948.82
463.424,4744.09
466.479,2814.96
469.534,1437.01
472.588,885.827
475.643,610.236
478.698,334.646
481.752,334.646
484.807,334.646
487.862,334.646
490.916,334.646
493.971,334.646
497.026,334.646
500.08,59.0551
503.135,59.0551
506.19,59.0551
509.244,59.0551
512.299,59.0551
515.354,59.0551
518.408,59.0551
521.463,59.0551
524.518,59.0551
527.572,59.0551
530.627,59.0551
533.682,59.0551
536.736,59.0551
539.791,59.0551
542.846,334.646
545.9,334.646
548.955,334.646
552.01,334.646
555.064,334.646
558.119,334.646
561.174,334.646
564.228,334.646
567.283,59.0551
570.338,59.0551
573.392,59.0551
576.447,59.0551
579.502,59.0551
582.556,59.0551
585.611,59.0551
588.666,59.0551
591.72,334.646
594.775,334.646
597.83,334.646
600.884,334.646
603.939,334.646
606.994,610.236
610.048,885.827
613.103,1161.42
616.158,1712.6
619.212,1712.6
622.267,1712.6
625.322,1437.01
628.376,1437.01
631.431,1437.01
634.486,1437.01
637.54,1437.01
640.595,1437.01
643.65,1712.6
646.704,2263.78
649.759,1712.6
652.814,1437.01
655.868,885.827
658.923,610.236
661.977,334.646
665.032,334.646
668.087,334.646
671.141,334.646
674.196,334.646
677.251,334.646
680.305,334.646
683.36,334.646
686.415,334.646
689.469,334.646
692.524,334.646
695.579,59.0551
698.633,59.0551
701.688,59.0551
704.743,59.0551
707.797,59.0551
710.852,59.0551
713.907,59.0551
716.961,59.0551
720.016,59.0551
723.071,59.0551
726.125,59.0551
729.18,59.0551
732.235,59.0551
735.289,59.0551
738.344,59.0551
741.399,334.646
744.453,334.646
747.508,334.646
750.563,334.646
753.617,334.646
756.672,334.646
759.727,59.0551
762.781,59.0551
765.836,59.0551
768.891,59.0551
771.945,59.0551
775,334.646
778.055,334.646
781.109,334.646
784.164,334.646
787.219,334.646
790.273,334.646
793.328,334.646
796.383,59.0551
799.437,59.0551
802.492,59.0551
805.547,59.0551
808.601,59.0551
811.656,59.0551
814.711,59.0551
817.765,59.0551
820.82,59.0551
823.875,59.0551
826.929,59.0551
829.984,334.646
833.039,334.646
836.093,334.646
839.148,334.646
842.203,334.646
845.257,334.646
848.312,334.646
851.367,334.646
854.421,334.646
857.476,334.646
860.531,59.0551
863.585,59.0551
866.64,59.0551
869.695,59.0551
872.749,59.0551
875.804,59.0551
878.859,59.0551
881.913,59.0551
884.968,59.0551
888.023,59.0551
891.077,59.0551
894.132,334.646
897.186,334.646
900.241,334.646
903.296,334.646
906.35,334.646
909.405,59.0551
912.46,59.0551
915.514,59.0551
918.569,59.0551
921.624,59.0551
924.678,59.0551
927.733,59.0551
930.788,59.0551
933.842,59.0551
936.897,59.0551
939.952,59.0551
943.006,59.0551
946.061,59.0551
949.116,334.646
952.17,334.646
955.225,334.646
958.28,334.646
961.334,334.646
964.389,334.646
967.444,610.236
970.498,610.236
973.553,885.827
976.608,1161.42
979.662,1988.19
982.717,5019.69
985.772,11082.7
988.826,51594.5
991.881,58484.3
994.936,14114.2
997.99,9153.54
1001.05,2814.96
1004.1,1437.01
1007.15,885.827
1010.21,610.236
1013.26,334.646
1016.32,334.646
1019.37,334.646
1022.43,334.646
1025.48,334.646
1028.54,334.646
1031.59,59.0551
1034.65,59.0551
1037.7,59.0551
1040.76,59.0551
1043.81,59.0551
1046.86,59.0551
1049.92,59.0551
1052.97,59.0551
1056.03,59.0551
1059.08,59.0551
1062.14,59.0551
1065.19,59.0551
1068.25,59.0551
1071.3,334.646
1074.36,334.646
1077.41,334.646
1080.47,610.236
1083.52,610.236
1086.58,610.236
1089.63,885.827
1092.68,885.827
1095.74,885.827
1098.79,885.827
1101.85,1161.42
1104.9,1437.01
1107.96,1437.01
1111.01,1161.42
1114.07,1161.42
1117.12,885.827
1120.18,885.827
1123.23,610.236
1126.29,610.236
1129.34,610.236
1132.4,885.827
1135.45,1712.6
1138.5,2539.37
1141.56,2814.96
1144.61,2539.37
1147.67,2263.78
1150.72,1712.6
1153.78,1161.42
1156.83,885.827
1159.89,885.827
1162.94,885.827
1166,1161.42
1169.05,1161.42
1172.11,1161.42
1175.16,885.827
1178.22,885.827
1181.27,610.236
1184.32,610.236
1187.38,334.646
1190.43,334.646
1193.49,334.646
1196.54,334.646
1199.6,334.646
1202.65,334.646
1205.71,334.646
1208.76,334.646
1211.82,334.646
1214.87,334.646
1217.93,334.646
