,GP550R
RamanShit,Intensity
252.729,21666.7
255.778,35196.1
258.828,35196.1
261.878,5000
264.928,6176.47
267.978,4019.61
271.027,3823.53
274.077,2647.06
277.127,882.353
280.177,98.0392
283.226,98.0392
286.276,98.0392
289.326,98.0392
292.376,98.0392
295.425,98.0392
298.475,98.0392
301.525,98.0392
304.575,98.0392
307.624,98.0392
310.674,98.0392
313.724,98.0392
316.774,98.0392
319.823,98.0392
322.873,98.0392
325.923,98.0392
328.973,98.0392
332.022,294.118
335.072,490.196
338.122,882.353
341.172,2450.98
344.222,4607.84
347.271,5784.31
350.321,6568.63
353.371,7352.94
356.421,7549.02
359.47,9117.65
362.52,12451
365.57,14215.7
368.62,20490.2
371.669,21470.6
374.719,14019.6
377.769,10686.3
380.819,6568.63
383.868,5392.16
386.918,4803.92
389.968,5196.08
393.018,7156.86
396.067,7352.94
399.117,4607.84
402.167,3235.29
405.217,1470.59
408.266,882.353
411.316,490.196
414.366,294.118
417.416,294.118
420.465,98.0392
423.515,98.0392
426.565,98.0392
429.615,98.0392
432.665,98.0392
435.714,98.0392
438.764,98.0392
441.814,98.0392
444.864,98.0392
447.913,98.0392
450.963,294.118
454.013,490.196
457.063,882.353
460.112,1470.59
463.162,1862.75
466.212,1862.75
469.262,1862.75
472.311,1862.75
475.361,1862.75
478.411,1666.67
481.461,1470.59
484.51,1274.51
487.56,1078.43
490.61,1078.43
493.66,1078.43
496.709,1470.59
499.759,1666.67
502.809,1666.67
505.859,1666.67
508.909,1470.59
511.958,1274.51
515.008,1274.51
518.058,1470.59
521.108,1862.75
524.157,3235.29
527.207,5980.39
530.257,8333.33
533.307,13823.5
536.356,14607.8
539.406,8725.49
542.456,6764.71
545.506,3627.45
548.555,2058.82
551.605,1274.51
554.655,1078.43
557.705,1078.43
560.754,1274.51
563.804,2058.82
566.854,5196.08
569.904,12451
572.953,34411.8
576.003,35784.3
579.053,16960.8
582.103,11666.7
585.152,4019.61
588.202,1666.67
591.252,882.353
594.302,686.275
597.352,490.196
600.401,294.118
603.451,294.118
606.501,98.0392
609.551,98.0392
612.6,98.0392
615.65,98.0392
618.7,98.0392
621.75,98.0392
624.799,98.0392
627.849,98.0392
630.899,98.0392
633.949,98.0392
636.998,98.0392
640.048,98.0392
643.098,98.0392
646.148,98.0392
649.197,98.0392
652.247,98.0392
655.297,98.0392
658.347,98.0392
661.396,98.0392
664.446,98.0392
667.496,98.0392
670.546,98.0392
673.596,98.0392
676.645,98.0392
679.695,98.0392
682.745,98.0392
685.795,98.0392
688.844,98.0392
691.894,98.0392
694.944,98.0392
697.994,98.0392
701.043,98.0392
704.093,98.0392
707.143,98.0392
710.193,98.0392
713.242,98.0392
716.292,98.0392
719.342,98.0392
722.392,98.0392
725.441,98.0392
728.491,294.118
731.541,294.118
734.591,294.118
737.64,294.118
740.69,490.196
743.74,490.196
746.79,490.196
749.839,490.196
752.889,490.196
755.939,294.118
758.989,294.118
762.039,294.118
765.088,294.118
768.138,294.118
771.188,294.118
774.238,294.118
777.287,98.0392
780.337,98.0392
783.387,98.0392
786.437,98.0392
789.486,98.0392
792.536,98.0392
795.586,98.0392
798.636,98.0392
801.685,98.0392
804.735,98.0392
807.785,98.0392
810.835,98.0392
813.884,98.0392
816.934,98.0392
819.984,98.0392
823.034,98.0392
826.083,98.0392
829.133,98.0392
832.183,98.0392
835.233,98.0392
838.283,98.0392
841.332,98.0392
844.382,98.0392
847.432,98.0392
850.482,98.0392
853.531,98.0392
856.581,98.0392
859.631,98.0392
862.681,98.0392
865.73,98.0392
868.78,98.0392
871.83,98.0392
874.88,98.0392
877.929,98.0392
880.979,98.0392
884.029,98.0392
887.079,294.118
890.128,294.118
893.178,490.196
896.228,686.275
899.278,1078.43
902.327,1274.51
905.377,2058.82
908.427,3235.29
911.477,4607.84
914.526,5784.31
917.576,6568.63
920.626,7941.18
923.676,11078.4
926.726,15784.3
929.775,21470.6
932.825,24803.9
935.875,30294.1
938.925,24803.9
941.974,23235.3
945.024,19902
948.074,17941.2
951.124,16176.5
954.173,11666.7
957.223,6960.78
960.273,4019.61
963.323,2450.98
966.372,1666.67
969.422,1274.51
972.472,882.353
975.522,490.196
978.571,294.118
981.621,294.118
984.671,98.0392
987.721,98.0392
990.77,98.0392
993.82,98.0392
996.87,98.0392
999.92,98.0392
1002.97,98.0392
1006.02,98.0392
1009.07,98.0392
1012.12,294.118
1015.17,294.118
1018.22,490.196
1021.27,490.196
1024.32,490.196
1027.37,294.118
1030.42,294.118
1033.47,294.118
1036.52,98.0392
1039.57,98.0392
1042.62,98.0392
1045.67,98.0392
1048.72,98.0392
1051.77,294.118
1054.82,294.118
1057.87,490.196
1060.91,490.196
1063.96,490.196
1067.01,294.118
1070.06,294.118
1073.11,98.0392
1076.16,98.0392
1079.21,98.0392
1082.26,98.0392
1085.31,98.0392
1088.36,294.118
1091.41,490.196
1094.46,490.196
1097.51,686.275
1100.56,686.275
1103.61,686.275
1106.66,490.196
1109.71,490.196
1112.76,294.118
1115.81,294.118
1118.86,294.118
1121.91,98.0392
1124.96,98.0392
1128.01,98.0392
1131.06,294.118
1134.11,294.118
1137.16,490.196
1140.21,686.275
1143.26,686.275
1146.31,882.353
1149.36,882.353
1152.41,882.353
1155.46,1078.43
