,GP550R
RamanShit,Intensity
249.435,27294.1
252.5,45176.5
255.565,45176.5
258.629,10117.6
261.694,9411.76
264.758,8470.59
267.823,6588.24
270.887,3294.12
273.952,1176.47
277.016,235.294
280.081,0
283.145,0
286.21,0
289.274,0
292.339,0
295.403,0
298.468,0
301.532,235.294
304.597,235.294
307.661,235.294
310.726,235.294
313.79,235.294
316.855,235.294
319.919,235.294
322.984,235.294
326.048,235.294
329.113,470.588
332.177,705.882
335.242,1411.76
338.306,3529.41
341.371,6352.94
344.435,7764.71
347.5,8941.18
350.565,10117.6
353.629,10588.2
356.694,12470.6
359.758,14823.5
362.823,15529.4
365.887,16470.6
368.952,15294.1
372.016,13176.5
375.081,8705.88
378.145,5647.06
381.21,4705.88
384.274,4235.29
387.339,4470.59
390.403,4941.18
393.468,4000
396.532,3764.71
399.597,2588.24
402.661,1176.47
405.726,705.882
408.79,470.588
411.855,235.294
414.919,235.294
417.984,235.294
421.048,235.294
424.113,235.294
427.177,235.294
430.242,235.294
433.306,235.294
436.371,235.294
439.435,235.294
442.5,235.294
445.565,235.294
448.629,470.588
451.694,705.882
454.758,1411.76
457.823,2117.65
460.887,2588.24
463.952,2117.65
467.016,1882.35
470.081,1647.06
473.145,1411.76
476.21,1176.47
479.274,705.882
482.339,470.588
485.403,470.588
488.468,470.588
491.532,470.588
494.597,941.176
497.661,1176.47
500.726,1176.47
503.79,1411.76
506.855,1411.76
509.919,1411.76
512.984,1411.76
516.048,1882.35
519.113,2588.24
522.177,4705.88
525.242,8235.29
528.306,10588.2
531.371,14117.6
534.435,10588.2
537.5,10352.9
540.565,8000
543.629,4470.59
546.694,2588.24
549.758,1882.35
552.823,1647.06
555.887,1882.35
558.952,2117.65
562.016,3058.82
565.081,7294.12
568.145,16470.6
571.21,44235.3
574.274,47058.8
577.339,22117.6
580.403,15294.1
583.468,5647.06
586.532,2117.65
589.597,941.176
592.661,470.588
595.726,470.588
598.79,235.294
601.855,235.294
604.919,235.294
607.984,235.294
611.048,235.294
614.113,235.294
617.177,235.294
620.242,235.294
623.306,235.294
626.371,235.294
629.435,235.294
632.5,235.294
635.565,235.294
638.629,235.294
641.694,235.294
644.758,235.294
647.823,235.294
650.887,235.294
653.952,235.294
657.016,235.294
660.081,235.294
663.145,235.294
666.21,235.294
669.274,235.294
672.339,235.294
675.403,235.294
678.468,235.294
681.532,235.294
684.597,235.294
687.661,235.294
690.726,235.294
693.79,235.294
696.855,235.294
699.919,235.294
702.984,235.294
706.048,235.294
709.113,235.294
712.177,235.294
715.242,235.294
718.306,235.294
721.371,235.294
724.435,235.294
727.5,235.294
730.565,235.294
733.629,235.294
736.694,235.294
739.758,235.294
742.823,470.588
745.887,470.588
748.952,470.588
752.016,235.294
755.081,235.294
758.145,235.294
761.21,235.294
764.274,235.294
767.339,235.294
770.403,235.294
773.468,235.294
776.532,235.294
779.597,235.294
782.661,235.294
785.726,235.294
788.79,235.294
791.855,235.294
794.919,235.294
797.984,235.294
801.048,235.294
804.113,235.294
807.177,235.294
810.242,235.294
813.306,235.294
816.371,235.294
819.435,235.294
822.5,235.294
825.565,235.294
828.629,235.294
831.694,235.294
834.758,235.294
837.823,235.294
840.887,235.294
843.952,235.294
847.016,235.294
850.081,235.294
853.145,235.294
856.21,235.294
859.274,235.294
862.339,235.294
865.403,235.294
868.468,235.294
871.532,235.294
874.597,235.294
877.661,235.294
880.726,235.294
883.79,235.294
886.855,235.294
889.919,470.588
892.984,470.588
896.048,705.882
899.113,941.176
902.177,1411.76
905.242,1882.35
908.306,2823.53
911.371,4000
914.435,5176.47
917.5,6588.24
920.565,8705.88
923.629,12470.6
926.694,16470.6
929.758,20470.6
932.823,22117.6
935.887,24941.2
938.952,21882.4
942.016,19058.8
945.081,15058.8
948.145,13882.4
951.21,11529.4
954.274,8000
957.339,4941.18
960.403,3058.82
963.468,1882.35
966.532,1411.76
969.597,1176.47
972.661,705.882
975.726,470.588
978.79,235.294
981.855,235.294
