,GP550R
RamanShit,Intensity
252.653,21719.4
255.707,35355.7
258.762,35355.7
261.817,4920.95
264.871,6106.72
267.926,3932.81
270.981,3735.18
274.035,2549.41
277.09,770.751
280.145,-19.7628
283.199,-19.7628
286.254,-19.7628
289.309,177.866
292.363,-19.7628
295.418,-19.7628
298.473,-19.7628
301.527,-19.7628
304.582,-19.7628
307.637,177.866
310.691,-19.7628
313.746,-19.7628
316.801,-19.7628
319.855,-19.7628
322.91,-19.7628
325.965,177.866
329.019,-19.7628
332.074,177.866
335.129,375.494
338.183,968.379
341.238,2747.04
344.293,4723.32
347.347,7687.75
350.402,6106.72
353.457,6699.6
356.511,6897.23
359.566,10059.3
362.621,10652.2
365.675,11837.9
368.73,17371.5
371.785,18359.7
374.839,12035.6
377.894,9664.03
380.949,5513.83
384.003,3735.18
387.058,3537.55
390.113,3339.92
393.167,2944.66
396.222,2549.41
399.277,2351.78
402.331,2549.41
405.386,2351.78
408.441,375.494
411.495,177.866
414.55,-19.7628
417.605,177.866
420.659,-19.7628
423.714,-19.7628
426.768,-19.7628
429.823,-19.7628
432.878,-19.7628
435.932,177.866
438.987,-19.7628
442.042,-19.7628
445.096,-19.7628
448.151,177.866
451.206,375.494
454.26,770.751
457.315,770.751
460.37,968.379
463.424,968.379
466.479,1363.64
469.534,1956.52
472.588,2747.04
475.643,3537.55
478.698,3537.55
481.752,3537.55
484.807,3339.92
487.862,2747.04
490.916,1956.52
493.971,1363.64
497.026,1166.01
500.08,1166.01
503.135,1166.01
506.19,968.379
509.244,968.379
512.299,968.379
515.354,968.379
518.408,1166.01
521.463,1363.64
524.518,2747.04
527.572,5316.21
530.627,7687.75
533.682,13419
536.736,14209.5
539.791,8280.63
542.846,6501.98
545.9,3339.92
548.955,1758.89
552.01,1166.01
555.064,968.379
558.119,968.379
561.174,1166.01
564.228,1758.89
567.283,4920.95
570.338,12628.5
573.392,35158.1
576.447,37332
579.502,17569.2
582.556,14011.9
585.611,10059.3
588.666,1561.26
591.72,770.751
594.775,573.123
597.83,375.494
600.884,375.494
603.939,177.866
606.994,177.866
610.048,-19.7628
613.103,-19.7628
616.158,-19.7628
619.212,177.866
622.267,-19.7628
625.322,177.866
628.376,177.866
631.431,177.866
634.486,-19.7628
637.54,177.866
640.595,-19.7628
643.65,-19.7628
646.704,-19.7628
649.759,-19.7628
652.814,-19.7628
655.868,177.866
