,GP550R
RamanShit,Intensity
261.817,61.0236
264.871,88.5827
267.926,88.5827
270.981,116.142
274.035,143.701
277.09,198.819
280.145,226.378
283.199,309.055
286.254,391.732
289.309,391.732
292.363,419.291
295.418,419.291
298.473,391.732
301.527,391.732
304.582,391.732
307.637,391.732
310.691,446.85
313.746,557.087
316.801,667.323
319.855,667.323
322.91,777.559
325.965,639.764
329.019,529.528
332.074,336.614
335.129,198.819
338.183,143.701
341.238,116.142
344.293,116.142
347.347,88.5827
350.402,88.5827
353.457,61.0236
356.511,61.0236
359.566,61.0236
362.621,88.5827
365.675,88.5827
368.73,88.5827
371.785,88.5827
374.839,116.142
377.894,116.142
380.949,143.701
384.003,226.378
387.058,364.173
390.113,501.969
393.167,694.882
396.222,832.677
399.277,1025.59
402.331,832.677
405.386,722.441
408.441,529.528
411.495,419.291
414.55,391.732
417.605,364.173
420.659,364.173
423.714,309.055
426.768,226.378
429.823,143.701
432.878,116.142
435.932,116.142
438.987,116.142
442.042,116.142
445.096,116.142
448.151,116.142
451.206,88.5827
454.26,61.0236
457.315,61.0236
460.37,61.0236
463.424,61.0236
466.479,61.0236
469.534,88.5827
472.588,143.701
475.643,226.378
478.698,391.732
481.752,667.323
484.807,1025.59
487.862,1080.71
490.916,832.677
493.971,694.882
497.026,446.85
500.08,336.614
503.135,309.055
506.19,336.614
509.244,336.614
512.299,336.614
515.354,364.173
518.408,364.173
521.463,364.173
524.518,391.732
527.572,391.732
530.627,391.732
533.682,419.291
536.736,391.732
539.791,391.732
542.846,281.496
545.9,171.26
548.955,198.819
552.01,198.819
555.064,198.819
558.119,198.819
561.174,198.819
564.228,226.378
567.283,226.378
570.338,226.378
573.392,253.937
576.447,281.496
579.502,281.496
582.556,253.937
585.611,253.937
588.666,198.819
591.72,143.701
594.775,143.701
597.83,143.701
600.884,143.701
603.939,171.26
606.994,171.26
610.048,198.819
613.103,226.378
616.158,226.378
619.212,226.378
622.267,226.378
625.322,198.819
628.376,198.819
631.431,198.819
634.486,198.819
637.54,198.819
640.595,198.819
643.65,198.819
646.704,171.26
649.759,171.26
652.814,171.26
655.868,143.701
658.923,143.701
661.977,143.701
665.032,171.26
668.087,226.378
671.141,364.173
674.196,557.087
677.251,915.354
680.305,1659.45
683.36,2651.57
686.415,4856.3
689.469,5104.33
692.524,3064.96
695.579,2403.54
698.633,1328.74
701.688,750
704.743,474.409
707.797,336.614
710.852,253.937
713.907,226.378
716.961,171.26
720.016,143.701
723.071,116.142
726.125,116.142
729.18,116.142
732.235,116.142
735.289,88.5827
738.344,88.5827
741.399,88.5827
744.453,88.5827
747.508,61.0236
750.563,61.0236
753.617,33.4646
756.672,33.4646
759.727,61.0236
762.781,61.0236
765.836,88.5827
768.891,88.5827
771.945,61.0236
775,61.0236
778.055,61.0236
781.109,61.0236
784.164,61.0236
787.219,61.0236
790.273,61.0236
793.328,61.0236
796.383,61.0236
799.437,61.0236
802.492,61.0236
805.547,61.0236
808.601,61.0236
811.656,88.5827
814.711,116.142
817.765,116.142
820.82,143.701
823.875,143.701
826.929,143.701
829.984,171.26
833.039,198.819
836.093,226.378
839.148,226.378
842.203,226.378
845.257,226.378
848.312,198.819
851.367,198.819
854.421,198.819
857.476,198.819
860.531,198.819
863.585,198.819
866.64,198.819
869.695,171.26
872.749,171.26
875.804,143.701
878.859,143.701
881.913,143.701
884.968,116.142
888.023,116.142
891.077,116.142
894.132,116.142
897.186,143.701
900.241,143.701
903.296,143.701
906.35,171.26
909.405,171.26
912.46,171.26
915.514,198.819
918.569,198.819
921.624,171.26
924.678,171.26
927.733,171.26
930.788,171.26
933.842,143.701
936.897,116.142
939.952,88.5827
943.006,88.5827
946.061,88.5827
949.116,88.5827
952.17,88.5827
955.225,88.5827
958.28,88.5827
961.334,88.5827
964.389,88.5827
967.444,61.0236
970.498,61.0236
973.553,61.0236
976.608,61.0236
979.662,61.0236
982.717,61.0236
985.772,61.0236
988.826,88.5827
991.881,116.142
994.936,143.701
997.99,171.26
1001.05,281.496
1004.1,391.732
1007.15,529.528
1010.21,612.205
1013.26,667.323
1016.32,584.646
1019.37,557.087
1022.43,419.291
1025.48,309.055
1028.54,198.819
1031.59,143.701
1034.65,116.142
1037.7,116.142
1040.76,116.142
1043.81,143.701
1046.86,171.26
1049.92,198.819
1052.97,253.937
1056.03,364.173
1059.08,557.087
1062.14,805.118
1065.19,1080.71
1068.25,1301.18
1071.3,1466.54
1074.36,1328.74
1077.41,1301.18
1080.47,1163.39
1083.52,860.236
1086.58,612.205
1089.63,419.291
1092.68,281.496
1095.74,253.937
1098.79,253.937
1101.85,253.937
1104.9,253.937
1107.96,253.937
1111.01,253.937
1114.07,226.378
1117.12,171.26
1120.18,116.142
1123.23,88.5827
1126.29,116.142
1129.34,171.26
1132.4,253.937
1135.45,391.732
1138.5,529.528
1141.56,694.882
1144.61,915.354
1147.67,1108.27
1150.72,1273.62
1153.78,1383.86
1156.83,1438.98
1159.89,1521.65
1162.94,1742.13
1166,1990.16
1169.05,2127.95
1172.11,2238.19
1175.16,1990.16
1178.22,1659.45
1181.27,1218.5
1184.32,777.559
1187.38,474.409
1190.43,364.173
1193.49,281.496
1196.54,198.819
1199.6,143.701
1202.65,171.26
1205.71,198.819
1208.76,253.937
1211.82,391.732
1214.87,557.087
1217.93,750
1220.98,915.354
1224.04,998.031
1227.09,1053.15
1230.14,998.031
1233.2,970.472
1236.25,860.236
1239.31,722.441
1242.36,584.646
1245.42,446.85
1248.47,336.614
1251.53,281.496
1254.58,198.819
1257.64,143.701
1260.69,88.5827
1263.75,88.5827
1266.8,88.5827
1269.86,198.819
1272.91,336.614
1275.96,501.969
1279.02,667.323
1282.07,750
1285.13,832.677
1288.18,750
1291.24,667.323
1294.29,474.409
1297.35,281.496
