,GP550R
RamanShit,Intensity
264.984,39.5257
268.029,39.5257
271.074,39.5257
274.119,39.5257
277.163,39.5257
280.208,39.5257
283.253,197.628
286.298,197.628
289.343,355.731
292.388,513.834
295.433,513.834
298.478,513.834
301.522,671.937
304.567,671.937
307.612,830.04
310.657,988.142
313.702,1620.55
316.747,2569.17
319.792,3359.68
322.837,5098.81
325.881,5415.02
328.926,3201.58
331.971,2252.96
335.016,988.142
338.061,355.731
341.106,197.628
344.151,39.5257
347.196,39.5257
350.24,39.5257
353.285,39.5257
356.33,39.5257
359.375,197.628
362.42,197.628
365.465,197.628
368.51,197.628
371.554,197.628
374.599,355.731
377.644,513.834
380.689,671.937
383.734,830.04
386.779,1462.45
389.824,2411.07
392.869,3675.89
395.913,4466.4
398.958,5256.92
402.003,4466.4
405.048,3359.68
408.093,1620.55
411.138,830.04
414.183,671.937
417.228,513.834
420.272,513.834
423.317,513.834
426.362,513.834
429.407,355.731
432.452,197.628
435.497,197.628
438.542,197.628
441.587,197.628
444.631,355.731
447.676,355.731
450.721,513.834
453.766,513.834
456.811,355.731
459.856,197.628
462.901,39.5257
465.946,39.5257
468.99,39.5257
472.035,39.5257
475.08,39.5257
478.125,39.5257
481.17,39.5257
484.215,39.5257
487.26,197.628
490.304,197.628
493.349,39.5257
496.394,39.5257
499.439,39.5257
502.484,39.5257
505.529,39.5257
508.574,197.628
511.619,355.731
514.663,355.731
517.708,355.731
520.753,513.834
523.798,671.937
526.843,830.04
529.888,988.142
532.933,988.142
535.978,830.04
539.022,671.937
542.067,513.834
545.112,355.731
548.157,197.628
551.202,39.5257
554.247,39.5257
557.292,39.5257
560.337,39.5257
563.381,39.5257
566.426,197.628
569.471,197.628
572.516,197.628
575.561,197.628
578.606,197.628
581.651,197.628
584.696,39.5257
587.74,39.5257
590.785,39.5257
593.83,39.5257
596.875,39.5257
599.92,39.5257
602.965,39.5257
606.01,39.5257
609.054,39.5257
612.099,39.5257
615.144,39.5257
618.189,197.628
621.234,355.731
624.279,513.834
627.324,513.834
630.369,513.834
633.413,355.731
636.458,197.628
639.503,197.628
642.548,197.628
645.593,197.628
648.638,197.628
651.683,197.628
654.728,197.628
657.772,197.628
660.817,355.731
663.862,513.834
666.907,671.937
669.952,988.142
672.997,1462.45
676.042,2411.07
679.087,4466.4
682.131,8577.08
685.176,11422.9
688.221,15849.8
691.266,11422.9
694.311,9683.79
697.356,6047.43
700.401,3201.58
703.446,1936.76
706.49,1304.35
709.535,830.04
712.58,671.937
715.625,513.834
718.67,355.731
721.715,197.628
724.76,197.628
727.804,197.628
730.849,39.5257
733.894,39.5257
736.939,39.5257
739.984,39.5257
743.029,39.5257
746.074,39.5257
749.119,39.5257
752.163,39.5257
755.208,39.5257
758.253,39.5257
761.298,39.5257
764.343,197.628
767.388,197.628
770.433,197.628
773.478,197.628
776.522,197.628
779.567,197.628
782.612,197.628
785.657,39.5257
788.702,39.5257
791.747,39.5257
794.792,39.5257
797.837,39.5257
800.881,39.5257
803.926,39.5257
806.971,39.5257
810.016,39.5257
813.061,39.5257
816.106,39.5257
819.151,39.5257
822.196,39.5257
825.24,39.5257
828.285,39.5257
831.33,39.5257
834.375,39.5257
837.42,39.5257
840.465,39.5257
843.51,39.5257
846.554,39.5257
849.599,39.5257
852.644,39.5257
855.689,39.5257
858.734,39.5257
861.779,39.5257
864.824,39.5257
867.869,39.5257
870.913,39.5257
873.958,39.5257
877.003,39.5257
880.048,39.5257
883.093,39.5257
886.138,39.5257
889.183,39.5257
892.228,39.5257
895.272,39.5257
898.317,39.5257
901.362,39.5257
904.407,39.5257
907.452,39.5257
910.497,39.5257
913.542,197.628
916.587,197.628
919.631,197.628
922.676,197.628
925.721,197.628
928.766,197.628
931.811,39.5257
934.856,39.5257
937.901,39.5257
940.946,39.5257
943.99,39.5257
947.035,39.5257
950.08,39.5257
953.125,39.5257
956.17,39.5257
959.215,39.5257
962.26,39.5257
965.304,39.5257
968.349,39.5257
971.394,39.5257
974.439,39.5257
977.484,39.5257
980.529,39.5257
