,GP550R
RamanShit,Intensity
258.696,61.0236
261.755,116.142
264.815,143.701
267.874,226.378
270.934,446.85
273.994,612.205
277.053,887.795
280.113,612.205
283.172,584.646
286.232,529.528
289.291,474.409
292.351,474.409
295.411,474.409
298.47,474.409
301.53,474.409
304.589,501.969
307.649,557.087
310.709,639.764
313.768,750
316.828,667.323
319.887,639.764
322.947,557.087
326.006,391.732
329.066,253.937
332.126,143.701
335.185,116.142
338.245,88.5827
341.304,88.5827
344.364,116.142
347.424,198.819
350.483,364.173
353.543,474.409
356.602,584.646
359.662,474.409
362.721,446.85
365.781,364.173
368.841,253.937
371.9,226.378
374.96,226.378
378.019,198.819
381.079,198.819
384.138,198.819
387.198,198.819
390.258,171.26
393.317,226.378
396.377,584.646
399.436,612.205
402.496,639.764
405.556,777.559
408.615,777.559
411.675,777.559
414.734,750
417.794,694.882
420.853,557.087
423.913,446.85
426.973,336.614
430.032,226.378
433.092,143.701
436.151,116.142
439.211,88.5827
442.271,88.5827
445.33,61.0236
448.39,5.90551
451.449,33.4646
454.509,33.4646
457.568,33.4646
460.628,33.4646
463.688,33.4646
466.747,33.4646
469.807,61.0236
472.866,143.701
475.926,419.291
478.986,805.118
482.045,1218.5
485.105,1466.54
488.164,1494.09
491.224,1549.21
494.283,1576.77
497.343,1687.01
500.403,1879.92
503.462,2045.28
506.522,2155.51
509.581,2100.39
512.641,2072.83
515.7,2017.72
518.76,1907.48
521.82,1824.8
524.879,1935.04
527.939,1935.04
530.998,2155.51
534.058,2045.28
537.118,1935.04
540.177,1714.57
543.237,1438.98
546.296,1494.09
549.356,1521.65
552.415,1852.36
555.475,2431.1
558.535,2927.17
561.594,2982.28
564.654,2624.02
567.713,2375.98
570.773,1797.24
573.833,1218.5
576.892,887.795
579.952,750
583.011,832.677
586.071,860.236
589.13,1190.94
592.19,2045.28
595.25,4029.53
598.309,4277.56
601.369,4498.03
604.428,4387.8
607.488,2486.22
610.548,1852.36
613.607,1466.54
616.667,1190.94
619.726,915.354
622.786,639.764
625.845,501.969
628.905,474.409
631.965,474.409
635.024,474.409
638.084,446.85
641.143,336.614
644.203,171.26
647.262,143.701
650.322,143.701
653.382,116.142
656.441,116.142
659.501,116.142
