,GP550R
RamanShit,Intensity
258.762,882.353
261.817,294.118
264.871,294.118
267.926,490.196
270.981,882.353
274.035,2058.82
277.09,2647.06
280.145,3235.29
283.199,2647.06
286.254,2254.9
289.309,1666.67
292.363,882.353
295.418,686.275
298.473,490.196
301.527,490.196
304.582,490.196
307.637,1078.43
310.691,2058.82
313.746,3039.22
316.801,3823.53
319.855,3235.29
322.91,3039.22
325.965,2843.14
329.019,2058.82
332.074,1666.67
335.129,1470.59
338.183,1274.51
341.238,1274.51
344.293,1274.51
347.347,1666.67
350.402,2450.98
353.457,4019.61
356.511,5196.08
359.566,6372.55
362.621,5196.08
365.675,4607.84
368.73,3235.29
371.785,1862.75
374.839,1078.43
377.894,686.275
380.949,490.196
384.003,294.118
387.058,294.118
390.113,294.118
393.167,294.118
396.222,490.196
399.277,686.275
402.331,1470.59
405.386,2647.06
408.441,3627.45
411.495,4215.69
414.55,4411.76
417.605,4215.69
420.659,4019.61
423.714,3823.53
426.768,3627.45
429.823,3627.45
432.878,3823.53
435.932,4411.76
438.987,5000
442.042,5784.31
445.096,5000
448.151,4215.69
451.206,3235.29
454.26,3235.29
457.315,3431.37
460.37,3823.53
463.424,4215.69
466.479,5000
469.534,4215.69
472.588,3823.53
475.643,2450.98
478.698,1078.43
481.752,294.118
484.807,294.118
487.862,294.118
490.916,490.196
493.971,686.275
497.026,1470.59
500.08,2647.06
503.135,3627.45
506.19,4215.69
509.244,4803.92
512.299,5196.08
515.354,5392.16
518.408,5784.31
521.463,6176.47
524.518,7352.94
527.572,8921.57
530.627,10294.1
533.682,11862.7
536.736,11470.6
539.791,10294.1
542.846,9705.88
545.9,8725.49
548.955,8333.33
552.01,9117.65
555.064,10490.2
558.119,13823.5
561.174,15588.2
564.228,16960.8
567.283,15588.2
570.338,15000
573.392,12254.9
576.447,8333.33
579.502,5588.24
582.556,4607.84
585.611,4803.92
588.666,5000
591.72,6372.55
594.775,10294.1
597.83,12647.1
600.884,15784.3
603.939,12647.1
606.994,11078.4
610.048,7941.18
613.103,5196.08
616.158,4019.61
619.212,3039.22
622.267,2058.82
625.322,1470.59
628.376,1274.51
631.431,1470.59
634.486,1470.59
637.54,1666.67
640.595,1470.59
643.65,1274.51
646.704,1078.43
649.759,1078.43
652.814,1274.51
655.868,1470.59
658.923,1862.75
661.977,1862.75
665.032,1862.75
668.087,1666.67
671.141,1274.51
674.196,882.353
677.251,490.196
680.305,294.118
683.36,98.0392
686.415,98.0392
689.469,98.0392
692.524,98.0392
695.579,98.0392
698.633,98.0392
701.688,98.0392
704.743,98.0392
707.797,294.118
710.852,294.118
713.907,490.196
716.961,490.196
720.016,490.196
723.071,686.275
726.125,490.196
729.18,490.196
732.235,490.196
735.289,490.196
738.344,490.196
741.399,294.118
744.453,294.118
747.508,294.118
750.563,294.118
753.617,294.118
756.672,294.118
759.727,294.118
762.781,294.118
765.836,294.118
768.891,294.118
771.945,490.196
775,490.196
778.055,490.196
781.109,490.196
784.164,490.196
787.219,490.196
790.273,490.196
793.328,686.275
796.383,686.275
799.437,686.275
802.492,490.196
805.547,490.196
808.601,490.196
811.656,490.196
814.711,294.118
817.765,294.118
820.82,294.118
823.875,98.0392
826.929,98.0392
829.984,98.0392
833.039,98.0392
836.093,98.0392
839.148,98.0392
842.203,98.0392
845.257,98.0392
848.312,98.0392
851.367,98.0392
854.421,98.0392
857.476,98.0392
860.531,98.0392
863.585,98.0392
866.64,98.0392
869.695,98.0392
872.749,98.0392
875.804,98.0392
878.859,98.0392
881.913,98.0392
884.968,98.0392
888.023,98.0392
891.077,98.0392
894.132,98.0392
897.186,98.0392
900.241,98.0392
903.296,98.0392
906.35,98.0392
909.405,98.0392
912.46,98.0392
915.514,98.0392
918.569,98.0392
921.624,98.0392
924.678,98.0392
927.733,98.0392
930.788,98.0392
933.842,98.0392
936.897,98.0392
939.952,294.118
943.006,490.196
946.061,1078.43
949.116,1666.67
952.17,2254.9
955.225,2450.98
958.28,2647.06
961.334,3039.22
964.389,4019.61
967.444,5784.31
970.498,8333.33
973.553,11078.4
976.608,12451
979.662,12843.1
982.717,13235.3
985.772,13627.5
988.826,17941.2
991.881,18529.4
994.936,13431.4
997.99,11078.4
1001.05,8725.49
1004.1,7352.94
1007.15,8725.49
1010.21,9901.96
1013.26,13627.5
1016.32,20098
1019.37,23823.5
1022.43,27549
1025.48,23823.5
1028.54,23039.2
1031.59,20098
1034.65,16372.5
1037.7,13627.5
1040.76,11666.7
1043.81,10098
1046.86,8333.33
1049.92,6176.47
1052.97,4411.76
1056.03,3235.29
1059.08,2843.14
1062.14,2843.14
1065.19,3039.22
1068.25,3431.37
1071.3,4019.61
1074.36,4019.61
1077.41,4019.61
1080.47,3823.53
1083.52,3431.37
1086.58,3039.22
1089.63,2647.06
1092.68,1666.67
1095.74,882.353
1098.79,490.196
1101.85,490.196
1104.9,490.196
1107.96,882.353
1111.01,1666.67
1114.07,3627.45
1117.12,4803.92
1120.18,6176.47
1123.23,4803.92
1126.29,4019.61
1129.34,2450.98
1132.4,1274.51
1135.45,686.275
1138.5,490.196
1141.56,490.196
1144.61,490.196
1147.67,686.275
1150.72,882.353
1153.78,686.275
1156.83,490.196
1159.89,294.118
1162.94,98.0392
1166,98.0392
1169.05,98.0392
1172.11,98.0392
1175.16,98.0392
1178.22,98.0392
1181.27,98.0392
1184.32,98.0392
1187.38,98.0392
1190.43,294.118
1193.49,98.0392
1196.54,98.0392
1199.6,294.118
1202.65,294.118
1205.71,294.118
1208.76,294.118
1211.82,294.118
1214.87,294.118
1217.93,294.118
1220.98,294.118
1224.04,294.118
1227.09,294.118
1230.14,294.118
1233.2,98.0392
1236.25,98.0392
1239.31,98.0392
1242.36,98.0392
1245.42,98.0392
1248.47,98.0392
1251.53,98.0392
1254.58,294.118
1257.64,98.0392
1260.69,98.0392
1263.75,98.0392
1266.8,98.0392
1269.86,98.0392
1272.91,98.0392
1275.96,98.0392
1279.02,98.0392
1282.07,98.0392
1285.13,98.0392
1288.18,98.0392
1291.24,98.0392
1294.29,98.0392
1297.35,98.0392
1300.4,98.0392
1303.46,98.0392
1306.51,98.0392
1309.57,98.0392
1312.62,98.0392
1315.68,98.0392
1318.73,98.0392
1321.78,98.0392
1324.84,98.0392
1327.89,98.0392
1330.95,98.0392
1334,98.0392
1337.06,98.0392
1340.11,98.0392
1343.17,294.118
1346.22,294.118
1349.28,294.118
1352.33,294.118
1355.39,294.118
1358.44,294.118
1361.5,294.118
1364.55,294.118
1367.6,294.118
1370.66,294.118
1373.71,294.118
1376.77,294.118
1379.82,294.118
1382.88,294.118
1385.93,294.118
1388.99,294.118
1392.04,294.118
1395.1,294.118
1398.15,294.118
1401.21,294.118
1404.26,294.118
1407.32,294.118
1410.37,294.118
1413.42,294.118
1416.48,294.118
1419.53,294.118
1422.59,294.118
1425.64,294.118
1428.7,294.118
1431.75,294.118
1434.81,294.118
1437.86,294.118
1440.92,294.118
1443.97,294.118
1447.03,294.118
1450.08,294.118
1453.14,294.118
1456.19,294.118
1459.24,294.118
1462.3,294.118
1465.35,294.118
1468.41,294.118
1471.46,294.118
1474.52,294.118
1477.57,294.118
1480.63,294.118
