,GP550R
RamanShit,Intensity
255.636,503.937
258.696,125.984
261.755,125.984
264.815,220.472
267.874,409.449
270.934,881.89
273.994,1259.84
277.053,1354.33
280.113,1448.82
283.172,1259.84
286.232,1165.35
289.291,881.89
292.351,692.913
295.411,598.425
298.47,598.425
301.53,692.913
304.589,881.89
307.649,1448.82
310.709,1921.26
313.768,2015.75
316.828,2015.75
319.887,1921.26
322.947,1826.77
326.006,1637.8
329.066,1448.82
332.126,1259.84
335.185,1165.35
338.245,1070.87
341.304,1070.87
344.364,1165.35
347.424,1448.82
350.483,2110.24
353.543,2582.68
356.602,3149.61
359.662,2582.68
362.721,2299.21
365.781,1543.31
368.841,881.89
371.9,503.937
374.96,220.472
378.019,220.472
381.079,220.472
384.138,125.984
387.198,125.984
390.258,125.984
393.317,125.984
396.377,314.961
399.436,503.937
402.496,1070.87
405.556,1637.8
408.615,1921.26
411.675,2110.24
414.734,1921.26
417.794,1732.28
420.853,1543.31
423.913,1448.82
426.973,1543.31
430.032,1637.8
433.092,2110.24
436.151,2582.68
439.211,3149.61
442.271,2582.68
445.33,2299.21
448.39,2015.75
451.449,1921.26
454.509,2110.24
457.568,2393.7
460.628,2677.17
463.688,3716.54
466.747,4000
469.807,2488.19
472.866,1637.8
475.926,598.425
478.986,220.472
482.045,220.472
485.105,220.472
488.164,220.472
491.224,314.961
494.283,503.937
497.343,976.378
500.403,1448.82
503.462,1826.77
506.522,2015.75
509.581,2110.24
512.641,2204.72
515.7,2393.7
518.76,2582.68
521.82,3055.12
524.879,3811.02
527.939,4755.91
530.998,5511.81
534.058,5322.83
537.118,5133.86
540.177,5039.37
543.237,4661.42
546.296,4944.88
549.356,5039.37
552.415,5984.25
555.475,8251.97
558.535,9574.8
561.594,11748
564.654,12031.5
567.713,9480.31
570.773,8157.48
573.833,5511.81
576.892,3433.07
579.952,2488.19
583.011,2299.21
586.071,2488.19
589.13,3244.09
592.19,4944.88
595.25,6078.74
598.309,7685.04
601.369,6078.74
604.428,5795.28
607.488,5039.37
610.548,4188.98
613.607,3811.02
616.667,3244.09
619.726,2393.7
622.786,1921.26
625.845,1637.8
628.905,1826.77
631.965,1826.77
635.024,1921.26
638.084,1732.28
641.143,1448.82
644.203,1070.87
647.262,976.378
650.322,976.378
653.382,1070.87
656.441,1070.87
659.501,1070.87
662.56,1070.87
665.62,976.378
668.68,692.913
671.739,503.937
674.799,314.961
677.858,220.472
680.918,125.984
683.977,125.984
687.037,31.4961
690.097,31.4961
693.156,31.4961
696.216,31.4961
699.275,31.4961
702.335,31.4961
705.395,125.984
708.454,125.984
711.514,220.472
714.573,314.961
717.633,314.961
720.692,409.449
723.752,409.449
726.812,409.449
729.871,314.961
732.931,314.961
735.99,220.472
739.05,220.472
742.11,125.984
745.169,125.984
748.229,125.984
751.288,125.984
754.348,125.984
757.407,125.984
760.467,125.984
763.527,125.984
766.586,125.984
769.646,125.984
772.705,125.984
775.765,125.984
778.824,125.984
781.884,125.984
784.944,125.984
788.003,125.984
791.063,125.984
794.122,125.984
797.182,125.984
800.242,125.984
803.301,125.984
806.361,125.984
809.42,125.984
812.48,125.984
815.539,220.472
818.599,220.472
821.659,220.472
824.718,220.472
827.778,220.472
830.837,314.961
833.897,314.961
836.957,314.961
840.016,314.961
843.076,409.449
846.135,409.449
849.195,409.449
852.254,409.449
855.314,409.449
858.374,409.449
861.433,314.961
864.493,314.961
867.552,314.961
870.612,314.961
873.671,314.961
876.731,314.961
879.791,314.961
882.85,220.472
885.91,220.472
888.969,220.472
892.029,220.472
895.089,220.472
898.148,125.984
901.208,125.984
904.267,125.984
907.327,125.984
910.386,125.984
913.446,125.984
916.506,125.984
919.565,125.984
922.625,125.984
925.684,125.984
928.744,125.984
931.804,125.984
934.863,125.984
937.923,125.984
940.982,314.961
944.042,598.425
947.101,881.89
950.161,1165.35
953.221,1165.35
956.28,1259.84
959.34,1354.33
962.399,1921.26
965.459,2960.63
968.519,4661.42
971.578,6078.74
974.638,6551.18
977.697,6645.67
980.757,6645.67
983.816,6929.13
986.876,7401.57
989.936,7685.04
992.995,5984.25
996.055,4661.42
999.114,3811.02
1002.17,3244.09
1005.23,3905.51
1008.29,5133.86
1011.35,8251.97
1014.41,12787.4
1017.47,15338.6
1020.53,17889.8
1023.59,15338.6
1026.65,14677.2
1029.71,12598.4
1032.77,10236.2
1035.83,8629.92
1038.89,7590.55
1041.95,6645.67
1045.01,5511.81
1048.07,4094.49
1051.13,2771.65
1054.19,1732.28
1057.25,1259.84
1060.31,1070.87
1063.37,1259.84
1066.43,1543.31
1069.48,1732.28
1072.54,1921.26
1075.6,1732.28
1078.66,1543.31
1081.72,1165.35
1084.78,881.89
1087.84,598.425
1090.9,409.449
1093.96,220.472
1097.02,220.472
1100.08,220.472
1103.14,220.472
1106.2,409.449
1109.26,881.89
1112.32,1732.28
1115.38,2299.21
1118.44,2771.65
1121.5,2299.21
1124.56,1921.26
1127.62,1259.84
1130.68,692.913
1133.74,598.425
1136.8,598.425
1139.86,692.913
1142.91,787.402
1145.97,976.378
1149.03,1165.35
1152.09,1259.84
