,GP550R
RamanShit,Intensity
255.707,-1058.82
258.762,-431.373
261.817,-117.647
264.871,-117.647
267.926,196.078
270.981,196.078
274.035,509.804
277.09,823.529
280.145,1137.25
283.199,1764.71
286.254,2078.43
289.309,2392.16
292.363,3647.06
295.418,5843.14
298.473,8980.39
301.527,13686.3
304.582,20588.2
307.637,30941.2
310.691,43490.2
313.746,50392.2
316.801,56039.2
319.855,50392.2
322.91,44745.1
325.965,32823.5
329.019,21843.1
332.074,14000
335.129,8666.67
338.183,5215.69
341.238,3019.61
344.293,1450.98
347.347,823.529
350.402,196.078
353.457,196.078
356.511,196.078
359.566,509.804
362.621,509.804
365.675,823.529
368.73,509.804
371.785,196.078
374.839,196.078
377.894,196.078
380.949,509.804
384.003,823.529
387.058,1450.98
390.113,2392.16
393.167,3647.06
396.222,5529.41
399.277,8980.39
402.331,13686.3
405.386,16509.8
408.441,21215.7
411.495,21843.1
414.55,16823.5
417.605,14941.2
420.659,10549
423.714,6784.31
426.768,4274.51
429.823,2392.16
432.878,1137.25
435.932,823.529
438.987,823.529
442.042,823.529
445.096,1137.25
448.151,1137.25
451.206,1450.98
454.26,1450.98
457.315,1137.25
460.37,1137.25
463.424,509.804
466.479,509.804
469.534,509.804
472.588,509.804
475.643,509.804
478.698,1137.25
481.752,1764.71
484.807,3019.61
487.862,4901.96
490.916,7725.49
493.971,11490.2
497.026,13686.3
500.08,15882.4
503.135,13686.3
506.19,12431.4
509.244,9294.12
512.299,6156.86
515.354,4588.24
518.408,3647.06
521.463,3647.06
524.518,3647.06
527.572,4274.51
530.627,5215.69
533.682,6470.59
536.736,7725.49
539.791,8352.94
542.846,8352.94
545.9,8039.22
548.955,7411.76
552.01,5843.14
555.064,4274.51
558.119,3019.61
561.174,2078.43
564.228,1137.25
567.283,823.529
570.338,509.804
573.392,196.078
576.447,196.078
579.502,196.078
582.556,196.078
585.611,196.078
588.666,196.078
591.72,509.804
594.775,823.529
597.83,1137.25
600.884,1450.98
603.939,2078.43
606.994,3019.61
610.048,4274.51
613.103,5843.14
616.158,7725.49
619.212,9921.57
622.267,12431.4
625.322,15568.6
628.376,19019.6
631.431,21843.1
634.486,23411.8
637.54,24666.7
640.595,23411.8
643.65,22470.6
646.704,19960.8
649.759,16823.5
652.814,14000
655.868,11176.5
658.923,8980.39
661.977,7098.04
665.032,5843.14
668.087,4588.24
671.141,3333.33
674.196,2705.88
677.251,2392.16
680.305,1764.71
683.36,1450.98
686.415,1137.25
689.469,823.529
692.524,509.804
695.579,509.804
698.633,196.078
701.688,196.078
704.743,196.078
707.797,196.078
710.852,196.078
713.907,196.078
716.961,196.078
720.016,196.078
723.071,196.078
726.125,196.078
729.18,196.078
732.235,196.078
735.289,196.078
738.344,196.078
741.399,196.078
744.453,196.078
747.508,196.078
750.563,196.078
753.617,196.078
756.672,196.078
759.727,196.078
762.781,196.078
765.836,196.078
768.891,196.078
771.945,196.078
775,196.078
778.055,196.078
781.109,196.078
784.164,196.078
787.219,196.078
790.273,196.078
793.328,196.078
796.383,196.078
799.437,196.078
802.492,196.078
805.547,509.804
808.601,509.804
811.656,509.804
814.711,509.804
817.765,509.804
820.82,509.804
823.875,509.804
826.929,509.804
829.984,196.078
833.039,196.078
836.093,196.078
839.148,196.078
842.203,196.078
845.257,196.078
848.312,196.078
851.367,196.078
854.421,196.078
857.476,196.078
860.531,196.078
863.585,196.078
866.64,196.078
869.695,196.078
872.749,196.078
875.804,196.078
878.859,196.078
881.913,196.078
884.968,196.078
888.023,196.078
891.077,196.078
894.132,196.078
897.186,196.078
900.241,196.078
903.296,196.078
906.35,196.078
909.405,196.078
912.46,196.078
915.514,196.078
918.569,196.078
921.624,196.078
924.678,196.078
927.733,196.078
930.788,196.078
933.842,196.078
936.897,196.078
939.952,196.078
943.006,196.078
946.061,196.078
949.116,196.078
952.17,196.078
955.225,196.078
958.28,196.078
961.334,196.078
964.389,196.078
967.444,196.078
970.498,196.078
973.553,196.078
976.608,196.078
979.662,196.078
982.717,196.078
985.772,196.078
988.826,196.078
991.881,196.078
994.936,196.078
997.99,196.078
1001.05,196.078
1004.1,196.078
1007.15,196.078
1010.21,196.078
1013.26,196.078
1016.32,196.078
1019.37,196.078
1022.43,196.078
1025.48,196.078
1028.54,196.078
1031.59,196.078
1034.65,196.078
1037.7,196.078
1040.76,196.078
1043.81,196.078
1046.86,196.078
1049.92,196.078
1052.97,196.078
1056.03,196.078
1059.08,196.078
1062.14,196.078
1065.19,196.078
1068.25,196.078
1071.3,196.078
1074.36,196.078
1077.41,196.078
1080.47,196.078
1083.52,196.078
1086.58,196.078
1089.63,196.078
1092.68,196.078
1095.74,196.078
1098.79,196.078
1101.85,196.078
1104.9,196.078
1107.96,196.078
1111.01,196.078
1114.07,196.078
1117.12,196.078
1120.18,196.078
1123.23,196.078
1126.29,196.078
1129.34,509.804
1132.4,509.804
1135.45,509.804
1138.5,509.804
1141.56,509.804
1144.61,509.804
1147.67,509.804
1150.72,509.804
1153.78,509.804
1156.83,509.804
1159.89,823.529
1162.94,823.529
1166,823.529
1169.05,823.529
1172.11,823.529
1175.16,823.529
1178.22,823.529
1181.27,509.804
1184.32,509.804
1187.38,509.804
1190.43,509.804
1193.49,509.804
1196.54,196.078
1199.6,196.078
1202.65,196.078
1205.71,196.078
1208.76,509.804
1211.82,509.804
1214.87,509.804
1217.93,509.804
1220.98,509.804
1224.04,509.804
1227.09,509.804
1230.14,509.804
1233.2,509.804
1236.25,509.804
1239.31,509.804
1242.36,509.804
1245.42,196.078
1248.47,196.078
1251.53,196.078
1254.58,196.078
1257.64,196.078
1260.69,196.078
1263.75,196.078
1266.8,196.078
1269.86,196.078
1272.91,196.078
1275.96,509.804
1279.02,509.804
1282.07,509.804
1285.13,509.804
1288.18,509.804
1291.24,196.078
1294.29,196.078
1297.35,196.078
1300.4,196.078
1303.46,196.078
1306.51,196.078
1309.57,196.078
1312.62,196.078
1315.68,196.078
1318.73,196.078
1321.78,196.078
1324.84,196.078
1327.89,509.804
1330.95,509.804
1334,509.804
1337.06,823.529
1340.11,823.529
1343.17,823.529
1346.22,823.529
1349.28,823.529
1352.33,823.529
1355.39,823.529
1358.44,509.804
1361.5,509.804
