,GP550R
RamanShit,Intensity
257.944,40.146
261.059,40.146
264.174,40.146
267.29,40.146
270.405,40.146
273.52,40.146
276.636,40.146
279.751,40.146
282.866,40.146
285.981,40.146
289.097,40.146
292.212,40.146
295.327,40.146
298.442,40.146
301.558,40.146
304.673,40.146
307.788,40.146
310.903,40.146
314.019,40.146
317.134,76.6423
320.249,76.6423
323.364,76.6423
326.48,76.6423
329.595,76.6423
332.71,76.6423
335.826,76.6423
338.941,76.6423
342.056,40.146
345.171,40.146
348.287,40.146
351.402,40.146
354.517,40.146
357.632,40.146
360.748,76.6423
363.863,113.139
366.978,149.635
370.093,405.109
373.209,551.095
376.324,186.131
379.439,186.131
382.555,149.635
385.67,113.139
388.785,113.139
391.9,113.139
395.016,113.139
398.131,149.635
401.246,149.635
404.361,332.117
407.477,514.599
410.592,1062.04
413.707,1281.02
416.822,551.095
419.938,514.599
423.053,405.109
426.168,295.62
429.283,222.628
432.399,186.131
435.514,186.131
438.629,149.635
441.745,149.635
444.86,149.635
447.975,113.139
451.09,76.6423
454.206,76.6423
457.321,76.6423
460.436,40.146
463.551,76.6423
466.667,76.6423
469.782,76.6423
472.897,76.6423
476.012,76.6423
479.128,76.6423
482.243,76.6423
485.358,76.6423
488.474,40.146
491.589,40.146
494.704,40.146
497.819,40.146
500.935,40.146
504.05,40.146
507.165,40.146
510.28,40.146
513.396,40.146
516.511,40.146
519.626,40.146
522.741,40.146
525.857,40.146
528.972,40.146
532.087,40.146
535.202,40.146
538.318,40.146
541.433,40.146
544.548,40.146
547.664,40.146
550.779,40.146
553.894,40.146
557.009,40.146
560.125,40.146
563.24,40.146
566.355,40.146
569.47,40.146
572.586,76.6423
575.701,40.146
578.816,40.146
581.931,40.146
585.047,40.146
588.162,40.146
591.277,40.146
594.393,40.146
597.508,40.146
600.623,40.146
603.738,40.146
606.854,40.146
609.969,40.146
613.084,40.146
616.199,40.146
619.315,40.146
622.43,40.146
625.545,113.139
628.66,149.635
631.776,222.628
634.891,295.62
638.006,368.613
641.121,514.599
644.237,368.613
647.352,332.117
650.467,259.124
653.583,222.628
656.698,149.635
659.813,113.139
662.928,76.6423
666.044,76.6423
