,GP550R
RamanShit,Intensity
244.444,72.4638
247.619,72.4638
250.794,72.4638
253.968,72.4638
257.143,217.391
260.317,217.391
263.492,217.391
266.667,217.391
269.841,217.391
273.016,217.391
276.19,217.391
279.365,217.391
282.54,217.391
285.714,217.391
288.889,217.391
292.063,217.391
295.238,217.391
314.286,217.391
317.46,217.391
320.635,217.391
323.81,217.391
326.984,217.391
330.159,217.391
333.333,217.391
336.508,217.391
339.683,217.391
342.857,217.391
346.032,362.319
349.206,362.319
352.381,362.319
355.556,362.319
358.73,362.319
361.905,362.319
365.079,362.319
368.254,362.319
371.429,362.319
374.603,507.246
377.778,507.246
380.952,652.174
384.127,797.101
387.302,797.101
390.476,797.101
393.651,797.101
396.825,797.101
400,797.101
403.175,652.174
406.349,507.246
409.524,507.246
412.698,507.246
415.873,362.319
419.048,362.319
422.222,217.391
425.397,217.391
428.571,217.391
431.746,217.391
434.921,217.391
438.095,217.391
441.27,217.391
444.444,217.391
447.619,217.391
450.794,217.391
453.968,217.391
457.143,217.391
460.317,217.391
463.492,217.391
466.667,217.391
469.841,217.391
473.016,217.391
476.19,217.391
479.365,217.391
482.54,217.391
485.714,217.391
488.889,217.391
492.063,217.391
495.238,217.391
498.413,217.391
501.587,217.391
504.762,217.391
507.937,217.391
511.111,217.391
514.286,217.391
517.46,217.391
520.635,217.391
523.81,217.391
526.984,217.391
530.159,217.391
533.333,217.391
536.508,217.391
539.683,217.391
542.857,217.391
546.032,217.391
549.206,217.391
552.381,217.391
555.556,217.391
558.73,217.391
561.905,217.391
565.079,217.391
568.254,217.391
571.429,217.391
574.603,217.391
577.778,362.319
580.952,362.319
584.127,362.319
587.302,362.319
590.476,362.319
593.651,507.246
596.825,507.246
600,507.246
603.175,507.246
606.349,507.246
609.524,507.246
612.698,507.246
615.873,507.246
619.048,362.319
622.222,362.319
625.397,362.319
628.571,362.319
631.746,362.319
634.921,217.391
638.095,217.391
641.27,217.391
644.444,217.391
647.619,217.391
650.794,217.391
653.968,217.391
657.143,217.391
660.317,217.391
663.492,217.391
666.667,217.391
669.841,217.391
673.016,217.391
676.19,217.391
679.365,217.391
682.54,217.391
685.714,217.391
688.889,217.391
692.063,217.391
695.238,217.391
698.413,217.391
701.587,217.391
704.762,217.391
707.937,217.391
711.111,217.391
714.286,217.391
717.46,217.391
720.635,217.391
723.81,217.391
726.984,217.391
730.159,217.391
733.333,217.391
736.508,217.391
739.683,217.391
742.857,217.391
746.032,217.391
