,GP550R
RamanShit,Intensity
255.707,334.646
258.762,885.827
261.817,1712.6
264.871,2814.96
267.926,5019.69
270.981,8051.18
274.035,9980.31
277.09,12185
280.145,9980.31
283.199,8877.95
286.254,6122.05
289.309,3366.14
292.363,1988.19
295.418,1161.42
298.473,885.827
301.527,610.236
304.582,334.646
307.637,334.646
310.691,334.646
313.746,59.0551
316.801,59.0551
319.855,59.0551
322.91,59.0551
325.965,59.0551
329.019,59.0551
332.074,59.0551
335.129,59.0551
338.183,59.0551
341.238,59.0551
344.293,59.0551
347.347,59.0551
350.402,59.0551
353.457,59.0551
356.511,59.0551
359.566,59.0551
362.621,59.0551
365.675,59.0551
368.73,59.0551
371.785,59.0551
374.839,59.0551
377.894,59.0551
380.949,59.0551
384.003,59.0551
387.058,59.0551
390.113,59.0551
393.167,59.0551
396.222,59.0551
399.277,59.0551
402.331,59.0551
405.386,59.0551
408.441,59.0551
411.495,59.0551
414.55,59.0551
417.605,59.0551
420.659,59.0551
423.714,59.0551
426.768,59.0551
429.823,59.0551
432.878,59.0551
435.932,59.0551
438.987,59.0551
442.042,59.0551
445.096,59.0551
448.151,59.0551
451.206,59.0551
454.26,59.0551
457.315,59.0551
460.37,59.0551
463.424,59.0551
466.479,59.0551
469.534,59.0551
472.588,59.0551
475.643,59.0551
478.698,59.0551
481.752,59.0551
484.807,59.0551
487.862,59.0551
490.916,59.0551
493.971,59.0551
497.026,59.0551
500.08,59.0551
503.135,59.0551
506.19,59.0551
509.244,59.0551
512.299,59.0551
515.354,59.0551
518.408,59.0551
521.463,59.0551
524.518,59.0551
527.572,59.0551
530.627,59.0551
533.682,59.0551
536.736,59.0551
539.791,59.0551
542.846,59.0551
545.9,59.0551
548.955,59.0551
552.01,59.0551
555.064,59.0551
558.119,334.646
561.174,334.646
564.228,334.646
567.283,334.646
570.338,334.646
573.392,334.646
576.447,334.646
579.502,334.646
582.556,334.646
585.611,334.646
588.666,334.646
591.72,334.646
594.775,334.646
597.83,334.646
600.884,334.646
603.939,334.646
606.994,334.646
610.048,334.646
613.103,334.646
616.158,334.646
619.212,334.646
622.267,334.646
625.322,334.646
628.376,334.646
631.431,334.646
634.486,334.646
637.54,334.646
640.595,59.0551
643.65,59.0551
646.704,59.0551
649.759,59.0551
652.814,59.0551
