,GP550R
RamanShit,Intensity
261.817,334.646
264.871,334.646
267.926,334.646
270.981,137.795
274.035,137.795
277.09,137.795
280.145,137.795
283.199,137.795
286.254,137.795
289.309,137.795
292.363,137.795
295.418,334.646
298.473,334.646
301.527,334.646
304.582,334.646
307.637,334.646
310.691,334.646
313.746,334.646
316.801,334.646
319.855,334.646
322.91,334.646
325.965,334.646
329.019,334.646
332.074,334.646
335.129,334.646
338.183,334.646
341.238,334.646
344.293,334.646
347.347,334.646
350.402,334.646
353.457,334.646
356.511,334.646
359.566,334.646
362.621,334.646
365.675,334.646
368.73,137.795
371.785,137.795
374.839,137.795
377.894,137.795
380.949,137.795
384.003,137.795
387.058,137.795
390.113,137.795
393.167,137.795
396.222,137.795
399.277,137.795
402.331,137.795
405.386,137.795
408.441,334.646
411.495,334.646
414.55,334.646
417.605,334.646
420.659,531.496
423.714,728.346
426.768,925.197
429.823,1122.05
432.878,1515.75
435.932,1515.75
438.987,1515.75
442.042,1318.9
445.096,1122.05
448.151,925.197
451.206,925.197
454.26,925.197
457.315,1122.05
460.37,1515.75
463.424,2696.85
466.479,4468.5
469.534,5255.91
472.588,6830.71
475.643,5059.06
478.698,3877.95
481.752,2106.3
484.807,1515.75
487.862,1318.9
490.916,1318.9
493.971,1318.9
497.026,1318.9
500.08,1122.05
503.135,1122.05
506.19,1122.05
509.244,925.197
512.299,925.197
515.354,728.346
518.408,531.496
521.463,334.646
524.518,334.646
527.572,334.646
530.627,334.646
533.682,531.496
536.736,728.346
539.791,728.346
542.846,531.496
545.9,531.496
548.955,531.496
552.01,531.496
555.064,531.496
558.119,334.646
561.174,334.646
564.228,137.795
567.283,137.795
570.338,137.795
573.392,137.795
576.447,137.795
579.502,137.795
582.556,137.795
585.611,137.795
588.666,137.795
591.72,334.646
594.775,531.496
597.83,728.346
600.884,925.197
603.939,1318.9
606.994,1515.75
610.048,1909.45
613.103,2500
616.158,3484.25
619.212,5452.76
622.267,8996.06
625.322,15098.4
628.376,19035.4
631.431,25531.5
634.486,19035.4
637.54,17657.5
640.595,12145.7
643.65,6437.01
646.704,4074.8
649.759,2696.85
652.814,1909.45
655.868,1515.75
658.923,1122.05
661.977,925.197
665.032,925.197
668.087,925.197
671.141,728.346
674.196,728.346
677.251,728.346
680.305,925.197
683.36,925.197
686.415,1122.05
689.469,1318.9
692.524,1318.9
695.579,1318.9
698.633,1122.05
701.688,728.346
704.743,334.646
707.797,137.795
710.852,137.795
713.907,137.795
716.961,137.795
720.016,137.795
723.071,137.795
726.125,137.795
729.18,137.795
732.235,137.795
735.289,137.795
738.344,137.795
741.399,137.795
744.453,137.795
747.508,137.795
750.563,137.795
753.617,137.795
756.672,137.795
759.727,137.795
762.781,334.646
765.836,531.496
768.891,728.346
771.945,925.197
775,925.197
778.055,925.197
781.109,728.346
784.164,531.496
787.219,531.496
790.273,334.646
793.328,137.795
796.383,137.795
799.437,137.795
802.492,137.795
805.547,137.795
808.601,334.646
811.656,334.646
814.711,334.646
817.765,334.646
820.82,334.646
823.875,334.646
826.929,334.646
829.984,334.646
833.039,334.646
836.093,334.646
839.148,531.496
842.203,531.496
845.257,531.496
848.312,531.496
851.367,531.496
854.421,531.496
857.476,531.496
860.531,531.496
863.585,728.346
866.64,531.496
869.695,531.496
872.749,531.496
875.804,531.496
878.859,531.496
881.913,334.646
884.968,334.646
888.023,334.646
891.077,334.646
894.132,137.795
897.186,137.795
900.241,137.795
903.296,137.795
906.35,137.795
909.405,137.795
912.46,137.795
915.514,137.795
918.569,137.795
921.624,137.795
924.678,137.795
927.733,137.795
930.788,137.795
933.842,137.795
936.897,137.795
939.952,137.795
943.006,137.795
946.061,334.646
949.116,334.646
952.17,334.646
955.225,334.646
958.28,334.646
961.334,334.646
964.389,334.646
967.444,334.646
970.498,334.646
973.553,334.646
976.608,334.646
979.662,334.646
982.717,334.646
985.772,334.646
988.826,334.646
991.881,137.795
994.936,137.795
997.99,137.795
1001.05,137.795
1004.1,137.795
1007.15,137.795
1010.21,137.795
1013.26,137.795
1016.32,137.795
1019.37,137.795
1022.43,137.795
1025.48,137.795
1028.54,137.795
1031.59,137.795
1034.65,137.795
1037.7,137.795
1040.76,137.795
1043.81,334.646
1046.86,334.646
1049.92,137.795
1052.97,137.795
1056.03,137.795
1059.08,137.795
1062.14,137.795
1065.19,137.795
1068.25,137.795
1071.3,137.795
1074.36,137.795
1077.41,137.795
1080.47,137.795
1083.52,137.795
1086.58,137.795
1089.63,137.795
1092.68,137.795
1095.74,137.795
1098.79,137.795
1101.85,137.795
1104.9,137.795
1107.96,334.646
1111.01,334.646
1114.07,334.646
1117.12,334.646
1120.18,334.646
1123.23,334.646
1126.29,334.646
1129.34,334.646
1132.4,334.646
1135.45,334.646
1138.5,334.646
1141.56,334.646
1144.61,334.646
1147.67,334.646
1150.72,334.646
1153.78,334.646
1156.83,334.646
1159.89,334.646
1162.94,334.646
1166,334.646
1169.05,334.646
1172.11,334.646
1175.16,334.646
1178.22,334.646
1181.27,334.646
1184.32,334.646
1187.38,334.646
1190.43,334.646
1193.49,334.646
1196.54,334.646
1199.6,137.795
1202.65,137.795
1205.71,137.795
1208.76,334.646
1211.82,334.646
1214.87,334.646
1217.93,334.646
1220.98,334.646
1224.04,334.646
1227.09,334.646
1230.14,137.795
1233.2,137.795
1236.25,137.795
1239.31,334.646
1242.36,334.646
1245.42,334.646
1248.47,334.646
1251.53,334.646
1254.58,334.646
1257.64,334.646
1260.69,334.646
1263.75,334.646
1266.8,334.646
1269.86,334.646
1272.91,531.496
1275.96,531.496
1279.02,334.646
1282.07,334.646
1285.13,334.646
1288.18,334.646
1291.24,334.646
1294.29,334.646
1297.35,334.646
1300.4,334.646
1303.46,334.646
1306.51,334.646
1309.57,334.646
1312.62,334.646
1315.68,334.646
1318.73,334.646
1321.78,334.646
1324.84,334.646
1327.89,334.646
1330.95,334.646
1334,334.646
1337.06,334.646
1340.11,334.646
1343.17,334.646
1346.22,334.646
1349.28,334.646
1352.33,334.646
1355.39,334.646
1358.44,334.646
1361.5,334.646
1364.55,334.646
1367.6,334.646
1370.66,334.646
1373.71,334.646
1376.77,334.646
1379.82,334.646
1382.88,334.646
1385.93,334.646
1388.99,334.646
1392.04,334.646
1395.1,334.646
1398.15,334.646
1401.21,334.646
1404.26,334.646
1407.32,137.795
1410.37,137.795
1413.42,137.795
1416.48,137.795
1419.53,334.646
1422.59,334.646
1425.64,334.646
1428.7,334.646
1431.75,334.646
1434.81,334.646
1437.86,334.646
1440.92,334.646
1443.97,334.646
1447.03,334.646
1450.08,334.646
1453.14,334.646
1456.19,334.646
1459.24,334.646
1462.3,334.646
1465.35,334.646
1468.41,334.646
1471.46,334.646
1474.52,334.646
1477.57,334.646
1480.63,334.646
1483.68,334.646
1486.74,334.646
1489.79,334.646
1492.85,334.646
1495.9,334.646
1498.95,531.496
1502.01,531.496
1505.06,531.496
1508.12,531.496
1511.17,531.496
1514.23,531.496
1517.28,531.496
1520.34,531.496
1523.39,531.496
1526.45,531.496
1529.5,531.496
1532.56,531.496
1535.61,531.496
1538.67,531.496
1541.72,531.496
1544.77,531.496
1547.83,531.496
1550.88,531.496
1553.94,531.496
1556.99,531.496
1560.05,531.496
1563.1,334.646
1566.16,334.646
1569.21,334.646
1572.27,334.646
1575.32,334.646
1578.38,334.646
1581.43,334.646
1584.49,334.646
1587.54,334.646
1590.59,334.646
1593.65,334.646
1596.7,334.646
1599.76,334.646
1602.81,334.646
1605.87,334.646
1608.92,334.646
1611.98,334.646
1615.03,334.646
1618.09,334.646
1621.14,334.646
1624.2,334.646
1627.25,334.646
1630.31,334.646
1633.36,334.646
1636.41,334.646
1639.47,137.795
1642.52,137.795
1645.58,137.795
1648.63,137.795
1651.69,137.795
1654.74,137.795
