,GP550R
RamanShit,Intensity
261.878,-78.7402
264.928,-78.7402
267.978,-78.7402
271.027,-78.7402
274.077,-78.7402
277.127,-78.7402
280.177,-78.7402
283.226,-78.7402
286.276,-78.7402
289.326,-78.7402
292.376,-78.7402
295.425,-78.7402
298.475,-78.7402
301.525,-78.7402
304.575,-78.7402
307.624,-78.7402
310.674,-78.7402
313.724,-78.7402
316.774,-78.7402
319.823,-78.7402
322.873,-78.7402
325.923,-78.7402
328.973,-78.7402
332.022,-78.7402
335.072,-78.7402
338.122,-78.7402
341.172,-78.7402
344.222,-78.7402
347.271,-78.7402
350.321,-78.7402
353.371,-78.7402
356.421,-78.7402
359.47,-78.7402
362.52,-78.7402
365.57,-78.7402
368.62,-78.7402
371.669,-78.7402
374.719,-78.7402
377.769,-78.7402
380.819,-78.7402
383.868,-78.7402
386.918,-78.7402
389.968,-78.7402
393.018,-78.7402
396.067,-78.7402
399.117,-78.7402
402.167,-78.7402
405.217,-78.7402
408.266,-78.7402
411.316,-78.7402
414.366,-78.7402
417.416,-78.7402
420.465,-78.7402
423.515,-78.7402
426.565,-78.7402
429.615,-78.7402
432.665,236.22
435.714,236.22
438.764,551.181
441.814,866.142
444.864,1811.02
447.913,3385.83
450.963,5905.51
454.013,7480.31
457.063,8740.16
460.112,7480.31
463.162,6850.39
466.212,4960.63
469.262,2755.91
472.311,1181.1
475.361,551.181
478.411,236.22
481.461,236.22
484.51,-78.7402
487.56,-78.7402
490.61,-78.7402
493.66,-78.7402
496.709,-78.7402
499.759,-78.7402
502.809,-78.7402
505.859,-78.7402
508.909,-78.7402
511.958,-78.7402
515.008,-78.7402
518.058,-78.7402
521.108,-78.7402
524.157,-78.7402
527.207,-78.7402
530.257,-78.7402
533.307,-78.7402
536.356,-78.7402
539.406,-78.7402
542.456,-78.7402
545.506,-78.7402
548.555,-78.7402
551.605,-78.7402
554.655,-78.7402
557.705,-78.7402
560.754,-78.7402
563.804,-78.7402
566.854,-78.7402
569.904,-78.7402
572.953,-78.7402
576.003,-78.7402
579.053,-78.7402
582.103,-78.7402
585.152,-78.7402
588.202,-78.7402
591.252,-78.7402
594.302,-78.7402
597.352,-78.7402
600.401,-78.7402
603.451,-78.7402
606.501,236.22
609.551,236.22
612.6,551.181
615.65,1181.1
618.7,1811.02
621.75,2440.94
624.799,2440.94
627.849,2125.98
630.899,2125.98
633.949,1811.02
636.998,1496.06
640.048,1496.06
643.098,1496.06
646.148,1496.06
649.197,1496.06
652.247,1811.02
655.297,1811.02
658.347,1811.02
661.396,1496.06
664.446,1181.1
667.496,551.181
670.546,236.22
673.596,236.22
676.645,-78.7402
679.695,-78.7402
682.745,-78.7402
685.795,-78.7402
688.844,-78.7402
691.894,-78.7402
694.944,-78.7402
697.994,-78.7402
701.043,-78.7402
704.093,-78.7402
707.143,-78.7402
710.193,-78.7402
713.242,-78.7402
716.292,-78.7402
719.342,-78.7402
722.392,-78.7402
725.441,-78.7402
728.491,-78.7402
731.541,-78.7402
734.591,-78.7402
737.64,-78.7402
740.69,-78.7402
743.74,-78.7402
746.79,-78.7402
749.839,-78.7402
752.889,-78.7402
755.939,-78.7402
758.989,-78.7402
762.039,-78.7402
765.088,-78.7402
768.138,-78.7402
771.188,-78.7402
774.238,-78.7402
777.287,-78.7402
780.337,-78.7402
783.387,-78.7402
786.437,-78.7402
789.486,-78.7402
792.536,-78.7402
795.586,-78.7402
798.636,-78.7402
801.685,-78.7402
804.735,-78.7402
807.785,-78.7402
810.835,-78.7402
813.884,-78.7402
816.934,-78.7402
819.984,-78.7402
823.034,-78.7402
826.083,-78.7402
829.133,-78.7402
832.183,-78.7402
835.233,-78.7402
838.283,-78.7402
841.332,-78.7402
844.382,-78.7402
847.432,-78.7402
850.482,-78.7402
853.531,-78.7402
856.581,-78.7402
859.631,-78.7402
862.681,-78.7402
865.73,-78.7402
868.78,-78.7402
871.83,-78.7402
874.88,-78.7402
877.929,-78.7402
880.979,-78.7402
884.029,-78.7402
887.079,-78.7402
890.128,-78.7402
893.178,-78.7402
896.228,-78.7402
899.278,-78.7402
902.327,-78.7402
905.377,-78.7402
908.427,-78.7402
911.477,-78.7402
914.526,-78.7402
917.576,-78.7402
920.626,-78.7402
923.676,-78.7402
926.726,-78.7402
929.775,-78.7402
932.825,-78.7402
935.875,-78.7402
938.925,-78.7402
941.974,-78.7402
945.024,-78.7402
948.074,-78.7402
951.124,-78.7402
954.173,-78.7402
957.223,-78.7402
960.273,-78.7402
963.323,-78.7402
966.372,-78.7402
969.422,-78.7402
972.472,236.22
975.522,236.22
978.571,236.22
981.621,551.181
984.671,866.142
987.721,1181.1
990.77,1811.02
993.82,4330.71
996.87,10000
999.92,58189
1002.97,63228.3
1006.02,13149.6
1009.07,8740.16
1012.12,2755.91
1015.17,1496.06
1018.22,866.142
1021.27,551.181
1024.32,236.22
1027.37,236.22
1030.42,236.22
1033.47,236.22
1036.52,-78.7402
1039.57,-78.7402
1042.62,-78.7402
1045.67,-78.7402
1048.72,-78.7402
1051.77,-78.7402
1054.82,-78.7402
1057.87,-78.7402
1060.91,-78.7402
1063.96,-78.7402
1067.01,-78.7402
1070.06,-78.7402
1073.11,-78.7402
1076.16,-78.7402
1079.21,-78.7402
1082.26,-78.7402
1085.31,-78.7402
1088.36,236.22
1091.41,236.22
1094.46,551.181
1097.51,551.181
1100.56,551.181
1103.61,551.181
1106.66,551.181
1109.71,551.181
1112.76,551.181
1115.81,551.181
1118.86,236.22
1121.91,236.22
1124.96,-78.7402
1128.01,-78.7402
1131.06,-78.7402
1134.11,-78.7402
1137.16,-78.7402
1140.21,236.22
1143.26,236.22
1146.31,551.181
1149.36,866.142
1152.41,1811.02
1155.46,3070.87
1158.51,3700.79
1161.56,3070.87
1164.61,2755.91
1167.66,2125.98
1170.71,1181.1
1173.76,551.181
1176.81,236.22
1179.86,236.22
1182.91,236.22
1185.96,236.22
1189,551.181
1192.05,551.181
1195.1,236.22
1198.15,236.22
1201.2,-78.7402
1204.25,-78.7402
1207.3,-78.7402
1210.35,-78.7402
1213.4,-78.7402
1216.45,-78.7402
1219.5,-78.7402
1222.55,-78.7402
1225.6,-78.7402
1228.65,-78.7402
1231.7,-78.7402
1234.75,-78.7402
1237.8,-78.7402
1240.85,-78.7402
1243.9,-78.7402
1246.95,-78.7402
1250,-78.7402
1253.05,-78.7402
1256.1,-78.7402
1259.15,-78.7402
1262.2,-78.7402
1265.25,-78.7402
1268.3,-78.7402
1271.35,-78.7402
1274.4,-78.7402
1277.45,-78.7402
1280.5,-78.7402
1283.55,-78.7402
1286.6,-78.7402
1289.65,-78.7402
1292.7,-78.7402
1295.75,-78.7402
1298.8,-78.7402
1301.85,-78.7402
1304.9,-78.7402
1307.95,-78.7402
1311,-78.7402
1314.04,-78.7402
1317.09,-78.7402
1320.14,-78.7402
1323.19,-78.7402
1326.24,-78.7402
1329.29,-78.7402
1332.34,-78.7402
1335.39,-78.7402
1338.44,-78.7402
1341.49,-78.7402
1344.54,-78.7402
1347.59,-78.7402
1350.64,-78.7402
1353.69,-78.7402
1356.74,-78.7402
1359.79,-78.7402
1362.84,-78.7402
1365.89,-78.7402
1368.94,-78.7402
1371.99,-78.7402
1375.04,-78.7402
1378.09,-78.7402
1381.14,-78.7402
1384.19,-78.7402
1387.24,-78.7402
1390.29,-78.7402
1393.34,-78.7402
1396.39,-78.7402
1399.44,-78.7402
1402.49,-78.7402
1405.54,-78.7402
1408.59,-78.7402
1411.64,-78.7402
1414.69,-78.7402
1417.74,-78.7402
1420.79,-78.7402
1423.84,-78.7402
1426.89,-78.7402
1429.94,-78.7402
1432.99,-78.7402
1436.04,-78.7402
1439.09,-78.7402
1442.13,-78.7402
1445.18,-78.7402
1448.23,-78.7402
1451.28,-78.7402
1454.33,-78.7402
1457.38,-78.7402
1460.43,-78.7402
1463.48,-78.7402
1466.53,-78.7402
1469.58,-78.7402
1472.63,-78.7402
1475.68,-78.7402
1478.73,-78.7402
1481.78,-78.7402
1484.83,-78.7402
1487.88,-78.7402
1490.93,-78.7402
1493.98,-78.7402
1497.03,-78.7402
1500.08,-78.7402
1503.13,-78.7402
1506.18,-78.7402
1509.23,-78.7402
1512.28,-78.7402
1515.33,-78.7402
1518.38,-78.7402
1521.43,-78.7402
1524.48,-78.7402
1527.53,-78.7402
1530.58,-78.7402
1533.63,-78.7402
1536.68,-78.7402
1539.73,-78.7402
1542.78,-78.7402
1545.83,-78.7402
1548.88,-78.7402
1551.93,-78.7402
1554.98,-78.7402
1558.03,-78.7402
1561.08,-78.7402
1564.13,-78.7402
1567.17,-78.7402
1570.22,-78.7402
1573.27,-78.7402
1576.32,-78.7402
1579.37,-78.7402
1582.42,-78.7402
1585.47,-78.7402
1588.52,-78.7402
1591.57,-78.7402
1594.62,-78.7402
1597.67,-78.7402
1600.72,-78.7402
1603.77,-78.7402
1606.82,-78.7402
1609.87,-78.7402
1612.92,-78.7402
1615.97,-78.7402
1619.02,-78.7402
1622.07,-78.7402
1625.12,-78.7402
1628.17,-78.7402
1631.22,-78.7402
1634.27,-78.7402
1637.32,-78.7402
1640.37,-78.7402
1643.42,-78.7402
1646.47,-78.7402
1649.52,-78.7402
1652.57,-78.7402
1655.62,-78.7402
1658.67,-78.7402
1661.72,-78.7402
1664.77,-78.7402
1667.82,-78.7402
1670.87,-78.7402
1673.92,-78.7402
1676.97,-78.7402
1680.02,-78.7402
1683.07,-78.7402
1686.12,-78.7402
1689.17,-78.7402
1692.22,-78.7402
1695.26,-78.7402
1698.31,-78.7402
1701.36,-78.7402
1704.41,-78.7402
1707.46,-78.7402
1710.51,-78.7402
1713.56,-78.7402
1716.61,-78.7402
1719.66,-78.7402
1722.71,-78.7402
1725.76,-78.7402
1728.81,-78.7402
1731.86,-78.7402
1734.91,-78.7402
1737.96,-78.7402
1741.01,-78.7402
1744.06,-78.7402
1747.11,-78.7402
1750.16,-78.7402
1753.21,-78.7402
1756.26,-78.7402
1759.31,-78.7402
1762.36,-78.7402
1765.41,-78.7402
1768.46,-78.7402
1771.51,-78.7402
1774.56,-78.7402
1777.61,-78.7402
1780.66,-78.7402
