,GP550R
RamanShit,Intensity
261.878,137.795
264.928,137.795
267.978,137.795
271.027,137.795
274.077,137.795
277.127,137.795
280.177,137.795
283.226,137.795
286.276,137.795
289.326,137.795
292.376,137.795
295.425,137.795
298.475,137.795
301.525,137.795
304.575,137.795
307.624,137.795
310.674,137.795
313.724,137.795
316.774,137.795
319.823,137.795
322.873,137.795
325.923,137.795
328.973,137.795
332.022,334.646
335.072,334.646
338.122,334.646
341.172,334.646
344.222,334.646
347.271,531.496
350.321,531.496
353.371,531.496
356.421,728.346
359.47,728.346
362.52,728.346
365.57,728.346
368.62,728.346
371.669,728.346
374.719,531.496
377.769,531.496
380.819,531.496
383.868,334.646
386.918,334.646
389.968,334.646
393.018,334.646
396.067,137.795
399.117,137.795
402.167,137.795
405.217,137.795
408.266,137.795
411.316,137.795
414.366,137.795
417.416,137.795
420.465,137.795
423.515,137.795
426.565,137.795
429.615,137.795
432.665,137.795
435.714,137.795
438.764,137.795
441.814,137.795
444.864,137.795
447.913,137.795
450.963,137.795
454.013,137.795
457.063,137.795
460.112,137.795
463.162,137.795
466.212,137.795
469.262,137.795
472.311,137.795
475.361,137.795
478.411,137.795
481.461,137.795
484.51,137.795
487.56,137.795
490.61,137.795
493.66,137.795
496.709,137.795
499.759,137.795
502.809,137.795
505.859,137.795
508.909,137.795
511.958,137.795
515.008,137.795
518.058,137.795
521.108,137.795
524.157,137.795
527.207,137.795
530.257,137.795
533.307,137.795
536.356,137.795
539.406,137.795
542.456,137.795
545.506,137.795
548.555,137.795
551.605,137.795
554.655,137.795
557.705,137.795
560.754,137.795
563.804,137.795
566.854,137.795
569.904,137.795
572.953,137.795
576.003,137.795
579.053,137.795
582.103,137.795
585.152,137.795
588.202,137.795
591.252,137.795
594.302,137.795
597.352,137.795
600.401,137.795
603.451,137.795
606.501,137.795
609.551,137.795
612.6,137.795
615.65,137.795
618.7,137.795
621.75,137.795
624.799,137.795
627.849,137.795
630.899,137.795
633.949,137.795
636.998,137.795
640.048,137.795
643.098,137.795
646.148,137.795
649.197,137.795
652.247,137.795
655.297,137.795
658.347,137.795
661.396,137.795
664.446,334.646
667.496,531.496
670.546,531.496
673.596,728.346
676.645,728.346
679.695,728.346
682.745,728.346
685.795,728.346
688.844,728.346
691.894,531.496
694.944,531.496
697.994,531.496
701.043,334.646
704.093,334.646
707.143,137.795
710.193,137.795
713.242,137.795
716.292,137.795
719.342,137.795
722.392,137.795
725.441,137.795
728.491,137.795
731.541,137.795
734.591,137.795
737.64,137.795
740.69,137.795
743.74,137.795
746.79,137.795
749.839,137.795
752.889,137.795
755.939,137.795
758.989,137.795
762.039,137.795
765.088,137.795
768.138,137.795
771.188,137.795
774.238,137.795
777.287,137.795
780.337,137.795
783.387,137.795
786.437,137.795
789.486,137.795
792.536,137.795
795.586,137.795
798.636,137.795
801.685,137.795
804.735,137.795
807.785,137.795
810.835,137.795
813.884,137.795
816.934,137.795
819.984,137.795
823.034,137.795
826.083,137.795
829.133,334.646
832.183,531.496
835.233,728.346
838.283,1122.05
841.332,728.346
844.382,531.496
847.432,334.646
850.482,137.795
853.531,137.795
856.581,137.795
859.631,137.795
862.681,137.795
865.73,137.795
868.78,137.795
871.83,334.646
874.88,334.646
877.929,137.795
880.979,137.795
884.029,137.795
887.079,137.795
890.128,137.795
893.178,137.795
896.228,137.795
899.278,137.795
902.327,137.795
905.377,137.795
908.427,137.795
911.477,137.795
914.526,137.795
917.576,137.795
920.626,137.795
923.676,137.795
926.726,137.795
929.775,137.795
932.825,137.795
935.875,137.795
938.925,137.795
941.974,137.795
945.024,137.795
948.074,137.795
951.124,137.795
954.173,137.795
957.223,137.795
960.273,137.795
963.323,137.795
966.372,137.795
969.422,137.795
972.472,137.795
975.522,137.795
978.571,137.795
981.621,137.795
984.671,137.795
987.721,137.795
990.77,137.795
993.82,137.795
996.87,137.795
999.92,137.795
1002.97,137.795
1006.02,137.795
1009.07,137.795
1012.12,137.795
1015.17,137.795
1018.22,137.795
1021.27,137.795
1024.32,137.795
1027.37,137.795
1030.42,334.646
1033.47,334.646
1036.52,334.646
1039.57,334.646
1042.62,531.496
1045.67,925.197
1048.72,3090.55
1051.77,7224.41
1054.82,30452.8
1057.87,34783.5
1060.91,8996.06
1063.96,5452.76
1067.01,1122.05
1070.06,531.496
1073.11,334.646
1076.16,334.646
1079.21,334.646
1082.26,334.646
1085.31,334.646
1088.36,334.646
1091.41,334.646
1094.46,531.496
1097.51,531.496
1100.56,728.346
1103.61,728.346
1106.66,925.197
1109.71,925.197
1112.76,925.197
1115.81,925.197
1118.86,925.197
1121.91,925.197
1124.96,728.346
1128.01,728.346
1131.06,531.496
1134.11,531.496
1137.16,334.646
1140.21,334.646
1143.26,137.795
1146.31,137.795
1149.36,137.795
1152.41,137.795
1155.46,137.795
1158.51,137.795
1161.56,137.795
1164.61,137.795
1167.66,137.795
1170.71,137.795
1173.76,137.795
1176.81,137.795
1179.86,137.795
1182.91,334.646
1185.96,334.646
1189,334.646
1192.05,334.646
1195.1,334.646
1198.15,334.646
1201.2,334.646
1204.25,334.646
1207.3,334.646
1210.35,334.646
1213.4,334.646
1216.45,334.646
1219.5,334.646
1222.55,334.646
1225.6,334.646
1228.65,334.646
1231.7,334.646
1234.75,531.496
1237.8,728.346
1240.85,925.197
1243.9,1318.9
1246.95,2106.3
1250,2893.7
1253.05,3287.4
1256.1,3484.25
1259.15,3484.25
1262.2,3287.4
1265.25,2893.7
1268.3,2106.3
1271.35,1515.75
1274.4,925.197
1277.45,531.496
1280.5,334.646
1283.55,334.646
1286.6,334.646
1289.65,334.646
1292.7,531.496
1295.75,925.197
1298.8,1515.75
1301.85,2303.15
1304.9,3484.25
1307.95,5059.06
1311,7421.26
1314.04,9980.31
1317.09,13129.9
1320.14,17263.8
1323.19,22185
1326.24,27500
1329.29,32224.4
1332.34,34192.9
1335.39,35767.7
1338.44,33996.1
1341.49,32027.6
1344.54,27893.7
1347.59,23563
1350.64,19626
1353.69,16673.2
1356.74,14311
1359.79,12342.5
1362.84,10767.7
1365.89,9389.76
1368.94,7814.96
1371.99,6240.16
1375.04,5059.06
1378.09,4074.8
1381.14,3287.4
1384.19,2500
1387.24,1909.45
1390.29,1318.9
1393.34,925.197
1396.39,728.346
1399.44,334.646
1402.49,334.646
1405.54,334.646
1408.59,137.795
1411.64,137.795
1414.69,137.795
1417.74,137.795
1420.79,137.795
1423.84,137.795
1426.89,137.795
1429.94,137.795
1432.99,137.795
1436.04,137.795
1439.09,137.795
1442.13,334.646
1445.18,334.646
1448.23,531.496
1451.28,728.346
1454.33,925.197
1457.38,1318.9
1460.43,1515.75
1463.48,1909.45
1466.53,2303.15
1469.58,2893.7
1472.63,3287.4
1475.68,3681.1
1478.73,3877.95
1481.78,3877.95
1484.83,3877.95
1487.88,3681.1
1490.93,3484.25
1493.98,3090.55
1497.03,2500
1500.08,2106.3
1503.13,1909.45
1506.18,1515.75
1509.23,1318.9
1512.28,1318.9
1515.33,1318.9
1518.38,1122.05
1521.43,1122.05
1524.48,1122.05
1527.53,925.197
1530.58,925.197
1533.63,728.346
1536.68,728.346
1539.73,531.496
1542.78,531.496
1545.83,334.646
1548.88,334.646
1551.93,137.795
1554.98,137.795
1558.03,137.795
1561.08,137.795
1564.13,137.795
1567.17,137.795
1570.22,137.795
1573.27,137.795
1576.32,137.795
1579.37,137.795
1582.42,137.795
1585.47,137.795
1588.52,137.795
1591.57,137.795
1594.62,137.795
1597.67,137.795
1600.72,137.795
1603.77,137.795
1606.82,137.795
1609.87,137.795
