,GP550R
RamanShit,Intensity
259.375,689.655
261.458,689.655
263.542,689.655
265.625,689.655
267.708,689.655
269.792,564.263
271.875,564.263
273.958,564.263
276.042,564.263
278.125,564.263
280.208,564.263
282.292,564.263
284.375,564.263
286.458,564.263
288.542,564.263
290.625,564.263
292.708,564.263
294.792,564.263
296.875,564.263
298.958,564.263
301.042,564.263
303.125,564.263
305.208,564.263
307.292,564.263
309.375,564.263
311.458,689.655
313.542,689.655
315.625,689.655
317.708,689.655
319.792,689.655
321.875,564.263
323.958,564.263
326.042,564.263
328.125,564.263
330.208,564.263
332.292,564.263
334.375,564.263
336.458,564.263
338.542,564.263
340.625,689.655
342.708,815.047
344.792,1065.83
346.875,1065.83
348.958,1191.22
351.042,1191.22
353.125,1191.22
355.208,1191.22
357.292,1065.83
359.375,1065.83
361.458,1065.83
363.542,1065.83
365.625,940.439
367.708,689.655
369.792,689.655
371.875,689.655
373.958,689.655
376.042,689.655
378.125,689.655
380.208,689.655
382.292,689.655
384.375,689.655
386.458,815.047
388.542,1065.83
390.625,1065.83
392.708,1065.83
394.792,1065.83
396.875,940.439
398.958,689.655
401.042,564.263
403.125,564.263
405.208,564.263
407.292,564.263
409.375,564.263
411.458,564.263
413.542,564.263
415.625,564.263
417.708,564.263
419.792,564.263
421.875,564.263
423.958,689.655
426.042,689.655
428.125,689.655
430.208,689.655
432.292,940.439
434.375,1442.01
436.458,1692.79
438.542,2194.36
440.625,2946.71
442.708,4451.41
444.792,6332.29
446.875,7335.42
448.958,9592.48
451.042,14106.6
453.125,20877.7
455.208,25517.2
457.292,33918.5
459.375,32288.4
461.458,25642.6
463.542,23887.1
465.625,17742.9
467.708,11473.4
469.792,9467.08
471.875,7962.38
473.958,5705.33
476.042,4576.8
478.125,4200.63
480.208,4075.24
482.292,4200.63
484.375,4326.02
486.458,4952.98
488.542,6332.29
490.625,8840.13
492.708,10846.4
494.792,10971.8
496.875,12100.3
498.958,14357.4
501.042,10846.4
