,GP550R
RamanShit,Intensity
262.552,631.068
266.494,339.806
270.436,339.806
274.378,339.806
278.32,339.806
282.261,339.806
286.203,339.806
290.145,339.806
294.087,339.806
298.029,339.806
301.971,339.806
305.913,339.806
309.855,339.806
313.797,339.806
317.739,339.806
321.68,339.806
325.622,339.806
329.564,339.806
333.506,339.806
337.448,631.068
341.39,922.33
345.332,922.33
349.274,1213.59
353.216,1213.59
357.158,922.33
361.1,922.33
365.041,922.33
368.983,922.33
372.925,922.33
376.867,922.33
380.809,922.33
384.751,922.33
388.693,922.33
392.635,922.33
396.577,922.33
400.519,922.33
404.461,922.33
408.402,631.068
412.344,339.806
416.286,339.806
420.228,339.806
424.17,631.068
428.112,922.33
432.054,1796.12
435.996,2669.9
439.938,5873.79
443.88,13446.6
447.822,18980.6
451.763,20728.2
455.705,22475.7
459.647,61796.1
463.589,48398.1
467.531,22184.5
471.473,16359.2
475.415,10534
479.357,10242.7
483.299,8786.41
487.241,9660.19
491.183,9660.19
495.124,9951.46
499.066,14611.7
503.008,9077.67
506.95,6456.31
510.892,3543.69
514.834,2669.9
518.776,1504.85
522.718,922.33
526.66,922.33
530.602,631.068
534.544,339.806
538.485,339.806
542.427,339.806
546.369,339.806
550.311,339.806
554.253,339.806
558.195,339.806
562.137,339.806
566.079,339.806
570.021,339.806
573.963,339.806
577.905,339.806
581.846,339.806
585.788,339.806
589.73,339.806
593.672,339.806
597.614,339.806
601.556,339.806
605.498,339.806
609.44,339.806
613.382,339.806
617.324,339.806
621.266,339.806
625.207,339.806
629.149,339.806
633.091,339.806
637.033,339.806
640.975,339.806
644.917,339.806
648.859,339.806
652.801,339.806
656.743,339.806
660.685,339.806
664.627,339.806
668.568,339.806
672.51,339.806
676.452,631.068
680.394,631.068
684.336,922.33
688.278,922.33
692.22,922.33
696.162,922.33
700.104,922.33
704.046,922.33
707.988,631.068
711.929,339.806
715.871,339.806
719.813,339.806
723.755,339.806
727.697,339.806
731.639,339.806
735.581,339.806
739.523,339.806
743.465,339.806
747.407,339.806
751.349,339.806
755.29,339.806
759.232,339.806
763.174,339.806
767.116,339.806
771.058,631.068
775,922.33
778.942,922.33
782.884,922.33
786.826,1213.59
790.768,1504.85
794.71,1504.85
798.651,1504.85
802.593,1504.85
806.535,1213.59
810.477,1213.59
814.419,922.33
818.361,922.33
822.303,922.33
826.245,922.33
830.187,631.068
834.129,631.068
838.071,631.068
842.012,339.806
845.954,339.806
849.896,339.806
853.838,339.806
857.78,339.806
861.722,339.806
865.664,339.806
869.606,339.806
873.548,339.806
877.49,339.806
881.432,339.806
885.373,339.806
889.315,339.806
893.257,339.806
897.199,339.806
901.141,339.806
905.083,339.806
909.025,339.806
912.967,339.806
916.909,339.806
920.851,339.806
924.793,339.806
928.734,339.806
932.676,339.806
936.618,339.806
940.56,339.806
944.502,339.806
948.444,339.806
952.386,339.806
956.328,339.806
960.27,631.068
964.212,922.33
968.154,922.33
972.095,922.33
976.037,922.33
979.979,922.33
983.921,922.33
987.863,631.068
991.805,339.806
995.747,339.806
999.689,339.806
1003.63,339.806
1007.57,339.806
1011.51,339.806
1015.46,339.806
1019.4,339.806
1023.34,339.806
1027.28,339.806
1031.22,339.806
1035.17,339.806
1039.11,339.806
1043.05,339.806
1046.99,631.068
1050.93,922.33
1054.88,922.33
1058.82,1213.59
1062.76,1213.59
1066.7,1213.59
1070.64,1213.59
1074.59,1213.59
1078.53,1213.59
1082.47,1213.59
1086.41,1213.59
1090.35,922.33
1094.29,631.068
1098.24,339.806
1102.18,339.806
1106.12,339.806
1110.06,339.806
1114,339.806
1117.95,339.806
1121.89,339.806
1125.83,339.806
1129.77,339.806
1133.71,339.806
1137.66,339.806
1141.6,631.068
1145.54,922.33
1149.48,1213.59
1153.42,1213.59
1157.37,1213.59
1161.31,1213.59
1165.25,1213.59
1169.19,1213.59
1173.13,922.33
1177.07,631.068
1181.02,339.806
1184.96,339.806
1188.9,339.806
1192.84,339.806
1196.78,339.806
1200.73,339.806
1204.67,339.806
1208.61,339.806
1212.55,339.806
1216.49,339.806
1220.44,339.806
1224.38,339.806
1228.32,339.806
1232.26,339.806
1236.2,339.806
1240.15,339.806
1244.09,339.806
1248.03,339.806
1251.97,339.806
1255.91,339.806
1259.85,339.806
1263.8,339.806
1267.74,339.806
1271.68,339.806
1275.62,339.806
1279.56,339.806
1283.51,339.806
1287.45,339.806
1291.39,339.806
1295.33,339.806
1299.27,339.806
1303.22,339.806
1307.16,339.806
1311.1,339.806
1315.04,339.806
1318.98,339.806
1322.93,339.806
1326.87,339.806
1330.81,339.806
1334.75,339.806
1338.69,339.806
1342.63,339.806
1346.58,339.806
1350.52,339.806
1354.46,339.806
1358.4,339.806
1362.34,339.806
1366.29,339.806
1370.23,339.806
1374.17,339.806
1378.11,339.806
1382.05,339.806
1386,339.806
1389.94,339.806
1393.88,339.806
1397.82,339.806
1401.76,339.806
1405.71,339.806
1409.65,339.806
1413.59,339.806
1417.53,339.806
1421.47,339.806
1425.41,339.806
1429.36,339.806
1433.3,339.806
1437.24,339.806
1441.18,339.806
1445.12,339.806
1449.07,339.806
1453.01,339.806
1456.95,339.806
1460.89,339.806
1464.83,339.806
1468.78,339.806
1472.72,339.806
1476.66,339.806
1480.6,339.806
1484.54,339.806
1488.49,339.806
1492.43,339.806
1496.37,339.806
1500.31,339.806
1504.25,339.806
1508.2,339.806
1512.14,339.806
1516.08,339.806
1520.02,339.806
1523.96,339.806
1527.9,339.806
1531.85,339.806
1535.79,339.806
1539.73,339.806
1543.67,339.806
1547.61,339.806
1551.56,339.806
1555.5,339.806
1559.44,339.806
1563.38,339.806
1567.32,339.806
1571.27,339.806
1575.21,339.806
1579.15,339.806
1583.09,339.806
1587.03,339.806
1590.98,339.806
1594.92,339.806
1598.86,339.806
1602.8,339.806
1606.74,339.806
1610.68,339.806
1614.63,339.806
1618.57,339.806
1622.51,339.806
1626.45,339.806
1630.39,339.806
1634.34,339.806
1638.28,339.806
1642.22,339.806
1646.16,339.806
1650.1,339.806
1654.05,339.806
1657.99,339.806
1661.93,339.806
1665.87,339.806
1669.81,339.806
1673.76,339.806
1677.7,339.806
1681.64,339.806
1685.58,339.806
1689.52,339.806
1693.46,339.806
1697.41,339.806
1701.35,339.806
1705.29,339.806
1709.23,339.806
1713.17,339.806
1717.12,339.806
1721.06,339.806
1725,339.806
1728.94,339.806
1732.88,339.806
1736.83,339.806
1740.77,339.806
1744.71,339.806
1748.65,339.806
1752.59,339.806
1756.54,339.806
1760.48,339.806
1764.42,339.806
1768.36,339.806
1772.3,339.806
1776.24,339.806
1780.19,339.806
1784.13,339.806
1788.07,339.806
1792.01,339.806
1795.95,339.806
1799.9,339.806
1803.84,339.806
1807.78,339.806
1811.72,339.806
1815.66,339.806
1819.61,339.806
1823.55,339.806
1827.49,339.806
1831.43,339.806
1835.37,339.806
1839.32,339.806
1843.26,339.806
1847.2,339.806
1851.14,339.806
1855.08,339.806
1859.02,339.806
1862.97,339.806
1866.91,339.806
1870.85,339.806
1874.79,339.806
1878.73,339.806
1882.68,339.806
1886.62,339.806
1890.56,339.806
1894.5,339.806
1898.44,339.806
1902.39,339.806
1906.33,339.806
1910.27,339.806
1914.21,339.806
1918.15,339.806
1922.1,339.806
1926.04,339.806
1929.98,339.806
1933.92,339.806
1937.86,339.806
1941.8,339.806
1945.75,339.806
1949.69,339.806
1953.63,339.806
1957.57,339.806
1961.51,339.806
1965.46,339.806
1969.4,339.806
1973.34,339.806
1977.28,339.806
1981.22,339.806
1985.17,339.806
1989.11,339.806
1993.05,339.806
1996.99,339.806
2000.93,339.806
2004.88,339.806
2008.82,339.806
2012.76,339.806
2016.7,339.806
2020.64,339.806
2024.59,339.806
2028.53,339.806
2032.47,339.806
2036.41,339.806
2040.35,339.806
2044.29,339.806
2048.24,339.806
2052.18,339.806
2056.12,339.806
2060.06,339.806
2064,339.806
2067.95,339.806
2071.89,339.806
2075.83,339.806
2079.77,339.806
2083.71,339.806
2087.66,339.806
2091.6,339.806
2095.54,339.806
2099.48,339.806
2103.42,339.806
2107.37,339.806
2111.31,339.806
2115.25,339.806
2119.19,339.806
2123.13,339.806
2127.07,339.806
2131.02,339.806
2134.96,339.806
2138.9,339.806
2142.84,339.806
2146.78,339.806
2150.73,339.806
2154.67,339.806
2158.61,339.806
2162.55,339.806
2166.49,339.806
2170.44,339.806
2174.38,339.806
2178.32,339.806
2182.26,339.806
2186.2,339.806
2190.15,339.806
2194.09,339.806
2198.03,339.806
2201.97,339.806
2205.91,339.806
2209.85,339.806
2213.8,339.806
2217.74,339.806
2221.68,339.806
2225.62,339.806
2229.56,339.806
2233.51,339.806
2237.45,339.806
2241.39,339.806
2245.33,339.806
2249.27,339.806
2253.22,339.806
2257.16,339.806
2261.1,339.806
2265.04,339.806
2268.98,339.806
2272.93,339.806
2276.87,339.806
2280.81,339.806
2284.75,339.806
2288.69,339.806
2292.63,339.806
2296.58,339.806
2300.52,339.806
2304.46,339.806
2308.4,339.806
2312.34,339.806
2316.29,339.806
2320.23,339.806
2324.17,339.806
2328.11,339.806
2332.05,339.806
