,GP550R
RamanShit,Intensity
258.762,98.0392
261.817,98.0392
264.871,98.0392
267.926,98.0392
270.981,98.0392
274.035,98.0392
277.09,294.118
280.145,490.196
283.199,882.353
286.254,1274.51
289.309,1666.67
292.363,1862.75
295.418,1862.75
298.473,2058.82
301.527,2450.98
304.582,2843.14
307.637,3235.29
310.691,3235.29
313.746,3235.29
316.801,3039.22
319.855,3039.22
322.91,2843.14
325.965,2647.06
329.019,2450.98
332.074,2254.9
335.129,2058.82
338.183,2058.82
341.238,2058.82
344.293,1862.75
347.347,1470.59
350.402,882.353
353.457,686.275
356.511,490.196
359.566,490.196
362.621,490.196
365.675,490.196
368.73,490.196
371.785,294.118
374.839,294.118
377.894,294.118
380.949,490.196
384.003,490.196
387.058,686.275
390.113,490.196
393.167,490.196
396.222,490.196
399.277,490.196
402.331,686.275
405.386,1078.43
408.441,1078.43
411.495,1078.43
414.55,882.353
417.605,882.353
420.659,882.353
423.714,882.353
426.768,1078.43
429.823,1470.59
432.878,1862.75
435.932,1862.75
438.987,1862.75
442.042,1666.67
445.096,1274.51
448.151,1078.43
451.206,1078.43
454.26,1078.43
457.315,1078.43
460.37,1078.43
463.424,1470.59
466.479,882.353
469.534,686.275
472.588,294.118
475.643,98.0392
478.698,98.0392
481.752,98.0392
484.807,98.0392
487.862,294.118
490.916,490.196
493.971,686.275
497.026,882.353
500.08,882.353
503.135,882.353
506.19,1078.43
509.244,882.353
512.299,882.353
515.354,686.275
518.408,490.196
521.463,490.196
524.518,294.118
527.572,294.118
530.627,294.118
533.682,294.118
536.736,294.118
539.791,294.118
542.846,490.196
545.9,686.275
548.955,882.353
552.01,1078.43
555.064,1078.43
558.119,882.353
561.174,882.353
564.228,490.196
567.283,294.118
570.338,98.0392
573.392,98.0392
576.447,98.0392
579.502,98.0392
582.556,98.0392
585.611,98.0392
588.666,98.0392
591.72,98.0392
594.775,294.118
597.83,686.275
600.884,1078.43
603.939,1470.59
606.994,1666.67
610.048,1862.75
613.103,1862.75
616.158,2254.9
619.212,3039.22
622.267,4607.84
625.322,7352.94
628.376,11666.7
631.431,17156.9
634.486,20882.4
637.54,24215.7
640.595,21470.6
643.65,21274.5
646.704,20294.1
649.759,17941.2
652.814,16372.5
655.868,15392.2
658.923,16176.5
661.977,16372.5
665.032,18725.5
668.087,23823.5
671.141,26764.7
674.196,30490.2
677.251,26764.7
680.305,25980.4
683.36,21078.4
686.415,14019.6
689.469,8921.57
692.524,5784.31
695.579,4019.61
698.633,2647.06
701.688,1666.67
704.743,882.353
707.797,490.196
710.852,294.118
713.907,294.118
716.961,98.0392
720.016,98.0392
723.071,98.0392
726.125,98.0392
729.18,98.0392
732.235,98.0392
735.289,98.0392
738.344,98.0392
741.399,98.0392
744.453,98.0392
747.508,98.0392
750.563,98.0392
753.617,294.118
756.672,490.196
759.727,686.275
762.781,882.353
765.836,1078.43
768.891,1274.51
771.945,1274.51
775,1274.51
778.055,1078.43
781.109,1078.43
784.164,882.353
787.219,686.275
790.273,490.196
793.328,294.118
796.383,294.118
799.437,294.118
802.492,294.118
805.547,294.118
808.601,294.118
811.656,294.118
814.711,294.118
817.765,294.118
820.82,98.0392
823.875,98.0392
826.929,98.0392
829.984,98.0392
833.039,98.0392
836.093,98.0392
839.148,98.0392
842.203,98.0392
845.257,98.0392
848.312,98.0392
851.367,98.0392
854.421,98.0392
857.476,98.0392
860.531,98.0392
863.585,98.0392
866.64,98.0392
869.695,98.0392
872.749,98.0392
875.804,98.0392
878.859,98.0392
881.913,98.0392
884.968,98.0392
888.023,98.0392
891.077,98.0392
894.132,98.0392
897.186,294.118
900.241,294.118
903.296,294.118
906.35,294.118
909.405,294.118
912.46,294.118
915.514,294.118
918.569,294.118
921.624,294.118
924.678,294.118
927.733,490.196
930.788,686.275
933.842,1078.43
936.897,1274.51
939.952,1666.67
943.006,2058.82
946.061,2647.06
949.116,3039.22
952.17,3431.37
955.225,2843.14
958.28,2450.98
961.334,1470.59
964.389,686.275
967.444,490.196
970.498,294.118
973.553,294.118
976.608,294.118
979.662,294.118
982.717,294.118
985.772,490.196
988.826,294.118
991.881,294.118
994.936,294.118
997.99,294.118
1001.05,294.118
1004.1,294.118
1007.15,98.0392
1010.21,98.0392
1013.26,98.0392
1016.32,98.0392
1019.37,98.0392
1022.43,294.118
1025.48,294.118
1028.54,294.118
1031.59,490.196
1034.65,686.275
1037.7,1274.51
1040.76,1862.75
1043.81,2450.98
1046.86,3039.22
1049.92,3235.29
1052.97,3235.29
1056.03,3039.22
1059.08,2843.14
1062.14,2450.98
1065.19,2058.82
1068.25,1470.59
1071.3,1274.51
1074.36,1078.43
1077.41,1078.43
1080.47,1078.43
1083.52,1078.43
1086.58,882.353
1089.63,686.275
1092.68,686.275
1095.74,686.275
1098.79,1078.43
1101.85,1666.67
1104.9,2450.98
1107.96,3039.22
1111.01,3431.37
1114.07,3431.37
1117.12,3431.37
1120.18,3627.45
1123.23,4215.69
1126.29,6176.47
1129.34,8921.57
1132.4,10686.3
1135.45,11470.6
1138.5,14607.8
1141.56,15196.1
1144.61,10686.3
1147.67,7745.1
1150.72,4019.61
1153.78,2058.82
1156.83,1078.43
1159.89,686.275
1162.94,490.196
1166,294.118
1169.05,98.0392
1172.11,98.0392
1175.16,98.0392
1178.22,98.0392
1181.27,98.0392
1184.32,98.0392
1187.38,98.0392
1190.43,98.0392
1193.49,98.0392
1196.54,98.0392
1199.6,98.0392
1202.65,98.0392
1205.71,98.0392
1208.76,98.0392
1211.82,98.0392
1214.87,98.0392
1217.93,98.0392
1220.98,98.0392
1224.04,98.0392
1227.09,98.0392
1230.14,98.0392
1233.2,98.0392
1236.25,98.0392
1239.31,294.118
1242.36,294.118
1245.42,294.118
1248.47,294.118
1251.53,98.0392
1254.58,98.0392
1257.64,98.0392
1260.69,98.0392
1263.75,98.0392
1266.8,98.0392
1269.86,294.118
1272.91,490.196
1275.96,686.275
1279.02,1078.43
1282.07,1666.67
1285.13,2450.98
1288.18,3431.37
1291.24,4607.84
1294.29,5980.39
1297.35,7156.86
1300.4,8333.33
1303.46,9117.65
1306.51,9313.73
1309.57,9313.73
1312.62,9117.65
1315.68,8921.57
1318.73,8333.33
1321.78,7352.94
1324.84,6568.63
1327.89,5784.31
1330.95,5196.08
1334,4803.92
1337.06,4607.84
1340.11,4215.69
1343.17,4215.69
1346.22,4215.69
1349.28,4411.76
1352.33,4411.76
1355.39,4607.84
1358.44,4803.92
1361.5,5000
1364.55,5000
1367.6,5000
1370.66,5000
1373.71,4803.92
1376.77,4607.84
1379.82,4215.69
1382.88,3823.53
1385.93,3431.37
1388.99,3039.22
1392.04,2843.14
1395.1,2647.06
1398.15,2450.98
1401.21,2254.9
1404.26,2254.9
1407.32,2254.9
1410.37,2254.9
1413.42,2254.9
1416.48,2254.9
1419.53,2450.98
1422.59,2647.06
1425.64,2843.14
1428.7,3039.22
1431.75,3039.22
1434.81,3039.22
1437.86,3235.29
1440.92,3235.29
1443.97,3039.22
1447.03,3039.22
1450.08,2843.14
1453.14,2647.06
1456.19,2450.98
1459.24,2254.9
1462.3,2058.82
1465.35,1862.75
1468.41,1666.67
1471.46,1666.67
1474.52,1666.67
1477.57,1666.67
1480.63,1666.67
1483.68,1666.67
1486.74,1666.67
1489.79,1862.75
1492.85,1862.75
1495.9,1862.75
1498.95,1862.75
1502.01,1862.75
1505.06,1862.75
1508.12,1862.75
1511.17,1666.67
1514.23,1666.67
