,GP550R
RamanShit,Intensity
258.762,157.48
261.817,157.48
264.871,157.48
267.926,157.48
270.981,157.48
274.035,157.48
277.09,314.961
280.145,314.961
283.199,157.48
286.254,157.48
289.309,157.48
292.363,157.48
295.418,157.48
298.473,157.48
301.527,157.48
304.582,314.961
307.637,314.961
310.691,314.961
313.746,314.961
316.801,314.961
319.855,314.961
322.91,472.441
325.965,472.441
329.019,629.921
332.074,787.402
335.129,944.882
338.183,1574.8
341.238,3307.09
344.293,4566.93
347.347,5826.77
350.402,4566.93
353.457,4094.49
356.511,2677.17
359.566,1417.32
362.621,1102.36
365.675,1102.36
368.73,1102.36
371.785,787.402
374.839,629.921
377.894,314.961
380.949,314.961
384.003,314.961
387.058,314.961
390.113,157.48
393.167,157.48
396.222,157.48
399.277,157.48
402.331,157.48
405.386,157.48
408.441,314.961
411.495,314.961
414.55,472.441
417.605,314.961
420.659,314.961
423.714,314.961
426.768,314.961
429.823,472.441
432.878,787.402
435.932,1102.36
438.987,1102.36
442.042,1102.36
445.096,1102.36
448.151,1259.84
451.206,1417.32
454.26,1574.8
457.315,1732.28
460.37,2047.24
463.424,2362.2
466.479,4094.49
469.534,8818.9
472.588,20472.4
475.643,21574.8
478.698,11653.5
481.752,8661.42
484.807,4251.97
487.862,2519.69
490.916,1417.32
493.971,787.402
497.026,472.441
500.08,314.961
503.135,314.961
506.19,314.961
509.244,472.441
512.299,1102.36
515.354,1732.28
518.408,3149.61
521.463,3622.05
524.518,1574.8
527.572,1102.36
530.627,629.921
533.682,472.441
536.736,314.961
539.791,314.961
542.846,314.961
545.9,314.961
548.955,314.961
552.01,629.921
555.064,1417.32
558.119,2362.2
561.174,5511.81
564.228,5984.25
567.283,2519.69
570.338,2047.24
573.392,1259.84
576.447,1102.36
579.502,1259.84
582.556,1417.32
585.611,1574.8
588.666,1889.76
591.72,2204.72
594.775,2677.17
597.83,2992.13
600.884,3307.09
603.939,3779.53
606.994,4409.45
610.048,4881.89
613.103,5039.37
616.158,5039.37
619.212,4881.89
622.267,4566.93
625.322,3937.01
628.376,3307.09
631.431,2677.17
634.486,2362.2
637.54,2204.72
640.595,1889.76
643.65,1574.8
646.704,1574.8
649.759,1574.8
652.814,1574.8
655.868,1574.8
658.923,1574.8
661.977,1574.8
665.032,1889.76
668.087,2992.13
671.141,3779.53
674.196,5511.81
677.251,3779.53
680.305,3464.57
683.36,2362.2
686.415,1417.32
689.469,944.882
692.524,944.882
695.579,1102.36
698.633,1259.84
701.688,2047.24
704.743,2834.65
707.797,5984.25
710.852,6771.65
713.907,2677.17
716.961,1732.28
720.016,787.402
723.071,629.921
726.125,314.961
729.18,314.961
732.235,314.961
735.289,314.961
738.344,472.441
741.399,629.921
744.453,629.921
747.508,472.441
750.563,472.441
753.617,472.441
756.672,472.441
759.727,629.921
762.781,944.882
765.836,1732.28
