,GP550R
RamanShit,Intensity
260.813,41.6667
263.716,41.6667
266.618,41.6667
269.521,41.6667
272.424,41.6667
275.327,41.6667
278.229,41.6667
281.132,41.6667
284.035,41.6667
286.938,41.6667
289.84,41.6667
292.743,41.6667
295.646,41.6667
298.549,41.6667
301.451,41.6667
304.354,41.6667
307.257,41.6667
310.16,41.6667
313.062,59.7826
315.965,59.7826
318.868,59.7826
321.771,59.7826
324.673,59.7826
327.576,77.8986
330.479,96.0145
333.382,150.362
336.284,240.942
339.187,331.522
342.09,331.522
344.993,349.638
347.896,367.754
350.798,422.101
353.701,440.217
356.604,476.449
359.507,494.565
362.409,621.377
365.312,784.42
368.215,476.449
371.118,403.986
374.02,222.826
376.923,77.8986
379.826,59.7826
382.729,23.5507
385.631,23.5507
388.534,23.5507
391.437,23.5507
394.34,23.5507
397.242,23.5507
400.145,41.6667
403.048,59.7826
405.951,96.0145
408.853,259.058
411.756,422.101
414.659,1146.74
417.562,838.768
420.464,512.681
423.367,476.449
426.27,458.333
429.173,422.101
432.075,367.754
434.978,277.174
437.881,168.478
440.784,132.246
443.687,150.362
446.589,168.478
449.492,168.478
452.395,168.478
455.298,730.072
458.2,639.493
461.103,621.377
464.006,603.261
466.909,585.145
469.811,621.377
472.714,657.609
475.617,693.841
478.52,186.594
481.422,150.362
484.325,96.0145
487.228,96.0145
490.131,96.0145
493.033,96.0145
495.936,114.13
498.839,168.478
501.742,204.71
504.644,295.29
507.547,838.768
510.45,1309.78
513.353,3882.25
516.255,3755.43
519.158,1436.59
522.061,1327.9
524.964,1164.86
527.866,983.696
530.769,965.58
533.672,947.464
536.575,929.348
539.478,820.652
542.38,1454.71
545.283,1074.28
548.186,657.609
551.089,530.797
553.991,331.522
556.894,204.71
559.797,150.362
562.7,114.13
565.602,96.0145
568.505,77.8986
571.408,59.7826
574.311,41.6667
577.213,23.5507
580.116,23.5507
583.019,23.5507
585.922,23.5507
588.824,23.5507
591.727,23.5507
594.63,41.6667
597.533,59.7826
600.435,59.7826
603.338,59.7826
606.241,77.8986
609.144,114.13
612.046,114.13
614.949,132.246
617.852,168.478
620.755,186.594
623.657,222.826
626.56,295.29
629.463,693.841
632.366,1074.28
635.269,2269.93
638.171,1653.99
641.074,1056.16
643.977,802.536
646.88,403.986
649.782,277.174
652.685,240.942
655.588,186.594
658.491,150.362
661.393,114.13
664.296,114.13
667.199,114.13
670.102,96.0145
673.004,77.8986
675.907,77.8986
678.81,77.8986
681.713,77.8986
684.615,59.7826
687.518,41.6667
690.421,41.6667
693.324,41.6667
696.226,59.7826
699.129,59.7826
702.032,77.8986
704.935,96.0145
707.837,96.0145
710.74,168.478
713.643,96.0145
716.546,77.8986
719.448,59.7826
722.351,41.6667
725.254,41.6667
728.157,41.6667
731.06,41.6667
733.962,41.6667
736.865,41.6667
739.768,41.6667
742.671,41.6667
745.573,59.7826
748.476,59.7826
751.379,77.8986
754.282,77.8986
757.184,96.0145
760.087,150.362
762.99,277.174
765.893,403.986
768.795,494.565
771.698,802.536
774.601,1056.16
777.504,1418.48
780.406,1038.04
783.309,1019.93
786.212,875
789.115,512.681
792.017,259.058
794.92,168.478
797.823,114.13
800.726,77.8986
803.628,77.8986
806.531,41.6667
809.434,41.6667
812.337,59.7826
815.239,59.7826
818.142,59.7826
821.045,77.8986
823.948,96.0145
826.851,96.0145
829.753,96.0145
832.656,114.13
835.559,96.0145
838.462,96.0145
841.364,77.8986
844.267,77.8986
847.17,77.8986
850.073,77.8986
852.975,77.8986
855.878,77.8986
858.781,77.8986
861.684,59.7826
864.586,59.7826
867.489,41.6667
870.392,23.5507
873.295,23.5507
876.197,23.5507
879.1,23.5507
882.003,23.5507
884.906,23.5507
887.808,23.5507
890.711,23.5507
893.614,23.5507
896.517,41.6667
899.419,41.6667
902.322,59.7826
905.225,59.7826
908.128,96.0145
911.03,186.594
913.933,259.058
916.836,313.406
919.739,476.449
922.642,965.58
925.544,1346.01
928.447,1364.13
931.35,1817.03
934.253,2288.04
937.155,1364.13
940.058,1146.74
942.961,929.348
945.864,820.652
948.766,548.913
951.669,349.638
954.572,240.942
957.475,186.594
960.377,168.478
963.28,132.246
966.183,96.0145
969.086,77.8986
971.988,77.8986
974.891,59.7826
977.794,59.7826
980.697,59.7826
983.599,41.6667
986.502,41.6667
989.405,41.6667
992.308,41.6667
995.21,41.6667
998.113,41.6667
1001.02,41.6667
1003.92,41.6667
1006.82,41.6667
1009.72,41.6667
1012.63,41.6667
1015.53,41.6667
1018.43,23.5507
1021.34,23.5507
1024.24,23.5507
1027.14,23.5507
1030.04,23.5507
1032.95,23.5507
1035.85,23.5507
1038.75,41.6667
1041.65,41.6667
1044.56,41.6667
1047.46,41.6667
1050.36,41.6667
1053.27,41.6667
1056.17,41.6667
1059.07,23.5507
1061.97,23.5507
1064.88,23.5507
1067.78,23.5507
1070.68,23.5507
1073.58,23.5507
1076.49,23.5507
1079.39,23.5507
1082.29,23.5507
1085.2,23.5507
1088.1,23.5507
1091,23.5507
1093.9,23.5507
1096.81,41.6667
1099.71,41.6667
1102.61,41.6667
1105.52,41.6667
1108.42,23.5507
1111.32,23.5507
1114.22,23.5507
1117.13,23.5507
1120.03,23.5507
1122.93,23.5507
1125.83,23.5507
1128.74,23.5507
1131.64,23.5507
1134.54,23.5507
1137.45,23.5507
1140.35,23.5507
1143.25,23.5507
1146.15,41.6667
1149.06,41.6667
1151.96,41.6667
1154.86,41.6667
1157.76,41.6667
1160.67,41.6667
1163.57,41.6667
1166.47,41.6667
1169.38,41.6667
1172.28,41.6667
1175.18,41.6667
1178.08,41.6667
1180.99,41.6667
1183.89,41.6667
1186.79,23.5507
1189.7,23.5507
1192.6,23.5507
1195.5,23.5507
1198.4,41.6667
1201.31,41.6667
1204.21,41.6667
1207.11,41.6667
1210.01,41.6667
1212.92,41.6667
1215.82,41.6667
1218.72,41.6667
1221.63,41.6667
1224.53,41.6667
1227.43,41.6667
1230.33,41.6667
1233.24,41.6667
1236.14,23.5507
1239.04,23.5507
1241.94,23.5507
1244.85,23.5507
1247.75,23.5507
1250.65,41.6667
1253.56,41.6667
1256.46,41.6667
1259.36,41.6667
1262.26,41.6667
1265.17,41.6667
1268.07,41.6667
1270.97,41.6667
1273.88,41.6667
1276.78,41.6667
1279.68,41.6667
1282.58,41.6667
1285.49,59.7826
1288.39,59.7826
1291.29,59.7826
1294.19,59.7826
1297.1,59.7826
1300,59.7826
1302.9,59.7826
1305.81,59.7826
1308.71,59.7826
1311.61,59.7826
1314.51,59.7826
1317.42,59.7826
1320.32,59.7826
1323.22,59.7826
1326.12,59.7826
1329.03,59.7826
1331.93,59.7826
1334.83,59.7826
1337.74,59.7826
1340.64,59.7826
1343.54,59.7826
1346.44,59.7826
1349.35,59.7826
1352.25,59.7826
1355.15,59.7826
1358.06,59.7826
1360.96,59.7826
1363.86,59.7826
1366.76,59.7826
1369.67,59.7826
1372.57,59.7826
1375.47,59.7826
1378.37,59.7826
1381.28,41.6667
1384.18,41.6667
1387.08,41.6667
1389.99,41.6667
1392.89,41.6667
1395.79,41.6667
1398.69,41.6667
1401.6,41.6667
1404.5,41.6667
1407.4,41.6667
1410.3,41.6667
1413.21,41.6667
1416.11,41.6667
1419.01,41.6667
1421.92,41.6667
1424.82,41.6667
1427.72,23.5507
1430.62,23.5507
1433.53,23.5507
1436.43,23.5507
1439.33,23.5507
1442.24,23.5507
1445.14,23.5507
1448.04,23.5507
1450.94,41.6667
1453.85,41.6667
1456.75,41.6667
1459.65,41.6667
1462.55,41.6667
1465.46,41.6667
1468.36,41.6667
1471.26,41.6667
1474.17,41.6667
1477.07,41.6667
1479.97,41.6667
1482.87,41.6667
1485.78,41.6667
1488.68,41.6667
1491.58,41.6667
1494.48,41.6667
1497.39,41.6667
1500.29,41.6667
1503.19,41.6667
1506.1,41.6667
1509,41.6667
1511.9,41.6667
1514.8,41.6667
1517.71,41.6667
1520.61,41.6667
1523.51,41.6667
1526.42,41.6667
1529.32,41.6667
1532.22,41.6667
1535.12,41.6667
1538.03,41.6667
1540.93,41.6667
1543.83,41.6667
1546.73,41.6667
1549.64,41.6667
1552.54,41.6667
1555.44,41.6667
1558.35,41.6667
1561.25,41.6667
1564.15,41.6667
1567.05,41.6667
1569.96,41.6667
1572.86,41.6667
1575.76,41.6667
1578.66,41.6667
1581.57,41.6667
1584.47,23.5507
1587.37,23.5507
1590.28,23.5507
1593.18,23.5507
1596.08,41.6667
1598.98,41.6667
1601.89,23.5507
1604.79,23.5507
1607.69,23.5507
1610.6,23.5507
1613.5,41.6667
1616.4,41.6667
1619.3,41.6667
1622.21,41.6667
1625.11,41.6667
1628.01,41.6667
1630.91,41.6667
1633.82,41.6667
1636.72,41.6667
1639.62,41.6667
1642.53,41.6667
1645.43,41.6667
1648.33,41.6667
1651.23,41.6667
1654.14,41.6667
1657.04,41.6667
1659.94,59.7826
1662.84,59.7826
1665.75,59.7826
1668.65,59.7826
1671.55,59.7826
1674.46,59.7826
1677.36,41.6667
1680.26,41.6667
1683.16,41.6667
1686.07,41.6667
1688.97,41.6667
1691.87,41.6667
1694.78,41.6667
1697.68,41.6667
1700.58,41.6667
1703.48,41.6667
1706.39,41.6667
1709.29,41.6667
1712.19,41.6667
1715.09,41.6667
1718,41.6667
1720.9,41.6667
1723.8,41.6667
1726.71,41.6667
1729.61,41.6667
1732.51,41.6667
1735.41,41.6667
1738.32,41.6667
1741.22,41.6667
1744.12,41.6667
1747.02,41.6667
1749.93,41.6667
1752.83,41.6667
1755.73,41.6667
1758.64,41.6667
1761.54,41.6667
1764.44,41.6667
1767.34,41.6667
1770.25,41.6667
1773.15,41.6667
1776.05,41.6667
1778.96,41.6667
1781.86,41.6667
1784.76,41.6667
1787.66,41.6667
1790.57,41.6667
1793.47,41.6667
1796.37,41.6667
1799.27,41.6667
1802.18,41.6667
1805.08,41.6667
1807.98,41.6667
1810.89,41.6667
1813.79,41.6667
1816.69,41.6667
1819.59,41.6667
1822.5,41.6667
1825.4,41.6667
1828.3,41.6667
1831.2,41.6667
1834.11,41.6667
1837.01,41.6667
1839.91,41.6667
1842.82,41.6667
1845.72,41.6667
1848.62,41.6667
1851.52,41.6667
1854.43,41.6667
1857.33,41.6667
1860.23,41.6667
1863.13,41.6667
1866.04,41.6667
1868.94,41.6667
1871.84,41.6667
1874.75,41.6667
1877.65,41.6667
1880.55,41.6667
1883.45,41.6667
1886.36,41.6667
1889.26,41.6667
1892.16,41.6667
1895.07,41.6667
1897.97,41.6667
1900.87,41.6667
1903.77,41.6667
1906.68,41.6667
1909.58,41.6667
1912.48,41.6667
1915.38,41.6667
1918.29,41.6667
1921.19,41.6667
1924.09,41.6667
1927,41.6667
1929.9,41.6667
1932.8,41.6667
1935.7,41.6667
1938.61,41.6667
1941.51,41.6667
1944.41,41.6667
1947.31,41.6667
1950.22,41.6667
1953.12,41.6667
1956.02,41.6667
1958.93,59.7826
1961.83,59.7826
1964.73,41.6667
1967.63,41.6667
1970.54,41.6667
1973.44,41.6667
1976.34,41.6667
1979.25,41.6667
1982.15,41.6667
1985.05,41.6667
1987.95,41.6667
1990.86,41.6667
1993.76,41.6667
1996.66,41.6667
1999.56,41.6667
2002.47,41.6667
2005.37,41.6667
2008.27,41.6667
2011.18,41.6667
2014.08,41.6667
2016.98,41.6667
2019.88,41.6667
2022.79,41.6667
2025.69,41.6667
2028.59,41.6667
2031.49,41.6667
2034.4,41.6667
2037.3,41.6667
2040.2,41.6667
2043.11,41.6667
2046.01,41.6667
2048.91,41.6667
2051.81,41.6667
2054.72,41.6667
2057.62,41.6667
2060.52,41.6667
2063.43,41.6667
2066.33,41.6667
2069.23,41.6667
2072.13,41.6667
2075.04,41.6667
2077.94,41.6667
2080.84,41.6667
2083.74,41.6667
2086.65,41.6667
2089.55,41.6667
2092.45,41.6667
2095.36,41.6667
2098.26,41.6667
2101.16,41.6667
2104.06,41.6667
2106.97,41.6667
2109.87,41.6667
2112.77,41.6667
2115.67,41.6667
2118.58,41.6667
2121.48,41.6667
2124.38,41.6667
2127.29,41.6667
2130.19,41.6667
2133.09,41.6667
