,GP550R
RamanShit,Intensity
261.755,389.105
264.815,389.105
267.874,155.642
270.934,155.642
273.994,-77.821
277.053,-77.821
280.113,-77.821
283.172,-77.821
286.232,155.642
289.291,155.642
292.351,155.642
295.411,155.642
298.47,155.642
301.53,155.642
304.589,155.642
307.649,155.642
310.709,155.642
313.768,155.642
316.828,155.642
319.887,155.642
322.947,155.642
326.006,155.642
329.066,155.642
332.126,155.642
335.185,155.642
338.245,155.642
341.304,389.105
344.364,622.568
347.424,1089.49
350.483,1089.49
353.543,1089.49
356.602,856.031
359.662,622.568
362.721,389.105
365.781,155.642
368.841,155.642
371.9,155.642
374.96,155.642
378.019,155.642
381.079,155.642
384.138,389.105
387.198,622.568
390.258,622.568
393.317,856.031
396.377,856.031
399.436,622.568
402.496,622.568
405.556,389.105
408.615,155.642
411.675,155.642
414.734,155.642
417.794,155.642
420.853,155.642
423.913,155.642
426.973,155.642
430.032,389.105
433.092,622.568
436.151,856.031
439.211,1322.96
442.271,2490.27
445.33,3891.05
448.39,6459.14
451.449,11128.4
454.509,19533.1
457.568,25369.6
460.628,37042.8
463.688,25369.6
466.747,25136.2
469.807,20000
472.866,12062.3
475.926,7859.92
478.986,5525.29
482.045,4124.51
485.105,3657.59
488.164,3424.12
491.224,3657.59
494.283,3891.05
497.343,4124.51
500.403,4591.44
503.462,3891.05
506.522,3424.12
509.581,2256.81
512.641,1322.96
515.7,1089.49
518.76,622.568
521.82,389.105
524.879,389.105
527.939,155.642
530.998,155.642
534.058,155.642
537.118,155.642
540.177,155.642
543.237,155.642
546.296,155.642
549.356,155.642
552.415,155.642
555.475,155.642
558.535,155.642
561.594,155.642
564.654,155.642
567.713,155.642
570.773,155.642
573.833,155.642
576.892,155.642
579.952,155.642
583.011,155.642
586.071,155.642
589.13,155.642
592.19,155.642
595.25,155.642
598.309,155.642
601.369,155.642
604.428,155.642
607.488,155.642
610.548,155.642
613.607,155.642
616.667,155.642
619.726,155.642
622.786,155.642
625.845,155.642
628.905,155.642
631.965,155.642
635.024,155.642
638.084,155.642
641.143,155.642
644.203,155.642
647.262,155.642
650.322,155.642
653.382,155.642
656.441,155.642
659.501,155.642
662.56,155.642
665.62,155.642
668.68,155.642
671.739,389.105
674.799,389.105
677.858,389.105
680.918,389.105
683.977,389.105
687.037,389.105
690.097,389.105
693.156,622.568
696.216,622.568
699.275,389.105
702.335,389.105
705.395,155.642
708.454,155.642
711.514,155.642
714.573,155.642
717.633,155.642
720.692,155.642
723.752,155.642
726.812,155.642
729.871,155.642
732.931,155.642
735.99,155.642
739.05,155.642
742.11,155.642
745.169,155.642
748.229,155.642
751.288,155.642
754.348,155.642
757.407,155.642
760.467,155.642
763.527,155.642
766.586,155.642
769.646,155.642
772.705,155.642
775.765,155.642
778.824,155.642
781.884,155.642
784.944,389.105
