,GP550R
RamanShit,Intensity
252.423,48.0392
255.493,30.3922
258.562,16.6667
261.632,10.7843
264.701,22.549
267.771,10.7843
270.84,22.549
273.91,12.7451
276.979,32.3529
280.048,8.82353
283.118,6.86275
286.187,4.90196
289.257,12.7451
292.326,6.86275
295.396,8.82353
298.465,10.7843
301.535,38.2353
304.604,46.0784
307.674,36.2745
310.743,57.8431
313.813,46.0784
316.882,50
319.952,63.7255
323.021,79.4118
326.09,89.2157
329.16,89.2157
332.229,91.1765
335.299,95.098
338.368,81.3725
341.438,69.6078
344.507,51.9608
347.577,36.2745
350.646,34.3137
353.716,34.3137
356.785,18.6275
359.855,16.6667
362.924,16.6667
365.994,10.7843
369.063,18.6275
372.132,24.5098
375.202,34.3137
378.271,48.0392
381.341,53.9216
384.41,61.7647
387.48,71.5686
390.549,81.3725
393.619,112.745
396.688,120.588
399.758,118.627
402.827,122.549
405.897,128.431
408.966,140.196
412.036,120.588
415.105,126.471
418.174,118.627
421.244,104.902
424.313,83.3333
427.383,67.6471
430.452,48.0392
433.522,42.1569
436.591,40.1961
439.661,57.8431
442.73,44.1176
445.8,34.3137
448.869,34.3137
451.939,34.3137
455.008,38.2353
458.078,44.1176
461.147,12.7451
464.216,18.6275
467.286,18.6275
470.355,24.5098
473.425,55.8824
476.494,69.6078
479.564,51.9608
482.633,55.8824
485.703,28.4314
488.772,67.6471
491.842,48.0392
494.911,44.1176
497.981,55.8824
501.05,38.2353
504.12,20.5882
507.189,32.3529
510.258,42.1569
513.328,26.4706
516.397,20.5882
519.467,20.5882
522.536,20.5882
525.606,36.2745
528.675,30.3922
531.745,26.4706
534.814,44.1176
537.884,18.6275
540.953,12.7451
544.023,24.5098
547.092,36.2745
550.162,16.6667
553.231,24.5098
556.3,26.4706
559.37,40.1961
562.439,57.8431
565.509,22.549
568.578,40.1961
571.648,20.5882
574.717,20.5882
577.787,36.2745
580.856,20.5882
583.926,14.7059
586.995,10.7843
590.065,10.7843
593.134,12.7451
596.204,24.5098
599.273,26.4706
602.342,20.5882
605.412,16.6667
608.481,18.6275
611.551,20.5882
614.62,26.4706
617.69,8.82353
620.759,6.86275
623.829,22.549
626.898,18.6275
629.968,16.6667
633.037,22.549
636.107,59.8039
639.176,53.9216
642.246,81.3725
645.315,69.6078
648.384,97.0588
651.454,126.471
654.523,159.804
657.593,202.941
660.662,242.157
663.732,281.373
666.801,318.627
669.871,344.118
672.94,353.922
676.01,312.745
679.079,242.157
682.149,187.255
685.218,142.157
688.288,110.784
691.357,77.451
694.426,69.6078
697.496,81.3725
700.565,71.5686
703.635,40.1961
706.704,32.3529
709.774,32.3529
712.843,32.3529
715.913,22.549
718.982,30.3922
722.052,32.3529
725.121,44.1176
728.191,20.5882
731.26,14.7059
734.33,12.7451
737.399,16.6667
740.468,36.2745
743.538,28.4314
746.607,22.549
749.677,20.5882
752.746,22.549
755.816,34.3137
758.885,22.549
761.955,22.549
765.024,22.549
768.094,30.3922
771.163,34.3137
774.233,26.4706
777.302,30.3922
780.372,36.2745
783.441,44.1176
786.511,46.0784
789.58,46.0784
792.649,46.0784
