,GP550R
RamanShit,Intensity
249.598,36161.4
252.653,55452.8
255.707,55452.8
258.762,14389.8
261.817,2814.96
264.871,2263.78
270.981,1437.01
274.035,1712.6
277.09,3917.32
280.145,9704.72
283.199,13287.4
286.254,16594.5
289.309,13011.8
292.363,9429.13
295.418,3366.14
298.473,610.236
301.527,59.0551
304.582,59.0551
307.637,59.0551
310.691,334.646
313.746,610.236
316.801,885.827
319.855,1437.01
322.91,2539.37
325.965,4468.5
329.019,8602.36
332.074,16594.5
335.129,29547.2
338.183,43878
341.238,57657.5
344.293,54074.8
347.347,49940.9
350.402,43878
353.457,29547.2
356.511,16043.3
359.566,7500
362.621,3641.73
365.675,1712.6
368.73,610.236
371.785,334.646
374.839,59.0551
377.894,59.0551
380.949,59.0551
384.003,334.646
387.058,334.646
390.113,334.646
393.167,334.646
396.222,334.646
399.277,334.646
402.331,59.0551
405.386,59.0551
408.441,59.0551
411.495,59.0551
414.55,59.0551
417.605,59.0551
420.659,59.0551
423.714,334.646
426.768,334.646
429.823,334.646
432.878,334.646
435.932,334.646
438.987,334.646
442.042,59.0551
445.096,59.0551
448.151,59.0551
451.206,59.0551
454.26,59.0551
457.315,59.0551
460.37,59.0551
463.424,59.0551
466.479,59.0551
469.534,59.0551
472.588,334.646
475.643,334.646
478.698,334.646
481.752,334.646
484.807,334.646
487.862,334.646
490.916,334.646
493.971,334.646
497.026,334.646
500.08,334.646
503.135,334.646
506.19,334.646
509.244,59.0551
512.299,59.0551
515.354,59.0551
518.408,59.0551
521.463,59.0551
524.518,334.646
527.572,334.646
530.627,334.646
533.682,334.646
536.736,334.646
539.791,334.646
542.846,334.646
545.9,334.646
548.955,334.646
552.01,334.646
555.064,334.646
558.119,334.646
561.174,334.646
564.228,334.646
567.283,334.646
570.338,334.646
573.392,334.646
576.447,334.646
579.502,334.646
582.556,334.646
585.611,334.646
588.666,334.646
591.72,334.646
594.775,334.646
597.83,334.646
600.884,334.646
603.939,334.646
606.994,334.646
610.048,334.646
613.103,334.646
616.158,334.646
619.212,610.236
622.267,610.236
625.322,610.236
628.376,610.236
631.431,610.236
634.486,610.236
637.54,610.236
640.595,334.646
643.65,334.646
646.704,334.646
649.759,334.646
652.814,334.646
655.868,334.646
658.923,334.646
661.977,334.646
665.032,334.646
668.087,334.646
671.141,334.646
674.196,334.646
677.251,334.646
680.305,334.646
683.36,334.646
686.415,334.646
689.469,334.646
692.524,334.646
695.579,334.646
698.633,334.646
701.688,334.646
704.743,334.646
707.797,334.646
710.852,334.646
713.907,334.646
716.961,59.0551
720.016,59.0551
723.071,59.0551
726.125,59.0551
729.18,59.0551
732.235,59.0551
735.289,59.0551
738.344,59.0551
741.399,59.0551
744.453,59.0551
747.508,59.0551
750.563,59.0551
753.617,59.0551
756.672,59.0551
759.727,59.0551
762.781,59.0551
765.836,59.0551
768.891,59.0551
771.945,59.0551
775,59.0551
778.055,59.0551
781.109,59.0551
784.164,59.0551
787.219,59.0551
790.273,59.0551
793.328,59.0551
796.383,59.0551
799.437,59.0551
802.492,59.0551
805.547,59.0551
808.601,59.0551
811.656,59.0551
814.711,59.0551
817.765,59.0551
820.82,59.0551
823.875,59.0551
826.929,59.0551
829.984,59.0551
833.039,59.0551
836.093,59.0551
839.148,59.0551
842.203,59.0551
845.257,59.0551
848.312,59.0551
851.367,59.0551
854.421,59.0551
857.476,59.0551
860.531,59.0551
863.585,59.0551
866.64,59.0551
869.695,59.0551
872.749,59.0551
875.804,59.0551
878.859,59.0551
881.913,59.0551
884.968,59.0551
888.023,59.0551
891.077,59.0551
894.132,59.0551
897.186,59.0551
900.241,59.0551
903.296,59.0551
906.35,59.0551
909.405,59.0551
912.46,59.0551
915.514,59.0551
918.569,59.0551
921.624,59.0551
924.678,59.0551
927.733,59.0551
930.788,59.0551
933.842,59.0551
936.897,59.0551
939.952,59.0551
943.006,59.0551
946.061,59.0551
949.116,59.0551
952.17,59.0551
955.225,59.0551
958.28,59.0551
961.334,59.0551
964.389,59.0551
967.444,59.0551
970.498,59.0551
973.553,59.0551
976.608,59.0551
979.662,59.0551
982.717,59.0551
985.772,59.0551
988.826,59.0551
991.881,59.0551
994.936,59.0551
997.99,59.0551
1001.05,59.0551
1004.1,59.0551
1007.15,59.0551
1010.21,59.0551
1013.26,59.0551
1016.32,59.0551
1019.37,59.0551
1022.43,59.0551
1025.48,59.0551
1028.54,59.0551
1031.59,59.0551
1034.65,59.0551
1037.7,59.0551
1040.76,59.0551
1043.81,59.0551
1046.86,59.0551
1049.92,59.0551
1052.97,59.0551
1056.03,59.0551
1059.08,59.0551
1062.14,59.0551
1065.19,59.0551
1068.25,59.0551
1071.3,59.0551
1074.36,59.0551
1077.41,59.0551
1080.47,59.0551
1083.52,59.0551
1086.58,59.0551
1089.63,59.0551
1092.68,334.646
1095.74,334.646
1098.79,334.646
1101.85,334.646
1104.9,334.646
1107.96,59.0551
1111.01,59.0551
1114.07,59.0551
1117.12,59.0551
1120.18,59.0551
1123.23,59.0551
1126.29,59.0551
1129.34,59.0551
1132.4,59.0551
1135.45,59.0551
1138.5,59.0551
1141.56,59.0551
1144.61,59.0551
1147.67,59.0551
1150.72,59.0551
1153.78,59.0551
1156.83,59.0551
1159.89,59.0551
1162.94,59.0551
1166,59.0551
1169.05,59.0551
1172.11,59.0551
1175.16,59.0551
1178.22,59.0551
1181.27,59.0551
1184.32,59.0551
1187.38,59.0551
1190.43,59.0551
1193.49,59.0551
1196.54,59.0551
1199.6,59.0551
1202.65,59.0551
1205.71,59.0551
1208.76,59.0551
1211.82,59.0551
1214.87,59.0551
1217.93,59.0551
1220.98,59.0551
1224.04,59.0551
1227.09,59.0551
1230.14,59.0551
1233.2,59.0551
1236.25,59.0551
1239.31,59.0551
1242.36,59.0551
1245.42,59.0551
1248.47,59.0551
1251.53,59.0551
1254.58,59.0551
1257.64,59.0551
1260.69,59.0551
1263.75,59.0551
1266.8,59.0551
1269.86,59.0551
1272.91,59.0551
1275.96,59.0551
1279.02,59.0551
1282.07,59.0551
1285.13,59.0551
1288.18,59.0551
1291.24,59.0551
1294.29,59.0551
1297.35,59.0551
1300.4,59.0551
1303.46,59.0551
1306.51,59.0551
1309.57,59.0551
1312.62,59.0551
1315.68,59.0551
1318.73,59.0551
1321.78,59.0551
1324.84,59.0551
1327.89,59.0551
1330.95,59.0551
1334,59.0551
1337.06,59.0551
1340.11,59.0551
1343.17,59.0551
1346.22,59.0551
1349.28,59.0551
1352.33,59.0551
1355.39,59.0551
1358.44,59.0551
1361.5,59.0551
1364.55,59.0551
1367.6,59.0551
1370.66,59.0551
1373.71,59.0551
1376.77,59.0551
1379.82,59.0551
1382.88,59.0551
1385.93,59.0551
1388.99,59.0551
1392.04,59.0551
1395.1,59.0551
1398.15,59.0551
1401.21,59.0551
1404.26,59.0551
1407.32,59.0551
1410.37,59.0551
1413.42,59.0551
1416.48,59.0551
1419.53,59.0551
1422.59,59.0551
1425.64,59.0551
1428.7,59.0551
1431.75,59.0551
1434.81,59.0551
1437.86,59.0551
1440.92,59.0551
1443.97,59.0551
1447.03,59.0551
1450.08,59.0551
1453.14,59.0551
1456.19,59.0551
1459.24,59.0551
1462.3,59.0551
1465.35,59.0551
1468.41,59.0551
1471.46,59.0551
1474.52,59.0551
1477.57,59.0551
1480.63,59.0551
1483.68,59.0551
1486.74,59.0551
1489.79,59.0551
