,GP550R
RamanShit,Intensity
215.862,157.48
218.921,787.402
221.981,787.402
225.04,787.402
228.1,629.921
231.159,157.48
234.219,157.48
237.279,157.48
240.338,157.48
243.398,25196.9
246.457,25196.9
249.517,19370.1
252.576,25196.9
255.636,25196.9
258.696,157.48
261.755,157.48
264.815,157.48
267.874,157.48
270.934,-157.48
273.994,787.402
277.053,2047.24
280.113,2834.65
283.172,3622.05
286.232,2834.65
289.291,2362.2
292.351,1259.84
295.411,314.961
298.47,0
301.53,0
304.589,0
307.649,157.48
310.709,157.48
313.768,314.961
316.828,472.441
319.887,787.402
322.947,1259.84
326.006,2204.72
329.066,3937.01
332.126,7244.09
335.185,12440.9
338.245,20157.5
341.304,21259.8
344.364,15275.6
347.424,13543.3
350.483,10236.2
353.543,6929.13
356.602,4094.49
359.662,2047.24
362.721,1102.36
365.781,472.441
368.841,314.961
371.9,157.48
374.96,157.48
378.019,157.48
381.079,157.48
384.138,157.48
387.198,157.48
390.258,157.48
393.317,157.48
396.377,157.48
399.436,157.48
402.496,157.48
405.556,157.48
408.615,157.48
411.675,157.48
414.734,157.48
417.794,157.48
420.853,157.48
423.913,157.48
426.973,157.48
430.032,157.48
433.092,157.48
436.151,157.48
439.211,157.48
442.271,157.48
445.33,157.48
448.39,157.48
451.449,157.48
454.509,157.48
457.568,157.48
460.628,157.48
463.688,157.48
466.747,157.48
469.807,157.48
472.866,157.48
475.926,157.48
478.986,157.48
482.045,157.48
485.105,157.48
488.164,157.48
491.224,157.48
494.283,157.48
497.343,157.48
500.403,157.48
503.462,157.48
506.522,157.48
509.581,157.48
512.641,157.48
515.7,157.48
518.76,157.48
521.82,157.48
524.879,157.48
527.939,157.48
530.998,157.48
534.058,157.48
537.118,157.48
540.177,157.48
543.237,157.48
546.296,157.48
549.356,157.48
552.415,157.48
555.475,157.48
558.535,157.48
561.594,157.48
564.654,157.48
567.713,157.48
570.773,157.48
573.833,157.48
576.892,157.48
579.952,157.48
583.011,157.48
586.071,157.48
589.13,157.48
592.19,157.48
595.25,157.48
598.309,157.48
601.369,157.48
604.428,157.48
607.488,157.48
610.548,157.48
613.607,157.48
616.667,157.48
619.726,157.48
622.786,157.48
625.845,157.48
628.905,157.48
631.965,157.48
635.024,157.48
638.084,157.48
641.143,157.48
644.203,157.48
647.262,157.48
650.322,157.48
653.382,157.48
656.441,157.48
659.501,157.48
662.56,157.48
665.62,157.48
668.68,157.48
671.739,157.48
674.799,157.48
677.858,157.48
680.918,157.48
683.977,157.48
687.037,157.48
690.097,157.48
693.156,157.48
696.216,157.48
699.275,157.48
702.335,157.48
705.395,157.48
708.454,157.48
711.514,157.48
714.573,157.48
717.633,157.48
720.692,157.48
723.752,157.48
726.812,157.48
729.871,157.48
732.931,157.48
735.99,157.48
739.05,157.48
742.11,157.48
745.169,157.48
748.229,157.48
751.288,157.48
754.348,157.48
757.407,157.48
760.467,157.48
763.527,157.48
766.586,157.48
769.646,157.48
772.705,157.48
775.765,157.48
778.824,157.48
781.884,157.48
784.944,157.48
788.003,157.48
791.063,157.48
794.122,157.48
797.182,157.48
800.242,157.48
803.301,157.48
806.361,157.48
809.42,157.48
812.48,157.48
815.539,157.48
818.599,157.48
