,GP550R
RamanShit,Intensity
255.344,525.237
258.424,298.107
261.504,298.107
264.583,298.107
267.663,298.107
270.743,298.107
273.822,326.498
276.902,354.89
279.982,411.672
283.062,496.845
286.141,610.41
289.221,695.584
292.301,723.975
295.38,752.366
298.46,780.757
301.54,723.975
304.62,695.584
307.699,638.801
310.779,638.801
313.859,610.41
316.938,667.192
320.018,695.584
323.098,695.584
326.178,695.584
329.257,667.192
332.337,638.801
335.417,638.801
338.496,610.41
341.576,638.801
344.656,667.192
347.736,780.757
350.815,922.713
353.895,1007.89
356.975,1007.89
360.054,1007.89
363.134,1007.89
366.214,922.713
369.293,837.539
372.373,695.584
375.453,582.019
378.533,525.237
381.612,440.063
384.692,440.063
387.772,468.454
390.851,496.845
393.931,525.237
397.011,553.628
400.091,496.845
403.17,411.672
406.25,298.107
409.33,212.934
412.409,184.543
415.489,184.543
418.569,184.543
421.649,184.543
424.728,184.543
427.808,212.934
430.888,241.325
433.967,298.107
437.047,411.672
440.127,525.237
443.207,383.281
446.286,383.281
449.366,269.716
452.446,184.543
455.525,156.151
458.605,184.543
461.685,241.325
464.764,354.89
467.844,468.454
470.924,723.975
474.004,865.931
477.083,922.713
480.163,979.495
483.243,809.148
486.322,723.975
489.402,667.192
492.482,610.41
495.562,638.801
498.641,667.192
501.721,723.975
504.801,809.148
507.88,837.539
510.96,922.713
514.04,809.148
517.12,780.757
520.199,695.584
523.279,610.41
526.359,553.628
529.438,496.845
532.518,440.063
535.598,468.454
538.678,468.454
541.757,468.454
544.837,496.845
547.917,496.845
550.996,553.628
554.076,610.41
557.156,638.801
560.236,695.584
563.315,752.366
566.395,780.757
569.475,780.757
572.554,780.757
575.634,780.757
578.714,723.975
581.793,610.41
584.873,525.237
587.953,411.672
591.033,326.498
594.112,326.498
597.192,326.498
600.272,326.498
603.351,326.498
606.431,326.498
609.511,326.498
612.591,326.498
615.67,326.498
618.75,298.107
621.83,241.325
624.909,241.325
627.989,241.325
631.069,241.325
634.149,269.716
637.228,269.716
640.308,326.498
643.388,269.716
646.467,269.716
649.547,241.325
652.627,269.716
655.707,298.107
658.786,411.672
661.866,525.237
664.946,553.628
668.025,553.628
671.105,525.237
674.185,525.237
677.264,525.237
680.344,496.845
683.424,525.237
686.504,525.237
689.583,638.801
692.663,752.366
695.743,894.322
698.822,723.975
701.902,638.801
704.982,440.063
708.062,383.281
711.141,326.498
714.221,326.498
717.301,298.107
720.38,269.716
723.46,269.716
726.54,298.107
729.62,411.672
732.699,525.237
735.779,695.584
738.859,1093.06
741.938,1348.58
745.018,1376.97
748.098,1575.71
751.178,1348.58
754.257,1320.19
757.337,1206.62
760.417,1007.89
763.496,809.148
766.576,638.801
769.656,411.672
772.736,241.325
775.815,184.543
778.895,212.934
781.975,241.325
785.054,269.716
788.134,298.107
791.214,354.89
794.293,411.672
797.373,610.41
800.453,723.975
803.533,809.148
806.612,440.063
809.692,440.063
812.772,411.672
815.851,383.281
818.931,354.89
822.011,298.107
825.091,269.716
828.17,241.325
831.25,241.325
834.33,241.325
837.409,212.934
840.489,212.934
843.569,212.934
846.649,212.934
849.728,212.934
852.808,184.543
855.888,184.543
858.967,156.151
862.047,184.543
865.127,184.543
868.207,184.543
871.286,241.325
874.366,383.281
877.446,525.237
880.525,553.628
883.605,525.237
886.685,496.845
889.764,440.063
892.844,326.498
895.924,212.934
899.004,70.9779
902.083,184.543
905.163,212.934
908.243,241.325
911.322,269.716
914.402,383.281
917.482,553.628
920.562,752.366
923.641,894.322
926.721,951.104
929.801,1064.67
932.88,894.322
935.96,723.975
939.04,440.063
942.12,326.498
945.199,298.107
948.279,269.716
951.359,354.89
954.438,383.281
957.518,468.454
960.598,553.628
963.678,582.019
966.757,582.019
969.837,582.019
972.917,610.41
975.996,610.41
979.076,610.41
982.156,582.019
985.236,553.628
988.315,440.063
991.395,298.107
994.475,241.325
997.554,269.716
1000.63,269.716
1003.71,354.89
1006.79,496.845
1009.87,610.41
1012.95,610.41
1016.03,638.801
1019.11,638.801
1022.19,638.801
1025.27,610.41
1028.35,610.41
1031.43,610.41
1034.51,638.801
1037.59,638.801
1040.67,667.192
1043.75,752.366
1046.83,752.366
1049.91,780.757
1052.99,780.757
1056.07,780.757
1059.15,780.757
1062.23,780.757
1065.31,809.148
1068.39,865.931
1071.47,894.322
1074.55,922.713
1077.63,951.104
1080.71,1007.89
1083.79,1093.06
1086.87,1121.45
1089.95,1376.97
1093.03,1433.75
1096.11,979.495
1099.18,752.366
1102.26,553.628
1105.34,411.672
1108.42,298.107
1111.5,269.716
1114.58,212.934
1117.66,156.151
1120.74,241.325
1123.82,269.716
1126.9,468.454
1129.98,610.41
1133.06,695.584
1136.14,610.41
1139.22,610.41
1142.3,525.237
1145.38,440.063
1148.46,411.672
1151.54,383.281
1154.62,326.498
1157.7,326.498
1160.78,326.498
1163.86,326.498
1166.94,354.89
1170.02,440.063
1173.1,610.41
1176.18,723.975
1179.26,837.539
1182.34,1036.28
1185.42,1149.84
1188.5,1178.23
1191.58,1178.23
1194.66,1178.23
1197.74,1178.23
1200.82,1178.23
1203.89,1121.45
1206.97,1206.62
1210.05,1320.19
1213.13,894.322
1216.21,780.757
1219.29,695.584
1222.37,638.801
1225.45,582.019
1228.53,553.628
1231.61,553.628
1234.69,582.019
1237.77,582.019
1240.85,610.41
1243.93,582.019
1247.01,582.019
1250.09,468.454
1253.17,326.498
1256.25,241.325
1259.33,212.934
1262.41,184.543
1265.49,184.543
1268.57,184.543
1271.65,184.543
1274.73,212.934
1277.81,212.934
1280.89,212.934
1283.97,241.325
1287.05,269.716
1290.13,269.716
1293.21,383.281
1296.29,496.845
