,GP550R
RamanShit,Intensity
258.828,316.206
261.878,1027.67
264.928,1976.28
267.978,3399.21
271.027,4822.13
274.077,6719.37
277.127,8616.6
280.177,9565.22
283.226,10039.5
286.276,9328.06
289.326,8616.6
292.376,6956.52
295.425,5296.44
298.475,3873.52
301.525,2924.9
304.575,2213.44
307.624,1501.98
310.674,1027.67
313.724,790.514
316.774,553.36
319.823,316.206
322.873,79.0514
325.923,79.0514
328.973,79.0514
332.022,79.0514
335.072,79.0514
338.122,79.0514
341.172,79.0514
344.222,79.0514
347.271,79.0514
350.321,79.0514
353.371,79.0514
356.421,79.0514
359.47,79.0514
362.52,79.0514
365.57,79.0514
368.62,79.0514
371.669,79.0514
374.719,79.0514
377.769,79.0514
380.819,79.0514
383.868,79.0514
386.918,79.0514
389.968,79.0514
393.018,79.0514
396.067,79.0514
399.117,316.206
402.167,316.206
405.217,316.206
408.266,553.36
411.316,1027.67
414.366,1264.82
417.416,1739.13
420.465,1264.82
423.515,790.514
426.565,316.206
429.615,79.0514
432.665,79.0514
435.714,79.0514
438.764,79.0514
441.814,79.0514
444.864,79.0514
447.913,79.0514
450.963,79.0514
454.013,79.0514
457.063,79.0514
460.112,79.0514
463.162,79.0514
466.212,79.0514
469.262,79.0514
472.311,79.0514
475.361,79.0514
478.411,79.0514
481.461,79.0514
484.51,79.0514
487.56,79.0514
490.61,79.0514
493.66,79.0514
496.709,79.0514
499.759,79.0514
502.809,79.0514
505.859,79.0514
508.909,79.0514
511.958,79.0514
515.008,79.0514
518.058,79.0514
521.108,79.0514
524.157,79.0514
527.207,79.0514
530.257,79.0514
533.307,316.206
536.356,316.206
539.406,79.0514
542.456,79.0514
545.506,79.0514
548.555,79.0514
551.605,79.0514
554.655,79.0514
557.705,79.0514
560.754,79.0514
563.804,79.0514
566.854,79.0514
569.904,79.0514
572.953,79.0514
576.003,79.0514
579.053,79.0514
582.103,79.0514
585.152,79.0514
588.202,79.0514
591.252,79.0514
594.302,79.0514
597.352,79.0514
600.401,79.0514
603.451,79.0514
606.501,79.0514
609.551,79.0514
612.6,79.0514
615.65,79.0514
618.7,79.0514
621.75,79.0514
624.799,79.0514
627.849,79.0514
630.899,79.0514
633.949,79.0514
636.998,79.0514
640.048,316.206
643.098,316.206
646.148,79.0514
649.197,79.0514
652.247,79.0514
655.297,79.0514
658.347,79.0514
661.396,79.0514
664.446,79.0514
667.496,79.0514
670.546,79.0514
673.596,79.0514
676.645,79.0514
679.695,79.0514
682.745,79.0514
685.795,316.206
688.844,553.36
691.894,790.514
694.944,1027.67
697.994,1264.82
701.043,1264.82
704.093,1976.28
707.143,2924.9
710.193,3636.36
713.242,3636.36
716.292,3873.52
719.342,3399.21
722.392,2687.75
725.441,1739.13
728.491,1027.67
731.541,553.36
734.591,316.206
737.64,316.206
740.69,79.0514
743.74,79.0514
746.79,79.0514
749.839,79.0514
752.889,79.0514
755.939,79.0514
758.989,79.0514
762.039,79.0514
765.088,79.0514
768.138,79.0514
771.188,79.0514
774.238,79.0514
777.287,79.0514
780.337,79.0514
783.387,79.0514
786.437,79.0514
789.486,79.0514
792.536,79.0514
795.586,79.0514
798.636,79.0514
801.685,79.0514
804.735,79.0514
807.785,79.0514
810.835,79.0514
813.884,79.0514
816.934,79.0514
819.984,79.0514
823.034,79.0514
826.083,79.0514
829.133,79.0514
832.183,79.0514
835.233,79.0514
838.283,79.0514
841.332,79.0514
844.382,79.0514
847.432,79.0514
850.482,79.0514
853.531,79.0514
856.581,79.0514
859.631,79.0514
862.681,79.0514
865.73,79.0514
868.78,79.0514
871.83,79.0514
874.88,316.206
877.929,79.0514
880.979,79.0514
884.029,79.0514
887.079,79.0514
890.128,79.0514
893.178,79.0514
896.228,79.0514
899.278,79.0514
902.327,79.0514
905.377,79.0514
908.427,79.0514
911.477,79.0514
914.526,79.0514
917.576,79.0514
920.626,79.0514
923.676,79.0514
926.726,79.0514
929.775,79.0514
932.825,79.0514
935.875,79.0514
938.925,79.0514
941.974,79.0514
945.024,79.0514
948.074,79.0514
951.124,79.0514
954.173,79.0514
957.223,79.0514
960.273,79.0514
963.323,79.0514
966.372,79.0514
969.422,79.0514
972.472,79.0514
975.522,79.0514
978.571,79.0514
981.621,79.0514
984.671,79.0514
987.721,79.0514
990.77,316.206
993.82,316.206
996.87,316.206
999.92,316.206
1002.97,316.206
1006.02,553.36
1009.07,790.514
1012.12,790.514
1015.17,790.514
1018.22,1027.67
1021.27,1027.67
1024.32,790.514
1027.37,790.514
1030.42,553.36
1033.47,316.206
1036.52,316.206
1039.57,79.0514
1042.62,79.0514
1045.67,79.0514
1048.72,79.0514
1051.77,79.0514
1054.82,79.0514
1057.87,79.0514
1060.91,79.0514
1063.96,316.206
1067.01,553.36
1070.06,1264.82
1073.11,2450.59
1076.16,4347.83
1079.21,8616.6
1082.26,16442.7
1085.31,24743.1
1088.36,46087
1091.41,48695.7
1094.46,27588.9
1097.51,20237.2
1100.56,8853.75
1103.61,3636.36
1106.66,1976.28
1109.71,1976.28
1112.76,2213.44
1115.81,2687.75
1118.86,4110.67
1121.91,5770.75
1124.96,7905.14
1128.01,9090.91
1131.06,10039.5
1134.11,9090.91
1137.16,8379.45
1140.21,6956.52
1143.26,5059.29
1146.31,3873.52
1149.36,2924.9
1152.41,2213.44
1155.46,1739.13
1158.51,1264.82
1161.56,790.514
1164.61,553.36
1167.66,316.206
1170.71,79.0514
1173.76,79.0514
1176.81,79.0514
1179.86,79.0514
1182.91,79.0514
1185.96,79.0514
1189,79.0514
1192.05,79.0514
1195.1,79.0514
1198.15,79.0514
1201.2,79.0514
1204.25,79.0514
1207.3,79.0514
1210.35,79.0514
1213.4,79.0514
1216.45,79.0514
1219.5,79.0514
1222.55,79.0514
1225.6,79.0514
1228.65,79.0514
1231.7,79.0514
1234.75,79.0514
1237.8,79.0514
1240.85,79.0514
1243.9,79.0514
1246.95,79.0514
1250,79.0514
1253.05,79.0514
1256.1,79.0514
1259.15,79.0514
1262.2,79.0514
1265.25,79.0514
1268.3,79.0514
1271.35,79.0514
1274.4,79.0514
1277.45,79.0514
1280.5,79.0514
1283.55,79.0514
1286.6,79.0514
1289.65,79.0514
1292.7,79.0514
1295.75,79.0514
1298.8,79.0514
1301.85,79.0514
1304.9,79.0514
1307.95,79.0514
1311,79.0514
1314.04,79.0514
1317.09,79.0514
1320.14,79.0514
1323.19,79.0514
1326.24,79.0514
1329.29,79.0514
1332.34,79.0514
1335.39,79.0514
1338.44,79.0514
1341.49,79.0514
1344.54,79.0514
1347.59,316.206
1350.64,553.36
1353.69,553.36
1356.74,316.206
1359.79,316.206
1362.84,79.0514
1365.89,79.0514
1368.94,79.0514
1371.99,79.0514
1375.04,79.0514
1378.09,79.0514
1381.14,79.0514
1384.19,79.0514
1387.24,79.0514
1390.29,79.0514
1393.34,79.0514
1396.39,79.0514
1399.44,79.0514
1402.49,79.0514
1405.54,79.0514
1408.59,79.0514
1411.64,79.0514
1414.69,79.0514
1417.74,79.0514
1420.79,79.0514
1423.84,79.0514
1426.89,79.0514
1429.94,79.0514
1432.99,316.206
1436.04,316.206
1439.09,316.206
1442.13,316.206
1445.18,316.206
1448.23,316.206
1451.28,316.206
1454.33,79.0514
1457.38,79.0514
1460.43,79.0514
1463.48,79.0514
1466.53,79.0514
1469.58,79.0514
1472.63,79.0514
1475.68,79.0514
1478.73,79.0514
1481.78,79.0514
1484.83,79.0514
1487.88,79.0514
1490.93,316.206
1493.98,553.36
1497.03,790.514
1500.08,1264.82
1503.13,2213.44
1506.18,3399.21
1509.23,5296.44
1512.28,7430.83
1515.33,9565.22
1518.38,10276.7
1521.43,10988.1
1524.48,10039.5
1527.53,9328.06
1530.58,7430.83
1533.63,5533.6
1536.68,4347.83
1539.73,3399.21
1542.78,2924.9
1545.83,2687.75
1548.88,2213.44
1551.93,1501.98
1554.98,1027.67
1558.03,790.514
1561.08,553.36
1564.13,316.206
1567.17,79.0514
1570.22,79.0514
1573.27,79.0514
1576.32,79.0514
1579.37,79.0514
1582.42,79.0514
1585.47,79.0514
1588.52,79.0514
1591.57,79.0514
1594.62,79.0514
1597.67,79.0514
1600.72,79.0514
1603.77,79.0514
1606.82,79.0514
1609.87,79.0514
1612.92,79.0514
1615.97,79.0514
1619.02,79.0514
1622.07,79.0514
1625.12,79.0514
1628.17,79.0514
1631.22,79.0514
1634.27,79.0514
1637.32,79.0514
1640.37,79.0514
1643.42,79.0514
1646.47,79.0514
1649.52,79.0514
1652.57,79.0514
1655.62,79.0514
1658.67,79.0514
1661.72,79.0514
1664.77,79.0514
1667.82,79.0514
1670.87,79.0514
1673.92,79.0514
1676.97,79.0514
1680.02,79.0514
1683.07,79.0514
1686.12,79.0514
1689.17,79.0514
1692.22,79.0514
1695.26,79.0514
1698.31,79.0514
1701.36,79.0514
1704.41,79.0514
1707.46,79.0514
1710.51,79.0514
1713.56,79.0514
1716.61,79.0514
1719.66,79.0514
1722.71,79.0514
1725.76,79.0514
1728.81,79.0514
1731.86,79.0514
1734.91,79.0514
1737.96,79.0514
1741.01,79.0514
1744.06,316.206
1747.11,553.36
1750.16,553.36
1753.21,790.514
1756.26,553.36
1759.31,553.36
1762.36,553.36
1765.41,316.206
1768.46,79.0514
1771.51,79.0514
1774.56,79.0514
1777.61,79.0514
1780.66,79.0514
1783.71,553.36
1786.76,316.206
1789.81,316.206
1792.86,316.206
1795.91,79.0514
1798.96,79.0514
1802.01,79.0514
1805.06,79.0514
1808.11,79.0514
1811.16,79.0514
1814.21,79.0514
1817.26,79.0514
1820.3,79.0514
1823.35,79.0514
1826.4,79.0514
1829.45,79.0514
1832.5,79.0514
1835.55,79.0514
1838.6,79.0514
1841.65,79.0514
1844.7,79.0514
1847.75,79.0514
1850.8,79.0514
1853.85,79.0514
1856.9,79.0514
1859.95,79.0514
1863,79.0514
1866.05,79.0514
1869.1,79.0514
1872.15,79.0514
1875.2,79.0514
1878.25,79.0514
1881.3,79.0514
1884.35,79.0514
1887.4,79.0514
1890.45,79.0514
1893.5,79.0514
1896.55,79.0514
1899.6,79.0514
1902.65,79.0514
1905.7,79.0514
1908.75,79.0514
1911.8,79.0514
1914.85,79.0514
1917.9,79.0514
1920.95,79.0514
1924,79.0514
1927.05,79.0514
1930.1,79.0514
1933.15,79.0514
1936.2,79.0514
1939.25,79.0514
1942.3,79.0514
1945.35,79.0514
1948.39,79.0514
1951.44,79.0514
1954.49,79.0514
1957.54,79.0514
1960.59,79.0514
1963.64,79.0514
1966.69,79.0514
1969.74,79.0514
1972.79,79.0514
1975.84,79.0514
1978.89,79.0514
1981.94,79.0514
1984.99,79.0514
1988.04,79.0514
1991.09,79.0514
1994.14,79.0514
1997.19,79.0514
2000.24,79.0514
2003.29,79.0514
2006.34,79.0514
2009.39,79.0514
2012.44,79.0514
2015.49,79.0514
2018.54,79.0514
2021.59,79.0514
2024.64,79.0514
2027.69,79.0514
2030.74,79.0514
2033.79,79.0514
2036.84,79.0514
2039.89,79.0514
2042.94,79.0514
2045.99,79.0514
2049.04,79.0514
2052.09,79.0514
2055.14,79.0514
2058.19,79.0514
2061.24,79.0514
2064.29,79.0514
2067.34,79.0514
2070.39,79.0514
2073.43,79.0514
2076.48,79.0514
2079.53,79.0514
2082.58,79.0514
2085.63,79.0514
2088.68,79.0514
2091.73,79.0514
2094.78,79.0514
2097.83,79.0514
2100.88,79.0514
2103.93,79.0514
2106.98,79.0514
2110.03,79.0514
2113.08,79.0514
2116.13,79.0514
2119.18,79.0514
2122.23,79.0514
2125.28,79.0514
2128.33,79.0514
2131.38,79.0514
2134.43,79.0514
2137.48,79.0514
2140.53,79.0514
2143.58,79.0514
2146.63,79.0514
2149.68,79.0514
2152.73,79.0514
2155.78,79.0514
