,GP550R
RamanShit,Intensity
254.899,112.319
258.009,351.449
261.12,670.29
264.23,1307.97
267.341,2184.78
270.451,2822.46
273.561,3141.3
276.672,3460.14
279.782,3699.28
282.893,3141.3
286.003,3061.59
289.114,2742.75
292.224,2184.78
295.334,1467.39
298.445,989.13
301.555,750
304.666,670.29
307.776,431.159
310.886,192.029
313.997,112.319
317.107,112.319
320.218,112.319
323.328,32.6087
326.439,32.6087
329.549,32.6087
332.659,32.6087
335.77,32.6087
338.88,32.6087
341.991,32.6087
345.101,32.6087
348.212,32.6087
351.322,32.6087
354.432,32.6087
357.543,112.319
360.653,112.319
363.764,112.319
366.874,32.6087
369.984,32.6087
373.095,32.6087
376.205,32.6087
379.316,32.6087
382.426,32.6087
385.537,32.6087
388.647,32.6087
391.757,112.319
394.868,112.319
397.978,112.319
401.089,112.319
404.199,112.319
407.309,112.319
410.42,112.319
413.53,112.319
416.641,112.319
419.751,112.319
422.862,112.319
425.972,112.319
429.082,112.319
432.193,112.319
435.303,112.319
438.414,112.319
441.524,112.319
444.635,32.6087
447.745,32.6087
450.855,32.6087
453.966,32.6087
457.076,32.6087
460.187,32.6087
463.297,32.6087
466.407,112.319
469.518,112.319
472.628,32.6087
475.739,32.6087
478.849,32.6087
481.96,32.6087
485.07,32.6087
488.18,32.6087
491.291,32.6087
494.401,32.6087
497.512,32.6087
500.622,112.319
503.733,112.319
506.843,112.319
509.953,112.319
513.064,112.319
516.174,112.319
519.285,112.319
522.395,112.319
525.505,112.319
528.616,112.319
531.726,112.319
534.837,112.319
537.947,112.319
541.058,112.319
544.168,112.319
547.278,112.319
550.389,112.319
553.499,112.319
556.61,112.319
559.72,112.319
562.83,112.319
565.941,112.319
569.051,112.319
572.162,112.319
575.272,112.319
578.383,32.6087
581.493,32.6087
584.603,32.6087
587.714,32.6087
590.824,32.6087
593.935,112.319
597.045,112.319
600.156,112.319
603.266,112.319
606.376,112.319
609.487,112.319
612.597,112.319
615.708,112.319
618.818,112.319
621.928,112.319
625.039,112.319
628.149,112.319
631.26,112.319
634.37,112.319
637.481,112.319
640.591,112.319
643.701,112.319
646.812,112.319
649.922,112.319
653.033,112.319
656.143,112.319
659.253,112.319
662.364,112.319
665.474,112.319
668.585,112.319
671.695,112.319
674.806,112.319
677.916,112.319
681.026,112.319
684.137,192.029
687.247,192.029
690.358,351.449
693.468,431.159
696.579,510.87
699.689,750
702.799,1068.84
705.91,1307.97
709.02,1307.97
712.131,1467.39
715.241,1307.97
718.351,1307.97
721.462,1068.84
724.572,750
727.683,510.87
730.793,351.449
733.904,271.739
737.014,271.739
740.124,271.739
743.235,192.029
746.345,192.029
749.456,192.029
752.566,192.029
755.677,192.029
758.787,192.029
761.897,192.029
765.008,192.029
768.118,112.319
771.229,112.319
774.339,112.319
777.449,112.319
780.56,112.319
783.67,112.319
786.781,112.319
789.891,112.319
793.002,112.319
796.112,192.029
799.222,192.029
802.333,271.739
805.443,271.739
808.554,271.739
811.664,271.739
814.774,271.739
817.885,271.739
820.995,271.739
824.106,271.739
827.216,192.029
830.327,192.029
833.437,192.029
836.547,192.029
839.658,112.319
842.768,112.319
845.879,112.319
848.989,112.319
852.1,112.319
855.21,112.319
858.32,192.029
861.431,192.029
864.541,192.029
867.652,192.029
870.762,192.029
873.872,192.029
876.983,192.029
880.093,192.029
883.204,112.319
886.314,112.319
889.425,112.319
892.535,112.319
895.645,112.319
898.756,112.319
901.866,112.319
904.977,112.319
908.087,112.319
911.198,112.319
914.308,112.319
917.418,112.319
920.529,112.319
923.639,112.319
926.75,112.319
929.86,112.319
932.97,112.319
936.081,112.319
939.191,112.319
942.302,112.319
945.412,32.6087
948.523,32.6087
951.633,32.6087
954.743,32.6087
957.854,32.6087
960.964,32.6087
964.075,32.6087
967.185,32.6087
970.295,32.6087
973.406,112.319
976.516,112.319
979.627,112.319
982.737,112.319
985.848,112.319
988.958,112.319
992.068,112.319
995.179,112.319
998.289,112.319
1001.4,192.029
1004.51,271.739
1007.62,271.739
1010.73,271.739
1013.84,271.739
1016.95,271.739
1020.06,271.739
1023.17,271.739
1026.28,271.739
1029.39,271.739
1032.5,271.739
1035.61,192.029
1038.72,192.029
1041.84,192.029
1044.95,112.319
1048.06,192.029
1051.17,192.029
1054.28,192.029
1057.39,192.029
1060.5,351.449
1063.61,670.29
1066.72,909.42
1069.83,1547.1
1072.94,3699.28
1076.05,6648.55
1079.16,8003.62
1082.27,8083.33
1085.38,17170.3
1088.49,13105.1
1091.6,7923.91
1094.71,7286.23
1097.82,4416.67
1100.93,1626.81
1104.04,750
1107.15,351.449
1110.26,271.739
1113.37,271.739
1116.49,192.029
1119.6,192.029
1122.71,192.029
1125.82,192.029
1128.93,271.739
1132.04,271.739
1135.15,271.739
1138.26,271.739
1141.37,271.739
1144.48,351.449
1147.59,271.739
1150.7,271.739
1153.81,271.739
1156.92,271.739
1160.03,192.029
1163.14,112.319
1166.25,112.319
1169.36,112.319
1172.47,112.319
1175.58,112.319
1178.69,112.319
1181.8,32.6087
1184.91,32.6087
1188.02,32.6087
1191.14,32.6087
1194.25,32.6087
1197.36,32.6087
1200.47,32.6087
1203.58,112.319
1206.69,112.319
1209.8,112.319
1212.91,112.319
1216.02,112.319
1219.13,192.029
1222.24,192.029
1225.35,192.029
1228.46,192.029
1231.57,192.029
1234.68,192.029
1237.79,192.029
1240.9,192.029
1244.01,192.029
1247.12,192.029
1250.23,112.319
1253.34,112.319
1256.45,112.319
1259.56,112.319
1262.67,112.319
1265.79,192.029
1268.9,192.029
1272.01,271.739
1275.12,431.159
1278.23,590.58
1281.34,670.29
1284.45,750
1287.56,829.71
1290.67,829.71
1293.78,829.71
1296.89,829.71
1300,829.71
1303.11,829.71
1306.22,670.29
1309.33,670.29
1312.44,670.29
1315.55,670.29
1318.66,670.29
1321.77,670.29
1324.88,750
1327.99,590.58
1331.1,590.58
1334.21,590.58
1337.33,590.58
1340.44,590.58
1343.55,590.58
1346.66,590.58
1349.77,750
1352.88,590.58
1355.99,590.58
1359.1,431.159
1362.21,271.739
1365.32,271.739
1368.43,271.739
1371.54,271.739
1374.65,271.739
1377.76,271.739
1380.87,351.449
1383.98,351.449
1387.09,351.449
1390.2,431.159
1393.31,351.449
1396.42,271.739
1399.53,271.739
1402.64,192.029
1405.75,192.029
1408.86,112.319
1411.98,112.319
1415.09,112.319
1418.2,192.029
1421.31,192.029
1424.42,271.739
1427.53,271.739
1430.64,271.739
1433.75,351.449
1436.86,510.87
1439.97,590.58
1443.08,590.58
1446.19,590.58
1449.3,590.58
1452.41,590.58
1455.52,590.58
1458.63,590.58
1461.74,590.58
1464.85,590.58
1467.96,590.58
1471.07,590.58
1474.18,590.58
1477.29,590.58
1480.4,590.58
1483.51,510.87
1486.63,431.159
1489.74,271.739
1492.85,192.029
1495.96,32.6087
1499.07,32.6087
1502.18,32.6087
1505.29,32.6087
1508.4,32.6087
1511.51,32.6087
1514.62,112.319
1517.73,112.319
1520.84,112.319
1523.95,112.319
1527.06,112.319
1530.17,112.319
1533.28,112.319
1536.39,112.319
1539.5,112.319
1542.61,112.319
1545.72,192.029
1548.83,271.739
1551.94,271.739
1555.05,271.739
1558.16,271.739
1561.28,271.739
1564.39,271.739
1567.5,271.739
1570.61,192.029
1573.72,192.029
1576.83,112.319
1579.94,112.319
1583.05,112.319
1586.16,112.319
1589.27,192.029
1592.38,192.029
1595.49,271.739
1598.6,271.739
1601.71,271.739
1604.82,271.739
1607.93,271.739
1611.04,271.739
1614.15,271.739
1617.26,192.029
1620.37,112.319
1623.48,112.319
1626.59,112.319
1629.7,112.319
1632.81,112.319
1635.93,112.319
1639.04,112.319
1642.15,112.319
1645.26,112.319
1648.37,112.319
1651.48,112.319
1654.59,112.319
1657.7,112.319
1660.81,112.319
1663.92,112.319
1667.03,112.319
1670.14,112.319
1673.25,112.319
1676.36,112.319
1679.47,112.319
1682.58,112.319
1685.69,112.319
1688.8,112.319
1691.91,112.319
1695.02,112.319
1698.13,112.319
1701.24,112.319
1704.35,112.319
1707.47,112.319
1710.58,112.319
1713.69,112.319
1716.8,112.319
1719.91,112.319
1723.02,112.319
1726.13,112.319
1729.24,112.319
1732.35,112.319
1735.46,192.029
1738.57,271.739
1741.68,271.739
1744.79,351.449
1747.9,351.449
1751.01,271.739
1754.12,271.739
1757.23,271.739
1760.34,271.739
1763.45,192.029
1766.56,192.029
1769.67,192.029
1772.78,192.029
1775.89,112.319
1779,112.319
1782.12,112.319
1785.23,112.319
1788.34,112.319
1791.45,112.319
1794.56,112.319
1797.67,112.319
1800.78,112.319
1803.89,112.319
1807,112.319
1810.11,112.319
1813.22,112.319
1816.33,112.319
1819.44,112.319
1822.55,112.319
1825.66,112.319
1828.77,112.319
1831.88,112.319
1834.99,112.319
1838.1,112.319
1841.21,112.319
1844.32,112.319
1847.43,112.319
1850.54,112.319
1853.65,112.319
1856.77,112.319
1859.88,112.319
1862.99,112.319
1866.1,112.319
1869.21,112.319
1872.32,112.319
1875.43,112.319
1878.54,112.319
1881.65,112.319
1884.76,112.319
1887.87,112.319
1890.98,112.319
1894.09,112.319
1897.2,112.319
1900.31,112.319
1903.42,112.319
1906.53,112.319
1909.64,112.319
1912.75,112.319
1915.86,112.319
1918.97,112.319
1922.08,112.319
1925.19,112.319
1928.3,112.319
1931.42,112.319
1934.53,112.319
1937.64,112.319
1940.75,112.319
1943.86,112.319
1946.97,112.319
1950.08,112.319
1953.19,112.319
1956.3,112.319
1959.41,112.319
1962.52,112.319
1965.63,112.319
1968.74,112.319
1971.85,112.319
1974.96,112.319
1978.07,112.319
1981.18,112.319
1984.29,112.319
1987.4,112.319
1990.51,112.319
1993.62,112.319
1996.73,112.319
1999.84,112.319
2002.95,112.319
2006.07,112.319
2009.18,112.319
2012.29,112.319
2015.4,112.319
2018.51,112.319
2021.62,112.319
2024.73,112.319
2027.84,112.319
2030.95,112.319
2034.06,112.319
2037.17,112.319
2040.28,112.319
2043.39,112.319
2046.5,112.319
2049.61,112.319
2052.72,112.319
2055.83,112.319
2058.94,112.319
2062.05,112.319
2065.16,112.319
2068.27,112.319
2071.38,112.319
2074.49,112.319
2077.6,112.319
2080.72,112.319
2083.83,112.319
2086.94,112.319
2090.05,112.319
2093.16,112.319
2096.27,112.319
2099.38,112.319
2102.49,112.319
2105.6,112.319
2108.71,112.319
2111.82,112.319
2114.93,112.319
2118.04,112.319
2121.15,112.319
2124.26,112.319
2127.37,112.319
2130.48,112.319
2133.59,112.319
2136.7,112.319
2139.81,112.319
2142.92,112.319
2146.03,112.319
2149.14,112.319
2152.26,112.319
2155.37,112.319
2158.48,112.319
2161.59,112.319
2164.7,112.319
2167.81,112.319
2170.92,112.319
2174.03,112.319
2177.14,112.319
2180.25,112.319
2183.36,112.319
2186.47,112.319
2189.58,112.319
2192.69,112.319
2195.8,112.319
2198.91,112.319
2202.02,112.319
2205.13,112.319
2208.24,112.319
2211.35,112.319
2214.46,112.319
2217.57,192.029
2220.68,192.029
2223.79,192.029
2226.91,192.029
2230.02,192.029
2233.13,192.029
2236.24,112.319
2239.35,112.319
2242.46,112.319
2245.57,112.319
2248.68,112.319
2251.79,112.319
2254.9,112.319
2258.01,112.319
2261.12,112.319
2264.23,112.319
2267.34,112.319
2270.45,112.319
2273.56,112.319
2276.67,112.319
2279.78,112.319
2282.89,112.319
2286,112.319
2289.11,112.319
2292.22,112.319
2295.33,112.319
2298.44,112.319
2301.56,112.319
2304.67,112.319
2307.78,112.319
2310.89,32.6087
2314,32.6087
2317.11,32.6087
2320.22,32.6087
2323.33,32.6087
2326.44,32.6087
2329.55,32.6087
