,GP550R
RamanShit,Intensity
257.819,153.271
261.486,228.037
265.154,295.327
268.822,385.047
272.49,437.383
276.158,527.103
279.826,519.626
283.494,437.383
287.162,407.477
290.83,332.71
294.498,257.944
298.166,198.131
301.834,153.271
305.502,130.841
309.17,108.411
312.838,85.9813
316.506,78.5047
320.174,63.5514
323.842,48.5981
327.51,41.1215
331.178,33.6449
334.846,26.1682
338.514,26.1682
342.181,26.1682
345.849,26.1682
349.517,33.6449
353.185,33.6449
356.853,33.6449
360.521,33.6449
364.189,33.6449
367.857,33.6449
371.525,33.6449
375.193,33.6449
378.861,33.6449
382.529,41.1215
386.197,41.1215
389.865,41.1215
393.533,41.1215
397.201,48.5981
400.869,48.5981
404.537,48.5981
408.205,48.5981
411.873,48.5981
415.541,48.5981
419.208,48.5981
422.876,33.6449
426.544,33.6449
430.212,33.6449
433.88,33.6449
437.548,33.6449
441.216,33.6449
444.884,33.6449
448.552,33.6449
452.22,33.6449
455.888,33.6449
459.556,33.6449
463.224,33.6449
466.892,33.6449
470.56,33.6449
474.228,33.6449
477.896,33.6449
481.564,33.6449
485.232,33.6449
488.9,33.6449
492.568,41.1215
496.236,48.5981
499.903,48.5981
503.571,48.5981
507.239,48.5981
510.907,48.5981
514.575,48.5981
518.243,56.0748
521.911,56.0748
525.579,56.0748
529.247,56.0748
532.915,56.0748
536.583,56.0748
540.251,56.0748
543.919,56.0748
547.587,56.0748
551.255,56.0748
554.923,56.0748
558.591,56.0748
562.259,56.0748
565.927,48.5981
569.595,48.5981
573.263,48.5981
576.931,48.5981
580.598,48.5981
584.266,48.5981
587.934,48.5981
591.602,41.1215
595.27,41.1215
598.938,48.5981
602.606,48.5981
606.274,48.5981
609.942,48.5981
613.61,48.5981
617.278,56.0748
620.946,56.0748
624.614,56.0748
628.282,56.0748
631.95,56.0748
635.618,56.0748
639.286,56.0748
642.954,56.0748
646.622,56.0748
650.29,56.0748
653.958,56.0748
657.625,56.0748
661.293,63.5514
664.961,63.5514
668.629,63.5514
672.297,71.028
675.965,71.028
679.633,71.028
683.301,78.5047
686.969,85.9813
690.637,100.935
694.305,130.841
697.973,183.178
701.641,228.037
705.309,235.514
708.977,295.327
712.645,228.037
716.313,213.084
719.981,168.224
723.649,108.411
727.317,78.5047
730.985,78.5047
734.653,63.5514
738.32,63.5514
741.988,56.0748
745.656,56.0748
749.324,56.0748
752.992,56.0748
756.66,56.0748
760.328,48.5981
763.996,48.5981
767.664,48.5981
771.332,48.5981
775,48.5981
778.668,56.0748
782.336,56.0748
786.004,56.0748
789.672,56.0748
793.34,56.0748
797.008,56.0748
800.676,33.6449
804.344,48.5981
808.012,48.5981
811.68,48.5981
815.347,48.5981
819.015,48.5981
822.683,48.5981
826.351,48.5981
