,GP550R
RamanShit,Intensity
270.359,20.073
273.479,20.073
276.599,14.9635
279.719,9.85401
282.839,9.85401
285.959,9.85401
289.08,4.74453
292.2,4.74453
295.32,9.85401
298.44,9.85401
301.56,9.85401
304.68,14.9635
307.8,20.073
310.92,20.073
314.041,20.073
317.161,20.073
320.281,20.073
323.401,20.073
326.521,20.073
329.641,25.1825
332.761,30.292
335.881,30.292
339.002,35.4015
342.122,40.5109
345.242,60.9489
348.362,71.1679
351.482,76.2774
354.602,81.3869
357.722,112.044
360.842,152.92
363.963,173.358
367.083,178.467
370.203,183.577
373.323,433.942
376.443,459.489
379.563,229.562
382.683,214.234
385.803,229.562
388.924,234.672
392.044,234.672
395.164,234.672
398.284,239.781
401.404,244.891
404.524,250
407.644,321.533
410.764,393.066
413.885,934.672
417.005,515.693
420.125,393.066
423.245,387.956
426.365,326.642
429.485,255.109
432.605,239.781
435.725,234.672
438.846,229.562
441.966,224.453
445.086,214.234
448.206,214.234
451.326,214.234
454.446,214.234
457.566,214.234
460.686,214.234
463.807,214.234
466.927,219.343
470.047,255.109
473.167,234.672
476.287,198.905
479.407,193.796
482.527,193.796
485.647,168.248
488.768,127.372
491.888,106.934
495.008,101.825
498.128,96.7153
501.248,91.6058
504.368,81.3869
507.488,81.3869
510.608,81.3869
513.729,76.2774
516.849,71.1679
519.969,81.3869
523.089,86.4964
526.209,86.4964
529.329,86.4964
532.449,86.4964
535.569,101.825
538.69,86.4964
541.81,81.3869
544.93,81.3869
548.05,66.0584
551.17,50.7299
554.29,50.7299
557.41,45.6204
560.53,40.5109
563.651,45.6204
566.771,45.6204
569.891,45.6204
573.011,321.533
576.131,352.19
579.251,45.6204
582.371,40.5109
585.491,30.292
588.612,20.073
591.732,9.85401
594.852,14.9635
597.972,20.073
601.092,20.073
604.212,20.073
607.332,25.1825
610.452,25.1825
613.573,30.292
616.693,30.292
619.813,30.292
622.933,25.1825
626.053,40.5109
629.173,40.5109
632.293,45.6204
635.413,50.7299
638.534,50.7299
641.654,55.8394
644.774,76.2774
647.894,96.7153
651.014,106.934
654.134,127.372
657.254,152.92
660.374,188.686
663.495,214.234
666.615,219.343
669.735,265.328
672.855,255.109
675.975,250
679.095,239.781
682.215,250
685.335,255.109
688.456,260.219
691.576,260.219
694.696,260.219
697.816,265.328
700.936,270.438
704.056,454.38
707.176,495.255
710.296,260.219
713.417,219.343
716.537,178.467
719.657,173.358
722.777,168.248
725.897,168.248
