,GP550R
RamanShit,Intensity
257.944,10.8696
261.059,-10.8696
264.174,-32.6087
267.29,-10.8696
270.405,-10.8696
273.52,-10.8696
276.636,-10.8696
279.751,-10.8696
282.866,-10.8696
285.981,-10.8696
289.097,-32.6087
292.212,-32.6087
295.327,-10.8696
298.442,-10.8696
301.558,-10.8696
304.673,-10.8696
307.788,-10.8696
310.903,-10.8696
314.019,-10.8696
317.134,10.8696
320.249,-10.8696
323.364,-10.8696
326.48,-10.8696
329.595,10.8696
332.71,10.8696
335.826,10.8696
338.941,10.8696
342.056,10.8696
345.171,10.8696
348.287,10.8696
351.402,32.6087
354.517,76.087
357.632,119.565
360.748,250
363.863,380.435
366.978,1163.04
370.093,1423.91
373.209,554.348
376.324,402.174
379.439,358.696
382.555,293.478
385.67,293.478
388.785,293.478
391.9,315.217
395.016,358.696
398.131,445.652
401.246,836.957
404.361,1163.04
407.477,2250
410.592,2967.39
413.707,1184.78
416.822,1163.04
419.938,1010.87
423.053,771.739
426.168,554.348
429.283,423.913
432.399,358.696
435.514,293.478
438.629,250
441.745,250
444.86,250
447.975,228.261
451.09,184.783
454.206,141.304
457.321,119.565
460.436,119.565
463.551,119.565
466.667,97.8261
469.782,97.8261
472.897,97.8261
476.012,97.8261
479.128,76.087
482.243,54.3478
485.358,32.6087
488.474,32.6087
491.589,10.8696
494.704,10.8696
497.819,10.8696
500.935,32.6087
504.05,32.6087
507.165,32.6087
510.28,32.6087
513.396,32.6087
516.511,32.6087
519.626,32.6087
522.741,10.8696
525.857,10.8696
528.972,10.8696
532.087,10.8696
535.202,10.8696
538.318,10.8696
541.433,10.8696
544.548,10.8696
547.664,10.8696
550.779,10.8696
553.894,10.8696
557.009,32.6087
560.125,76.087
563.24,97.8261
566.355,119.565
569.47,206.522
572.586,97.8261
575.701,97.8261
578.816,76.087
581.931,10.8696
585.047,10.8696
588.162,10.8696
591.277,10.8696
594.393,10.8696
597.508,10.8696
600.623,10.8696
603.738,10.8696
606.854,10.8696
609.969,10.8696
613.084,10.8696
616.199,10.8696
619.315,10.8696
622.43,54.3478
625.545,184.783
628.66,293.478
631.776,402.174
634.891,510.87
638.006,836.957
641.121,510.87
644.237,489.13
647.352,402.174
650.467,250
653.583,163.043
656.698,119.565
659.813,119.565
662.928,119.565
666.044,119.565
