,GP550R
RamanShit,Intensity
258.696,-19.7628
261.755,-19.7628
264.815,-19.7628
267.874,-19.7628
270.934,-19.7628
273.994,-19.7628
277.053,-19.7628
280.113,-19.7628
283.172,-19.7628
286.232,-19.7628
289.291,-19.7628
292.351,-19.7628
295.411,-19.7628
298.47,177.866
301.53,177.866
304.589,177.866
307.649,177.866
310.709,177.866
313.768,177.866
316.828,177.866
319.887,177.866
322.947,177.866
326.006,-19.7628
329.066,-19.7628
332.126,-19.7628
335.185,-19.7628
338.245,-19.7628
341.304,-19.7628
344.364,-19.7628
347.424,177.866
350.483,177.866
353.543,375.494
356.602,375.494
359.662,573.123
362.721,770.751
365.781,1363.64
368.841,3142.29
371.9,4328.06
374.96,6501.98
378.019,4328.06
381.079,3537.55
384.138,1956.52
387.198,968.379
390.258,770.751
393.317,770.751
396.377,770.751
399.436,1166.01
402.496,2549.41
405.556,6699.6
408.615,14604.7
411.675,34170
414.734,35751
417.794,19150.2
420.853,13221.3
423.913,5513.83
426.973,3537.55
430.032,2747.04
433.092,1561.26
436.151,573.123
439.211,375.494
442.271,375.494
445.33,375.494
448.39,177.866
451.449,177.866
454.509,-19.7628
457.568,-19.7628
460.628,-19.7628
463.688,177.866
466.747,375.494
469.807,375.494
472.866,375.494
475.926,573.123
478.986,573.123
482.045,770.751
485.105,770.751
488.164,573.123
491.224,573.123
494.283,375.494
497.343,375.494
500.403,375.494
503.462,375.494
506.522,177.866
509.581,177.866
512.641,177.866
515.7,177.866
518.76,177.866
521.82,177.866
524.879,177.866
527.939,177.866
530.998,177.866
534.058,177.866
537.118,177.866
540.177,177.866
543.237,177.866
546.296,177.866
549.356,177.866
552.415,177.866
555.475,177.866
558.535,177.866
561.594,177.866
564.654,177.866
567.713,375.494
570.773,770.751
573.833,770.751
576.892,770.751
579.952,573.123
583.011,375.494
586.071,-19.7628
589.13,-19.7628
592.19,-19.7628
595.25,-19.7628
598.309,-19.7628
601.369,-19.7628
604.428,-19.7628
607.488,177.866
610.548,177.866
613.607,177.866
616.667,177.866
619.726,177.866
622.786,375.494
625.845,573.123
628.905,770.751
631.965,1561.26
635.024,2944.66
638.084,5513.83
641.143,11245.1
644.203,12035.6
647.262,7094.86
650.322,5513.83
653.382,3142.29
656.441,1956.52
659.501,1561.26
662.56,1363.64
665.62,1166.01
668.68,1166.01
671.739,1166.01
674.799,968.379
677.858,770.751
680.918,573.123
683.977,573.123
687.037,573.123
690.097,573.123
693.156,573.123
696.216,770.751
699.275,770.751
702.335,968.379
705.395,968.379
708.454,770.751
711.514,573.123
714.573,375.494
717.633,177.866
720.692,-19.7628
723.752,-19.7628
726.812,-19.7628
729.871,177.866
732.931,375.494
735.99,573.123
739.05,770.751
742.11,1363.64
745.169,1956.52
748.229,2549.41
751.288,2154.15
754.348,1758.89
757.407,1561.26
760.467,968.379
763.527,573.123
766.586,375.494
769.646,177.866
772.705,-19.7628
775.765,-19.7628
778.824,-19.7628
781.884,-19.7628
784.944,-19.7628
788.003,-19.7628
791.063,-19.7628
794.122,-19.7628
797.182,-19.7628
800.242,177.866
803.301,177.866
806.361,177.866
809.42,177.866
812.48,177.866
815.539,177.866
818.599,177.866
821.659,177.866
824.718,177.866
827.778,177.866
830.837,177.866
833.897,177.866
836.957,177.866
840.016,177.866
843.076,177.866
846.135,177.866
849.195,177.866
852.254,177.866
855.314,177.866
858.374,177.866
861.433,177.866
864.493,177.866
867.552,177.866
870.612,177.866
873.671,177.866
876.731,177.866
879.791,177.866
882.85,177.866
885.91,177.866
888.969,177.866
892.029,177.866
895.089,177.866
898.148,177.866
901.208,177.866
904.267,177.866
907.327,177.866
910.386,177.866
913.446,177.866
916.506,177.866
919.565,177.866
922.625,177.866
925.684,177.866
928.744,177.866
931.804,-19.7628
934.863,-19.7628
937.923,-19.7628
940.982,-19.7628
944.042,-19.7628
947.101,-19.7628
950.161,-19.7628
953.221,-19.7628
956.28,-19.7628
959.34,177.866
962.399,177.866
965.459,177.866
968.519,177.866
971.578,-19.7628
974.638,-19.7628
977.697,-19.7628
980.757,-19.7628
983.816,-19.7628
986.876,-19.7628
989.936,-19.7628
992.995,-19.7628
996.055,-19.7628
999.114,-19.7628
1002.17,-19.7628
1005.23,-19.7628
1008.29,-19.7628
1011.35,-19.7628
1014.41,-19.7628
1017.47,-19.7628
1020.53,-19.7628
1023.59,-19.7628
1026.65,-19.7628
1029.71,-19.7628
1032.77,-19.7628
1035.83,-19.7628
1038.89,177.866
1041.95,177.866
1045.01,177.866
1048.07,177.866
1051.13,375.494
1054.19,375.494
1057.25,573.123
1060.31,573.123
1063.37,573.123
1066.43,573.123
1069.48,573.123
1072.54,573.123
1075.6,375.494
1078.66,177.866
1081.72,-19.7628
1084.78,-19.7628
1087.84,-19.7628
1090.9,-19.7628
1093.96,-19.7628
1097.02,-19.7628
1100.08,-19.7628
1103.14,-19.7628
1106.2,177.866
1109.26,-19.7628
1112.32,-19.7628
1115.38,-19.7628
1118.44,-19.7628
1121.5,-19.7628
1124.56,-19.7628
1127.62,-19.7628
1130.68,-19.7628
1133.74,-19.7628
1136.8,-19.7628
1139.86,-19.7628
1142.91,-19.7628
1145.97,-19.7628
1149.03,-19.7628
1152.09,-19.7628
1155.15,-19.7628
1158.21,-19.7628
1161.27,177.866
1164.33,375.494
1167.39,375.494
1170.45,375.494
1173.51,573.123
1176.57,375.494
1179.63,177.866
1182.69,177.866
1185.75,177.866
1188.81,177.866
1191.87,375.494
1194.93,573.123
1197.99,968.379
1201.05,1363.64
1204.11,1758.89
1207.17,2549.41
1210.23,3339.92
1213.29,4328.06
1216.34,5513.83
1219.4,6699.6
1222.46,7885.38
1225.52,8873.52
1228.58,9466.4
1231.64,9466.4
1234.7,9268.77
1237.76,8873.52
1240.82,7885.38
1243.88,6501.98
1246.94,5316.21
1250,4920.95
1253.06,4920.95
1256.12,5118.58
1259.18,5711.46
1262.24,6897.23
1265.3,7885.38
1268.36,8280.63
1271.42,8280.63
1274.48,8280.63
1277.54,7885.38
1280.6,7292.49
1283.66,6699.6
1286.71,5909.09
1289.77,5118.58
1292.83,4328.06
1295.89,3735.18
1298.95,3142.29
1302.01,2944.66
1305.07,2549.41
1308.13,2351.78
1311.19,2351.78
1314.25,2351.78
1317.31,2351.78
1320.37,2351.78
1323.43,2351.78
1326.49,2351.78
1329.55,2351.78
1332.61,2351.78
1335.67,2549.41
1338.73,2549.41
1341.79,2747.04
1344.85,2747.04
1347.91,2944.66
1350.97,2747.04
1354.03,2549.41
1357.09,2154.15
1360.14,1758.89
1363.2,1363.64
1366.26,968.379
1369.32,770.751
1372.38,375.494
1375.44,177.866
1378.5,177.866
1381.56,177.866
1384.62,177.866
1387.68,375.494
1390.74,573.123
1393.8,968.379
1396.86,1363.64
1399.92,1956.52
1402.98,2747.04
1406.04,3142.29
1409.1,3735.18
1412.16,4328.06
1415.22,4723.32
1418.28,5118.58
1421.34,5118.58
1424.4,5118.58
1427.46,5316.21
1430.52,5118.58
1433.57,4920.95
1436.63,3932.81
1439.69,2944.66
1442.75,2154.15
1445.81,1363.64
1448.87,770.751
1451.93,573.123
1454.99,177.866
1458.05,177.866
1461.11,-19.7628
1464.17,-19.7628
1467.23,-19.7628
1470.29,-19.7628
1473.35,-19.7628
1476.41,-19.7628
1479.47,-19.7628
1482.53,-19.7628
1485.59,-19.7628
1488.65,177.866
1491.71,177.866
1494.77,375.494
1497.83,375.494
1500.89,573.123
1503.95,573.123
1507,770.751
1510.06,968.379
1513.12,968.379
1516.18,968.379
1519.24,968.379
1522.3,968.379
1525.36,968.379
1528.42,968.379
1531.48,770.751
1534.54,770.751
1537.6,770.751
1540.66,573.123
1543.72,375.494
1546.78,177.866
1549.84,177.866
1552.9,177.866
1555.96,-19.7628
1559.02,-19.7628
1562.08,-19.7628
1565.14,-19.7628
1568.2,177.866
1571.26,375.494
1574.32,375.494
1577.38,375.494
1580.43,375.494
1583.49,375.494
1586.55,375.494
1589.61,375.494
1592.67,573.123
1595.73,573.123
1598.79,573.123
1601.85,573.123
1604.91,573.123
1607.97,573.123
1611.03,573.123
1614.09,573.123
1617.15,573.123
1620.21,375.494
1623.27,375.494
1626.33,375.494
1629.39,375.494
1632.45,375.494
1635.51,375.494
1638.57,573.123
1641.63,573.123
1644.69,573.123
1647.75,770.751
1650.81,1166.01
1653.86,1363.64
1656.92,1561.26
1659.98,1758.89
1663.04,1956.52
1666.1,2351.78
1669.16,2747.04
1672.22,2944.66
1675.28,2944.66
1678.34,2944.66
1681.4,2944.66
1684.46,2944.66
1687.52,2944.66
1690.58,2747.04
1693.64,2747.04
1696.7,2747.04
1699.76,2747.04
1702.82,2747.04
1705.88,2944.66
1708.94,2944.66
1712,3142.29
1715.06,3142.29
1718.12,3142.29
1721.18,2944.66
1724.24,2944.66
1727.29,2747.04
1730.35,2549.41
1733.41,2351.78
1736.47,2351.78
1739.53,1956.52
1742.59,1758.89
1745.65,1561.26
1748.71,1561.26
1751.77,1363.64
1754.83,1166.01
1757.89,1166.01
1760.95,1166.01
1764.01,968.379
1767.07,968.379
1770.13,968.379
1773.19,968.379
1776.25,770.751
1779.31,573.123
1782.37,573.123
1785.43,573.123
1788.49,375.494
1791.55,375.494
1794.61,177.866
1797.67,177.866
1800.72,-19.7628
1803.78,-19.7628
1806.84,-19.7628
1809.9,177.866
1812.96,177.866
1816.02,177.866
1819.08,177.866
1822.14,375.494
1825.2,573.123
1828.26,573.123
1831.32,573.123
1834.38,573.123
1837.44,573.123
1840.5,573.123
1843.56,573.123
1846.62,573.123
1849.68,573.123
1852.74,573.123
1855.8,573.123
1858.86,573.123
1861.92,375.494
1864.98,375.494
1868.04,375.494
1871.1,177.866
1874.15,177.866
1877.21,177.866
1880.27,-19.7628
1883.33,-19.7628
1886.39,-19.7628
1889.45,-19.7628
1892.51,-19.7628
1895.57,-19.7628
1898.63,-19.7628
1901.69,-19.7628
1904.75,-19.7628
1907.81,-19.7628
1910.87,-19.7628
1913.93,177.866
1916.99,177.866
1920.05,177.866
1923.11,177.866
1926.17,177.866
1929.23,177.866
1932.29,375.494
1935.35,573.123
1938.41,573.123
1941.47,770.751
1944.52,770.751
1947.58,968.379
1950.64,968.379
1953.7,1166.01
1956.76,1166.01
1959.82,1166.01
1962.88,1166.01
1965.94,1166.01
1969,1166.01
1972.06,968.379
1975.12,770.751
1978.18,770.751
1981.24,770.751
1984.3,770.751
1987.36,573.123
1990.42,573.123
1993.48,573.123
1996.54,573.123
1999.6,573.123
2002.66,573.123
2005.72,573.123
2008.78,573.123
2011.84,573.123
2014.9,573.123
2017.95,573.123
2021.01,375.494
2024.07,375.494
2027.13,375.494
2030.19,375.494
2033.25,375.494
2036.31,177.866
2039.37,177.866
2042.43,177.866
2045.49,177.866
2048.55,177.866
2051.61,177.866
2054.67,177.866
2057.73,177.866
2060.79,177.866
2063.85,177.866
2066.91,177.866
2069.97,177.866
2073.03,-19.7628
2076.09,-19.7628
2079.15,-19.7628
2082.21,-19.7628
2085.27,-19.7628
2088.33,-19.7628
2091.38,-19.7628
2094.44,-19.7628
2097.5,-19.7628
2100.56,-19.7628
2103.62,-19.7628
2106.68,-19.7628
2109.74,-19.7628
2112.8,177.866
2115.86,177.866
2118.92,177.866
2121.98,375.494
2125.04,375.494
2128.1,375.494
2131.16,573.123
2134.22,573.123
2137.28,573.123
2140.34,573.123
2143.4,573.123
2146.46,573.123
2149.52,573.123
2152.58,573.123
2155.64,573.123
2158.7,573.123
2161.76,375.494
2164.81,375.494
2167.87,375.494
2170.93,177.866
2173.99,177.866
2177.05,177.866
2180.11,177.866
2183.17,177.866
2186.23,177.866
2189.29,177.866
2192.35,177.866
2195.41,177.866
2198.47,177.866
2201.53,177.866
2204.59,177.866
2207.65,177.866
2210.71,177.866
2213.77,177.866
2216.83,177.866
2219.89,177.866
2222.95,177.866
2226.01,177.866
2229.07,177.866
2232.13,177.866
2235.19,177.866
2238.24,177.866
2241.3,177.866
2244.36,177.866
2247.42,177.866
2250.48,177.866
2253.54,177.866
2256.6,177.866
2259.66,177.866
2262.72,177.866
2265.78,177.866
2268.84,177.866
2271.9,177.866
2274.96,177.866
2278.02,177.866
2281.08,177.866
2284.14,177.866
2287.2,177.866
2290.26,177.866
2293.32,177.866
