,GP550R
RamanShit,Intensity
257.944,48.7365
261.059,48.7365
264.174,48.7365
267.29,48.7365
270.405,48.7365
273.52,48.7365
276.636,48.7365
279.751,48.7365
282.866,48.7365
285.981,48.7365
289.097,48.7365
292.212,48.7365
295.327,48.7365
298.442,27.0758
301.558,48.7365
304.673,48.7365
307.788,48.7365
310.903,48.7365
314.019,37.9061
317.134,37.9061
320.249,37.9061
323.364,37.9061
326.48,37.9061
329.595,37.9061
332.71,37.9061
335.826,37.9061
338.941,37.9061
342.056,48.7365
345.171,48.7365
348.287,27.0758
351.402,48.7365
354.517,48.7365
357.632,48.7365
360.748,81.2274
363.863,178.7
366.978,384.477
370.093,536.101
373.209,1142.6
376.324,536.101
379.439,525.271
382.555,351.986
385.67,167.87
388.785,135.379
391.9,146.209
395.016,146.209
398.131,157.04
401.246,427.798
404.361,698.556
407.477,990.975
410.592,2539.71
413.707,2810.47
416.822,1240.07
419.938,1229.24
423.053,1110.11
426.168,871.841
429.283,568.592
432.399,287.004
435.514,157.04
438.629,157.04
441.745,146.209
444.86,146.209
447.975,113.718
451.09,92.0578
454.206,48.7365
457.321,48.7365
460.436,48.7365
463.551,48.7365
466.667,48.7365
469.782,48.7365
472.897,48.7365
476.012,48.7365
479.128,48.7365
482.243,48.7365
485.358,59.5668
488.474,48.7365
491.589,48.7365
494.704,48.7365
497.819,27.0758
500.935,37.9061
504.05,37.9061
507.165,37.9061
510.28,37.9061
513.396,37.9061
516.511,48.7365
519.626,48.7365
522.741,37.9061
525.857,37.9061
528.972,37.9061
532.087,37.9061
535.202,37.9061
538.318,37.9061
541.433,37.9061
544.548,37.9061
547.664,27.0758
550.779,48.7365
553.894,48.7365
557.009,48.7365
560.125,48.7365
563.24,81.2274
566.355,146.209
569.47,189.531
572.586,319.495
575.701,189.531
578.816,178.7
581.931,124.549
585.047,59.5668
588.162,48.7365
591.277,48.7365
594.393,37.9061
597.508,37.9061
600.623,37.9061
603.738,37.9061
606.854,37.9061
609.969,48.7365
613.084,48.7365
616.199,48.7365
619.315,59.5668
622.43,81.2274
625.545,113.718
628.66,178.7
631.776,297.834
634.891,427.798
638.006,503.61
641.121,882.671
644.237,687.726
647.352,427.798
650.467,297.834
653.583,222.022
656.698,167.87
659.813,124.549
662.928,102.888
666.044,92.0578
669.159,81.2274
672.274,70.3971
675.389,59.5668
678.505,48.7365
681.62,48.7365
684.735,48.7365
687.85,48.7365
690.966,48.7365
694.081,48.7365
697.196,48.7365
700.312,48.7365
703.427,70.3971
706.542,113.718
709.657,157.04
712.773,189.531
715.888,211.191
