,GP550R
RamanShit,Intensity
256.353,69.1824
258,94.3396
259.647,94.3396
261.294,94.3396
262.941,94.3396
264.588,94.3396
266.235,69.1824
267.882,56.6038
269.529,56.6038
271.176,56.6038
272.824,56.6038
274.471,56.6038
276.118,56.6038
277.765,69.1824
279.412,94.3396
281.059,106.918
282.706,119.497
284.353,119.497
286,119.497
287.647,119.497
289.294,106.918
290.941,69.1824
292.588,56.6038
294.235,56.6038
295.882,56.6038
297.529,56.6038
299.176,56.6038
300.824,56.6038
302.471,56.6038
304.118,56.6038
305.765,56.6038
307.412,94.3396
309.059,106.918
310.706,144.654
312.353,182.39
314,220.126
315.647,232.704
317.294,232.704
318.941,232.704
320.588,232.704
322.235,232.704
323.882,220.126
325.529,182.39
327.176,119.497
328.824,106.918
330.471,94.3396
332.118,69.1824
333.765,56.6038
335.412,56.6038
337.059,56.6038
338.706,56.6038
340.353,56.6038
342,56.6038
343.647,106.918
345.294,144.654
346.941,157.233
348.588,194.969
350.235,245.283
351.882,283.019
353.529,295.597
355.176,308.176
356.824,345.912
358.471,320.755
360.118,333.333
361.765,345.912
363.412,358.491
365.059,433.962
366.706,635.22
368.353,924.528
370,1088.05
371.647,1276.73
373.294,1452.83
374.941,1905.66
376.588,1830.19
378.235,1415.09
379.882,1364.78
381.529,1163.52
383.176,811.321
384.824,597.484
386.471,522.013
388.118,496.855
389.765,509.434
391.412,509.434
393.059,534.591
394.706,597.484
396.353,647.799
398,660.377
399.647,660.377
401.294,710.692
402.941,861.635
404.588,1276.73
406.235,1968.55
407.882,2358.49
409.529,2748.43
411.176,3138.36
412.824,3566.04
414.471,3742.14
416.118,3138.36
417.765,2987.42
419.412,2509.43
421.059,1943.4
422.706,1553.46
424.353,1415.09
426,1402.52
427.647,1364.78
429.294,1238.99
430.941,1037.74
432.588,861.635
434.235,786.164
435.882,723.27
437.529,660.377
439.176,622.642
440.824,622.642
442.471,635.22
444.118,635.22
445.765,647.799
447.412,635.22
449.059,622.642
450.706,547.17
452.353,471.698
454,421.384
455.647,383.648
457.294,320.755
458.941,283.019
460.588,270.44
462.235,270.44
463.882,245.283
465.529,232.704
467.176,207.547
468.824,194.969
470.471,169.811
472.118,169.811
473.765,157.233
475.412,132.075
477.059,106.918
478.706,106.918
480.353,81.761
482,69.1824
483.647,56.6038
485.294,44.0252
486.941,44.0252
488.588,44.0252
490.235,56.6038
491.882,56.6038
493.529,94.3396
495.176,169.811
496.824,232.704
498.471,270.44
500.118,295.597
501.765,308.176
503.412,308.176
505.059,333.333
506.706,358.491
508.353,358.491
510,371.069
511.647,371.069
513.294,371.069
514.941,371.069
516.588,358.491
518.235,383.648
519.882,383.648
521.529,383.648
523.176,396.226
524.824,371.069
526.471,345.912
528.118,320.755
529.765,320.755
531.412,320.755
533.059,345.912
534.706,383.648
536.353,408.805
538,408.805
539.647,421.384
541.294,421.384
542.941,408.805
544.588,408.805
546.235,396.226
547.882,396.226
549.529,396.226
551.176,396.226
552.824,383.648
554.471,358.491
556.118,333.333
557.765,308.176
559.412,283.019
561.059,308.176
562.706,333.333
564.353,371.069
566,408.805
567.647,471.698
569.294,509.434
570.941,547.17
572.588,509.434
574.235,496.855
575.882,433.962
577.529,308.176
579.176,232.704
580.824,194.969
582.471,182.39
584.118,182.39
585.765,169.811
587.412,157.233
589.059,132.075
590.706,119.497
592.353,106.918
594,106.918
595.647,106.918
597.294,81.761
598.941,106.918
600.588,144.654
602.235,106.918
603.882,106.918
605.529,69.1824
607.176,56.6038
608.824,56.6038
610.471,56.6038
612.118,56.6038
613.765,56.6038
615.412,69.1824
617.059,81.761
618.706,94.3396
620.353,94.3396
622,106.918
623.647,119.497
625.294,119.497
626.941,144.654
628.588,169.811
630.235,232.704
631.882,383.648
633.529,572.327
635.176,836.478
636.824,1075.47
638.471,1176.1
640.118,1352.2
641.765,1377.36
643.412,1163.52
645.059,1050.31
646.706,823.899
648.353,710.692
650,597.484
651.647,433.962
653.294,358.491
654.941,345.912
656.588,345.912
658.235,358.491
659.882,383.648
661.529,408.805
663.176,408.805
664.824,421.384
666.471,433.962
668.118,396.226
669.765,345.912
671.412,295.597
673.059,270.44
674.706,270.44
676.353,270.44
678,245.283
679.647,232.704
681.294,207.547
682.941,182.39
684.588,182.39
686.235,182.39
687.882,182.39
689.529,182.39
691.176,169.811
692.824,169.811
694.471,169.811
696.118,169.811
697.765,157.233
699.412,157.233
701.059,157.233
702.706,144.654
704.353,106.918
706,81.761
707.647,56.6038
709.294,56.6038
710.941,56.6038
712.588,56.6038
714.235,56.6038
715.882,56.6038
717.529,56.6038
719.176,56.6038
720.824,56.6038
722.471,56.6038
724.118,56.6038
725.765,56.6038
727.412,56.6038
729.059,56.6038
730.706,56.6038
732.353,81.761
734,119.497
735.647,194.969
737.294,245.283
738.941,283.019
740.588,320.755
742.235,371.069
743.882,433.962
745.529,446.541
747.176,496.855
748.824,433.962
750.471,421.384
752.118,371.069
753.765,283.019
755.412,207.547
757.059,157.233
758.706,132.075
760.353,119.497
762,106.918
763.647,94.3396
765.294,81.761
766.941,106.918
768.588,106.918
770.235,132.075
771.882,182.39
773.529,220.126
775.176,245.283
776.824,257.862
778.471,283.019
780.118,257.862
781.765,257.862
783.412,257.862
785.059,270.44
786.706,283.019
788.353,308.176
790,345.912
791.647,358.491
793.294,358.491
794.941,345.912
796.588,333.333
798.235,295.597
799.882,245.283
801.529,220.126
803.176,207.547
804.824,207.547
806.471,207.547
808.118,232.704
809.765,245.283
811.412,245.283
813.059,270.44
814.706,245.283
816.353,245.283
818,245.283
819.647,232.704
821.294,232.704
822.941,220.126
824.588,207.547
826.235,194.969
827.882,182.39
829.529,157.233
831.176,182.39
832.824,182.39
834.471,182.39
836.118,182.39
837.765,182.39
839.412,182.39
841.059,169.811
842.706,169.811
844.353,157.233
846,132.075
847.647,132.075
849.294,132.075
850.941,56.6038
852.588,119.497
