,GP550R
RamanShit,Intensity
261.486,27.4143
265.154,27.4143
268.822,27.4143
272.49,27.4143
276.158,32.3988
279.826,42.3676
283.494,27.4143
287.162,27.4143
290.83,27.4143
294.498,27.4143
298.166,32.3988
301.834,32.3988
305.502,32.3988
309.17,37.3832
312.838,37.3832
316.506,37.3832
320.174,27.4143
323.842,37.3832
327.51,42.3676
331.178,52.3364
334.846,57.3209
338.514,62.3053
342.181,62.3053
345.849,62.3053
349.517,67.2897
353.185,87.2274
356.853,117.134
360.521,152.025
364.189,171.963
367.857,371.34
371.525,321.495
375.193,171.963
378.861,166.978
382.529,161.994
386.197,152.025
389.865,166.978
393.533,191.9
397.201,221.807
400.869,366.355
404.537,515.888
408.205,1512.77
411.873,1333.33
415.541,431.153
419.208,321.495
422.876,301.558
426.544,266.667
430.212,211.838
433.88,191.9
437.548,181.931
441.216,171.963
444.884,137.072
448.552,107.165
452.22,92.2118
455.888,72.2741
459.556,62.3053
463.224,62.3053
466.892,57.3209
470.56,52.3364
474.228,47.352
477.896,47.352
481.564,42.3676
485.232,37.3832
488.9,37.3832
492.568,27.4143
496.236,27.4143
499.903,27.4143
503.571,27.4143
507.239,27.4143
510.907,27.4143
514.575,32.3988
518.243,37.3832
521.911,37.3832
525.579,32.3988
529.247,32.3988
532.915,32.3988
536.583,32.3988
540.251,32.3988
543.919,27.4143
547.587,27.4143
551.255,27.4143
554.923,27.4143
558.591,52.3364
562.259,67.2897
565.927,127.103
569.595,186.916
573.263,67.2897
576.931,52.3364
580.598,37.3832
584.266,37.3832
587.934,32.3988
591.602,32.3988
595.27,32.3988
598.938,17.4455
602.606,32.3988
606.274,32.3988
609.942,27.4143
613.61,27.4143
617.278,27.4143
620.946,32.3988
624.614,37.3832
628.282,37.3832
631.95,42.3676
635.618,47.352
639.286,42.3676
642.954,37.3832
646.622,37.3832
650.29,32.3988
653.958,32.3988
657.625,32.3988
661.293,37.3832
664.961,42.3676
668.629,42.3676
672.297,42.3676
