,GP550R
RamanShit,Intensity
261.905,118.75
264.952,118.75
268,118.75
271.048,118.75
274.095,118.75
277.143,118.75
280.19,118.75
283.238,118.75
286.286,118.75
289.333,131.25
292.381,168.75
295.429,193.75
298.476,206.25
301.524,231.25
304.571,281.25
307.619,306.25
310.667,331.25
313.714,306.25
316.762,293.75
319.81,268.75
322.857,193.75
325.905,143.75
328.952,131.25
332,143.75
335.048,168.75
338.095,206.25
341.143,281.25
344.19,406.25
347.238,518.75
350.286,643.75
353.333,756.25
356.381,831.25
359.429,868.75
362.476,906.25
365.524,1006.25
368.571,1093.75
371.619,1393.75
374.667,1331.25
377.714,1093.75
380.762,1081.25
383.81,1081.25
386.857,1056.25
389.905,1081.25
392.952,1106.25
396,1206.25
399.048,1293.75
402.095,1468.75
405.143,2081.25
408.19,2506.25
411.238,3556.25
414.286,3481.25
417.333,2143.75
420.381,1756.25
423.429,1668.75
426.476,1581.25
429.524,1518.75
432.571,1456.25
435.619,1418.75
438.667,1381.25
441.714,1343.75
444.762,1331.25
447.81,1293.75
450.857,1256.25
453.905,1218.75
456.952,1193.75
460,1181.25
463.048,1181.25
466.095,1168.75
469.143,1168.75
472.19,1131.25
475.238,1081.25
478.286,1031.25
481.333,993.75
484.381,968.75
487.429,943.75
490.476,906.25
493.524,881.25
496.571,856.25
499.619,818.75
502.667,781.25
505.714,756.25
508.762,718.75
511.81,706.25
514.857,693.75
517.905,693.75
520.952,693.75
524,693.75
527.048,693.75
530.095,693.75
533.143,706.25
536.19,718.75
539.238,693.75
542.286,681.25
545.333,668.75
548.381,643.75
551.429,606.25
554.476,556.25
557.524,543.75
560.571,518.75
563.619,493.75
566.667,468.75
569.714,443.75
572.762,368.75
575.81,306.25
578.857,268.75
581.905,243.75
584.952,231.25
588,243.75
591.048,243.75
594.095,243.75
597.143,256.25
600.19,268.75
603.238,281.25
606.286,293.75
609.333,318.75
612.381,356.25
615.429,356.25
618.476,356.25
621.524,368.75
624.571,393.75
627.619,406.25
630.667,493.75
633.714,643.75
636.762,731.25
639.81,893.75
642.857,718.75
645.905,706.25
648.952,593.75
652,468.75
655.048,456.25
658.095,456.25
661.143,456.25
664.19,456.25
667.238,468.75
670.286,481.25
673.333,493.75
676.381,506.25
679.429,518.75
682.476,518.75
685.524,506.25
688.571,506.25
691.619,506.25
694.667,506.25
697.714,506.25
700.762,506.25
703.81,506.25
706.857,506.25
709.905,518.75
712.952,531.25
716,543.75
719.048,568.75
722.095,618.75
725.143,643.75
728.19,681.25
731.238,706.25
734.286,781.25
737.333,843.75
740.381,868.75
743.429,893.75
746.476,931.25
749.524,868.75
752.571,818.75
755.619,756.25
758.667,718.75
761.714,681.25
764.762,656.25
767.81,631.25
770.857,631.25
773.905,631.25
776.952,631.25
780,631.25
783.048,656.25
