,GP550R
RamanShit,Intensity
270.981,431.373
274.035,745.098
277.09,1058.82
280.145,745.098
283.199,588.235
286.254,431.373
289.309,431.373
292.363,431.373
295.418,431.373
298.473,588.235
301.527,588.235
304.582,588.235
307.637,745.098
310.691,745.098
313.746,745.098
316.801,588.235
319.855,431.373
322.91,274.51
325.965,274.51
329.019,274.51
332.074,274.51
335.129,431.373
338.183,745.098
341.238,1686.27
344.293,2313.73
347.347,3725.49
350.402,2313.73
353.457,1843.14
356.511,1058.82
359.566,431.373
362.621,274.51
365.675,117.647
368.73,117.647
371.785,117.647
374.839,117.647
377.894,117.647
380.949,117.647
384.003,117.647
387.058,117.647
390.113,117.647
393.167,117.647
396.222,117.647
399.277,274.51
402.331,431.373
405.386,588.235
408.441,588.235
411.495,588.235
414.55,745.098
417.605,1215.69
420.659,1529.41
423.714,1843.14
426.768,1529.41
429.823,1372.55
432.878,1215.69
435.932,1058.82
438.987,1058.82
442.042,901.961
445.096,745.098
448.151,588.235
451.206,431.373
454.26,431.373
457.315,431.373
460.37,431.373
463.424,431.373
466.479,431.373
469.534,588.235
472.588,745.098
475.643,1058.82
478.698,2156.86
481.752,2313.73
484.807,1058.82
487.862,901.961
490.916,588.235
493.971,431.373
497.026,117.647
500.08,117.647
503.135,117.647
506.19,117.647
509.244,117.647
512.299,117.647
515.354,117.647
518.408,117.647
521.463,117.647
524.518,117.647
527.572,117.647
530.627,117.647
533.682,117.647
536.736,117.647
539.791,274.51
542.846,117.647
545.9,117.647
548.955,117.647
552.01,117.647
555.064,274.51
558.119,274.51
561.174,274.51
564.228,431.373
567.283,431.373
570.338,431.373
573.392,431.373
576.447,431.373
579.502,431.373
582.556,588.235
585.611,745.098
588.666,901.961
591.72,1058.82
594.775,1686.27
597.83,2627.45
600.884,4823.53
603.939,9372.55
606.994,12509.8
610.048,19254.9
613.103,12509.8
616.158,11254.9
619.212,7803.92
622.267,5137.25
625.322,4509.8
628.376,4352.94
631.431,3882.35
634.486,2784.31
637.54,1843.14
640.595,1215.69
643.65,901.961
646.704,588.235
649.759,431.373
652.814,431.373
655.868,274.51
658.923,274.51
661.977,274.51
665.032,274.51
668.087,274.51
671.141,117.647
674.196,117.647
677.251,117.647
680.305,117.647
683.36,117.647
686.415,117.647
689.469,117.647
692.524,117.647
695.579,117.647
698.633,117.647
701.688,117.647
704.743,117.647
707.797,117.647
710.852,117.647
713.907,117.647
716.961,117.647
720.016,117.647
723.071,117.647
726.125,117.647
729.18,117.647
732.235,117.647
735.289,117.647
738.344,117.647
741.399,117.647
744.453,117.647
747.508,117.647
750.563,117.647
753.617,117.647
756.672,117.647
759.727,117.647
762.781,117.647
765.836,117.647
768.891,117.647
771.945,274.51
775,274.51
778.055,274.51
781.109,117.647
784.164,117.647
787.219,117.647
790.273,117.647
793.328,117.647
796.383,117.647
799.437,117.647
802.492,117.647
805.547,117.647
808.601,117.647
811.656,117.647
814.711,117.647
817.765,117.647
820.82,117.647
823.875,117.647
826.929,117.647
829.984,117.647
833.039,117.647
836.093,117.647
839.148,117.647
842.203,117.647
845.257,117.647
848.312,117.647
851.367,117.647
854.421,117.647
857.476,117.647
860.531,117.647
863.585,117.647
866.64,117.647
869.695,117.647
872.749,117.647
875.804,117.647
878.859,117.647
881.913,117.647
884.968,117.647
888.023,117.647
891.077,117.647
894.132,274.51
897.186,431.373
900.241,431.373
903.296,431.373
906.35,431.373
909.405,431.373
912.46,431.373
915.514,431.373
918.569,431.373
921.624,431.373
924.678,431.373
927.733,274.51
930.788,274.51
933.842,117.647
936.897,117.647
939.952,274.51
943.006,431.373
946.061,588.235
949.116,588.235
952.17,588.235
955.225,431.373
958.28,431.373
961.334,431.373
964.389,431.373
967.444,588.235
970.498,1058.82
973.553,1686.27
976.608,1372.55
979.662,1058.82
982.717,901.961
985.772,431.373
988.826,274.51
991.881,274.51
994.936,274.51
997.99,274.51
1001.05,274.51
1004.1,274.51
1007.15,431.373
1010.21,431.373
1013.26,431.373
1016.32,274.51
1019.37,274.51
1022.43,274.51
1025.48,274.51
1028.54,274.51
1031.59,274.51
1034.65,117.647
1037.7,117.647
1040.76,117.647
1043.81,117.647
1046.86,117.647
1049.92,117.647
1052.97,117.647
1056.03,117.647
1059.08,274.51
1062.14,588.235
1065.19,745.098
1068.25,1215.69
1071.3,2000
1074.36,2941.18
1077.41,4352.94
1080.47,5921.57
1083.52,6705.88
1086.58,7490.2
1089.63,6705.88
1092.68,6235.29
1095.74,5137.25
1098.79,4039.22
1101.85,3725.49
1104.9,3725.49
1107.96,3725.49
1111.01,4039.22
1114.07,4352.94
1117.12,5137.25
1120.18,6078.43
1123.23,6705.88
1126.29,7333.33
1129.34,6705.88
1132.4,6078.43
1135.45,4823.53
1138.5,3568.63
1141.56,2784.31
1144.61,2156.86
1147.67,1843.14
1150.72,1529.41
1153.78,1372.55
1156.83,1058.82
1159.89,1058.82
1162.94,1058.82
1166,1058.82
1169.05,1215.69
1172.11,1372.55
1175.16,1372.55
1178.22,1215.69
1181.27,1215.69
1184.32,745.098
1187.38,431.373
1190.43,274.51
1193.49,274.51
1196.54,117.647
1199.6,117.647
1202.65,274.51
1205.71,431.373
1208.76,745.098
1211.82,1529.41
1214.87,2627.45
1217.93,4352.94
1220.98,7333.33
1224.04,12352.9
1227.09,15333.3
1230.14,19725.5
1233.2,15333.3
1236.25,14549
1239.31,11254.9
1242.36,7019.61
1245.42,4196.08
1248.47,2941.18
1251.53,2784.31
1254.58,2941.18
1257.64,3254.9
1260.69,4666.67
1263.75,7490.2
1266.8,9843.14
1269.86,14549
1272.91,13451
1275.96,10000
1279.02,8431.37
1282.07,5450.98
1285.13,3568.63
1288.18,2156.86
1291.24,1215.69
1294.29,588.235
1297.35,274.51
1300.4,117.647
1303.46,117.647
1306.51,117.647
1309.57,274.51
1312.62,431.373
1315.68,745.098
1318.73,1058.82
1321.78,1058.82
1324.84,1058.82
1327.89,901.961
1330.95,901.961
1334,745.098
1337.06,588.235
1340.11,588.235
1343.17,588.235
1346.22,588.235
1349.28,588.235
1352.33,588.235
1355.39,588.235
1358.44,588.235
1361.5,588.235
1364.55,588.235
1367.6,588.235
1370.66,431.373
1373.71,274.51
1376.77,117.647
1379.82,117.647
1382.88,117.647
1385.93,117.647
1388.99,117.647
1392.04,274.51
1395.1,431.373
1398.15,901.961
1401.21,1529.41
1404.26,2313.73
1407.32,3411.76
1410.37,4980.39
1413.42,6705.88
1416.48,8588.24
1419.53,9686.27
1422.59,10784.3
1425.64,12039.2
1428.7,9529.41
1431.75,8274.51
1434.81,6235.29
1437.86,4509.8
1440.92,3098.04
1443.97,2313.73
1447.03,1843.14
1450.08,1843.14
1453.14,1843.14
1456.19,1843.14
1459.24,2000
1462.3,2313.73
1465.35,2784.31
1468.41,3411.76
1471.46,4196.08
1474.52,5137.25
1477.57,6235.29
1480.63,7490.2
1483.68,8274.51
1486.74,8588.24
1489.79,8274.51
1492.85,8117.65
1495.9,7803.92
1498.95,6705.88
1502.01,5607.84
1505.06,4666.67
1508.12,3725.49
1511.17,3098.04
1514.23,2470.59
1517.28,2000
1520.34,1686.27
1523.39,1372.55
1526.45,1058.82
1529.5,745.098
1532.56,588.235
1535.61,588.235
1538.67,431.373
1541.72,274.51
1544.77,117.647
1547.83,117.647
1550.88,117.647
1553.94,117.647
1556.99,117.647
1560.05,117.647
1563.1,117.647
1566.16,117.647
1569.21,117.647
1572.27,117.647
1575.32,117.647
1578.38,117.647
1581.43,117.647
1584.49,117.647
1587.54,117.647
1590.59,117.647
1593.65,274.51
1596.7,274.51
1599.76,274.51
1602.81,431.373
1605.87,745.098
1608.92,901.961
1611.98,1215.69
1615.03,1372.55
1618.09,1529.41
1621.14,1843.14
1624.2,2313.73
1627.25,2784.31
1630.31,3098.04
1633.36,3098.04
1636.41,3098.04
1639.47,2941.18
1642.52,2627.45
1645.58,2000
1648.63,1529.41
1651.69,1058.82
1654.74,901.961
1657.8,588.235
1660.85,431.373
1663.91,117.647
1666.96,117.647
1670.02,117.647
1673.07,117.647
1676.13,117.647
1679.18,274.51
1682.23,431.373
1685.29,588.235
1688.34,745.098
1691.4,1058.82
1694.45,1215.69
1697.51,1529.41
1700.56,2000
1703.62,2313.73
1706.67,2627.45
1709.73,2784.31
1712.78,2784.31
1715.84,2784.31
1718.89,2627.45
1721.95,2627.45
1725,2313.73
1728.05,2000
1731.11,1843.14
1734.16,1529.41
