,GP550R
RamanShit,Intensity
267.926,152.941
270.981,294.118
274.035,505.882
277.09,647.059
280.145,647.059
283.199,717.647
286.254,788.235
289.309,858.824
292.363,929.412
295.418,1000
298.473,1000
301.527,1070.59
304.582,1070.59
307.637,1070.59
310.691,1070.59
313.746,1000
316.801,929.412
319.855,717.647
322.91,647.059
325.965,647.059
329.019,647.059
332.074,717.647
335.129,788.235
338.183,929.412
341.238,1423.53
344.293,1776.47
347.347,2552.94
350.402,1776.47
353.457,1494.12
356.511,1000
359.566,576.471
362.621,435.294
365.675,364.706
368.73,294.118
371.785,294.118
374.839,223.529
377.894,223.529
380.949,223.529
384.003,223.529
387.058,223.529
390.113,223.529
393.167,223.529
396.222,223.529
399.277,223.529
402.331,223.529
405.386,223.529
408.441,223.529
411.495,223.529
414.55,294.118
417.605,364.706
420.659,505.882
423.714,647.059
426.768,505.882
429.823,435.294
432.878,364.706
435.932,294.118
438.987,294.118
442.042,223.529
445.096,152.941
448.151,152.941
451.206,152.941
454.26,152.941
457.315,152.941
460.37,223.529
463.424,223.529
466.479,223.529
469.534,294.118
472.588,647.059
475.643,1282.35
478.698,2482.35
481.752,2764.71
484.807,1423.53
487.862,1141.18
490.916,647.059
493.971,364.706
497.026,223.529
500.08,152.941
503.135,152.941
506.19,152.941
509.244,152.941
512.299,82.3529
515.354,82.3529
518.408,82.3529
521.463,82.3529
524.518,82.3529
527.572,82.3529
530.627,82.3529
533.682,152.941
536.736,152.941
539.791,152.941
542.846,152.941
545.9,223.529
548.955,223.529
552.01,294.118
555.064,364.706
558.119,435.294
561.174,435.294
564.228,505.882
567.283,505.882
570.338,505.882
573.392,505.882
576.447,505.882
579.502,576.471
582.556,647.059
585.611,717.647
588.666,788.235
591.72,1000
594.775,1352.94
597.83,2058.82
600.884,3400
603.939,6223.53
606.994,8129.41
610.048,11658.8
613.103,8129.41
616.158,7352.94
619.212,5235.29
622.267,3541.18
625.322,3047.06
628.376,2976.47
631.431,2552.94
634.486,1847.06
637.54,1282.35
640.595,1000
643.65,717.647
646.704,576.471
649.759,505.882
652.814,435.294
655.868,364.706
658.923,294.118
661.977,294.118
665.032,223.529
668.087,223.529
671.141,223.529
674.196,223.529
677.251,152.941
680.305,152.941
683.36,152.941
686.415,82.3529
689.469,82.3529
692.524,82.3529
695.579,82.3529
698.633,82.3529
701.688,82.3529
704.743,82.3529
707.797,82.3529
710.852,82.3529
713.907,82.3529
716.961,82.3529
720.016,82.3529
723.071,82.3529
726.125,82.3529
729.18,82.3529
732.235,82.3529
735.289,82.3529
738.344,82.3529
741.399,82.3529
744.453,82.3529
747.508,82.3529
750.563,82.3529
753.617,82.3529
756.672,82.3529
759.727,82.3529
762.781,82.3529
765.836,82.3529
768.891,82.3529
771.945,82.3529
775,82.3529
778.055,82.3529
781.109,82.3529
784.164,82.3529
787.219,82.3529
790.273,82.3529
793.328,82.3529
796.383,82.3529
799.437,82.3529
802.492,82.3529
805.547,82.3529
808.601,152.941
811.656,152.941
814.711,223.529
817.765,223.529
820.82,223.529
823.875,223.529
826.929,223.529
829.984,294.118
833.039,364.706
836.093,364.706
839.148,364.706
842.203,364.706
845.257,364.706
848.312,364.706
851.367,364.706
854.421,364.706
857.476,364.706
860.531,435.294
863.585,435.294
866.64,435.294
869.695,435.294
872.749,435.294
875.804,435.294
878.859,435.294
881.913,435.294
884.968,435.294
888.023,435.294
891.077,435.294
894.132,435.294
897.186,435.294
900.241,435.294
903.296,435.294
906.35,435.294
909.405,435.294
912.46,435.294
915.514,435.294
918.569,435.294
921.624,435.294
924.678,435.294
927.733,364.706
930.788,364.706
933.842,294.118
936.897,223.529
939.952,223.529
943.006,223.529
946.061,223.529
949.116,223.529
952.17,223.529
955.225,152.941
958.28,152.941
961.334,152.941
964.389,152.941
967.444,294.118
970.498,505.882
973.553,858.824
976.608,717.647
979.662,435.294
982.717,364.706
985.772,152.941
988.826,82.3529
991.881,82.3529
994.936,82.3529
997.99,82.3529
1001.05,82.3529
1004.1,82.3529
1007.15,152.941
1010.21,152.941
1013.26,152.941
1016.32,82.3529
1019.37,82.3529
1022.43,82.3529
1025.48,82.3529
1028.54,82.3529
1031.59,82.3529
1034.65,82.3529
1037.7,82.3529
1040.76,82.3529
1043.81,82.3529
1046.86,82.3529
1049.92,152.941
1052.97,223.529
1056.03,294.118
1059.08,576.471
1062.14,858.824
1065.19,1141.18
1068.25,1635.29
1071.3,2341.18
1074.36,3258.82
1077.41,4458.82
1080.47,5870.59
1083.52,6647.06
1086.58,7282.35
1089.63,6647.06
1092.68,6011.76
1095.74,4741.18
1098.79,3611.76
1101.85,2835.29
1104.9,2482.35
1107.96,2411.76
1111.01,2482.35
1114.07,2552.94
1117.12,2694.12
1120.18,3117.65
1123.23,3400
1126.29,3752.94
1129.34,3400
1132.4,3117.65
1135.45,2552.94
1138.5,1988.24
1141.56,1564.71
1144.61,1352.94
1147.67,1211.76
1150.72,1070.59
1153.78,1070.59
1156.83,1070.59
1159.89,1070.59
1162.94,1141.18
1166,1282.35
1169.05,1423.53
1172.11,1494.12
1175.16,1352.94
1178.22,1141.18
1181.27,858.824
1184.32,576.471
1187.38,435.294
1190.43,294.118
1193.49,223.529
1196.54,152.941
1199.6,82.3529
1202.65,82.3529
1205.71,152.941
1208.76,223.529
1211.82,505.882
1214.87,858.824
1217.93,1423.53
1220.98,2270.59
1224.04,3541.18
1227.09,4317.65
1230.14,5376.47
1233.2,4317.65
1236.25,4105.88
1239.31,3258.82
1242.36,2200
1245.42,1705.88
1248.47,1494.12
1251.53,1705.88
1254.58,1776.47
1257.64,2341.18
1260.69,3752.94
1263.75,6152.94
1266.8,8482.35
1269.86,12576.5
1272.91,13211.8
1275.96,9188.24
1279.02,7917.65
1282.07,5588.24
1285.13,4035.29
1288.18,2835.29
1291.24,1988.24
1294.29,1423.53
1297.35,1000
1300.4,717.647
1303.46,576.471
1306.51,364.706
1309.57,294.118
1312.62,294.118
1315.68,294.118
1318.73,294.118
1321.78,294.118
1324.84,223.529
1327.89,223.529
1330.95,223.529
1334,294.118
1337.06,364.706
1340.11,435.294
1343.17,576.471
1346.22,576.471
1349.28,576.471
1352.33,505.882
1355.39,364.706
1358.44,294.118
1361.5,223.529
1364.55,152.941
1367.6,82.3529
1370.66,82.3529
1373.71,82.3529
1376.77,82.3529
1379.82,82.3529
1382.88,82.3529
1385.93,82.3529
1388.99,82.3529
1392.04,223.529
1395.1,364.706
1398.15,576.471
1401.21,929.412
1404.26,1352.94
1407.32,1988.24
1410.37,2764.71
1413.42,3682.35
1416.48,4670.59
1419.53,5588.24
1422.59,6717.65
1425.64,6858.82
1428.7,5870.59
1431.75,5447.06
1434.81,4458.82
1437.86,3682.35
1440.92,3117.65
1443.97,2694.12
1447.03,2411.76
1450.08,2270.59
1453.14,2200
1456.19,2129.41
1459.24,2129.41
1462.3,2058.82
1465.35,2058.82
1468.41,2058.82
1471.46,2129.41
1474.52,2341.18
1477.57,2623.53
1480.63,2905.88
1483.68,3047.06
1486.74,3117.65
1489.79,3047.06
1492.85,2905.88
1495.9,2552.94
1498.95,2129.41
1502.01,1776.47
1505.06,1423.53
1508.12,1141.18
1511.17,929.412
1514.23,717.647
1517.28,576.471
1520.34,435.294
1523.39,364.706
1526.45,223.529
1529.5,152.941
1532.56,152.941
1535.61,152.941
1538.67,82.3529
1541.72,82.3529
1544.77,82.3529
1547.83,82.3529
1550.88,82.3529
1553.94,82.3529
1556.99,82.3529
1560.05,82.3529
1563.1,82.3529
1566.16,82.3529
1569.21,82.3529
1572.27,152.941
1575.32,82.3529
1578.38,82.3529
1581.43,82.3529
1584.49,82.3529
1587.54,82.3529
1590.59,152.941
1593.65,223.529
1596.7,294.118
1599.76,364.706
1602.81,505.882
1605.87,647.059
1608.92,858.824
1611.98,1141.18
1615.03,1352.94
1618.09,1635.29
1621.14,2058.82
1624.2,2482.35
1627.25,2976.47
1630.31,3258.82
1633.36,3400
1636.41,3258.82
1639.47,3047.06
1642.52,2623.53
1645.58,2129.41
1648.63,1705.88
1651.69,1282.35
1654.74,929.412
1657.8,717.647
1660.85,505.882
1663.91,364.706
1666.96,294.118
1670.02,294.118
1673.07,223.529
1676.13,223.529
1679.18,223.529
1682.23,294.118
1685.29,364.706
1688.34,435.294
1691.4,505.882
1694.45,647.059
1697.51,717.647
1700.56,858.824
1703.62,1000
1706.67,1000
1709.73,1070.59
1712.78,1070.59
1715.84,1000
1718.89,1000
1721.95,858.824
1725,717.647
1728.05,647.059
1731.11,576.471
1734.16,505.882
1737.22,505.882
1740.27,364.706
1743.33,294.118
1746.38,223.529
1749.44,223.529
1752.49,152.941
1755.55,82.3529
1758.6,82.3529
1761.66,82.3529
1764.71,82.3529
1767.77,82.3529
1770.82,82.3529
1773.87,82.3529
1776.93,82.3529
1779.98,82.3529
1783.04,82.3529
1786.09,82.3529
1789.15,82.3529
1792.2,11.7647
1795.26,11.7647
1798.31,11.7647
1801.37,82.3529
1804.42,82.3529
1807.48,82.3529
1810.53,82.3529
1813.59,152.941
1816.64,152.941
1819.69,152.941
1822.75,152.941
1825.8,223.529
1828.86,364.706
1831.91,435.294
1834.97,576.471
1838.02,788.235
1841.08,1070.59
1844.13,1494.12
1847.19,2129.41
1850.24,3117.65
1853.3,4035.29
1856.35,4458.82
1859.41,4741.18
1862.46,4388.24
1865.51,4105.88
1868.57,3470.59
1871.62,2905.88
1874.68,2341.18
1877.73,1988.24
1880.79,1705.88
1883.84,1494.12
1886.9,1352.94
1889.95,1211.76
1893.01,1000
1896.06,858.824
1899.12,717.647
1902.17,576.471
1905.23,435.294
1908.28,364.706
1911.33,294.118
1914.39,223.529
1917.44,223.529
1920.5,152.941
1923.55,152.941
1926.61,82.3529
1929.66,82.3529
1932.72,82.3529
1935.77,82.3529
1938.83,82.3529
1941.88,82.3529
1944.94,82.3529
1947.99,82.3529
1951.05,152.941
1954.1,152.941
1957.15,152.941
1960.21,152.941
1963.26,223.529
1966.32,223.529
1969.37,152.941
1972.43,152.941
1975.48,152.941
1978.54,152.941
1981.59,152.941
1984.65,152.941
1987.7,152.941
1990.76,152.941
1993.81,152.941
1996.86,152.941
1999.92,152.941
2002.97,152.941
2006.03,152.941
2009.08,152.941
2012.14,152.941
2015.19,152.941
2018.25,152.941
2021.3,152.941
2024.36,152.941
2027.41,152.941
2030.47,152.941
2033.52,152.941
2036.58,152.941
2039.63,152.941
2042.68,152.941
2045.74,152.941
2048.79,152.941
2051.85,223.529
2054.9,152.941
2057.96,152.941
2061.01,152.941
2064.07,152.941
2067.12,82.3529
2070.18,82.3529
2073.23,82.3529
2076.29,82.3529
2079.34,82.3529
2082.4,82.3529
2085.45,82.3529
2088.5,82.3529
2091.56,82.3529
2094.61,82.3529
2097.67,152.941
2100.72,152.941
2103.78,152.941
2106.83,152.941
2109.89,152.941
2112.94,152.941
2116,152.941
2119.05,152.941
2122.11,152.941
2125.16,152.941
2128.22,152.941
2131.27,152.941
2134.32,152.941
2137.38,152.941
2140.43,152.941
2143.49,82.3529
2146.54,82.3529
2149.6,82.3529
2152.65,82.3529
2155.71,82.3529
2158.76,82.3529
2161.82,82.3529
2164.87,82.3529
2167.93,82.3529
2170.98,82.3529
2174.04,82.3529
2177.09,82.3529
2180.14,82.3529
2183.2,152.941
2186.25,152.941
2189.31,152.941
2192.36,152.941
2195.42,152.941
2198.47,152.941
2201.53,152.941
2204.58,152.941
2207.64,152.941
2210.69,223.529
2213.75,223.529
2216.8,223.529
2219.86,223.529
2222.91,223.529
2225.96,294.118
2229.02,294.118
2232.07,223.529
2235.13,223.529
2238.18,152.941
2241.24,152.941
2244.29,152.941
2247.35,152.941
2250.4,152.941
2253.46,223.529
2256.51,152.941
2259.57,152.941
2262.62,152.941
2265.68,152.941
2268.73,152.941
2271.78,152.941
2274.84,152.941
2277.89,152.941
2280.95,152.941
2284,152.941
2287.06,152.941
2290.11,152.941
2293.17,152.941
